Date,KOSPI_Now
2016.1.4,-42.55
2016.1.5,11.77
2016.1.6,-5.1
2016.1.7,-21.1
2016.1.8,13.29
2016.1.11,-22.78
2016.1.12,-3.98
2016.1.13,25.42
2016.1.14,-16.27
2016.1.15,-21.14
2016.1.18,-0.42
2016.1.19,11.19
2016.1.20,-44.19
2016.1.21,-4.92
2016.1.22,38.9
2016.1.25,14.0
2016.1.26,-21.74
2016.1.27,26.18
2016.1.28,9.07
2016.1.29,5.12
2016.2.1,12.76
2016.2.2,-18.22
2016.2.3,-15.93
2016.2.4,25.59
2016.2.5,1.53
2016.2.11,-56.25
2016.2.12,-26.26
2016.2.15,26.92
2016.2.16,26.1
2016.2.17,-4.36
2016.2.18,24.9
2016.2.19,7.4
2016.2.22,0.12
2016.2.23,-2.14
2016.2.24,-1.69
2016.2.25,6.04
2016.2.26,1.59
2016.2.29,-3.5
2016.3.2,30.76
2016.3.3,10.75
2016.3.4,-2.54
2016.3.7,2.24
2016.3.8,-11.75
2016.3.9,6.83
2016.3.10,16.38
2016.3.11,2.08
2016.3.14,0.86
2016.3.15,-2.3
2016.3.16,4.93
2016.3.17,13.09
2016.3.18,4.13
2016.3.21,-2.36
2016.3.22,7.05
2016.3.23,-1.69
2016.3.24,-9.15
2016.3.25,-2.16
2016.3.28,-1.27
2016.3.29,12.37
2016.3.30,7.23
2016.3.31,-6.29
2016.4.1,-22.28
2016.4.4,5.4
2016.4.5,-16.23
2016.4.6,8.58
2016.4.7,2.57
2016.4.8,-1.84
2016.4.11,-1.68
2016.4.12,10.95
2016.4.14,34.61
2016.4.15,-1.22
2016.4.18,-5.61
2016.4.19,2.26
2016.4.20,-5.53
2016.4.21,16.27
2016.4.22,-6.61
2016.4.25,-0.94
2016.4.26,5.08
2016.4.27,-4.23
2016.4.28,-14.47
2016.4.29,-6.78
2016.5.2,-16.0
2016.5.3,8.26
2016.5.4,-9.7
2016.5.9,-8.9
2016.5.10,14.69
2016.5.11,-2.4
2016.5.12,-2.61
2016.5.13,-10.5
2016.5.16,0.92
2016.5.17,0.15
2016.5.18,-11.33
2016.5.19,-9.95
2016.5.20,0.89
2016.5.23,7.58
2016.5.24,-17.57
2016.5.25,22.83
2016.5.26,-3.45
2016.5.27,12.11
2016.5.30,-2.04
2016.5.31,16.27
2016.6.1,-0.68
2016.6.2,2.39
