Date,KOSPI_Now,filter_smo,wrapper_smo,filter_linear,wrapper_linear,filter_mlp,wrapper_mlp,filter_gaussian,wrapper_gaussian
2015.12.30,1961.31,        742      -2.1695      -1.0503       1.1192,        742      -2.1695      -0.9423       1.2271,        742      -2.1695      -1.2803       0.8892,        742      -2.1695      -1.3937       0.7758,        742      -2.1695       2.4062       4.5757,        742      -2.1695      -1.9345       0.2349,        742      -2.1695      -0.7502       1.4192,        742      -2.1695       -0.872       1.2975
2016.1.4,1918.76,        743       0.6134      -0.2909      -0.9043,        743       0.6134       -0.345      -0.9585,        743       0.6134      -0.2832      -0.8966,        743       0.6134      -0.4864      -1.0998,        743       0.6134      -1.6246       -2.238,        743       0.6134      -1.3228      -1.9362,        743       0.6134      -0.3529      -0.9663,        743       0.6134      -0.4257      -1.0392
2016.1.5,1930.53,        744      -0.2642      -0.6458      -0.3817,        744      -0.2642      -1.5304      -1.2662,        744      -0.2642      -0.5992       -0.335,        744      -0.2642      -1.2216      -0.9574,        744      -0.2642      -1.0912      -0.8271,        744      -0.2642      -4.9953      -4.7311,        744      -0.2642      -0.3169      -0.0528,        744      -0.2642      -0.4936      -0.2295
2016.1.6,1925.43,        745      -1.0959      -1.2859      -0.1901,        745      -1.0959      -2.0146      -0.9187,        745      -1.0959      -1.6159      -0.5201,        745      -1.0959      -1.8727      -0.7769,        745      -1.0959       1.8706       2.9664,        745      -1.0959      -2.1946      -1.0987,        745      -1.0959      -0.8843       0.2116,        745      -1.0959      -1.1362      -0.0403
2016.1.7,1904.33,        746       0.6979       0.3072      -0.3907,        746       0.6979       0.2246      -0.4733,        746       0.6979       0.2952      -0.4027,        746       0.6979      -0.4015      -1.0994,        746       0.6979      -0.9377      -1.6356,        746       0.6979      -0.2785      -0.9764,        746       0.6979       0.0218      -0.6761,        746       0.6979      -0.1846      -0.8825
2016.1.8,1917.62,        747      -1.1879      -0.9827       0.2052,        747      -1.1879      -0.4405       0.7474,        747      -1.1879      -1.0344       0.1535,        747      -1.1879       0.1071       1.2951,        747      -1.1879      -1.3841      -0.1962,        747      -1.1879       0.0847       1.2726,        747      -1.1879      -0.5773       0.6106,        747      -1.1879      -0.6082       0.5798
2016.1.11,1894.84,        748        -0.21      -0.0863       0.1238,        748        -0.21       0.3561       0.5662,        748        -0.21      -0.1637       0.0463,        748        -0.21      -0.0867       0.1233,        748        -0.21      -0.4854      -0.2754,        748        -0.21      -0.0842       0.1258,        748        -0.21       0.0274       0.2374,        748        -0.21        0.001       0.2111
2016.1.12,1890.86,        749       1.3444       0.6037      -0.7407,        749       1.3444        0.574      -0.7704,        749       1.3444        0.642      -0.7024,        749       1.3444        0.547      -0.7974,        749       1.3444       0.1836      -1.1608,        749       1.3444       0.0836      -1.2608,        749       1.3444        0.409      -0.9353,        749       1.3444       0.2401      -1.1043
2016.1.13,1916.28,        750       -0.849      -0.5685       0.2806,        750       -0.849        -0.79       0.0591,        750       -0.849      -0.6224       0.2266,        750       -0.849      -0.7817       0.0674,        750       -0.849        4.151       5.0001,        750       -0.849      -0.6125       0.2366,        750       -0.849       -0.524       0.3251,        750       -0.849      -0.4074       0.4416
2016.1.14,1900.01,        751      -1.1126      -0.4349       0.6777,        751      -1.1126      -0.6921       0.4205,        751      -1.1126      -0.5194       0.5932,        751      -1.1126      -0.9544       0.1582,        751      -1.1126      -1.4244      -0.3118,        751      -1.1126      -1.9318      -0.8192,        751      -1.1126      -0.3576        0.755,        751      -1.1126      -0.3978       0.7148
2016.1.15,1878.87,        752      -0.0224      -0.6707      -0.6484,        752      -0.0224      -1.2313      -1.2089,        752      -0.0224      -0.8463       -0.824,        752      -0.0224       -0.834      -0.8116,        752      -0.0224      -0.7836      -0.7613,        752      -0.0224      -1.6582      -1.6358,        752      -0.0224      -0.6375      -0.6151,        752      -0.0224      -0.6891      -0.6668
2016.1.18,1878.45,        753       0.5957       0.2048       -0.391,        753       0.5957       0.9589       0.3632,        753       0.5957       0.3085      -0.2872,        753       0.5957       0.2014      -0.3944,        753       0.5957      -0.0737      -0.6694,        753       0.5957       0.1957         -0.4,        753       0.5957       0.2655      -0.3302,        753       0.5957       0.4775      -0.1182
2016.1.19,1889.64,        754      -2.3385       -1.131       1.2076,        754      -2.3385      -1.5947       0.7439,        754      -2.3385      -1.2927       1.0458,        754      -2.3385      -2.0654       0.2732,        754      -2.3385       2.0752       4.4138,        754      -2.3385     -50.9073     -48.5688,        754      -2.3385      -0.7473       1.5912,        754      -2.3385      -0.7341       1.6044
2016.1.20,1845.45,        755      -0.2666      -0.0807       0.1859,        755      -0.2666      -1.5095      -1.2429,        755      -0.2666      -0.2303       0.0363,        755      -0.2666      -1.2492      -0.9826,        755      -0.2666      -0.2163       0.0503,        755      -0.2666      -1.9859      -1.7193,        755      -0.2666      -0.1798       0.0868,        755      -0.2666       0.0011       0.2677
2016.1.21,1840.53,        756       2.1135       1.5856      -0.5279,        756       2.1135       2.5034       0.3899,        756       2.1135       1.9077      -0.2058,        756       2.1135       2.5297       0.4162,        756       2.1135       6.5644       4.4508,        756       2.1135       0.2287      -1.8848,        756       2.1135       1.2127      -0.9008,        756       2.1135       1.2941      -0.8194
2016.1.22,1879.43,        757       0.7449       0.7971       0.0522,        757       0.7449       1.4309        0.686,        757       0.7449       0.9314       0.1865,        757       0.7449       1.8809       1.1359,        757       0.7449       0.6822      -0.0627,        757       0.7449       0.0434      -0.7015,        757       0.7449       0.3712      -0.3737,        757       0.7449       0.4748      -0.2701
2016.1.25,1893.43,        758      -1.1482      -0.7921        0.356,        758      -1.1482      -1.7701      -0.6219,        758      -1.1482      -0.9173       0.2309,        758      -1.1482      -1.7362       -0.588,        758      -1.1482      -1.3035      -0.1553,        758      -1.1482      -2.7266      -1.5785,        758      -1.1482      -0.4749       0.6733,        758      -1.1482      -0.5988       0.5493
2016.1.26,1871.69,        759       1.3987       0.9484      -0.4504,        759       1.3987       1.5167       0.1179,        759       1.3987       0.9587        -0.44,        759       1.3987       1.2896      -0.1092,        759       1.3987       1.3966      -0.0022,        759       1.3987       0.2105      -1.1882,        759       1.3987       0.5556      -0.8432,        759       1.3987        0.564      -0.8347
2016.1.27,1897.87,        760       0.4779       -0.088      -0.5659,        760       0.4779       -0.019      -0.4969,        760       0.4779       0.1198      -0.3581,        760       0.4779       0.2851      -0.1928,        760       0.4779       0.0592      -0.4187,        760       0.4779      -0.0547      -0.5326,        760       0.4779       -0.006      -0.4839,        760       0.4779       0.0326      -0.4453
2016.1.28,1906.94,        761       0.2685      -0.2514      -0.5199,        761       0.2685       0.2649      -0.0036,        761       0.2685       0.0726      -0.1959,        761       0.2685       0.1875       -0.081,        761       0.2685      -0.5883      -0.8568,        761       0.2685       -0.474      -0.7425,        761       0.2685       0.0195       -0.249,        761       0.2685       0.4483       0.1798
2016.1.29,1912.06,        762       0.6673       0.6983        0.031,        762       0.6673       0.3317      -0.3357,        762       0.6673       0.7512       0.0838,        762       0.6673       0.2771      -0.3902,        762       0.6673      -0.0282      -0.6955,        762       0.6673      -1.3272      -1.9946,        762       0.6673       0.3162      -0.3511,        762       0.6673       0.2708      -0.3965
2016.2.1,1924.82,        763      -0.9466      -1.0628      -0.1162,        763      -0.9466      -0.5317       0.4149,        763      -0.9466      -0.9598      -0.0132,        763      -0.9466      -0.6344       0.3122,        763      -0.9466      -1.6606       -0.714,        763      -0.9466      -6.2032      -5.2566,        763      -0.9466      -0.4897       0.4569,        763      -0.9466      -0.5253       0.4213
2016.2.2,1906.6,        764      -0.8355      -0.5369       0.2987,        764      -0.8355       -2.373      -1.5375,        764      -0.8355      -0.7219       0.1136,        764      -0.8355      -1.8404      -1.0049,        764      -0.8355      -1.0925       -0.257,        764      -0.8355      -1.8045       -0.969,        764      -0.8355      -0.6212       0.2143,        764      -0.8355      -0.7255         0.11
2016.2.3,1890.67,        765       1.3535       0.3473      -1.0062,        765       1.3535       1.9131       0.5596,        765       1.3535       0.1065       -1.247,        765       1.3535       1.6675       0.3141,        765       1.3535       0.1501      -1.2034,        765       1.3535       0.2233      -1.1302,        765       1.3535      -0.0375       -1.391,        765       1.3535       0.6936      -0.6599
2016.2.4,1916.26,        766       0.0798      -0.2311       -0.311,        766       0.0798      -0.4161       -0.496,        766       0.0798      -0.1769      -0.2567,        766       0.0798      -0.1751      -0.2549,        766       0.0798      -1.3056      -1.3855,        766       0.0798      -8.4826      -8.5625,        766       0.0798      -0.1086      -0.1884,        766       0.0798      -0.0784      -0.1582
2016.2.5,1917.79,        767      -2.9331      -3.3456      -0.4125,        767      -2.9331      -4.6656      -1.7325,        767      -2.9331      -3.7562      -0.8231,        767      -2.9331      -3.9781       -1.045,        767      -2.9331      -5.9713      -3.0382,        767      -2.9331    -444.3984    -441.4653,        767      -2.9331      -1.8768       1.0563,        767      -2.9331      -1.6411       1.2919
2016.2.11,1861.54,        768      -1.4107      -0.3081       1.1025,        768      -1.4107      -7.6241      -6.2134,        768      -1.4107       -0.543       0.8677,        768      -1.4107      -0.0357        1.375,        768      -1.4107      -0.3929       1.0177,        768      -1.4107      -8.4468      -7.0361,        768      -1.4107      -0.2931       1.1176,        768      -1.4107      -0.2141       1.1965
2016.2.12,1835.28,        769       1.4668       2.1861       0.7193,        769       1.4668       -1.747      -3.2138,        769       1.4668       2.2406       0.7738,        769       1.4668       1.2291      -0.2377,        769       1.4668       5.7845       4.3177,        769       1.4668      -2.0062       -3.473,        769       1.4668        1.257      -0.2098,        769       1.4668       0.5027      -0.9641
2016.2.15,1862.2,        770       1.4016       0.8663      -0.5352,        770       1.4016       0.8191      -0.5825,        770       1.4016       0.8924      -0.5092,        770       1.4016       1.1527      -0.2489,        770       1.4016       -0.022      -1.4235,        770       1.4016       -0.916      -2.3176,        770       1.4016       0.4696       -0.932,        770       1.4016       0.3682      -1.0334
2016.2.16,1888.3,        771      -0.2309         -0.5      -0.2691,        771      -0.2309      -0.4168      -0.1859,        771      -0.2309      -0.3195      -0.0886,        771      -0.2309      -0.2031       0.0278,        771      -0.2309      -0.7476      -0.5167,        771      -0.2309      -1.0541      -0.8232,        771      -0.2309       0.0683       0.2992,        771      -0.2309       0.0577       0.2886
2016.2.17,1883.94,        772       1.3217       1.4537        0.132,        772       1.3217       1.9179       0.5962,        772       1.3217       1.4559       0.1342,        772       1.3217       1.7233       0.4016,        772       1.3217       3.5013       2.1796,        772       1.3217      -0.4026      -1.7243,        772       1.3217       0.7455      -0.5762,        772       1.3217       0.6132      -0.7085
2016.2.18,1908.84,        773       0.3877      -0.5165      -0.9042,        773       0.3877      -1.6382      -2.0259,        773       0.3877      -0.4638      -0.8514,        773       0.3877      -0.8355      -1.2232,        773       0.3877       -0.488      -0.8757,        773       0.3877      -9.8945     -10.2822,        773       0.3877       -0.348      -0.7356,        773       0.3877      -0.5389      -0.9266
2016.2.19,1916.24,        774       0.0063       0.3009       0.2947,        774       0.0063       3.0121       3.0058,        774       0.0063        0.488       0.4818,        774       0.0063       0.8482       0.8419,        774       0.0063       0.0348       0.0286,        774       0.0063        0.205       0.1988,        774       0.0063       0.3069       0.3006,        774       0.0063       0.5967       0.5904
2016.2.22,1916.36,        775      -0.1117       0.2377       0.3494,        775      -0.1117        1.049       1.1607,        775      -0.1117       0.1214       0.2331,        775      -0.1117       0.3785       0.4902,        775      -0.1117       0.1086       0.2203,        775      -0.1117      -0.4514      -0.3397,        775      -0.1117       0.1144       0.2261,        775      -0.1117       0.1438       0.2554
2016.2.23,1914.22,        776      -0.0883      -0.7652      -0.6769,        776      -0.0883      11.4865      11.5747,        776      -0.0883      -0.9047      -0.8164,        776      -0.0883      -0.1946      -0.1063,        776      -0.0883      -0.0845       0.0038,        776      -0.0883   -1147.1874   -1147.0991,        776      -0.0883      -0.5007      -0.4124,        776      -0.0883      -0.0361       0.0522
