Date,KOSPI_Now
2011.12.29,1825.74
2012.1.2,1826.37
2012.1.3,1875.41
2012.1.4,1866.22
2012.1.5,1863.74
2012.1.6,1843.14
2012.1.9,1826.49
2012.1.10,1853.22
2012.1.11,1845.55
2012.1.12,1864.57
2012.1.13,1875.68
2012.1.16,1859.27
2012.1.17,1892.74
2012.1.18,1892.39
2012.1.19,1914.97
2012.1.20,1949.89
2012.1.25,1952.23
2012.1.26,1957.18
2012.1.27,1964.83
2012.1.30,1940.55
2012.1.31,1955.79
2012.2.1,1959.24
2012.2.2,1984.3
2012.2.3,1972.34
2012.2.6,1973.13
2012.2.7,1981.59
2012.2.8,2003.73
2012.2.9,2014.62
2012.2.10,1993.71
2012.2.13,2005.74
2012.2.14,2002.64
2012.2.15,2025.32
2012.2.16,1997.45
2012.2.17,2023.47
2012.2.20,2024.9
2012.2.21,2024.24
2012.2.22,2028.65
2012.2.23,2007.8
2012.2.24,2019.89
2012.2.27,1991.16
2012.2.28,2003.69
2012.2.29,2030.25
2012.3.2,2034.63
2012.3.5,2016.06
2012.3.6,2000.36
2012.3.7,1982.15
2012.3.8,2000.76
2012.3.9,2018.3
2012.3.12,2002.5
2012.3.13,2025.04
2012.3.14,2045.08
2012.3.15,2043.76
2012.3.16,2034.44
2012.3.19,2047
2012.3.20,2042.15
2012.3.21,2027.23
2012.3.22,2026.12
2012.3.23,2026.83
2012.3.26,2019.19
2012.3.27,2039.76
2012.3.28,2031.74
2012.3.29,2014.41
2012.3.30,2014.04
2012.4.2,2029.29
2012.4.3,2049.28
2012.4.4,2018.61
2012.4.5,2028.77
2012.4.6,2029.03
2012.4.9,1997.08
2012.4.10,1994.41
2012.4.12,1986.63
2012.4.13,2008.91
2012.4.16,1992.63
2012.4.17,1985.3
2012.4.18,2004.53
2012.4.19,1999.86
2012.4.20,1974.65
2012.4.23,1972.63
2012.4.24,1963.42
2012.4.25,1961.98
2012.4.26,1964.04
2012.4.27,1975.35
2012.4.30,1981.99
2012.5.2,1999.07
2012.5.3,1995.11
2012.5.4,1989.15
2012.5.7,1956.44
2012.5.8,1967.01
2012.5.9,1950.29
2012.5.10,1944.93
2012.5.11,1917.13
2012.5.14,1913.73
2012.5.15,1898.96
2012.5.16,1840.53
2012.5.17,1845.24
2012.5.18,1782.46
2012.5.21,1799.13
2012.5.22,1828.69
2012.5.23,1808.62
2012.5.24,1814.47
2012.5.25,1824.17
2012.5.29,1849.91
2012.5.30,1844.86
2012.5.31,1843.47
2012.6.1,1834.51
2012.6.4,1783.13
2012.6.5,1801.85
2012.6.7,1847.95
2012.6.8,1835.64
2012.6.11,1867.04
2012.6.12,1854.74
2012.6.13,1859.32
2012.6.14,1871.48
2012.6.15,1858.16
2012.6.18,1891.71
2012.6.19,1891.77
2012.6.20,1904.12
2012.6.21,1889.15
2012.6.22,1847.39
2012.6.25,1825.38
2012.6.26,1817.81
2012.6.27,1817.65
2012.6.28,1819.18
2012.6.29,1854.01
2012.7.2,1851.65
2012.7.3,1867.82
2012.7.4,1874.45
2012.7.5,1875.49
2012.7.6,1858.2
2012.7.9,1836.13
2012.7.10,1829.45
2012.7.11,1826.39
2012.7.12,1785.39
2012.7.13,1812.89
2012.7.16,1817.79
2012.7.17,1821.96
2012.7.18,1794.91
2012.7.19,1822.96
2012.7.20,1822.93
2012.7.23,1789.44
2012.7.24,1793.93
2012.7.25,1769.31
2012.7.26,1782.47
2012.7.27,1829.16
2012.7.30,1843.79
2012.7.31,1881.99
2012.8.1,1879.93
2012.8.2,1869.4
2012.8.3,1848.68
2012.8.6,1885.88
2012.8.7,1886.8
2012.8.8,1903.23
2012.8.9,1940.59
2012.8.10,1946.4
2012.8.13,1932.44
2012.8.14,1956.96
2012.8.16,1957.91
2012.8.17,1946.54
2012.8.20,1946.31
2012.8.21,1943.22
2012.8.22,1935.19
2012.8.23,1942.54
2012.8.24,1919.81
2012.8.27,1917.87
2012.8.28,1916.33
2012.8.29,1928.54
2012.8.30,1906.38
2012.8.31,1905.12
2012.9.3,1912.71
2012.9.4,1907.13
2012.9.5,1874.03
2012.9.6,1881.24
2012.9.7,1929.58
2012.9.10,1924.7
2012.9.11,1920
2012.9.12,1950.03
2012.9.13,1950.69
2012.9.14,2007.58
2012.9.17,2002.35
2012.9.18,2004.96
2012.9.19,2007.88
2012.9.20,1990.33
2012.9.21,2002.37
2012.9.24,2003.44
2012.9.25,1991.41
2012.9.26,1980.44
2012.9.27,1988.7
2012.9.28,1996.21
2012.10.2,1996.03
2012.10.4,1992.68
2012.10.5,1995.17
2012.10.8,1981.89
2012.10.9,1979.04
2012.10.10,1948.22
2012.10.11,1933.09
2012.10.12,1933.26
2012.10.15,1925.59
2012.10.16,1941.54
2012.10.17,1955.15
2012.10.18,1959.12
2012.10.19,1943.84
2012.10.22,1941.59
2012.10.23,1926.81
2012.10.24,1913.96
2012.10.25,1924.5
2012.10.26,1891.43
2012.10.29,1891.52
2012.10.30,1899.58
2012.10.31,1912.06
2012.11.1,1898.44
2012.11.2,1918.72
2012.11.5,1908.22
2012.11.6,1928.17
2012.11.7,1937.55
2012.11.8,1914.41
2012.11.9,1904.41
2012.11.12,1900.87
2012.11.13,1889.7
2012.11.14,1894.04
2012.11.15,1870.72
2012.11.16,1860.83
2012.11.19,1878.1
2012.11.20,1890.18
2012.11.21,1884.04
2012.11.22,1899.5
2012.11.23,1911.33
2012.11.26,1908.51
2012.11.27,1925.2
2012.11.28,1912.78
2012.11.29,1934.85
2012.11.30,1932.9
2012.12.3,1940.02
2012.12.4,1935.18
2012.12.5,1947.04
2012.12.6,1949.62
2012.12.7,1957.45
2012.12.10,1957.42
2012.12.11,1964.62
2012.12.12,1975.44
2012.12.13,2002.77
2012.12.14,1995.04
2012.12.17,1983.07
2012.12.18,1993.09
2012.12.20,1999.5
2012.12.21,1980.42
2012.12.24,1981.82
2012.12.26,1982.25
2012.12.27,1987.35
2012.12.28,1997.05
2013.1.2,2031.1
2013.1.3,2019.41
2013.1.4,2011.94
2013.1.7,2011.25
2013.1.8,1997.94
2013.1.9,1991.81
2013.1.10,2006.8
2013.1.11,1996.67
2013.1.14,2007.04
2013.1.15,1983.74
2013.1.16,1977.45
2013.1.17,1974.27
2013.1.18,1987.85
2013.1.21,1986.86
2013.1.22,1996.52
2013.1.23,1980.41
2013.1.24,1964.48
2013.1.25,1946.69
2013.1.28,1939.71
2013.1.29,1955.96
2013.1.30,1964.43
2013.1.31,1961.94
