@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute EUR_USD_Low numeric
@attribute AEX_Open numeric
@attribute AEX_High numeric
@attribute AEX_Low numeric
@attribute IDR_KRW_Now numeric
@attribute IDR_KRW_Open numeric
@attribute CNY_KRW_Open numeric
@attribute GAS_Now numeric
@attribute GAS_High numeric
@attribute GAS_Low numeric
@attribute Brazil_Now numeric
@attribute Brazil_Low numeric
@attribute HONH_KONG_10_YEAR_Open numeric
@attribute DAX_Open numeric
@attribute DAX_Low numeric
@attribute RTSI_Now numeric
@attribute RTSI_Open numeric
@attribute MOEX_Now numeric
@attribute MOEX_High numeric
@attribute UK_10_YEAR_Now numeric
@attribute UK_10_YEAR_Open numeric
@attribute Nifty_Now numeric
@attribute Nifty_Open numeric
@attribute Nifty_High numeric
@attribute Nifty_Low numeric
@attribute S&P_Now numeric
@attribute S&P_Open numeric
@attribute S&P_Low numeric
@attribute SANGHAI_Open numeric
@attribute SANGHAI_High numeric
@attribute SANGHAI_Low numeric
@attribute EUR_KRW_Open numeric
@attribute EUR_KRW_Low numeric
@attribute NASDAQ_High numeric
@attribute NASDAQ_Low numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_Open numeric
@attribute HKD_KRW_Low numeric
@attribute FRANCE_10_YEAR_Now numeric
@attribute FRANCE_10_YEAR_High numeric
@attribute US_10_YEAR_Open numeric
@attribute US_10_YEAR_Low numeric
@attribute CHF_KRW_High numeric
@attribute USD_CAD_Open numeric
@attribute USD_CAD_Low numeric
@attribute GERMANY_10_YEAR_High numeric
@attribute iBovespa_Open numeric
@attribute INR_KRW_Now numeric
@attribute INR_KRW_High numeric
@attribute INR_KRW_Low numeric
@attribute WTI_Now numeric
@attribute WTI_Open numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_High numeric
@attribute NIKKEI_High numeric
@attribute SOUTH_KOREA_10_YEAR_Open numeric
@attribute SMI_Open numeric
@attribute SMI_High numeric
@attribute SMI_Low numeric
@attribute DOWJONES_Now numeric
@attribute DOWJONES_High numeric
@attribute DOWJONES_Low numeric
@attribute US_COFFEE_Now numeric
@attribute US_COFFEE_Open numeric
@attribute US_COFFEE_Low numeric
@attribute OMXS_High numeric
@attribute AUD_KRW_Now numeric
@attribute AUD_KRW_Open numeric
@attribute AUD_KRW_High numeric
@attribute AUD_KRW_Low numeric
@attribute BRENT_OIL_Now numeric
@attribute BRENT_OIL_Low numeric
@attribute GBP_KRW_Now numeric
@attribute GBP_KRW_Low numeric
@attribute AUD_SGD_Now numeric
@attribute AUD_SGD_Open numeric
@attribute AUD_SGD_Low numeric
@attribute Russell_Now numeric
@attribute Russell_Low numeric
@attribute Gold_Now numeric
@attribute Gold_High numeric
@attribute IBEX_Now numeric
@attribute IBEX_Low numeric
@attribute GBP_USD_Now numeric
@attribute GBP_USD_High numeric
@attribute GBP_USD_Low numeric
@attribute Corn_Now numeric
@attribute Corn_High numeric
@attribute Corn_Low numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute IDX_High numeric
@attribute SPAIN_10_YEAR_Now numeric
@attribute SPAIN_10_YEAR_Low numeric
@attribute NZD_USD_High numeric
@attribute NZD_USD_Low numeric
@attribute CSE_Now numeric
@attribute CSE_Open numeric
@attribute CSE_High numeric
@attribute JAPAN_10_YEAR_Open numeric
@attribute JAPAN_10_YEAR_Low numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_High numeric
@attribute TA_Open numeric
@attribute TA_High numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_High numeric
@attribute JPY_KRW_Now numeric
@attribute JPY_KRW_Open numeric
@attribute JPY_KRW_Low numeric
@attribute Tadawul_Now numeric
@attribute Tadawul_High numeric
@attribute Tadawul_Low numeric
@attribute SET_Now numeric
@attribute SET_Open numeric
@attribute SET_High numeric
@attribute SET_Low numeric
@attribute HEATING_OIL_Now numeric
@attribute HEATING_OIL_Open numeric
@attribute USD_JPY_Now numeric
@attribute USD_JPY_Low numeric
@attribute Silver_Now numeric
@attribute Silver_Low numeric
@attribute US_WHEAT_Open numeric
@attribute US_WHEAT_High numeric
@attribute AUS_10_YEAR_Now numeric
@attribute AUS_10_YEAR_Open numeric
@attribute AUS_10_YEAR_High numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2011-1-3, 19.08, 0.0, 0.013, 0.49, -0.68, -1.75, -0.1635, 0.057, 0.45, 0.051, 0.054000000000000006, 0.019, 352.39, 897.08, -0.071, 7.02, -84.57, 2.46, -1.59, 10.31, 9.5, -0.08900000000000001, -0.08900000000000001, 41.5, 57.2, 38.85, 59.5, -1.9, 0.66, -2.46, 16.49, 15.1, 3.06, 16.2, 1.34, -0.12, -2.68, -1.98, 0.34, -1.67, -0.062, -0.062, 0.012, 0.012, 1.71, 0.0001, 0.0001, -0.063, 730.0, -0.2785, -0.0492, -0.1335, -1.28, -0.29, 12.94, 112.33, -50.5, -0.05, -15.81, -17.58, -113.64, -15.67, -40.6, -22.03, -3.35, -0.1, 0.05, -0.31, -16.45, 12.65, -0.79, -11.36, -1.05, -1.28, -32.47, -19.32, -0.0059, 0.0028, -0.0067, -0.52, -0.6, -7.5, 1.6, -122.4, -41.8, -0.0078, 0.0017, 0.0017, -8.0, -1.5, -6.5, -18.0, -137.0, -268.0, 14.97, -0.017, -0.041, 0.0033, 0.0117, -32.79, 5.72, -3.37, 0.011, -0.029, -15.55, -2.35, 18.87, -0.01, 14.47, -14.76, 43.83, -0.1768, 0.1742, -0.0587, 27.955, 21.72, 17.755, -1.83, 3.17, 0.26, -0.88, -0.0361, -0.0005, -0.13, -0.32, -0.191, 0.085, -0.88, -7.38, -0.08, -0.08, -0.08, 4.97, -5.6
2011-1-4, 15.06, -0.018000000000000002, 0.0039, -0.16, 2.44, 1.45, -0.063, -0.3, -2.98, 0.312, 0.325, 0.256, 657.51, 364.59, -0.035, -23.17, 72.61, 4.564285714, 0.35, 3.711428571, 3.742857143, -0.0075, -0.0075, 55.75, 115.1, 72.15, 84.85, 13.99, -1.82, 1.3, 36.68, 43.635, 42.785, -19.93, -5.04, 33.75, 14.51, -0.58, -3.11, -0.92, -0.029, -0.029, -0.033, -0.033, -4.58, -0.0058, -0.0084, -0.044, 365.0, -0.0254, -0.0651, -0.1142, 1.71, 0.33, 362.66, 492.99, 50.5, 0.0, -93.24, -62.3, 36.89, 101.04, 136.46, 41.93, 2.4, 0.2, 3.5, 11.41, -7.53, -22.59, -12.79, 0.14, 1.75, 2.16, -3.25, -0.71, -0.0049, -0.0056, 0.0007, 8.82, 0.0, 17.0, 10.1, 29.2, -8.3, 0.0061, 0.0048, 0.0067, 4.5, 9.0, 7.5, -325.0, 93.0, -60.0, 19.61, -0.048, -0.002, 0.0058, 0.0063, 43.83, -11.05, 12.81, -0.0185, 0.0015, -6.3, -14.6, 6.28, 9.14, 10.2, -16.05, 18.17, -0.1008, -0.2396, -0.0507, 27.955, 21.72, 17.755, 4.825, 3.785, 6.04, 5.05, 0.0674, 0.0229, 0.17, -0.16, 0.608, 0.6709999999999999, -5.62, 25.75, -0.044, -0.044, -0.044, 17.76, 7.4
2011-1-5, -2.59, -0.018000000000000002, 0.004, 1.91, 0.31, 1.38, 0.015, 0.07, 0.61, 0.019, 0.018000000000000002, 0.066, 355.47, 255.25, -0.049, 6.29, -17.81, 4.564285714, 0.35, 3.711428571, 3.742857143, -0.0075, -0.0075, -11.25, -4.7, 2.5, -22.8, -1.67, 15.33, 5.04, 36.68, 43.635, 42.785, 6.31, 0.55, -3.98, -12.7, 0.115, 0.55, -0.13, -0.039, -0.039, 0.004, 0.004, -2.41, -0.0013, 0.0026, -0.014, 795.0, -0.1466, -0.1229, -0.2471, -2.17, 0.19, -63.64, -155.93, 50.5, 0.06, 28.59, 22.41, 8.67, 20.43, 16.04, 5.56, -3.75, 0.3, -6.7, 4.56, -11.13, -0.84, -9.33, -16.57, -1.31, -1.92, 12.9, -3.8, -0.0115, -0.0031, -0.0118, -12.73, -11.7, -44.1, -13.0, 0.1, -51.1, 0.0104, 0.0062, 0.0021, -12.0, -10.5, -16.75, 335.0, 122.0, 235.0, 24.79, -0.087, -0.075, -0.0042, -0.0086, 43.89, 22.09, 44.22, -0.0185, 0.0015, 0.85, -4.55, 2.04, -3.28, -0.44, -16.05, 18.17, -0.0408, -0.0413, -0.1493, 23.3, 21.69, 30.09, 4.825, 3.785, 6.04, 5.05, -0.0463, 0.0126, 0.39, 0.48, -1.604, -1.631, 10.12, -15.75, -0.044, -0.044, -0.044, 25.92, 35.84
2011-1-6, -4.94, 0.03, -0.0168, -1.62, -2.67, -5.85, -0.0195, 0.004, -0.5, -0.196, -0.067, -0.11, 773.24, 241.79, -0.015, -13.6, -109.12, 4.564285714, 0.35, 3.711428571, 3.742857143, 0.086, 0.086, -66.55, -31.4, -39.7, -62.05, 6.36, -4.17, 2.7, 7.79, -4.91, 14.19, -6.36, -18.71, 1.32, 8.25, -0.29, -0.01, 0.4, 0.053, 0.053, 0.125, 0.125, -15.75, 0.0048, 0.0018, 0.063, -400.0, -0.268, -0.1146, -0.0978, 0.92, -2.21, 154.08, -21.73, -9.5, 0.03, -16.36, -11.58, -56.73, 31.71, 8.78, 27.3, -1.95, -4.9, -2.0, -14.47, -8.64, -13.23, -9.85, -4.5, 1.97, -0.21, -11.71, 5.62, -0.0024, -0.013, -0.005, 9.26, 5.2, -5.1, -26.9, -87.0, -200.1, -0.0074, -0.0019, -0.0003, 10.75, -3.75, -3.0, 13.0, -120.0, -112.0, 22.67, -0.014, -0.051, -0.006, -0.008, 52.46, 43.89, 63.12, 0.047, 0.027000000000000003, -2.0, 2.3, -3.84, -3.56, -8.69, -6.32, -129.95, -0.2251, -0.0489, -0.1442, -3.41, 8.0, 2.18, 8.37, 1.89, 3.56, 4.12, 0.0357, -0.0515, 1.13, 0.28, -0.319, -0.745, -9.87, 1.13, 0.008, 0.008, 0.008, -15.7, -19.54
2011-1-7, 8.59, 0.08, -0.0128, 0.34, 1.39, 3.72, -0.0225, -0.018000000000000002, -0.62, -0.039, -0.017, -0.067, -512.2, 667.46, 0.07, -16.6, 106.17, 4.564285714, 0.35, 3.711428571, 3.742857143, -0.022, -0.022, -31.55, -34.35, -25.2, -40.05, -2.71, 7.51, 5.07, 5.31, 3.39, -7.35, -20.28, -14.64, 10.15, 25.84, -0.055, -0.29, -0.68, -0.005, -0.005, -0.064, -0.064, -24.17, -0.0019, -0.0012, -0.03, 1400.0, -0.023, -0.221, -0.0316, -1.92, 1.18, -106.57, 73.8, 130.26, 0.08, 64.68, 68.98, 96.34, -25.58, 20.06, 5.02, 0.0, -0.5, 2.1, -1.065, -5.46, -8.18, -9.34, -7.26, -0.98, 1.64, -5.02, -4.68, -0.0028, -0.0017, -0.0014, -3.67, 5.5, -2.0, -7.5, -98.7, 79.1, -0.0046, -0.0065, -0.0002, -17.25, 1.75, 0.0, 122.0, 337.0, 350.0, 3.42, 0.158, 0.03, -0.0078, -0.001, 55.42, 52.46, 45.44, 0.032, 0.052000000000000005, -0.3, -4.6, 5.81, 6.66, 12.51, -84.32, 13.15, -0.019, -0.2314, -0.023, -9.473333333, 3.9, -5.773333332999999, 0.2, 10.74, 4.08, 1.0, -0.031, 0.042, 0.12, 0.99, -0.063, 0.1, 15.62, -0.38, 0.045, 0.045, 0.045, -6.34, 6.69
2011-1-10, -5.39, -0.046, -0.0089, -1.95, -1.44, -1.97, -0.052000000000000005, -0.019, -0.04, -0.012, -0.173, -0.053, -521.63, -751.06, -0.023, 42.07, -9.19, 4.564285714, 0.35, 3.711428571, 3.742857143, -0.009000000000000001, -0.009000000000000001, -143.65, -76.1, -64.95, -138.7, -2.35, -1.88, -8.73, -17.77, 14.13, -9.08, -15.25, -12.26, 3.61, -21.37, -0.13, 0.08, 0.11, -0.011, -0.011, -0.071, -0.071, 4.2, 0.0001, -0.0021, -0.062, -610.0, -0.022, -0.0243, -0.0229, -0.35, -2.29, 11.19, -61.16, 12.74, 0.03, -7.06, -28.63, -32.02, -22.55, -34.29, -36.67, -2.3, -1.05, -1.8, -1.065, 1.19, -5.14, -3.88, -2.55, -1.19, -1.42, 8.39, -3.61, 0.0019, -0.0039, -0.0014, -3.59, -12.2, -2.9, 0.7, -142.0, -180.6, 0.0092, 0.0018, -0.0039, -7.0, -17.0, -5.25, 43.0, -157.0, -215.0, -55.1, 0.043, 0.145, 0.0034, 0.0004, 82.23, 55.42, 82.51, 0.011, 0.005, -1.0, 1.8, -3.105, -4.095, -6.815, -39.37, -83.54, 0.0342, -0.0029, -0.0311, -9.473333333, 3.9, -5.773333332999999, -14.53, -4.82, -4.95, -8.91, -0.0249, -0.0316, -0.17, -0.02, -0.449, -0.395, -20.37, -15.75, 0.043, 0.043, 0.043, -12.29, -16.91
2011-1-11, 7.51, -0.016, -0.0032, -1.09, -2.41, -0.68, 0.0265, -0.044, -0.24, -0.023, 0.0, -0.005, 69.84, -51.74, -0.035, -71.19, -104.14, 4.564285714, 0.35, 3.711428571, 3.742857143, -0.004, -0.004, -141.75, -129.6, -143.95, -142.65, -1.75, -3.57, 0.48, 11.96, -20.65, -21.01, -14.98, -3.89, -3.64, 5.89, 0.585, -0.18, -0.05, 0.011, 0.011, -0.041, -0.041, 2.85, -0.0037, 0.0013, 0.012, -1190.0, 0.1196, 0.033, -0.0138, 1.22, 0.82, -222.7, -77.91, -4.5, -0.01, -57.79, -61.55, -62.4, -37.31, -63.16, -32.77, 0.55, -1.35, 0.25, -4.54, 4.04, -2.23, 3.49, 2.08, 2.37, 1.01, 9.99, 10.55, 0.0015, -0.001, 0.0008, 3.75, 1.9, 5.2, -3.2, -122.9, -109.9, 0.0014, 0.0023, 0.0066, 12.0, 9.5, 2.25, -255.0, -313.0, -302.82, -103.1, 0.021, 0.047, 0.0009, 0.0017, 24.89, 82.8, 54.93, -0.0055, -0.0155, 5.3, 7.35, -3.105, -4.095, -6.815, -27.18, -34.27, 0.118, 0.0074, 0.057, -9.473333333, 3.9, -5.773333332999999, -18.42, -16.59, -15.84, -28.49, 0.0698, -0.0049, -0.42, -0.19, 0.19, 0.465, -11.5, -10.75, -0.073, -0.073, -0.073, -25.12, -50.06
2011-1-12, 6.63, 0.018000000000000002, 0.0031, 0.08, 3.56, 1.66, -0.0075, 0.001, 0.28, 0.08199999999999999, 0.054000000000000006, 0.016, 296.4, 478.91, -0.016, -40.97, 24.78, 4.564285714, 0.35, 3.711428571, 3.742857143, 0.04, 0.04, -8.75, -133.35, -64.65, -42.75, 4.73, 1.74, 7.44, -49.14, -36.6, -16.52, 11.79, 8.47, 10.43, 24.33, -0.13, 0.38, 0.24, 0.022, 0.022, 0.053, 0.053, -6.0, 0.0002, -0.002, 0.058, 1150.0, 0.0742, 0.0812, 0.0797, 1.86, 0.31, -349.35, -71.13, -4.5, 0.02, -31.35, 44.59, 24.32, 34.43, 58.24, 55.7, 3.45, 0.05, 0.3, 14.61, -11.51, 5.75, -2.51, -9.32, 1.91, 1.48, 1.33, 4.82, -0.0156, 0.0052, -0.0124, 3.18, 13.3, 10.3, 10.5, 144.3, 16.8, 0.0043, 0.0037, 0.0037, 0.0, 1.5, 6.25, -249.0, -55.0, -53.18, -80.91, -0.035, -0.008, -0.0013, -0.0011, 75.86, 24.32, 39.65, -0.0055, -0.0155, -1.5, -2.65, -2.21, 4.09, 6.39, 155.93, 126.44, -0.0999, 0.1214, 0.0052, 33.15, -21.94, 1.1, -4.64, -18.1, -16.9, 0.46, 0.0527, 0.049, 0.64, 0.05, 0.639, 0.51, -6.75, -6.12, -0.1, -0.1, -0.1, -13.56, 15.57
2011-1-13, -5.47, 0.05, 0.0056, 3.48, 3.11, 3.76, -0.1415, -0.002, 0.3, 0.05, 0.05, 0.108, 1209.46, 284.16, 0.03, 79.45, 97.98, 66.71, 31.96, 45.49, 45.9, 0.095, 0.095, 109.15, 32.1, 31.6, 13.1, 11.48, 3.07, 6.03, 28.31, 17.71, 17.79, 1.29, -7.31, 14.58, 15.74, -1.885, -0.11, -1.37, 0.075, 0.075, 0.027000000000000003, 0.027000000000000003, -10.96, -0.0031, -0.0046, 0.126, 300.0, -0.2473, -0.0449, -0.097, 0.75, 1.87, -65.5, -215.3, 35.0, -0.02, 101.55, 75.28, 103.25, 83.56, 57.98, 72.05, 5.9, 5.15, 4.85, 3.03, -4.53, -10.1, -9.2, -2.67, 0.51, 2.2, -5.74, -6.71, 0.0052, -0.015, -0.0036, 6.6, 6.5, 1.7, 1.0, 519.1, 191.3, 0.0155, 0.014, 0.0067, 24.0, 21.5, 2.0, 273.0, 751.0, 415.0, 5.03, -0.044, -0.07400000000000001, 0.0008, 0.0002, 22.14, 75.86, 55.25, 0.002, -0.002, -14.5, -4.9, 7.87, 6.55, 7.63, 59.16, 75.87, -0.1356, -0.0954, -0.1376, 15.9, 31.26, 38.97, 6.12, 6.48, 9.17, 6.66, 0.0098, 0.046, -0.27, 0.09, 0.042, 0.16, -8.75, 13.0, 0.077, 0.077, 0.077, 39.31, 14.18
2011-1-14, 18.69, 0.023, 0.0126, 2.99, -0.36, 0.04, -0.0155, -0.147, -1.89, -0.124, -0.051, -0.084, -911.46, 289.66, 0.005, 116.7, 77.59, 9.2, 66.71, -9.71, 8.12, -0.047, -0.047, -111.35, 50.7, -16.45, 25.4, -2.2, 10.13, 4.82, 18.74, 9.06, 22.74, -1.6, 9.16, 5.1, 4.82, 0.15, -1.91, -0.23, -0.019, -0.019, -0.068, -0.068, -0.26, -0.0039, 0.0009, -0.011, 600.0, -0.0408, -0.1932, -0.0989, -0.46, 0.82, 106.88, -277.21, 45.0, -0.04, 52.42, -4.72, 5.52, -23.54, -11.36, -7.3, -3.1, 3.95, 0.9, 1.78, 3.1, -5.16, 0.8, -1.01, -0.06, 0.02, 9.53, 6.2, 0.0005, 0.0053, 0.0046, -0.71, -0.2, 1.2, 7.0, 269.6, 500.8, 0.0067, 0.0104, 0.0139, 11.5, 12.5, 27.75, 881.0, 219.0, 658.0, 75.29, -0.106, -0.113, 0.0086, 0.0046, 7.03, 22.18, -12.27, -0.01, 0.013, 1.0, -11.6, 3.22, -2.37, -2.36, -58.73, 7.76, 0.0396, -0.14, -0.0024, 17.02, 20.62333333, 20.69333333, 15.57, 6.3, 7.16, 11.07, -0.0095, 0.013, -0.32, -0.26, -0.28, -0.98, 14.0, -2.75, 0.051, 0.051, 0.051, 12.58, 40.98
