@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Now numeric
@attribute CANADA_10_YEAR_Open numeric
@attribute EUR_USD_Now numeric
@attribute EUR_USD_Open numeric
@attribute EUR_USD_Low numeric
@attribute FTSE_Now_x numeric
@attribute FTSE_High_x numeric
@attribute IDR_KRW_Now numeric
@attribute IDR_KRW_Low numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Open numeric
@attribute CNY_KRW_High numeric
@attribute Brazil_Open numeric
@attribute Brazil_Low numeric
@attribute HONH_KONG_10_YEAR_High numeric
@attribute HONH_KONG_10_YEAR_Low numeric
@attribute DAX_High numeric
@attribute RTSI_Open numeric
@attribute RTSI_Low numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute MOEX_Low numeric
@attribute Nifty_Now numeric
@attribute Nifty_Open numeric
@attribute S&P_Now numeric
@attribute S&P_Open numeric
@attribute S&P_High numeric
@attribute Copper_Now numeric
@attribute Copper_Open numeric
@attribute Copper_High numeric
@attribute SANGHAI_Now numeric
@attribute SANGHAI_Open numeric
@attribute SANGHAI_High numeric
@attribute EUR_KRW_Now numeric
@attribute NASDAQ_Now numeric
@attribute NASDAQ_High numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_Open numeric
@attribute FRANCE_10_YEAR_Now numeric
@attribute FRANCE_10_YEAR_Open numeric
@attribute FRANCE_10_YEAR_Low numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_Open numeric
@attribute US_10_YEAR_Low numeric
@attribute CHF_KRW_Open numeric
@attribute CHF_KRW_High numeric
@attribute iBovespa_Open numeric
@attribute INR_KRW_Now numeric
@attribute INR_KRW_Open numeric
@attribute WTI_Low numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_High numeric
@attribute NIKKEI_Open numeric
@attribute NIKKEI_Low numeric
@attribute SOUTH_KOREA_10_YEAR_Now numeric
@attribute SOUTH_KOREA_10_YEAR_Open numeric
@attribute SOUTH_KOREA_10_YEAR_High numeric
@attribute SMI_Open numeric
@attribute SMI_Low numeric
@attribute DOWJONES_Open numeric
@attribute US_COFFEE_Open numeric
@attribute US_COFFEE_High numeric
@attribute OMXS_High numeric
@attribute AUD_KRW_Now numeric
@attribute AUD_KRW_Low numeric
@attribute EUR_GBP_Now numeric
@attribute EUR_GBP_Low numeric
@attribute BRENT_OIL_Open numeric
@attribute BRENT_OIL_High numeric
@attribute GBP_KRW_Now numeric
@attribute GBP_KRW_Open numeric
@attribute AUD_SGD_Now numeric
@attribute AUD_SGD_High numeric
@attribute AUD_SGD_Low numeric
@attribute Russell_Open numeric
@attribute Russell_High numeric
@attribute BRL_KRW_Now numeric
@attribute BRL_KRW_Low numeric
@attribute Gold_Now numeric
@attribute IBEX_Now numeric
@attribute GBP_USD_Now numeric
@attribute GBP_USD_Open numeric
@attribute GBP_USD_Low numeric
@attribute Corn_Open numeric
@attribute Corn_Low numeric
@attribute IDX_High numeric
@attribute IDX_Low numeric
@attribute SPAIN_10_YEAR_Now numeric
@attribute SPAIN_10_YEAR_Open numeric
@attribute SPAIN_10_YEAR_Low numeric
@attribute NZD_USD_Now numeric
@attribute CSE_Open numeric
@attribute CSE_Low numeric
@attribute JAPAN_10_YEAR_Now numeric
@attribute JAPAN_10_YEAR_Open numeric
@attribute CAD_KRW_Now numeric
@attribute CAD_KRW_Open numeric
@attribute CAD_KRW_High numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_Open numeric
@attribute USD_KRW_Low numeric
@attribute TA_Now numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute JPY_KRW_Now numeric
@attribute Tadawul_Now numeric
@attribute Tadawul_High numeric
@attribute Tadawul_Low numeric
@attribute SET_Open numeric
@attribute HEATING_OIL_Low numeric
@attribute ITALY_10_YEAR_Open numeric
@attribute ITALY_10_YEAR_Low numeric
@attribute USD_JPY_Open numeric
@attribute USD_JPY_High numeric
@attribute Silver_Now numeric
@attribute Silver_Low numeric
@attribute US_WHEAT_Now numeric
@attribute US_WHEAT_Open numeric
@attribute AUS_10_YEAR_Now numeric
@attribute AUS_10_YEAR_Open numeric
@attribute AUS_10_YEAR_Low numeric
@attribute BEL_Open numeric
@attribute BEL_Low numeric

@data
2009-1-2, 32.93, -0.185, -0.185, 0.0095, -0.0114, -0.005, 73.3, 79.8, 0.1235, -0.133, -0.11, -3.75, -3.53, 205.43, 427.06, -0.04, -0.04, 77.56, -1.64, -16.29, 4.05, 5.23, -7.49, 57.3, 65.4, 21.22, -1.79, 17.42, 0.01, -0.015, 0.006, -17.57, 5.61, 6.61, 7.33, 40.38, 19.78, -0.43, -4.75, 0.062, 0.062, 0.062, -0.048, -0.048, -0.048, -26.07, -18.72, 145.0, 0.0424, -0.4575, 0.4, 27.63, -54.29, -10.03, 64.35, -0.105, -0.105, -0.105, 112.1, 119.87, -28.36, -1.65, -1.35, 1.3, 2.79, -5.92, 0.0103, 0.0066, 1.02, -2.3, -12.25, -81.99, 0.001, -0.001, 0.0014, -7.78, 6.59, 11.26, 1.03, -5.3, 178.1, -0.0055, -0.0227, -0.0072, -21.5, -5.0, 8.425, 9.285, 0.023, 0.023, 0.023, -0.0004, -9.4, -19.82, -0.02, -0.025, -5.08, -28.4, -31.63, -3.45, -23.85, -13.75, 9.8, 7.96, 136.95, 195.97, 280.94, 0.0128, 80.5, 57.57, 34.04, 3.49, 0.0224, -0.006, -0.006, 0.02, 0.23, 0.172, 0.035, 12.75, -9.0, 0.045, 0.045, 0.045, 28.95, 18.4
2009-1-5, 16.17, 0.16899999999999998, 0.16899999999999998, -0.0193, 0.0047, -0.0078, 169.1, 155.7, 0.617, 0.713, 9.21, 11.6, 10.66, 480.75, 485.54, 0.038, 0.038, 164.32, -2.282857143, -0.6471428570000001, 5.064285714, 3.088571429, 4.595714286000001, 67.25, 112.05, 41.16, 32.41, 43.61, 0.13699999999999998, 0.16699999999999998, 0.134, 23.905, -1.445, 8.89, 61.43, 81.51, 85.33, 7.915, 0.0, -0.022, -0.022, -0.022, 0.305, 0.305, 0.305, -5.47, 52.54, 545.0, 1.2607, 0.2308, 3.12, 830.95, 785.32, 137.465, 142.205, -0.105, -0.105, -0.105, 0.01, 0.05, 284.74, 5.25, 4.05, 28.96, 66.93, 27.75, -0.0193, -0.0219, 3.05, 6.45, 100.99, 33.07, 0.0438, 0.0358, 0.0154, 31.17, 25.68, 28.45, 34.16, 9.5, 290.5, 0.0088, 0.0268, -0.0007, 11.75, 14.5, 38.17, 16.085, 0.021, 0.021, 0.021, 0.009000000000000001, 6.64, 23.9, 0.0175, 0.01, 55.14, 0.51, 58.25, 61.45, 77.45, 52.65, 19.38, 18.32, 306.57, 401.92, 326.62, 0.3714, 194.54, 207.695, 172.85, 5.99, 0.0956, -0.065, -0.065, 0.0, 1.43, 0.51, 0.31, 6.25, 16.0, -0.058, -0.058, -0.058, 42.48, 37.84
2009-1-6, 20.71, 0.063, 0.063, -0.0274, -0.0091, -0.0294, 17.8, 56.3, -0.083, -0.091, -1.02, 0.29, -1.53, 2693.09, 1975.39, 0.059, 0.059, 60.12, -2.282857143, -0.6471428570000001, 5.064285714, 3.088571429, 4.595714286000001, 74.7, 24.15, -4.35, 26.18, 1.9, -0.002, -0.021, 0.004, 23.905, -1.445, 8.89, -44.23, -4.18, 4.43, -0.795, 7.01, 0.078, 0.078, 0.078, 0.124, 0.124, 0.124, 34.1, -13.42, 2505.0, -0.2883, 1.4893, 4.51, -12.1, 181.48, 137.465, 142.205, -0.01, -0.01, -0.01, 205.43, 182.46, 254.88, -0.95, -0.45, 8.51, 5.34, 34.16, -0.0298, -0.0208, 4.35, 2.72, 13.91, 56.95, 0.0179, 0.0207, 0.0273, 6.05, -0.22, 19.07, -0.19, -21.6, 157.8, 0.0174, -0.0177, 0.0053, 8.25, 2.5, 38.17, 16.085, 0.035, 0.035, 0.035, 0.0014, 75.44, 55.18, 0.0175, 0.01, 18.33, 56.56, 15.16, -6.0, 3.5, 1.0, 19.38, 18.32, 281.19, 137.74, 197.85, -0.24, 194.54, 207.695, 172.85, 5.99, 0.1133, 0.015, 0.015, 1.42, 1.17, -0.22, -0.27, 5.75, 6.75, 0.305, 0.305, 0.305, 62.14, 45.38
2009-1-7, 33.89, -0.023, -0.023, -0.0095, -0.0291, -0.0234, 59.3, 57.6, -0.0545, -0.07200000000000001, -0.68, -5.06, 0.65, 1276.67, 1994.37, 0.15, 0.15, 76.17, -2.282857143, -0.6471428570000001, 5.064285714, 3.088571429, 4.595714286000001, -8.65, 62.75, 7.25, 2.0, 7.22, 0.124, 0.063, 0.119, 56.42, 29.81, 57.97, -16.74, 24.35, 25.17, -0.42, -0.99, 0.158, 0.158, 0.158, -0.035, -0.035, -0.035, -40.19, -40.18, 1690.0, -0.0788, -0.8540000000000001, 2.04, -233.45, 6.23, 138.8, 42.58, 0.04, 0.04, 0.04, 44.63, 34.96, -72.56, -2.4, 5.1, 0.13, 5.72, -0.12, -0.0207, -0.021, 0.6, 2.16, 25.43, 9.13, 0.0075, 0.0105, 0.0079, 1.6, 10.77, 16.77, 20.59, 8.2, 79.9, 0.0228, 0.0157, 0.0076, -2.0, 5.25, 24.43, 52.65, 0.14400000000000002, 0.14400000000000002, 0.14400000000000002, 0.0108, -17.49, -15.96, 0.055, 0.03, 3.91, 9.38, 9.16, -3.0, -9.2, -0.9, 22.95, 12.39, 176.73, 132.8, 169.55, -0.0868, 109.38, 76.97, 140.51, 22.61, 0.0884, 0.132, 0.132, 1.15, 1.05, 0.175, -0.01, 26.75, 2.0, 0.033, 0.033, 0.033, 4.37, 9.3
2009-1-8, -22.47, 0.062, 0.062, 0.0124, -0.0082, 0.0118, -131.4, -36.8, 0.043, -0.021, -2.74, -0.17, -4.93, 788.2, -956.64, 0.019, 0.019, -100.05, -2.282857143, -0.6471428570000001, 5.064285714, 3.088571429, 4.595714286000001, -192.4, -8.7, -28.05, -3.72, -16.4, -0.07200000000000001, 0.058, -0.02, -13.13, 60.14, 9.54, -10.18, -53.32, -40.26, -2.47, -0.29, 0.038, 0.038, 0.038, 0.048, 0.048, 0.048, -6.12, -10.73, -440.0, -0.56, -0.0165, -5.19, -887.9, -497.06, 3.79, 76.11, 0.05, 0.05, 0.05, -0.74, 0.38, 42.37, 7.5, 0.5, 0.13, -28.83, -3.97, -0.0029, -0.0058, 1.73, -0.81, -4.83, 29.22, -0.0156, -0.0016, 0.0043, 3.16, -8.68, -35.9, -9.51, -24.3, -154.0, 0.0185, 0.0248, 0.0301, 14.0, 6.0, 9.83, -15.95, 0.014, 0.014, 0.014, -0.0106, -11.5, 5.61, -0.005, 0.02, -29.05, 3.42, -14.93, -19.3, -29.5, -17.6, -8.32, 7.91, -46.9, -33.63, -185.27, -0.0392, 32.49, 53.03, 73.15, -4.2, -0.0265, -0.013, -0.013, 0.15, -0.49, -0.34, 0.015, -30.25, 26.5, -0.043, -0.043, -0.043, -16.25, -4.17
2009-1-9, -24.74, -0.052000000000000005, -0.052000000000000005, 0.0093, 0.0122, 0.0103, -2.1, -124.2, 0.121, 0.211, 5.42, 0.45, 5.83, -1488.9, -312.86, -0.103, -0.103, -93.35, -2.282857143, -0.6471428570000001, 5.064285714, 3.088571429, 4.595714286000001, -23.7, -96.425, 3.08, -21.72, -17.45, -0.031, -0.062, -0.051, -45.83, -48.73, -54.06, 62.96, 17.95, -8.36, 4.725, -1.86, -0.091, -0.091, -0.091, -0.053, -0.053, -0.053, 2.83, 38.51, -700.0, 0.8863, -0.0437, -1.87, -162.11, -875.91, 9.41, -229.63, -0.11, -0.11, -0.11, -80.49, -52.58, -227.0, -2.3, -0.8, -3.08, 28.01, 0.0, -0.0017, -0.0071, -4.51, -4.04, 74.06, 4.68, 0.0051, -0.0138, -0.0127, -14.07, -8.31, 10.54, 1.94, 12.8, -100.5, 0.0133, 0.0204, 0.0178, -10.75, -7.5, -61.53, -26.05, -0.066, -0.066, -0.066, 0.0057, 0.6, -8.79, 0.05, 0.04, 49.99, -22.28, 24.14, 37.3, 16.35, 24.25, -17.44, -16.75, -287.4, -248.02, -83.55, 0.6472, -56.56, -53.21333333, -52.5, -21.69, -0.0375, -0.073, -0.073, -0.64, -1.22, -0.008, 0.14, -0.75, -31.25, -0.11, -0.11, -0.11, -16.0, -24.43
2009-1-12, -24.21, -0.069, -0.069, -0.0287, 0.0059, -0.0118, -56.9, 20.1, 0.16899999999999998, 0.054000000000000006, 2.69, 5.28, 1.83, 1172.4, 930.92, -0.05, -0.05, 15.04, -2.282857143, -0.6471428570000001, 5.064285714, 3.088571429, 4.595714286000001, -23.7, -96.425, -19.38, 4.18, 1.93, 0.083, -0.02, 0.051, 26.68, -15.08, 15.18, -13.78, -45.42, 0.25, 2.37, 4.56, -0.105, -0.105, -0.105, -0.052000000000000005, -0.052000000000000005, -0.052000000000000005, 40.08, 7.62, 710.0, 0.6414, 0.6501, -1.16, -214.11, -76.6, -210.5, -103.22, 0.12, 0.12, 0.12, 56.02, -31.11, -31.14, 0.35, 3.1, -5.46, 0.1, 18.17, -0.0151, -0.0051, -0.79, -1.69, 18.64, 67.01, -0.0089, 0.0013, 0.005, 5.8, 0.12, 19.44, 4.15, 0.4, -91.0, -0.0075, 0.0091, 0.0134, -5.5, 1.75, 5.74, 7.22, -0.075, -0.075, -0.075, 0.0006, -7.67, -11.64, -0.005, 0.025, 2.59, 43.46, 8.95, 18.5, 18.35, 11.35, 3.37, 2.33, 162.36, 43.44, 36.47, 0.3244, -56.56, -53.21333333, -52.5, 6.64, -0.0595, -0.047, -0.047, -1.35, -1.27, 0.223, 0.255, 17.0, 3.5, -0.02, -0.02, -0.02, 4.27, 9.29
2009-1-13, 10.96, -0.052000000000000005, -0.052000000000000005, -0.0069, -0.0236, -0.0128, -22.3, -63.5, -0.0705, 0.189, 0.85, 2.44, 3.11, -406.88, -1836.09, -0.022, -0.022, -140.7, -2.282857143, -0.6471428570000001, 5.064285714, 3.088571429, 4.595714286000001, -99.9, -51.1, -20.09, -19.51, -21.53, -0.071, 0.105, 0.02, -4.51, 22.54, 15.09, -0.2, -32.8, -43.8, 0.825, 2.18, -0.015, -0.015, -0.015, -0.084, -0.084, -0.084, -6.11, -8.16, -670.0, -0.1928, 0.6437, -1.9, -579.02, -295.72, -100.04, -183.85, 0.05, 0.05, 0.05, -96.45, -59.83, -139.54, 2.7, -0.65, -10.12, -26.49, -19.38, 0.0165, 0.0025, -0.66, -0.97, -37.55, 14.15, -0.0308, -0.0136, -0.0261, -21.02, -21.1, -13.9, 6.53, -34.0, -178.6, -0.0341, -0.0089, -0.0304, 3.0, -26.75, -5.44, -3.1, 0.056, 0.056, 0.056, -0.023, -10.15, 4.14, -0.03, -0.045, -17.99, 7.99, 12.31, 6.05, 27.95, 27.55, 3.37, 2.33, -285.33, -182.33, -301.58, 0.2672, -56.56, -53.21333333, -52.5, -4.23, 0.0014, 0.043, 0.043, -1.25, -1.4, -0.57, -0.565, -59.75, 16.0, -0.006999999999999999, -0.006999999999999999, -0.006999999999999999, -6.06, 6.33
2009-1-14, 14.97, -0.034, -0.034, -0.0175, -0.0113, -0.0145, -27.1, -45.1, -0.07400000000000001, -0.13699999999999998, -0.01, 0.46, 1.72, -2187.74, -722.15, 0.01, 0.01, -87.45, 1.35, -10.12, 1.88, 17.88, 8.81, -28.15, -93.85, 1.53, -20.61, -13.38, 0.057, -0.15, -0.035, -36.98, -16.83, -36.13, -24.64, 7.67, -15.51, -0.125, 0.54, 0.033, 0.033, 0.033, -0.012, -0.012, -0.012, 2.6, 13.42, -2040.0, -0.185, 0.317, -1.38, -114.97, -458.89, -100.04, -183.85, 0.03, 0.03, 0.03, -88.74, -136.16, -124.65, -2.7, -2.0, -17.86, -22.58, -25.83, 0.0081, 0.0122, -1.47, 0.89, -45.5, -38.95, -0.0249, -0.025, -0.0325, -13.02, -4.8, -1.31, -0.5, -0.2, -142.6, -0.0327, -0.0327, -0.0344, -38.0, -19.0, 1.45, 0.14, 0.062, 0.062, 0.062, -0.0192, 1.54, 3.4, -0.03, -0.045, -8.83, -25.95, -13.47, -0.55, 18.95, 0.35, -2.51, -5.35, -126.15, -99.03, 41.75, -0.006999999999999999, -72.84, -32.13, -64.14, -11.22, 0.0132, 0.023, 0.023, -0.67, -0.37, -0.07, -0.015, 1.0, -62.75, -0.158, -0.158, -0.158, -0.19, -14.92
2009-1-15, -71.34, -0.17, -0.17, -0.0034, -0.0171, -0.005, -218.5, 0.3, 0.0275, -0.034, -0.02, 0.65, -4.05, 140.22, -964.91, -0.054000000000000006, -0.054000000000000006, -33.67, -7.2, -19.43, -44.8, 1.88, -31.76, 90.35, -26.6, -29.17, -2.51, -9.74, -0.059, 0.052000000000000005, -0.063, 65.5, -18.56, 40.97, -3.86, -56.82, -29.3, -0.015, 0.44, -0.055, -0.055, -0.055, -0.091, -0.091, -0.091, -2.06, -26.26, 350.0, 0.1622, -0.4422, -0.58, -678.07, -238.29, -306.88, -46.34, -0.13, -0.13, -0.13, 15.66, -122.65, -28.6, 1.75, -0.2, -5.83, -6.77, -0.29, -0.0063, -0.0008, 1.98, 0.41, 9.01, -36.15, -0.0038, -0.0039, 0.0033, 1.43, -6.79, -11.35, -10.04, -11.9, -364.6, 0.0072, -0.0314, 0.0016, -8.25, -3.0, 3.38, -9.1, -0.033, -0.033, -0.033, -0.0096, 21.23, 21.925, 0.025, 0.03, -20.9, -2.16, -23.53, 0.0, -29.0, -8.0, -21.11, -13.24, 37.45, -24.6, -184.7, 0.0068, -144.37, -72.84, -97.91, -8.0, -0.0344, 0.013, 0.013, -0.1, 0.08, -0.203, -0.34, 3.5, 7.75, 0.035, 0.035, 0.035, 8.41, -70.79
2009-1-16, 23.86, 0.044, 0.044, -0.0008, -0.0006, -0.0066, -59.5, -227.1, 0.32299999999999995, 0.152, 5.65, 0.0, 5.62, -1544.81, -852.5, 0.053, 0.053, -219.52, -33.39, -27.06, -4.67, -44.8, -9.58, -98.6, 83.9, 1.12, -25.29, -15.69, -0.035, -0.002, 0.01, -8.66, 50.46, 8.45, 49.47, 22.2, -7.07, 4.96, 0.01, -0.04, -0.04, -0.04, 0.005, 0.005, 0.005, 2.17, 36.52, -1475.0, 0.6525, -0.001, -2.32, -88.74, -553.27, -116.37, -361.43, 0.15, 0.15, 0.15, -167.92, 0.73, -249.77, -0.8, -1.0, -28.26, 33.98, 2.72, -0.0062, -0.0029, -0.11, 1.2, 69.41, 14.48, 0.0094, -0.0108, -0.0023, -16.2, -4.47, 19.24, 1.62, -1.5, -81.6, 0.0082, 0.0107, -0.001, 1.75, 1.0, -57.36, -53.96, 0.085, 0.085, 0.085, -0.0023, 21.23, 21.925, -0.055, -0.005, 28.31, -21.67, 8.36, 39.0, 8.5, 13.6, 6.16, -7.63, -133.03, -81.94, -137.66, 0.3149, -92.95, -137.07, -105.10666670000002, -9.98, 0.0059, -0.002, -0.002, -0.22, 0.06, -0.032, 0.01, -5.5, -1.75, -0.132, -0.132, -0.132, -96.14, -40.72
2009-1-19, 15.45, 0.024, 0.024, 0.015, -0.0057, 0.0084, 26.0, 52.3, -0.3595, 0.017, -5.87, 2.87, -1.53, 1156.84, 1772.59, 0.059, 0.059, 23.54, -18.43, 1.18, 2.94, -4.67, 3.04, 91.75, -95.3, 6.38, 2.46, 6.54, 0.076, 0.075, 0.063, 34.23, 16.15, 47.0, -32.25, 17.49, 17.24, -5.105, 4.86, 0.115, 0.115, 0.115, 0.131, 0.131, 0.131, 25.94, -9.33, 1925.0, -0.6759999999999999, 0.3113, 0.98, 44.9, 189.14, -184.18, 69.74, 0.15, 0.15, 0.15, 81.32, 99.18, 19.43, 0.5, 1.85, 2.87, -15.57, 6.18, 0.0049, -0.0104, 3.03, 1.92, -46.66, 61.51, 0.0082, 0.0079, 0.0106, 9.57, 2.75, -13.8, 3.47, 32.6, 9.0, 0.0089, 0.0041, 0.0154, -1.25, 5.5, 5.18, 16.1, 0.078, 0.078, 0.078, 0.012, 52.62, 43.85, 0.01, -0.02, -29.02, 27.35, -9.27, -40.0, 23.0, 1.6, 1.495, 7.315, 351.37, 156.83, 263.45, -0.5982, -92.95, -137.07, -105.10666670000002, -1.18, 0.0241, -0.004, -0.004, 0.82, 0.89, 0.775, 0.62, 9.5, -4.75, 0.115, 0.115, 0.115, -1.68, 12.07
2009-1-20, -23.84, 0.0, 0.0, -0.0192, 0.02, -0.001, -38.6, 0.2, 0.0535, -0.108, 1.15, -3.16, -1.34, 201.96, 121.68, -0.027000000000000003, -0.027000000000000003, -22.29, -2.92, -33.8, -21.66, 2.94, -23.22, 17.75, 91.7, -22.45, 2.595, -4.245, -0.012, -0.01, -0.009000000000000001, 32.23, 42.08, 33.78, -16.76, -44.235, -8.485, 0.98, -5.14, 0.015, 0.015, 0.015, 0.111, 0.111, 0.111, -26.31, -11.86, -400.0, 0.2235, -0.3227, -0.74, 68.02, -209.29, 193.06, 154.37, -0.06, -0.06, -0.06, -0.74, -110.55, 31.98, -0.175, -0.575, 1.82, 1.38, 8.26, 0.0046, 0.0119, -1.7, -2.62, -27.98, -33.3, -0.0002, 0.0077, 0.0084, 0.82, -1.635, 0.12, -3.22, 7.65, -125.3, -0.0286, 0.0185, -0.0189, 11.875, 5.5, 11.49, -3.32, 0.044, 0.044, 0.044, -0.0155, 21.08, 29.85, 0.03, 0.06, 0.96, -23.68, -5.15, 7.5, -21.0, -12.7, 1.495, 7.315, -217.79, -116.04, 73.31, 0.0885, -92.95, -137.07, -105.10666670000002, 9.29, -0.039, 0.021, 0.021, 1.24, 0.33, -0.0185, 0.1025, -14.125, 5.375, 0.092, 0.092, 0.092, 0.06, -29.97
2009-1-21, -23.2, 0.059, 0.059, -0.0223, -0.0237, -0.0244, -17.1, -67.6, 0.07200000000000001, 0.078, 1.23, 0.84, 1.79, -523.04, -1428.04, 0.024, 0.024, -70.46, -34.6, -22.39, -17.15, -21.66, -23.49, -49.6, 14.2, -22.45, 2.595, -4.245, -0.012, -0.01, -0.009000000000000001, 7.44, 10.15, -23.7, -17.68, -44.235, -8.485, 1.21, 0.73, 0.019, 0.019, 0.019, -0.071, -0.071, -0.071, -14.06, -10.04, -1170.0, -0.1064, 0.3754, -0.74, -1180.39, -82.41, -131.12, -259.38, 0.03, 0.03, 0.03, -83.4, -4.74, 31.98, -0.175, -0.575, -11.19, -24.73, -25.91, 0.0198, 0.0083, -1.7, -0.86, -61.55, -43.27, -0.0252, -0.0112, -0.0226, 0.82, -1.635, -1.23, -1.31, 7.65, -218.3, -0.0557, -0.0375, -0.0581, 11.875, 5.5, -31.22, -21.39, 0.068, 0.068, 0.068, -0.0181, 90.46, 90.46, -0.035, -0.005, -4.14, -4.54, -4.46, 9.5, 17.4, 17.2, 0.37, -4.54, 3.53, -51.1, -321.41, 0.2655, -112.19, -12.01, -262.29, -7.86, -0.039, 0.104, 0.104, -0.57, -0.27, -0.0185, 0.1025, -14.125, 5.375, -0.055, -0.055, -0.055, -36.34, -25.63
2009-1-22, 12.62, 0.056, 0.056, 0.0152, -0.0183, -0.003, -31.5, -71.5, -0.0555, 0.045, 0.04, 1.73, -0.36, -1549.07, 7.18, 0.005, 0.005, -68.42, -17.56, -2.63, 13.57, -17.15, -8.16, -90.45, -65.5, 35.02, -42.87, -7.92, -0.071, -0.065, -0.064, -9.09, -15.21, 13.1, 21.44, 66.21, -14.33, -0.03, 0.92, 0.024, 0.024, 0.024, 0.16399999999999998, 0.16399999999999998, 0.16399999999999998, -7.57, -12.88, -730.0, -0.0001, -0.2053, 7.54, 284.08, -810.64, -237.18, -133.16, -0.03, -0.03, -0.03, -121.62, -65.12, -330.46, -0.15, 1.65, -7.24, 22.19, 0.04, 0.0056, 0.0216, -0.71, 0.12, 9.66, -62.86, 0.0175, -0.0101, -0.0035, -28.68, -7.05, 9.62, 3.5, -5.0, -45.8, 0.0078, -0.0537, -0.024, -6.75, 1.75, -9.24, -9.3, -0.008, -0.008, -0.008, 0.0104, 69.86, -25.41, 0.01, -0.03, 10.16, -5.5, -9.3, 0.0, 1.1, 5.9, -20.11, -17.15, -293.37, -105.78, -94.2, 0.0555, 12.51, -55.73, 74.77, -0.73, -0.0224, 0.017, 0.017, -0.82, -0.81, 0.157, -0.06, 21.75, -26.0, 0.07, 0.07, 0.07, -65.14, -46.02
2009-1-23, -22.83, 0.011, 0.011, -0.0055, 0.0144, 0.0082, -7.7, 41.1, 0.039, 0.002, 0.7, -0.19, -0.78, 1263.32, -23.76, 0.031, 0.031, 54.78, 15.99, 8.62, -25.82, 13.57, 7.71, 7.65, -62.7, -12.74, 32.97, -1.98, -0.038, -0.028, -0.031, 19.93, 30.15, 1.94, -1.05, -41.58, -15.05, 0.565, 0.49, 0.12, 0.12, 0.12, 0.053, 0.053, 0.053, -1.48, -11.31, 1300.0, 0.1105, -0.0444, 0.17, -190.37, 35.47, 38.34, -19.41, -0.04, -0.04, -0.04, 111.07, 58.63, 275.26, 2.75, 2.4, 7.74, -8.41, 11.01, 0.0051, 0.005, 1.23, 0.88, -10.27, 15.0, -0.0121, -0.0019, 0.0018, 20.39, -1.24, 5.96, 8.87, 8.6, -71.4, -0.012, 0.0064, 0.006999999999999999, 7.5, 0.5, 1.87, 3.35, 0.055, 0.055, 0.055, -0.006999999999999999, -90.14, 4.45, 0.005, 0.005, 5.17, 11.84, 5.06, 4.3, -3.6, -3.3, -12.44, -11.48, 44.66, -5.63, 80.4, 0.158, 77.56333333, 67.71, 112.8033333, 5.18, -0.0403, 0.211, 0.211, -0.75, -0.61, 0.042, 0.23, -5.0, 19.0, 0.1, 0.1, 0.1, 55.19, 52.01
