@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Now numeric
@attribute CANADA_10_YEAR_Open numeric
@attribute CANADA_10_YEAR_High numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute EUR_USD_Low numeric
@attribute FTSE_Now_x numeric
@attribute FTSE_High_x numeric
@attribute FTSE_Low_x numeric
@attribute IDR_KRW_Now numeric
@attribute IDR_KRW_Open numeric
@attribute IDR_KRW_Low numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_High numeric
@attribute CNY_KRW_Low numeric
@attribute GAS_Open numeric
@attribute GAS_Low numeric
@attribute Brazil_Low numeric
@attribute HONH_KONG_10_YEAR_Now numeric
@attribute HONH_KONG_10_YEAR_Low numeric
@attribute RTSI_High numeric
@attribute RTSI_Low numeric
@attribute MOEX_Now numeric
@attribute MOEX_Low numeric
@attribute UK_10_YEAR_Now numeric
@attribute UK_10_YEAR_High numeric
@attribute UK_10_YEAR_Low numeric
@attribute Nifty_Now numeric
@attribute Nifty_Open numeric
@attribute S&P_Open numeric
@attribute S&P_High numeric
@attribute S&P_Low numeric
@attribute Copper_Open numeric
@attribute SANGHAI_Low numeric
@attribute EUR_KRW_Now numeric
@attribute EUR_KRW_Open numeric
@attribute EUR_KRW_Low numeric
@attribute NASDAQ_Now numeric
@attribute NASDAQ_High numeric
@attribute NASDAQ_Low numeric
@attribute HKD_KRW_Low numeric
@attribute FRANCE_10_YEAR_Open numeric
@attribute FRANCE_10_YEAR_High numeric
@attribute US_10_YEAR_Open numeric
@attribute CHF_KRW_Open numeric
@attribute USD_CAD_Open numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_High numeric
@attribute iBovespa_Low numeric
@attribute INR_KRW_Now numeric
@attribute INR_KRW_High numeric
@attribute INR_KRW_Low numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_Open numeric
@attribute S&P_BMV_High numeric
@attribute S&P_BMV_Low numeric
@attribute NIKKEI_Now numeric
@attribute NIKKEI_Open numeric
@attribute NIKKEI_Low numeric
@attribute SOUTH_KOREA_10_YEAR_Low numeric
@attribute DOWJONES_Now numeric
@attribute DOWJONES_Open numeric
@attribute DOWJONES_High numeric
@attribute US_COFFEE_Open numeric
@attribute OMXS_Now numeric
@attribute OMXS_High numeric
@attribute AUD_KRW_Now numeric
@attribute AUD_KRW_Open numeric
@attribute EUR_GBP_Now numeric
@attribute EUR_GBP_Low numeric
@attribute BRENT_OIL_Now numeric
@attribute BRENT_OIL_Low numeric
@attribute GBP_KRW_Low numeric
@attribute AUD_SGD_Open numeric
@attribute AUD_SGD_High numeric
@attribute AUD_SGD_Low numeric
@attribute Russell_Now numeric
@attribute Russell_Open numeric
@attribute Russell_Low numeric
@attribute BRL_KRW_Open numeric
@attribute BRL_KRW_Low numeric
@attribute Gold_Now numeric
@attribute Gold_Open numeric
@attribute Gold_High numeric
@attribute Gold_Low numeric
@attribute IBEX_Low numeric
@attribute GBP_USD_Open numeric
@attribute GBP_USD_Low numeric
@attribute Corn_Now numeric
@attribute Corn_Open numeric
@attribute FTSE_Now_y numeric
@attribute IDX_Low numeric
@attribute SPAIN_10_YEAR_Open numeric
@attribute SPAIN_10_YEAR_High numeric
@attribute SPAIN_10_YEAR_Low numeric
@attribute NZD_USD_Low numeric
@attribute JAPAN_10_YEAR_Now numeric
@attribute JAPAN_10_YEAR_High numeric
@attribute JAPAN_10_YEAR_Low numeric
@attribute CAD_KRW_High numeric
@attribute CAD_KRW_Low numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_Open numeric
@attribute USD_KRW_Low numeric
@attribute TA_Now numeric
@attribute TA_High numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute JPY_KRW_Now numeric
@attribute JPY_KRW_Low numeric
@attribute Tadawul_Open numeric
@attribute Tadawul_High numeric
@attribute SET_Now numeric
@attribute SET_Open numeric
@attribute HEATING_OIL_Open numeric
@attribute HEATING_OIL_High numeric
@attribute ITALY_10_YEAR_Now numeric
@attribute ITALY_10_YEAR_High numeric
@attribute Silver_Now numeric
@attribute Silver_Low numeric
@attribute US_WHEAT_Low numeric
@attribute AUS_10_YEAR_Now numeric
@attribute BEL_Now numeric
@attribute BEL_High numeric

@data
2011-1-3, 19.08, -0.005, -0.009000000000000001, -0.07400000000000001, 0.0, 0.013, -25.35, -11.2, -10.5, -0.1635, 0.057, -0.114, -1.46, -0.33, -1.47, 0.019, 0.019, 897.08, -0.071, -0.071, -3.98, -0.44, 10.31, 8.8, -0.08900000000000001, -0.08900000000000001, -0.08900000000000001, 41.5, 57.2, 0.66, -1.51, -2.46, 0.059, 3.06, -13.09, 16.2, 1.34, -3.95, -0.12, -2.68, -1.67, -0.062, -0.062, 0.012, 11.03, 0.0001, 158.0, 470.0, 730.0, -0.2785, -0.0492, -0.1335, 12.94, 83.31, 112.33, 72.62, -115.62, 30.0, -94.5, -0.07, -15.67, 13.09, -40.6, -0.1, -9.54, -0.31, -16.45, 12.65, 0.0084, 0.0015, -1.05, -1.28, -19.32, 0.0028, 0.0005, -0.0067, -0.52, 0.0, -0.6, 7.63, -1.04, -7.5, 10.4, 1.6, 0.2, -41.8, 0.0122, 0.0017, -8.0, 0.5, -297.72, 28.94, -0.133, -0.071, -0.041, 0.0117, -0.044, -0.026, -0.029, -2.39, -9.37, -15.55, 2.85, -13.35, -4.36, -0.01, -14.76, 36.6, 43.83, -0.1768, -0.0587, 19.725, 21.72, -1.83, 3.17, -0.0005, 0.0026, -0.008, -0.008, -0.191, 0.085, -9.62, -0.08, -20.78, 4.97
2011-1-4, 15.06, -0.0105, -0.017, -0.003, -0.018000000000000002, 0.0039, 21.43, 20.85, 8.5, -0.063, -0.3, -0.11, -0.62, -1.5, -0.86, 0.182, 0.256, 364.59, -0.035, -0.035, 4.564285714, 0.948571429, 3.711428571, 1.957142857, -0.0075, -0.0075, -0.0075, 55.75, 115.1, -1.82, 15.08, 1.3, 0.065, 42.785, -0.67, -19.93, -5.04, 28.54, 33.75, 14.51, -0.92, -0.029, -0.029, -0.033, -13.28, -0.0058, 632.0, 905.0, 365.0, -0.0254, -0.0651, -0.1142, 362.66, 322.05, 492.99, 353.08, 84.59, 11.5, 65.5, 0.05, 101.04, -8.4, 136.46, 0.2, 21.28, 11.41, -7.53, -22.59, 0.0013, 0.0023, 1.75, 2.16, -0.71, -0.0056, -0.0064, 0.0007, 8.82, 1.2, 0.0, -8.2, 0.95, 17.0, 1.8, 10.1, 10.6, -8.3, 0.0071, 0.0067, 4.5, 3.25, 262.99, 15.41, 0.07, 0.028, -0.002, 0.0063, 0.0235, 0.006, 0.0015, -7.72, -1.02, -6.3, -25.5, -8.0, 8.59, 9.14, -16.05, 40.29, 18.17, -0.1008, -0.0507, 19.725, 21.72, 4.825, 3.785, 0.0229, 0.0572, -0.076, -0.076, 0.608, 0.6709999999999999, 16.25, -0.044, 41.17, 17.76
2011-1-5, -2.59, -0.0105, -0.017, -0.003, -0.018000000000000002, 0.004, 21.43, 20.85, 8.5, 0.015, 0.07, 0.016, -0.32, -0.87, -0.69, 0.135, 0.066, 255.25, -0.049, -0.049, 4.564285714, 0.948571429, 3.711428571, 1.957142857, -0.0075, -0.0075, -0.0075, -11.25, -4.7, 15.33, -2.05, 5.04, -0.008, 42.785, -4.21, 6.31, 0.55, -10.27, -3.98, -12.7, -0.13, -0.039, -0.039, 0.004, 6.12, -0.0013, 408.0, -300.0, 160.0, -0.1466, -0.1229, -0.2471, -63.64, 52.93, -155.93, -81.77, 84.59, 11.5, 65.5, 0.06, 20.43, 93.47, 16.04, 0.3, -10.97, 4.56, -11.13, -0.84, -0.0088, -0.0016, -1.31, -1.92, -3.8, -0.0031, -0.0055, -0.0118, -12.73, 8.3, -11.7, 7.1, -4.07, -44.1, -6.0, -13.0, -37.9, -51.1, -0.0085, 0.0021, -12.0, -6.25, 110.75, 20.03, -0.06, -0.055, -0.075, -0.0086, 0.0235, 0.006, 0.0015, -4.68, -7.04, 0.85, 4.95, -0.55, -1.78, -3.28, -16.05, 40.29, 18.17, -0.0408, -0.1493, 20.31, 21.69, 4.825, 3.785, 0.0126, -0.0158, -0.182, -0.182, -1.604, -1.631, -9.75, -0.044, 16.02, 25.92
2011-1-6, -4.94, 0.141, 0.049, 0.123, 0.03, -0.0168, 29.99, -5.64, -17.8, -0.0195, 0.004, 0.033, -0.61, 0.54, 0.18, -0.016, -0.11, 241.79, -0.015, -0.015, 4.564285714, 0.948571429, 3.711428571, 1.957142857, 0.086, 0.086, 0.086, -66.55, -31.4, -4.17, 3.51, 2.7, -0.079, 14.19, -20.08, -6.36, -18.71, 20.95, 1.32, 8.25, 0.4, 0.053, 0.053, 0.125, -19.47, 0.0048, 684.0, 780.0, 165.0, -0.268, -0.1146, -0.0978, 154.08, -63.64, -21.73, -132.8, -17.33, 43.0, 40.0, 0.02, 31.71, 17.86, 8.78, -4.9, -14.08, -14.47, -8.64, -13.23, -0.0059, -0.0054, 1.97, -0.21, 5.62, -0.013, -0.0102, -0.005, 9.26, -15.3, 5.2, -5.68, -2.0, -5.1, -26.2, -26.9, -11.6, -200.1, 0.0101, -0.0003, 10.75, -11.0, 4.55, 4.44, -0.073, -0.083, -0.051, -0.008, -0.001, 0.009000000000000001, 0.027000000000000003, 0.8, 3.39, -2.0, -0.3, 3.0, -0.91, -3.56, -6.32, -165.02, -129.95, -0.2251, -0.1442, 23.3, 8.0, 8.37, 1.89, -0.0515, -0.0187, 0.0, 0.0, -0.319, -0.745, -6.75, 0.008, -16.29, -15.7
2011-1-7, 8.59, -0.05, 0.093, -0.04, 0.08, -0.0128, -24.35, 45.44, 40.8, -0.0225, -0.018000000000000002, -0.065, -0.34, -0.63, -0.91, -0.125, -0.067, 667.46, 0.07, 0.07, 4.564285714, 0.948571429, 3.711428571, 1.957142857, -0.022, -0.022, -0.022, -31.55, -34.35, 7.51, 0.54, 5.07, 0.061, -7.35, -16.29, -20.28, -14.64, 7.69, 10.15, 25.84, -0.68, -0.005, -0.005, -0.064, -22.9, -0.0019, -536.0, 230.0, 690.0, -0.023, -0.221, -0.0316, -106.57, 154.08, 73.8, 194.16, 148.99, 126.0, 141.0, 0.08, -25.58, 28.17, 20.06, -0.5, 3.825, -1.065, -5.46, -8.18, -0.0068, -0.006999999999999999, -0.98, 1.64, -4.68, -0.0017, -0.0031, -0.0014, -3.67, 11.3, 5.5, -6.17, -7.52, -2.0, -8.6, -7.5, 4.7, 79.1, -0.0066, -0.0002, -17.25, 9.75, 85.81, -8.34, -0.019, 0.095, 0.03, -0.001, 0.063, 0.051, 0.052000000000000005, -5.2, -0.7, -0.3, -3.0, -5.6, 3.65, 6.66, -84.32, 42.23, 13.15, -0.019, -0.023, 7.783333333, 3.9, 0.2, 10.74, 0.042, 0.005, 0.0, 0.0, -0.063, 0.1, 11.37, 0.045, -6.13, -6.34
2011-1-10, -5.39, -0.041, -0.04, 0.021, -0.046, -0.0089, -35.18, -68.0, -32.8, -0.052000000000000005, -0.019, -0.024, -0.09, -0.78, 0.1, -0.086, -0.053, -751.06, -0.023, -0.023, 4.564285714, 0.948571429, 3.711428571, 1.957142857, -0.009000000000000001, -0.009000000000000001, -0.009000000000000001, -143.65, -76.1, -1.88, -1.34, -8.73, -0.142, -9.08, -12.47, -15.25, -12.26, -6.72, 3.61, -21.37, 0.11, -0.011, -0.011, -0.071, 1.21, 0.0001, -600.0, -550.0, -785.0, -0.022, -0.0243, -0.0229, 11.19, -98.34, -61.16, -169.92, 11.28, 5.0, 9.5, 0.02, -22.55, -20.07, -34.29, -1.05, 3.825, -1.065, 1.19, -5.14, -0.0112, -0.0103, -1.19, -1.42, -3.61, -0.0039, 0.0, -0.0014, -3.59, -2.3, -12.2, -4.83, 1.28, -2.9, -2.1, 0.7, -13.4, -180.6, -0.0049, -0.0039, -7.0, -18.25, -95.33, -113.24, 0.124, 0.087, 0.145, 0.0004, -0.021, -0.008, 0.005, 6.93, -0.54, -1.0, -0.1, 0.9, -6.645, -4.095, -39.37, -144.48, -83.54, 0.0342, -0.0311, 7.783333333, 3.9, -14.53, -4.82, -0.0316, -0.0353, 0.202, 0.202, -0.449, -0.395, -15.87, 0.043, -20.29, -12.29
2011-1-11, 7.51, -0.008, -0.051, -0.102, -0.016, -0.0032, -28.03, -40.5, -31.5, 0.0265, -0.044, -0.018000000000000002, 0.57, 0.86, -0.12, -0.027000000000000003, -0.005, -51.74, -0.035, -0.035, 4.564285714, 0.948571429, 3.711428571, 1.957142857, -0.004, -0.004, -0.004, -141.75, -129.6, -3.57, -5.31, 0.48, -0.01, -21.01, 10.91, -14.98, -3.89, 4.63, -3.64, 5.89, -0.05, 0.011, 0.011, -0.041, -4.87, -0.0037, -20.0, -820.0, -235.0, 0.1196, 0.033, -0.0138, -222.7, 10.78, -77.91, -162.28, -15.18, -16.5, -16.5, 0.01, -37.31, -24.52, -63.16, -1.35, -6.84, -4.54, 4.04, -2.23, 0.0015, -0.0013, 2.37, 1.01, 10.55, -0.001, 0.0003, 0.0008, 3.75, -9.3, 1.9, 0.71, 1.52, 5.2, -3.7, -3.2, 10.2, -109.9, 0.0053, 0.0066, 12.0, -3.0, -483.88, -157.75, 0.053, 0.027000000000000003, 0.047, 0.0017, -0.0075, -0.0115, -0.0155, 2.66, 4.57, 5.3, 1.8, 1.5, -6.645, -4.095, -27.18, 28.53, -34.27, 0.118, 0.057, 7.783333333, 3.9, -18.42, -16.59, -0.0049, 0.0402, 0.112, 0.112, 0.19, 0.465, -5.5, -0.073, -49.96, -25.12
2011-1-12, 6.63, 0.049, 0.006, 0.047, 0.018000000000000002, 0.0031, 57.73, 56.0, 40.3, -0.0075, 0.001, -0.052000000000000005, 0.23, -0.13, 0.58, 0.013, 0.016, 478.91, -0.016, -0.016, 4.564285714, 0.948571429, 3.711428571, 1.957142857, 0.04, 0.04, 0.04, -8.75, -133.35, 1.74, 5.73, 7.44, 0.071, -16.52, 0.93, 11.79, 8.47, 9.03, 10.43, 24.33, 0.24, 0.022, 0.022, 0.053, 4.72, 0.0002, 466.0, 650.0, 820.0, 0.0742, 0.0812, 0.0797, -349.35, -227.91, -71.13, -178.14, -15.18, -16.5, -16.5, 0.0, 34.43, -33.83, 58.24, 0.05, 21.76, 14.61, -11.51, 5.75, 0.0, 0.0008, 1.91, 1.48, 4.82, 0.0052, -0.0018, -0.0124, 3.18, 11.4, 13.3, -0.25, -0.74, 10.3, 6.4, 10.5, 8.2, 16.8, 0.0048, 0.0037, 0.0, 10.5, 280.87, -15.31, 0.05, 0.041, -0.008, -0.0011, -0.0075, -0.0115, -0.0155, -0.95, 1.77, -1.5, 2.8, 1.7, 12.44, 4.09, 155.93, 50.29, 126.44, -0.0999, 0.0052, -55.18, -21.94, -4.64, -18.1, 0.049, 0.0495, -0.058, -0.058, 0.639, 0.51, -8.0, -0.1, 24.51, -13.56
2011-1-13, -5.47, 0.034, 0.046, 0.036000000000000004, 0.05, 0.0056, 36.69, 13.92, 41.0, -0.1415, -0.002, -0.045, -1.2, -0.8, -0.84, 0.118, 0.108, 284.16, 0.03, 0.03, 66.71, 32.44, 45.49, 26.68, 0.095, 0.095, 0.095, 109.15, 32.1, 3.07, 9.62, 6.03, 0.02, 17.79, -1.3, 1.29, -7.31, 20.5, 14.58, 15.74, -1.37, 0.075, 0.075, 0.027000000000000003, -8.07, -0.0031, 1134.0, 905.0, 625.0, -0.2473, -0.0449, -0.097, -65.5, -351.96, -215.3, -131.2, 2.12, 91.0, 31.5, -0.07, 83.56, 35.11, 57.98, 5.15, -0.27, 3.03, -4.53, -10.1, 0.0019, 0.0005, 0.51, 2.2, -6.71, -0.015, -0.0088, -0.0036, 6.6, 6.1, 6.5, 1.54, -2.22, 1.7, 7.2, 1.0, 4.1, 191.3, 0.0036, 0.0067, 24.0, 0.0, 777.34, 21.14, -0.08199999999999999, -0.119, -0.07400000000000001, 0.0002, -0.006, 0.006999999999999999, -0.002, 0.21, -6.59, -14.5, -0.5, -7.7, 1.95, 6.55, 59.16, 125.53, 75.87, -0.1356, -0.1376, 33.15, 31.26, 6.12, 6.48, 0.046, 0.0213, -0.002, -0.002, 0.042, 0.16, 1.75, 0.077, 46.7, 39.31
2011-1-14, 18.69, -0.006999999999999999, 0.028, 0.019, 0.023, 0.0126, -26.84, 5.78, -15.8, -0.0155, -0.147, -0.022, -0.52, -0.89, -0.7, -0.023, -0.084, 289.66, 0.005, 0.005, 18.65, 65.67, -9.71, 29.68, -0.047, -0.047, -0.047, -111.35, 50.7, 10.13, -0.17, 4.82, 0.033, 22.74, 26.73, -1.6, 9.16, -2.04, 5.1, 4.82, -0.23, -0.019, -0.019, -0.068, -6.92, -0.0039, -947.0, 270.0, -75.0, -0.0408, -0.1932, -0.0989, 106.88, -65.5, -277.21, 21.76, 76.96, 40.0, 70.0, 0.01, -23.54, 80.08, -11.36, 3.95, 0.32, 1.78, 3.1, -5.16, 0.0105, 0.0014, -0.06, 0.02, 6.2, 0.0053, 0.0046, 0.0046, -0.71, 0.3, -0.2, -4.86, 0.12, 1.2, 3.5, 7.0, -6.6, 500.8, 0.0156, 0.0139, 11.5, 25.5, 191.74, 93.6, -0.013, -0.017, -0.113, 0.0046, 0.002, -0.001, 0.013, -8.77, -0.74, 1.0, -17.0, -6.6, -1.27, -2.37, -58.73, 24.83, 7.76, 0.0396, -0.0024, 29.04666667, 20.62333333, 15.57, 6.3, 0.013, -0.0083, -0.128, -0.128, -0.28, -0.98, 9.25, 0.051, 6.28, 12.58
