@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Open numeric
@attribute CANADA_10_YEAR_High numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute EUR_USD_High numeric
@attribute AEX_Open numeric
@attribute AEX_Low numeric
@attribute IDR_KRW_Low numeric
@attribute CNY_KRW_Open numeric
@attribute GAS_Now numeric
@attribute GAS_High numeric
@attribute Brazil_Now numeric
@attribute Brazil_Open numeric
@attribute Brazil_High numeric
@attribute HONH_KONG_10_YEAR_Now numeric
@attribute HONH_KONG_10_YEAR_Open numeric
@attribute HONH_KONG_10_YEAR_High numeric
@attribute DAX_Open numeric
@attribute DAX_High numeric
@attribute DAX_Low numeric
@attribute RTSI_Now numeric
@attribute RTSI_Open numeric
@attribute RTSI_Low numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute MOEX_High numeric
@attribute MOEX_Low numeric
@attribute UK_10_YEAR_Now numeric
@attribute UK_10_YEAR_High numeric
@attribute UK_10_YEAR_Low numeric
@attribute Nifty_Open numeric
@attribute S&P_Open numeric
@attribute S&P_High numeric
@attribute Copper_Now numeric
@attribute Copper_Low numeric
@attribute SANGHAI_High numeric
@attribute SANGHAI_Low numeric
@attribute EUR_KRW_Now numeric
@attribute EUR_KRW_Open numeric
@attribute NASDAQ_Now numeric
@attribute NASDAQ_High numeric
@attribute NASDAQ_Low numeric
@attribute HKD_KRW_Open numeric
@attribute HKD_KRW_High numeric
@attribute HKD_KRW_Low numeric
@attribute FRANCE_10_YEAR_Open numeric
@attribute FRANCE_10_YEAR_Low numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_Open numeric
@attribute US_10_YEAR_Low numeric
@attribute CHF_KRW_Open numeric
@attribute CHF_KRW_High numeric
@attribute CHF_KRW_Low numeric
@attribute USD_CAD_Open numeric
@attribute USD_CAD_High numeric
@attribute USD_CAD_Low numeric
@attribute iBovespa_High numeric
@attribute INR_KRW_Open numeric
@attribute INR_KRW_High numeric
@attribute INR_KRW_Low numeric
@attribute WTI_Now numeric
@attribute WTI_Open numeric
@attribute WTI_High numeric
@attribute WTI_Low numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_High numeric
@attribute NIKKEI_Open numeric
@attribute NIKKEI_Low numeric
@attribute SOUTH_KOREA_10_YEAR_Open numeric
@attribute SMI_Now numeric
@attribute SMI_High numeric
@attribute SMI_Low numeric
@attribute DOWJONES_Now numeric
@attribute DOWJONES_High numeric
@attribute US_COFFEE_Now numeric
@attribute US_COFFEE_Open numeric
@attribute US_COFFEE_High numeric
@attribute OMXS_Now numeric
@attribute OMXS_High numeric
@attribute OMXS_Low numeric
@attribute AUD_KRW_Now numeric
@attribute AUD_KRW_Open numeric
@attribute AUD_KRW_High numeric
@attribute EUR_GBP_Now numeric
@attribute BRENT_OIL_Now numeric
@attribute BRENT_OIL_Low numeric
@attribute GBP_KRW_Now numeric
@attribute GBP_KRW_Open numeric
@attribute GBP_KRW_High numeric
@attribute AUD_SGD_Now numeric
@attribute AUD_SGD_Low numeric
@attribute Russell_Now numeric
@attribute BRL_KRW_Now numeric
@attribute BRL_KRW_High numeric
@attribute BRL_KRW_Low numeric
@attribute Gold_Open numeric
@attribute Gold_High numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute GBP_USD_Now numeric
@attribute GBP_USD_Open numeric
@attribute GBP_USD_High numeric
@attribute Corn_Now numeric
@attribute FTSE_Low_y numeric
@attribute IDX_Now numeric
@attribute IDX_High numeric
@attribute IDX_Low numeric
@attribute SPAIN_10_YEAR_Now numeric
@attribute SPAIN_10_YEAR_Open numeric
@attribute NZD_USD_Now numeric
@attribute NZD_USD_Open numeric
@attribute NZD_USD_High numeric
@attribute NZD_USD_Low numeric
@attribute CSE_Now numeric
@attribute CSE_High numeric
@attribute JAPAN_10_YEAR_Low numeric
@attribute CAD_KRW_Now numeric
@attribute CAD_KRW_Open numeric
@attribute CAD_KRW_High numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_Low numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Low numeric
@attribute JPY_KRW_Now numeric
@attribute JPY_KRW_Open numeric
@attribute JPY_KRW_Low numeric
@attribute SET_Low numeric
@attribute HEATING_OIL_Open numeric
@attribute HEATING_OIL_High numeric
@attribute ITALY_10_YEAR_Open numeric
@attribute ITALY_10_YEAR_High numeric
@attribute Silver_High numeric
@attribute Silver_Low numeric
@attribute US_WHEAT_Low numeric
@attribute AUS_10_YEAR_Now numeric
@attribute AUS_10_YEAR_Open numeric
@attribute BEL_Now numeric

@data
2015-1-2, 10.85, -0.08, -0.08, -0.035, -0.0033, -2.26, -1.3, -0.003, 0.02, -0.095, -0.029, -586.41, 455.82, -61.72, -0.014, -0.023, -0.014, -31.77, -41.07, 30.1, -4.38, -53.05, -25.31, -36.33, 12.15, -59.94, -30.26, -0.025, -0.024, -0.027000000000000003, 45.6, 0.86, -5.06, 0.031, -0.012, -33.56, 3.41, -3.51, -2.81, -29.47, -9.83, -26.02, 0.1, 0.025, -0.22, -0.029, -0.008, -0.012, -0.046, -0.026, -1.95, -2.5, -3.31, 0.0015, 0.0002, -0.0009, -70.0, -0.0025, 0.0287, -0.0212, 0.51, -1.33, -1.42, -0.2, -168.89, 20.43, -212.43, -74.89, -0.047, -51.18, -7.11, -25.0, -55.16, -38.02, -0.35, -3.15, -2.2, -14.38, -3.04, -7.53, 2.8, 2.08, 3.99, -0.0019, 0.02, -0.63, -0.36, -5.21, -1.93, 0.0054, 0.0023, -6.06, 5.64, 2.85, -0.34, 19.0, 19.0, -80.9, 53.2, 0.0045, -0.0053, -0.0013, -6.25, 227.49, 48.58, 41.29, 8.21, -0.07400000000000001, -0.018000000000000002, 0.0041, 0.0037, 0.0051, 0.0027, 3.74, -13.0, -0.002, -1.08, -0.88, -0.14, -3.38, -2.41, -2.17, -27.1, 0.0629, -0.0179, 0.0041, -7.09, -0.0642, -0.0548, -0.003, -0.047, 0.405, -0.1, -7.0, -0.07400000000000001, -0.034, -38.72
2015-1-5, -10.69, -0.033, -0.03, -0.054000000000000006, -0.0077, 0.76, -1.21, -0.003, -0.77, -0.091, -0.08199999999999999, -1495.19, -596.5, -836.74, 0.033, 0.029, 0.034, -13.97, -7.25, -118.29, -14.705, 5.685, -6.365, 19.525, -17.51, 4.59, 5.89, -0.075, -0.038, -0.057, 28.4, -29.59, -16.13, -0.031, 0.0, 89.49, 61.765, -5.0, -14.78, -50.63, -26.88, -74.77, -0.9, 0.835, -0.37, -0.02, -0.047, -0.078, -0.002, -0.065, -12.48, -4.11, -8.72, -0.002, 0.0135, 0.0003, -1020.0, -0.0336, 0.1557, 0.0204, -1.43, 0.04, 0.79, -0.67, -903.28, -15.13, -188.22, -115.775, 0.011, -22.26, 16.66, -17.11, -150.08, -83.24, -3.75, 0.55, 0.8, -0.77, -3.72, -2.46, -2.12, -0.81, 0.11, 0.0017, -1.48, -1.26, -10.07, -8.24, 8.77, -0.0044, 0.0, -14.25, -1.89, 1.19, 3.02, -16.9, -16.9, 74.9, -37.1, -0.0231, 0.006999999999999999, 0.0012, -10.75, -74.26, 15.82, 20.99, 55.11, -0.087, -0.133, -0.0123, 0.0011, -0.0047, -0.0085, 57.06, 53.94, 0.004, -5.38, -5.13, 4.21, 10.0, -2.86, 3.165, 29.56, 0.0048, 0.0014, 0.0029, -1.715, -0.0047, -0.0025, -0.141, -0.14800000000000002, -0.54, -0.27, -26.25, 0.001, -0.113, 5.2
2015-1-6, -33.3, -0.056, -0.054000000000000006, -0.055, -0.0103, -5.83, -9.86, -0.043, 2.28, -0.121, 0.08, -995.4, -1492.28, -1492.28, -0.087, -0.068, -0.08199999999999999, -133.48, -89.26, -218.68, -14.705, 5.685, -6.365, 19.525, -17.51, 4.59, 5.89, -0.055, -0.042, -0.059, 119.25, -4.46, -17.92, -0.045, -0.049, 89.49, 61.765, -4.05, 6.23, -74.24, -74.24, -56.65, 1.8, 0.685, 1.7, -0.049, -0.002, -0.08, -0.098, -0.075, 5.45, -2.06, -1.16, 0.0166, 0.0033, 0.0143, -1495.0, 0.2402, 0.0815, 0.2144, -2.65, -1.15, -2.38, -2.35, -1016.1, -1177.47, -188.22, -115.775, 0.017, -22.26, 16.66, -17.11, -331.34, -130.48, 7.05, -4.1, 1.4, -8.97, -4.92, -7.14, 1.72, 0.22, -1.78, -0.0005, -3.31, -2.82, -4.04, -1.5, -18.27, 0.0023, -0.0022, -17.43, -0.76, -3.46, -1.87, 18.5, 18.5, -49.5, -254.5, -0.0078, -0.0253, -0.025, 10.25, -731.21, -22.78, -14.28, -24.47, 0.045, -0.032, -0.0019, -0.0109, -0.0082, -0.0067, 35.875, 35.235, 0.004, 4.24, -0.96, -5.69, 3.01, 13.13, 3.165, -291.85, 0.0921, 0.0679, 0.0665, -1.715, -0.0578, -0.0781, -0.063, -0.014, 0.364, 0.644, 4.5, -0.095, -0.02, -73.46
2015-1-7, 1.38, -0.07200000000000001, -0.077, -0.087, -0.0039, -8.39, -4.19, -0.087, 0.1, 0.056, -0.221, 484.1, -995.08, -450.94, -0.113, -0.08900000000000001, -0.08900000000000001, -251.4, -165.62, -85.76, -14.82, -30.77, -21.02, 45.07, 40.73, 42.44, 40.07, -0.08199999999999999, -0.106, -0.112, -82.65, -32.29, -24.19, 0.011, 0.004, 24.94, 49.3, -17.93, -4.15, -59.83, -35.44, -73.86, 0.38, -0.305, -1.03, 0.021, -0.058, -0.096, -0.065, -0.14, -2.6, -4.08, -9.51, -0.0016, 0.002, -0.0012, -205.0, 0.034, -0.0518, -0.1997, -2.11, -2.61, -2.36, -2.13, 230.04, -691.34, -224.1, -337.49, -0.044, -64.38, -79.59, -71.06, -130.01, -240.25, 6.8, 7.1, 6.75, -16.735, -13.19, -16.095, -8.62, 3.1, 0.35, 0.0021, -2.01, -2.14, -27.44, -4.59, -7.96, -0.0014, 0.0038, -20.05, -3.09, -2.69, -1.74, 8.7, 8.7, -330.0, -106.7, -0.0099, -0.0083, -0.0062, -1.0, -147.12, -50.93, -38.86, -37.22, 0.056, 0.11, 0.0073, -0.0005, 0.0089, 0.0063, 35.875, 35.235, -0.035, -15.01, 3.92, -1.07, -10.93, -8.41, -5.72, -177.52, 0.004, 0.0919, 0.0469, -23.65, -0.0455, -0.0367, 0.084, 0.037000000000000005, 0.424, 0.424, 7.0, -0.052000000000000005, -0.071, -17.91
2015-1-8, 20.82, -0.037000000000000005, -0.006, 0.027000000000000003, -0.0071, -0.66, 2.3, -0.04, -1.54, -0.067, 0.057, 1461.99, 488.91, 1820.98, -0.07, -0.117, -0.1, 26.09, -32.28, 76.36, 32.77, -4.47, 10.78, 33.33, 23.365, 41.73, 25.715, 0.023, -0.026, 0.021, -206.65, -16.6, -0.64, -0.008, -0.002, -19.32, 9.03, -5.8, -17.76, 57.73, -14.61, 46.3, -1.37, -0.79, -0.22, -0.043, 0.004, 0.031, -0.093, 0.039, -14.08, -12.24, -4.88, 0.0072, 0.0035, 0.0083, 1680.0, -0.2352, -0.0753, -0.026, 0.72, -2.0, -1.06, -0.72, 484.52, 507.33, -293.32, -73.47, -0.053, 26.36, -45.68, -5.66, 212.88, 16.03, 0.15, 7.55, 7.45, -16.735, -13.19, -16.095, -0.82, -8.62, -8.61, -0.0012, 0.05, -0.86, -4.89, -27.43, -23.22, 0.0035, -0.0014, 14.65, 2.42, 2.13, 1.09, -8.6, -8.6, -9.6, -34.7, -0.004, -0.0098, -0.0118, -8.75, -49.56, 38.06, 12.58, 5.74, 0.103, 0.016, 0.0022, 0.0076, -0.0017, 0.0032, 18.38, 28.6, -0.018000000000000002, 1.38, -14.97, -10.96, -0.26, -1.65, 3.62, 103.73, -0.0684, 0.0032, -0.0126, 19.04, -0.048, -0.0373, 0.006999999999999999, 0.08, -0.053, -0.123, -7.5, -0.042, -0.057, 3.59
2015-1-9, 20.05, 0.02, 0.038, 0.023, -0.005, 5.59, 6.84, -0.017, -0.03, 0.056, -0.044, 480.39, 1457.1, 378.46, 0.028, 0.05, 0.035, 133.43, 263.06, 148.72, 32.77, -4.47, 10.78, 33.33, 23.365, 41.73, 25.715, 0.039, 0.022, 0.038, 72.75, 25.06, 34.47, 0.011, -0.003, 6.67, -27.11, -8.92, -5.91, 85.72, 88.66, 74.12, -0.05, -0.24, -0.05, 0.039, 0.054000000000000006, 0.049, 0.032, 0.042, -4.76, -4.76, -9.74, -0.0023, -0.003, -0.0019, 355.0, 0.075, 0.0712, 0.0983, 0.14, 0.78, 0.34, 0.9, 588.38, 590.46, 259.14, 207.83, 0.019, 238.86, 206.48, 119.46, 323.35, 318.96, 1.85, 0.2, -0.5, 35.38, 16.86, 7.2, 2.16, -0.98, 2.03, -0.002, -0.19, 0.15, -7.19, -4.89, -6.04, 0.0043, 0.0037, 20.16, 1.94, -0.13, 0.32, -2.0, -2.0, 91.8, 133.9, -0.0023, -0.0042, -0.0039, -2.0, 256.19, 4.71, 22.8, 34.19, -0.042, 0.06, 0.0043, 0.002, 0.0038, 0.0049, 59.08, 55.54, 0.015, -3.94, 1.35, -0.67, -3.23, -0.21, 10.42, 102.87, -0.0581, -0.0675, -0.076, 35.92, -0.005, -0.0061, 0.045, -0.004, -0.199, -0.129, -12.88, 0.061, 0.016, 89.39
2015-1-12, -3.75, 0.052000000000000005, 0.003, -0.001, 0.0, 5.81, -2.68, -0.028, -0.57, 0.019, 0.022, -1103.05, 491.55, -306.02, -0.013, 0.016, 0.014, 170.22, 4.75, -6.15, -29.4, 63.98, 21.17, -32.02, 65.49, -6.93, 14.06, -0.056, -0.01, -0.017, 94.05, 32.84, 0.35, -0.016, 0.001, 23.26, -17.59, -6.1, -8.74, -32.12, 3.33, -6.78, -0.41, -0.635, -1.2, 0.001, 0.002, -0.068, 0.042, -0.025, -7.42, -8.96, -3.98, 0.0015, 0.0045, 0.001, -585.0, 0.1173, 0.0263, 0.0802, -0.43, 0.14, -0.04, -0.57, -19.9, -50.0, 251.34, 113.44, 0.003, -33.99, 30.17, 94.36, -170.5, -0.72, 3.15, 1.95, 1.5, -12.26, 2.82, 10.61, 0.98, 2.32, 1.11, -0.0004, -0.85, -0.91, -6.91, -7.29, -6.49, 0.0083, 0.0039, -10.46, 1.46, 2.93, 2.21, 5.8, 5.8, -63.0, -360.2, 0.0072, -0.0019, 0.0059, 6.0, -195.14, 4.83, 10.06, 3.29, 0.046, -0.02, 0.0014, 0.0043, 0.0021, 0.0028, 108.19, 107.91, -0.008, -11.02, -3.91, -4.98, -9.69, -9.57, -2.455, -43.43, 0.0056, -0.0593, -0.0248, 8.57, 0.0118, 0.0152, -0.055, -0.029, 0.035, 0.035, -3.87, -0.015, 0.056, -35.03
2015-1-13, -3.81, -0.055, -0.045, -0.05, 0.0023, -5.36, 0.87, -0.035, -1.51, -0.151, -0.056, -700.51, -1114.97, -1114.97, -0.076, -0.08800000000000001, -0.08800000000000001, -116.53, -44.22, 20.57, -25.99, -33.62, -17.02, -2.15, -32.38, -23.34, 7.42, -0.011, -0.027000000000000003, -0.028, 5.9, -17.32, -15.13, -0.028, -0.043, -129.64, -75.93, -4.6, -6.55, -39.36, -28.9, -30.59, -1.23, -1.135, -0.58, -0.011, -0.033, -0.041, -0.054000000000000006, -0.041, -5.1, -3.32, -4.15, 0.0037, 0.0086, 0.0032, -695.0, -0.0786, -0.0669, -0.0709, -2.29, -0.73, -1.42, -1.54, -601.63, -95.76, -173.93, -150.63, -0.053, 47.27, 18.4, 27.36, -96.53, -121.44, -3.3, 3.5, 1.05, 9.18, -0.88, 5.4, -7.69, 0.7, 1.02, -0.0012, -2.68, -1.74, -3.4, -4.21, -7.86, -0.0056, 0.0037, -5.6, -7.85, -1.44, -3.31, 15.8, 15.8, -197.9, 72.0, 0.0011, 0.0094, 0.0017, 1.75, -21.05, -28.73, -19.99, -29.07, -0.093, 0.044, -0.0057, 0.001, 0.0012, -0.0053, -39.09, 56.81, -0.0085, -10.72, -10.74, -10.53, -3.1, -4.42, -2.455, -202.77, -0.0123, 0.0054, -0.0202, -0.58, -0.0055, -0.0252, 0.028, -0.014, 0.149, 0.149, -7.25, -0.03, -0.033, 9.79
2015-1-14, -3.48, -0.077, -0.036000000000000004, -0.017, -0.0011, -1.29, 1.19, 0.006999999999999999, -0.23, 0.14800000000000002, 0.037000000000000005, -98.07, -695.44, 99.68, -0.085, -0.071, -0.071, 62.11, 162.98, 132.7, -18.75, -21.22, -24.28, 19.87, -2.02, 9.09, -4.03, 0.016, -0.019, -0.054000000000000006, 54.8, -14.55, 7.63, -0.084, -0.11, -15.8, 22.83, -11.19, -4.1, -3.21, 35.53, -26.37, -0.4, -0.185, -0.45, -0.034, -0.029, -0.004, -0.059, -0.038, -3.69, -3.8, -8.66, 0.0111, 0.0019, 0.0089, -205.0, 0.0399, 0.0231, 0.022, -0.18, -2.5, -1.4, -1.42, -302.52, -197.56, -173.93, -150.63, -0.08199999999999999, 132.66, 91.81, 17.51, -27.16, 129.13, 0.2, -4.25, -6.0, 12.02, 8.74, 5.29, -2.24, -7.41, -8.47, -0.0033, -0.84, -1.97, -7.43, -6.11, -2.65, 0.0006, -0.0011, 0.56, 3.17, -2.44, -1.74, 1.3, 1.3, 114.0, 75.2, -0.0012, -0.0014, -0.0002, -16.25, 197.58, 26.43, -3.03, 13.88, -0.005, -0.092, -0.0044, -0.0053, -0.0063, -0.0026, -16.85, -80.83, -0.0085, -2.01, -11.14, -9.6, -3.94, -3.48, 2.14, -47.43, -0.0008, -0.013, 0.0225, -7.09, -0.052000000000000005, -0.0535, -0.085, -0.086, 0.465, 0.465, -7.5, -0.076, -0.057, 51.66
2015-1-15, 0.48, -0.005, -0.045, -0.07, -0.0014, 2.68, 2.05, -0.004, -0.48, 0.29, 0.366, -395.8, -106.66, -658.59, -0.018000000000000002, -0.022, -0.021, 51.13, -15.96, 13.08, 5.18, -17.08, -0.66, 21.37, 18.44, 16.41, 25.25, -0.07400000000000001, -0.028, -0.018000000000000002, -38.9, -13.18, -38.53, -0.126, -0.136, 9.09, -20.43, 6.63, -11.24, -22.18, -95.97, -28.3, -0.5, -0.05, -0.08, -0.028, -0.061, -0.05, -0.005, -0.08, -9.5, -1.33, -0.63, -0.0018, 0.0023, 0.0001, -595.0, -0.0368, -0.0282, 0.016, 2.59, 0.47, 2.12, 0.81, -494.04, -731.31, -9.06, -57.71, 0.011, -87.43, -10.62, 53.98, -186.59, -313.95, 2.9, 1.25, 5.9, -30.87, -9.17, -15.05, 1.65, -2.24, -0.21, -0.0026, 2.1, 0.4, 14.12, -7.27, 6.99, -0.0015, -0.0079, -3.57, 5.78, 4.47, 4.33, -10.0, -10.0, 17.7, 21.6, 0.0073, -0.001, 0.0077, -4.75, 171.32, -54.69, 7.8, -37.42, -0.068, 0.025, -0.0023, -0.0045, -0.0021, -0.0021, -11.99666667, -13.26333333, -0.004, 3.81, -1.93, 0.72, 4.07, -0.66, 1.29, -182.38, 0.081, 0.0007, 0.0293, 6.73, -0.0283, 0.0086, 0.024, 0.017, -0.1, -0.1, -11.25, -0.011, -0.012, -35.61
2015-1-16, -26.01, 0.013, 0.012, -0.057, -0.0051, 4.16, -5.41, 0.015, 0.71, -0.075, 0.015, 380.44, -390.07, 572.6, 0.027000000000000003, -0.04, 0.015, 122.75, 100.2, -130.77, 19.33, 18.3, 27.95, 8.75, 25.31, 26.12, 30.54, 0.001, -0.01, 0.005, 117.25, -4.65, 2.95, 0.058, 0.101, 68.6, 13.57, -25.29, 6.63, -68.5, 8.59, -28.59, 0.5, 0.18, -0.16, -0.044, -0.004, -0.127, -0.04, -0.08199999999999999, 5.55, 379.27, -0.87, -0.0007, -0.0021, -0.0124, 565.0, 0.0347, 0.0927, -0.039, -2.23, 2.44, 2.36, 1.06, 14.55, -219.32, -88.87, 85.66, -0.052000000000000005, -797.59, -4.58, -1242.57, -106.38, -91.65, -3.2, 1.75, -1.95, 22.57, -1.68, -12.95, 1.05, 1.27, 8.44, -0.0084, -1.02, 1.41, -15.15, 14.17, 3.03, 0.0018, 0.0047, -22.33, -6.75, 0.25, -0.63, 28.3, 28.3, -4.9, -132.5, -0.0049, 0.0076, 0.0, -1.0, -334.35, 29.04, -31.07, 8.34, 0.031, -0.099, 0.0108, -0.0026, 0.0111, 0.0013, -11.99666667, -13.26333333, -0.012, -6.44, 3.93, 5.85, -7.16, -2.38, -4.72, 124.6, 0.0331, 0.0806, 0.0149, -0.8, 0.025, 0.0524, -0.09, -0.063, 0.3, 0.13, -8.0, 0.069, -0.067, 44.72
2015-1-19, 14.49, -0.12, -0.068, 0.009000000000000001, -0.0145, 0.77, 11.48, -0.037000000000000005, -0.9, -0.031, -0.124, 990.21, 380.82, 410.35, -0.136, -0.122, -0.157, 52.06, 144.79, 303.31, 7.41, -1.67, -4.09, 28.22, 6.25, 7.95, -1.62, 0.019, -0.014, -0.032, 79.55, -21.5, -0.89, 0.043, -0.014, 63.24, 132.94, -2.9, -25.74, 63.56, -28.14, -4.28, -0.89, -0.75, 0.04, -0.008, -0.038, 0.103, -0.136, -0.004, 190.08, -172.9, 168.51, 0.0009, 0.0049, 0.0147, 395.0, -0.104, -0.1155, 0.0132, 2.44, -2.25, -2.4, -0.12, 403.24, 141.62, -59.99, -263.65, -0.009000000000000001, -501.02, -1087.73, -79.4, 190.86, 10.96, -5.65, -2.5, -5.25, 11.54, 12.47, 25.57, 4.18, 1.36, -2.89, -0.002, 2.5, 1.07, 0.55, -16.28, -14.75, 0.0017, 0.0006, 21.93, 4.52, -3.47, 0.49, 12.1, 12.1, 51.3, 235.7, -0.0032, -0.0051, -0.0032, 7.0, 665.19, -40.33, 10.54, -19.63, -0.073, 0.025, -0.0029, 0.0113, -0.0029, 0.0043, -11.99666667, -13.26333333, -0.016, 0.8, -6.74, -10.17, 3.38, -0.57, -1.115, 26.66, -0.0891, 0.0296, -0.0073, -6.18, -0.0325, -0.045, 0.065, 0.039, 0.57, -0.125, 3.25, -0.14400000000000002, -0.015, 49.63
2015-1-20, 15.69, 0.07, 0.008, 0.037000000000000005, -0.0009, 10.47, 9.09, 0.014, 0.01, -0.157, -0.188, -1258.51, 980.65, -254.74, 0.038, 0.108, 0.087, 246.07, 85.07, 251.34, -3.23, 14.53, 15.81, -15.03, 27.33, 33.22, 19.35, -0.008, -0.004, 0.038, 46.0, 14.255, 4.24, -0.0195, 0.0085, -138.11, -245.42, 4.33, -4.59, 10.235, 14.915, 18.995, 0.46, 0.415, 0.15, -0.043, 0.011, -0.031, 0.085, 0.1, -0.44, -11.25, 2.51, 0.0017, -0.0059, -0.0016, -525.0, 0.11, 0.0828, 0.0829, -0.91, 2.49, 0.32, 1.69, -116.43, 164.85, 187.82, 319.01, 0.023, 253.19, 54.52, 131.4, 1.83, 30.165, -3.35, -3.7, -2.55, 7.41, 9.34, 19.37, -1.46, 3.43, 1.0, 0.0044, -1.33, 0.61, -3.61, 3.52, -0.24, 0.0043, 0.005, -3.205, -4.66, 1.39, -2.17, -55.5, -55.4, 133.6, 154.6, -0.004, -0.0016, -0.0056, 1.625, 417.85, 3.71, -32.81, -15.67, 0.008, -0.094, -0.0012, -0.0059, -0.0053, 0.0019, -147.18, -19.45, -0.02, 3.71, 1.55, 2.33, 0.33, 3.03, -1.115, 151.56, 0.0082, -0.0852, 0.0125, 9.79, 0.0436, -0.0032, -0.081, -0.042, 0.06, 0.728, -4.125, 0.094, 0.07200000000000001, 27.54
