@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Now numeric
@attribute CANADA_10_YEAR_Open numeric
@attribute EUR_USD_Now numeric
@attribute EUR_USD_Open numeric
@attribute EUR_USD_Low numeric
@attribute FTSE_Now_x numeric
@attribute FTSE_High_x numeric
@attribute IDR_KRW_Now numeric
@attribute IDR_KRW_Low numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Open numeric
@attribute CNY_KRW_High numeric
@attribute Brazil_Open numeric
@attribute Brazil_Low numeric
@attribute HONH_KONG_10_YEAR_High numeric
@attribute HONH_KONG_10_YEAR_Low numeric
@attribute DAX_High numeric
@attribute RTSI_Open numeric
@attribute RTSI_Low numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute MOEX_Low numeric
@attribute Nifty_Now numeric
@attribute Nifty_Open numeric
@attribute S&P_Now numeric
@attribute S&P_Open numeric
@attribute S&P_High numeric
@attribute Copper_Now numeric
@attribute Copper_Open numeric
@attribute Copper_High numeric
@attribute SANGHAI_Now numeric
@attribute SANGHAI_Open numeric
@attribute SANGHAI_High numeric
@attribute EUR_KRW_Now numeric
@attribute NASDAQ_Now numeric
@attribute NASDAQ_High numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_Open numeric
@attribute FRANCE_10_YEAR_Now numeric
@attribute FRANCE_10_YEAR_Open numeric
@attribute FRANCE_10_YEAR_Low numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_Open numeric
@attribute US_10_YEAR_Low numeric
@attribute CHF_KRW_Open numeric
@attribute iBovespa_Open numeric
@attribute INR_KRW_Now numeric
@attribute INR_KRW_Open numeric
@attribute WTI_Low numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_High numeric
@attribute NIKKEI_Open numeric
@attribute NIKKEI_Low numeric
@attribute SOUTH_KOREA_10_YEAR_Now numeric
@attribute SOUTH_KOREA_10_YEAR_Open numeric
@attribute SOUTH_KOREA_10_YEAR_High numeric
@attribute SMI_Open numeric
@attribute SMI_Low numeric
@attribute DOWJONES_Open numeric
@attribute US_COFFEE_Open numeric
@attribute US_COFFEE_High numeric
@attribute OMXS_High numeric
@attribute AUD_KRW_Now numeric
@attribute AUD_KRW_Low numeric
@attribute EUR_GBP_Now numeric
@attribute EUR_GBP_Low numeric
@attribute BRENT_OIL_Open numeric
@attribute BRENT_OIL_High numeric
@attribute GBP_KRW_Now numeric
@attribute GBP_KRW_Open numeric
@attribute AUD_SGD_Now numeric
@attribute AUD_SGD_High numeric
@attribute AUD_SGD_Low numeric
@attribute Russell_Open numeric
@attribute Russell_High numeric
@attribute BRL_KRW_Now numeric
@attribute BRL_KRW_Low numeric
@attribute Gold_Now numeric
@attribute IBEX_Now numeric
@attribute GBP_USD_Now numeric
@attribute GBP_USD_Open numeric
@attribute GBP_USD_Low numeric
@attribute Corn_Open numeric
@attribute Corn_Low numeric
@attribute IDX_High numeric
@attribute IDX_Low numeric
@attribute SPAIN_10_YEAR_Now numeric
@attribute SPAIN_10_YEAR_Open numeric
@attribute SPAIN_10_YEAR_Low numeric
@attribute NZD_USD_Now numeric
@attribute CSE_Open numeric
@attribute CSE_Low numeric
@attribute JAPAN_10_YEAR_Now numeric
@attribute JAPAN_10_YEAR_Open numeric
@attribute CAD_KRW_Now numeric
@attribute CAD_KRW_Open numeric
@attribute CAD_KRW_High numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_Open numeric
@attribute USD_KRW_Low numeric
@attribute TA_Now numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute JPY_KRW_Now numeric
@attribute Tadawul_Now numeric
@attribute Tadawul_High numeric
@attribute Tadawul_Low numeric
@attribute SET_Open numeric
@attribute HEATING_OIL_Low numeric
@attribute ITALY_10_YEAR_Open numeric
@attribute ITALY_10_YEAR_Low numeric
@attribute USD_JPY_Open numeric
@attribute USD_JPY_High numeric
@attribute Silver_Now numeric
@attribute Silver_Low numeric
@attribute US_WHEAT_Now numeric
@attribute US_WHEAT_Open numeric
@attribute AUS_10_YEAR_Now numeric
@attribute AUS_10_YEAR_Open numeric
@attribute AUS_10_YEAR_Low numeric
@attribute BEL_Open numeric
@attribute BEL_Low numeric

@data
2007-1-11, 9.52, 0.001, 0.001, -0.0063, -0.0021, -0.0054, -35.4, -22.4, -0.0535, -0.021, -0.11, 0.31, 0.31, -830.15, -171.75, 0.023, 0.023, -72.94, -108.23, -47.4, -2.1, -120.21, -38.84, -61.1, -22.35, 2.74, -4.14, 0.38, 0.109, 0.032, 0.117, 17.78, 127.06, 32.35, -6.88, 15.5, 11.47, -0.115, 0.06, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, -2.31, -1505.0, -0.0698, -0.0652, -0.44, 102.76, -388.34, 173.53, -136.4, 0.01, 0.01, 0.01, -47.01, -59.4, -7.77, -1.3, 1.4, -10.43, -4.44, -2.96, -0.0007, -0.0007, -0.42, -0.32, -8.62, 2.85, -0.0065, -0.0024, -0.0037, -1.32, 0.71, -0.25, -0.17, -1.5, -195.4, -0.0076, 0.0017, -0.0056, -8.0, -1.5, -75.82, -66.95, 0.01, 0.01, 0.01, -0.0049, -4.55, 0.97, 0.023, 0.025, -0.74, -0.29, 0.09, -0.75, 1.95, 2.35, -13.37, -15.91, -35.54, -78.93, -0.21, -0.0227, -143.3, -3.06, -143.3, -23.32, -0.0038, 0.028, 0.028, 0.54, 0.24, -0.14800000000000002, 0.15, -3.5, -8.0, 0.005, 0.005, 0.005, -12.7, -25.02
2007-1-12, 23.06, 0.018000000000000002, 0.018000000000000002, -0.0041, -0.0065, -0.005, 69.4, 37.0, -0.04, -0.047, 0.34, 0.02, -0.06, 334.76, 673.82, 0.032, 0.032, 102.77, -27.42, 20.09, 29.84, -2.29, 27.68, 91.95, -58.8, 8.97, 6.14, 11.13, -0.003, 0.138, 0.017, -55.47, -18.74, -0.56, -2.34, 25.52, 28.12, 0.14, -0.14, 0.011, 0.011, 0.011, 0.049, 0.049, 0.049, -3.91, 755.0, -0.0406, -0.0417, -1.64, 362.1, 336.57, -233.85, -89.11, 0.0, 0.0, 0.0, 59.94, 70.38, 25.96, 2.15, 0.35, 17.95, 4.85, 0.73, -0.0067, -0.0065, -2.15, -0.89, 15.45, -8.02, 0.0142, 0.009000000000000001, 0.0008, 3.72, 11.55, 0.82, 0.67, 0.8, 212.7, 0.0143, -0.0069, 0.0001, 8.0, 9.5, -15.18, -4.81, 0.01, 0.01, 0.01, 0.0049, 16.3, 17.43, -0.023, -0.025, 0.73, 0.61, 3.19, 1.1, 0.1, 0.2, 4.38, -3.0, -6.24, 119.93, 40.58, -0.0429, -112.04, -159.8066667, -172.4666667, 15.82, -0.0382, 0.013, 0.013, 0.3, 0.86, 0.025, 0.025, 7.0, -2.5, 0.005, 0.005, 0.005, 2.62, 22.0
2007-1-15, 2.59, 0.037000000000000005, 0.037000000000000005, 0.0024, -0.0046, -0.0015, 8.9, 14.5, 0.01, -0.039, 0.09, 0.45, 0.38, 333.81, 585.47, 0.094, 0.094, 9.43, 28.77, 24.2, -8.2, 29.93, 24.77, 110.2, 92.4, 6.91, 8.98, 4.11, -0.055, -0.056, -0.05, -102.0, -74.05, -59.15, 3.67, 17.97, 13.36, 0.135, 0.13, 0.006999999999999999, 0.006999999999999999, 0.006999999999999999, 0.044, 0.044, 0.044, -1.21, 670.0, 0.1128, 0.1081, -0.24, 76.48, 44.59, 21.16, 182.93, 0.07, 0.07, 0.07, 72.55, 82.59, 71.7, -0.75, -1.25, 3.88, 3.11, 2.76, -0.0033, -0.0033, -0.88, -1.31, 14.17, 13.38, 0.0014, -0.0002, 0.0089, 8.61, 3.27, 2.15, 2.15, 13.1, 39.4, 0.0127, 0.0124, 0.0108, 15.0, 12.25, -20.88, -71.08, 0.036000000000000004, 0.036000000000000004, 0.036000000000000004, -0.0019, 34.86, 34.85, 0.004, 0.02, 6.27, -1.54, 1.41, 1.1, 2.1, 1.3, 10.125, 13.76, 110.19, 108.84, 66.77, 0.0205, -112.04, -159.8066667, -172.4666667, 21.49, 0.002, 0.003, 0.003, 0.81, 0.08, 0.423, 0.423, 23.0, 8.25, 0.025, 0.025, 0.025, 52.04, 52.95
2007-1-16, -1.25, 0.029, 0.029, 0.0019, 0.0036, 0.0048, 24.5, 32.1, -0.0085, 0.012, -0.14, -0.3, -0.41, 425.71, 349.33, 0.028, 0.028, 41.13, -0.99, 4.94, 59.36, -7.9, 10.17, 25.95, 108.3, 0.585, 3.455, 1.35, -0.014, -0.0195, -0.0225, 126.59, -85.25, 13.3, -0.5, -2.52, 3.055, -0.185, 0.14, 0.038, 0.038, 0.038, -0.13699999999999998, -0.13699999999999998, -0.13699999999999998, 2.65, 330.0, 0.0752, 0.0776, -0.515, 155.65, 148.77, 180.52, 203.05, 0.0, 0.0, 0.0, 84.3, 80.74, 20.59, 0.55, 0.85, 11.72, -0.6, 2.85, -0.0009, -0.0015, 0.94, 0.51, 2.32, 16.15, -0.0004, 0.0026, 0.0038, 3.085, 2.515, -1.04, -0.86, -0.45, 48.5, 0.0066, 0.0147, 0.0144, 19.75, 14.125, 19.26, 66.4, -0.008, -0.008, -0.008, 0.006, 21.93, 21.935, 0.0, -0.013, 0.15, 6.95, 0.21, -1.55, -3.65, -2.45, 10.125, 13.76, 149.51, 73.47, 158.91, -0.0236, -112.04, -159.8066667, -172.4666667, 1.52, -0.008, 0.037000000000000005, 0.037000000000000005, -0.06, -0.14, -0.129, -0.129, -7.75, 10.625, 0.015, 0.015, 0.015, 32.38, 13.53
2007-1-17, -10.23, 0.0, 0.0, -0.0017, 0.0014, -0.0005, -47.8, -13.3, 0.0095, 0.0, -0.33, -0.23, -0.16, -179.58, -459.35, 0.014, 0.014, 0.33, 51.73, 48.9, -9.52, 59.16, 44.68, 2.1, 37.85, 0.585, 3.455, 1.35, -0.014, -0.0195, -0.0225, 26.32, 158.59, 35.47, -5.35, -2.52, 3.055, -0.43, -0.19, -0.006999999999999999, -0.006999999999999999, -0.006999999999999999, 0.107, 0.107, 0.107, -2.09, -550.0, -0.0303, -0.0269, -0.515, 0.3, 3.11, 30.65, 31.41, -0.01, -0.01, -0.01, 40.58, 18.99, 20.59, 0.55, 0.85, 1.6, -3.25, -2.45, 0.0001, 0.0007, -0.09, 0.01, -8.78, 1.76, -0.0035, -0.0034, -0.0029, 3.085, 2.515, -0.71, -0.74, -0.45, -61.1, -0.0041, 0.0048, 0.002, 19.75, 14.125, 25.27, 43.02, -0.015, -0.015, -0.015, 0.0001, 21.93, 21.935, 0.0, 0.018000000000000002, -9.34, 0.04, -1.01, -2.95, -1.05, -1.25, -0.92, -0.66, -6.48, -16.18, 0.78, -0.0367, -126.61, 0.0, 54.67, 9.19, -0.008, -0.009000000000000001, -0.009000000000000001, 0.02, 0.18, -0.129, -0.129, -7.75, 10.625, 0.015, 0.015, 0.015, -13.3, -17.92
2007-1-18, 3.73, -0.002, -0.002, 0.0019, -0.0022, -0.0013, -11.2, -39.4, -0.019, 0.029, 0.41, -0.14, 0.17, -289.8, -163.46, 0.029, 0.029, -14.32, -0.3, -39.29, -30.55, -9.53, -38.94, -4.05, -5.8, -1.28, 1.04, 1.34, -0.01, -0.035, -0.032, -42.12, 9.74, 39.62, 3.38, -18.36, -12.0, 0.13, -0.4, -0.016, -0.016, -0.016, 0.032, 0.032, 0.032, -2.14, -50.0, -0.0187, -0.0176, -0.25, 78.17, 123.44, -37.65, -173.18, 0.02, 0.02, 0.02, -23.52, -3.34, 7.69, -0.1, -0.45, 2.38, 4.43, -0.75, -0.0019, -0.0022, -1.22, -0.6, 10.83, -8.69, 0.0053, 0.0022, 0.0, -4.47, -5.73, 1.61, 1.58, 7.5, -60.6, 0.0086, -0.0031, 0.0012, -13.75, 0.0, 5.68, 16.09, -0.014, -0.014, -0.014, -0.004, 64.78, 64.78, -0.051, -0.032, 3.55, -8.54, -4.56, 1.35, -1.35, 0.75, 0.73, -5.66, -2.48, -9.06, -28.22, 0.0115, 29.99, -96.62, 0.0, -2.96, -0.0063, -0.026, -0.026, 0.22, 0.12, 0.273, 0.273, 13.0, -16.25, -0.025, -0.025, -0.025, -17.03, -11.21
2007-1-19, -22.65, 0.025, 0.025, 0.0016, 0.0025, 0.0, 5.8, 30.2, 0.0045, 0.0, 0.05, 0.3, 0.08, 115.17, 154.63, 0.09, 0.09, 5.67, -35.85, -0.78, -3.22, -30.54, 8.15, 32.6, -9.7, -4.25, -1.18, -2.31, -0.078, -0.05, -0.033, -21.92, -67.46, -86.38, 1.7, -36.21, -21.13, -0.13, 0.11, 0.015, 0.015, 0.015, -0.036000000000000004, -0.036000000000000004, -0.036000000000000004, 1.5, 185.0, 0.0017, -0.0017, -0.38, -445.63, -16.01, 94.89, 217.75, 0.01, 0.01, 0.01, 36.4, 10.76, 11.53, 0.6, -0.15, 0.85, 1.67, 4.96, -0.0006, -0.0005, 1.32, 0.32, 3.5, 10.59, 0.0017, 0.0031, 0.0053, -1.68, -5.38, -0.82, -0.81, -5.0, -29.7, 0.0044, 0.0086, 0.0034, 8.75, 2.75, 22.23, 11.65, 0.019, 0.019, 0.019, 0.0046, 2.0, 2.0, 0.019, -0.031, -0.17, 3.33, 0.51, -0.2, 0.7, -0.3, -0.19, 8.04, 56.73, 44.78, -21.71, -0.0423, 38.13333333, 38.13333333, 22.42333333, -1.15, -0.0047, -0.004, -0.004, 0.01, 0.72, -0.205, -0.205, -6.0, 13.25, 0.0, 0.0, 0.0, 6.27, 0.61
2007-1-22, 2.85, -0.028, -0.028, 0.0012, 0.0018, 0.0017, 26.9, -13.9, 0.017, 0.002, -0.14, 0.39, 0.42, -264.03, 70.3, 0.063, 0.063, 16.57, -6.91, -4.22, 9.55, -3.22, -9.76, -18.9, 50.8, 4.13, -4.24, -1.39, 0.025, -0.024, 0.0, 75.23, 0.95, 49.41, 0.32, 8.1, -22.01, 0.01, -0.14, -0.008, -0.008, -0.008, 0.034, 0.034, 0.034, 0.08, -610.0, -0.0045, -0.0045, 0.22, 100.51, -290.09, 92.24, 22.35, 0.0, 0.0, 0.0, -39.64, -20.44, -7.13, -1.85, -1.1, 0.72, 1.17, -0.22, 0.0007, -0.0003, -1.6, 0.2, -0.31, 3.45, 0.003, 0.0006, -0.0002, -10.0, -2.74, 1.3, 1.2, 8.4, 132.6, -0.0004, 0.0042, 0.0061, 1.0, 0.5, 11.91, 3.74, 0.009000000000000001, 0.009000000000000001, 0.009000000000000001, -0.0009, 24.29, 24.29, 0.0, 0.008, 0.46, -0.99, 1.68, -0.3, 2.5, -0.2, 2.42, 2.87, -123.76, -44.34, 7.87, -0.0019, 38.13333333, 38.13333333, 22.42333333, 1.67, 0.013, 0.013, 0.013, 0.57, -0.12, 0.237, 0.092, -4.0, -6.0, -0.015, -0.015, -0.015, -24.43, -17.15
2007-1-23, -0.32, 0.004, 0.004, -0.0018, 0.0001, 0.0008, -18.8, 27.6, 0.0485, 0.022, 0.52, -0.44, -0.01, 954.17, 705.62, 0.015, 0.015, 12.02, 12.81, 16.87, 37.56, 9.55, 21.49, 12.3, -36.4, -7.55, 4.12, -0.18, 0.017, 0.05, 0.006, 100.98, 96.01, 101.2, 3.66, -20.24, 0.87, 0.595, 0.0, 0.014, 0.014, 0.014, -0.022, -0.022, -0.022, -0.68, 1240.0, 0.0124, 0.0124, 0.68, 218.87, 127.74, 89.52, 158.55, 0.0, 0.0, 0.0, 77.29, 30.87, -1.6, -0.15, -0.9, 8.57, 1.07, 2.18, -0.0016, -0.0007, 2.25, 1.05, 9.29, -0.89, -0.0022, 0.0012, 0.0033, 6.83, -0.41, 0.14, -0.07, -2.2, -38.2, 0.0023, -0.0001, 0.002, -7.5, -6.75, 21.85, 32.69, -0.028, -0.028, -0.028, 0.0029, 9.48, 9.48, -0.052000000000000005, -0.052000000000000005, -4.05, 0.61, 1.36, 3.8, -2.7, 0.6, 2.42, 2.87, 140.65, 39.0, 58.65, 0.0116, 38.13333333, 38.13333333, 22.42333333, 4.68, 0.029, -0.009000000000000001, -0.009000000000000001, 0.03, 0.31, 0.08, 0.155, -2.0, -5.0, 0.01, 0.01, 0.01, 23.16, 22.49
2007-1-24, 19.97, -0.004, -0.004, 0.0077, -0.0014, 0.0007, 9.2, -30.2, -0.0075, 0.019, -0.02, 0.46, 0.19, 118.25, 249.9, -0.07, -0.07, -62.21, 20.98, 20.98, 9.53, 37.55, 26.3, -36.35, 13.05, 5.04, -7.52, -0.06, 0.048, 0.034, 0.069, 15.95, 106.79, 36.03, 7.11, 0.34, -7.63, 0.02, 0.61, -0.032, -0.032, -0.032, 0.049, 0.049, 0.049, 2.16, -220.0, 0.0717, 0.0717, 1.61, 377.75, 378.87, -79.59, -80.03, 0.0, 0.0, 0.0, -50.03, -14.22, -98.37, -2.2, -2.35, -7.63, 4.33, 2.14, 0.0023, -0.0009, -0.94, 0.58, 4.94, 9.58, 0.0038, 0.0018, -0.0005, -7.37, 3.65, 1.28, 1.46, 11.9, 8.9, 0.0057, 0.002, 0.0035, -0.25, 5.75, -5.71, -12.05, 0.015, 0.015, 0.015, 0.0027, 10.47, -4.91, 0.01, 0.005, 1.83, -3.18, -5.0, 0.05, 3.15, 3.55, 1.84, -2.8, -13.81, 120.27, 9.59, -0.0047, -126.54, 0.0, -49.42, -8.68, 0.0075, -0.049, -0.049, 0.38, -0.06, 0.26, 0.33, 15.25, 0.0, 0.035, 0.035, 0.035, -16.15, -40.54
