@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute EUR_USD_Now numeric
@attribute EUR_USD_Open numeric
@attribute EUR_USD_High numeric
@attribute AEX_Open numeric
@attribute AEX_Low numeric
@attribute FTSE_Now_x numeric
@attribute IDR_KRW_High numeric
@attribute IDR_KRW_Low numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Open numeric
@attribute CNY_KRW_High numeric
@attribute CNY_KRW_Low numeric
@attribute GAS_Open numeric
@attribute GAS_High numeric
@attribute Brazil_High numeric
@attribute HONH_KONG_10_YEAR_Now numeric
@attribute HONH_KONG_10_YEAR_Open numeric
@attribute DAX_Open numeric
@attribute DAX_Low numeric
@attribute MOEX_Low numeric
@attribute UK_10_YEAR_Open numeric
@attribute UK_10_YEAR_High numeric
@attribute S&P_Low numeric
@attribute Copper_Now numeric
@attribute Copper_High numeric
@attribute Copper_Low numeric
@attribute SANGHAI_Now numeric
@attribute SANGHAI_Open numeric
@attribute SANGHAI_High numeric
@attribute EUR_KRW_High numeric
@attribute EUR_KRW_Low numeric
@attribute NASDAQ_Now numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_Low numeric
@attribute FRANCE_10_YEAR_Open numeric
@attribute FRANCE_10_YEAR_High numeric
@attribute FRANCE_10_YEAR_Low numeric
@attribute US_10_YEAR_Now numeric
@attribute CHF_KRW_Now numeric
@attribute CHF_KRW_Open numeric
@attribute CHF_KRW_High numeric
@attribute CHF_KRW_Low numeric
@attribute USD_CAD_Now numeric
@attribute USD_CAD_Open numeric
@attribute USD_CAD_High numeric
@attribute USD_CAD_Low numeric
@attribute GERMANY_10_YEAR_Now numeric
@attribute GERMANY_10_YEAR_High numeric
@attribute iBovespa_Open numeric
@attribute iBovespa_High numeric
@attribute iBovespa_Low numeric
@attribute INR_KRW_Now numeric
@attribute INR_KRW_Open numeric
@attribute WTI_Now numeric
@attribute WTI_Low numeric
@attribute S&P_BMV_Open numeric
@attribute S&P_BMV_High numeric
@attribute NIKKEI_Open numeric
@attribute NIKKEI_Low numeric
@attribute SMI_Now numeric
@attribute SMI_Open numeric
@attribute SMI_High numeric
@attribute DOWJONES_High numeric
@attribute US_COFFEE_Open numeric
@attribute US_COFFEE_High numeric
@attribute US_COFFEE_Low numeric
@attribute OMXS_Now numeric
@attribute AUD_KRW_Open numeric
@attribute EUR_GBP_High numeric
@attribute EUR_GBP_Low numeric
@attribute BRENT_OIL_Now numeric
@attribute BRENT_OIL_High numeric
@attribute BRENT_OIL_Low numeric
@attribute GBP_KRW_Open numeric
@attribute GBP_KRW_High numeric
@attribute GBP_KRW_Low numeric
@attribute AUD_SGD_Open numeric
@attribute Russell_Now numeric
@attribute Russell_Open numeric
@attribute Russell_Low numeric
@attribute BRL_KRW_Now numeric
@attribute BRL_KRW_Open numeric
@attribute Gold_Now numeric
@attribute Gold_Open numeric
@attribute Gold_High numeric
@attribute IBEX_Now numeric
@attribute IBEX_Open numeric
@attribute IBEX_Low numeric
@attribute Corn_High numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_High_y numeric
@attribute IDX_Now numeric
@attribute IDX_Open numeric
@attribute IDX_Low numeric
@attribute NZD_USD_Now numeric
@attribute NZD_USD_Open numeric
@attribute NZD_USD_High numeric
@attribute CSE_Open numeric
@attribute CSE_High numeric
@attribute JAPAN_10_YEAR_Open numeric
@attribute CAD_KRW_High numeric
@attribute CAD_KRW_Low numeric
@attribute USD_KRW_Now numeric
@attribute TA_Now numeric
@attribute S&P_TSX_Low numeric
@attribute JPY_KRW_Now numeric
@attribute JPY_KRW_Open numeric
@attribute JPY_KRW_High numeric
@attribute JPY_KRW_Low numeric
@attribute Tadawul_Open numeric
@attribute Tadawul_High numeric
@attribute SET_Now numeric
@attribute SET_Open numeric
@attribute SET_Low numeric
@attribute HEATING_OIL_Now numeric
@attribute HEATING_OIL_Open numeric
@attribute HEATING_OIL_High numeric
@attribute HEATING_OIL_Low numeric
@attribute ITALY_10_YEAR_Now numeric
@attribute ITALY_10_YEAR_Low numeric
@attribute USD_JPY_Open numeric
@attribute USD_JPY_High numeric
@attribute USD_JPY_Low numeric
@attribute Silver_Now numeric
@attribute Silver_High numeric
@attribute US_WHEAT_High numeric
@attribute US_WHEAT_Low numeric
@attribute AUS_10_YEAR_Now numeric
@attribute AUS_10_YEAR_Open numeric
@attribute AUS_10_YEAR_High numeric
@attribute AUS_10_YEAR_Low numeric
@attribute BEL_Now numeric
@attribute BEL_Open numeric

@data
2010-1-4, 13.37, -0.014, -0.0019, -0.0025, -0.0096, -0.63, -2.47, -39.7, 0.01, -0.002, 0.13, -0.19, -0.04, -0.53, -0.145, -0.106, 279.64, -0.076, -0.076, -8.63, -51.77, -3.78, -0.025, -0.025, -4.14, 0.029, 0.039, 0.0, 50.84, 21.66, 54.48, -11.89, -10.24, 2.88, 0.03, -0.48, 0.025, 0.025, 0.025, -0.01, -0.19, -3.23, -8.99, -6.12, 0.0114, 0.0015, 0.0135, 0.006, 0.013, 0.013, -635.0, -70.0, -185.0, 0.035, -0.086, 0.41, 0.44, 16.19, -158.77, 95.66, -50.97, -62.61, 4.9, -5.82, -22.37, -0.75, -0.85, -0.3, -14.08, 6.38, 0.001, -0.0063, 0.39, 0.62, 0.71, -15.68, -4.12, -7.8, 0.0099, 0.23, -3.06, -4.84, 0.94, -1.44, -5.5, -8.5, -8.1, -95.1, -16.3, -62.2, -1.25, -127.85, -6.07, 15.37, 9.04, 14.14, 0.0064, 0.0093, 0.0023, 10.8, 17.8, -0.013, -7.19, -16.36, 0.25, 2.32, -18.73, -0.0598, -0.0743, -0.05, -0.1208, -55.97, -42.11, -7.62, 5.3, -1.52, 0.0065, 0.031, 0.0073, 0.029, 0.032, 0.032, 0.28, 0.69, 0.46, -0.312, -0.46, -3.75, 0.5, -0.075, -0.075, -0.075, -0.075, -15.27, -0.78
2010-1-5, -5.52, 0.005, 0.0078, -0.0027, 0.0093, 0.75, 3.03, 102.4, -0.0305, -0.159, -2.59, -0.39, -1.24, -1.78, -0.135, -0.035, 1492.56, 0.201, 0.201, -26.77, 24.98, 2.293333333, -0.086, -0.086, -5.38, 0.063, 0.073, 0.07, -18.84, 77.92, 28.28, -11.33, -15.68, 17.14, -2.245, -1.54, 0.014, 0.014, 0.014, 0.03, -8.61, -1.09, -4.55, -9.12, -0.0131, 0.0081, -0.0061, -0.0073, 0.002, 0.002, 850.0, 1640.0, 855.0, -0.248, -0.0736, 2.23, 1.17, -507.16, 129.96, -98.17, 61.7, 85.53, -27.69, 21.71, 58.34, -0.5, 4.3, 0.0, 11.84, 3.02, -0.0086, -0.0055, 2.09, 1.83, 0.83, 27.33, 4.71, 6.32, 0.0035, 6.69, -2.87, 0.55, -2.62, -2.22, 26.2, 0.6, 25.2, 205.1, -31.9, 63.1, 9.5, 296.63, 88.15, 41.05, 13.65, 13.89, 0.011, 0.0068, 0.0116, 29.02, 100.25, 0.014, -7.91, -2.79, -17.25, 22.42, 73.12, -0.2007, -0.16899999999999998, -0.1873, -0.1646, 28.13, 55.22, -2.26, -4.03, -7.76, 0.0812, 0.0286, 0.0715, 0.0275, -0.024, -0.024, 0.76, 0.45, 0.2, 0.6609999999999999, 0.425, 11.25, 0.12, 0.065, 0.065, 0.065, 0.065, 53.31, 3.27
2010-1-6, 14.7, -0.044, -0.0044, 0.0084, 0.0027, 6.56, 4.03, 22.2, -0.039, -0.047, -1.55, -1.95, -1.9, -1.86, 0.132, -0.036000000000000004, 513.58, -0.084, -0.084, 68.42, 41.24, 2.293333333, 0.031, 0.031, 13.1, 0.008, 0.002, 0.016, 38.42, -35.28, -4.77, -8.57, -12.21, 0.29, -1.27, -1.7, -0.004, -0.004, -0.004, -0.06, -13.96, -6.91, -5.78, -8.76, -0.0021, -0.0103, -0.0093, -0.0016, -0.021, -0.021, 1350.0, 600.0, 1170.0, -0.1637, -0.1206, 0.26, 1.32, 608.56, 315.18, 110.1, 47.43, -52.18, 42.21, -9.08, 5.52, 5.85, 0.25, 4.4, 3.71, 4.76, 0.0047, 0.009000000000000001, 0.47, 0.36, 1.41, -30.21, -27.47, -31.36, 0.0161, -1.61, 11.58, 7.84, -9.43, 1.01, 0.4, 24.9, 4.2, 59.3, 155.3, 153.7, -6.25, 10.71, 109.12, 29.87, 41.67, 42.72, -0.0005, 0.0106, 0.0036, 95.98, 45.25, 0.011, -7.4, -4.82, -9.8, 5.54, 91.12, 0.0083, -0.0737, -0.0775, -0.0444, 51.85, 51.71, -0.17, 0.72, 5.15, 0.0036, 0.0549, 0.0095, 0.0378, -0.022, -0.022, -0.28, -0.7, -0.94, 0.341, 0.405, -1.25, 11.38, -0.136, -0.136, -0.136, -0.136, 23.8, 45.14
2010-1-7, -21.87, 0.055, 0.0044, -0.0045, -0.0048, -1.94, -1.67, 7.5, -0.073, 0.09, -1.49, -1.54, -0.92, -1.07, -0.147, 0.217, 342.04, -0.085, -0.085, -11.55, -18.58, 2.293333333, 0.048, 0.048, 4.29, 0.08199999999999999, 0.08800000000000001, 0.064, -27.96, 23.05, 5.36, -16.01, -12.67, -7.62, -1.39, -0.89, 0.009000000000000001, 0.009000000000000001, 0.009000000000000001, 0.066, -3.84, -14.97, -11.49, -5.71, -0.0078, -0.003, -0.0015, -0.0025, 0.022, 0.022, 50.0, 330.0, 150.0, 0.0347, -0.1533, 1.41, -0.1, 1.12, -151.59, -9.89, 5.6, -19.85, -22.48, -14.57, 8.08, -0.25, -0.05, -0.35, -0.725, -11.12, -0.0002, -0.0019, 1.3, 1.37, 0.02, -28.77, -24.9, -13.91, -0.0017, -0.54, -1.4, 0.45, -6.91, -9.72, 17.8, -1.3, 12.7, 18.1, 74.6, 7.8, 2.0, 66.56, -20.57, -1.98, 29.86, 12.09, 0.0041, -0.0006, -0.0003, 38.3, 9.75, 0.014, -5.21, -4.36, -11.0, 1.1, 50.85, -0.2039, -0.0039, 0.0222, -0.1422, 37.34, 15.78, 3.62, -2.65, 1.86, 0.0091, -0.0129, 0.006, -0.0044, 0.03, 0.03, -0.91, 0.23, 0.28, 0.382, 0.37, 7.75, -0.88, -0.005, -0.005, -0.005, -0.005, 8.66, 23.26
2010-1-8, 11.81, 0.017, -0.0095, 0.0043, 0.0011, -1.02, -1.38, -3.3, 0.0405, -0.053, 1.31, -1.64, -1.0, -0.19, 0.343, 0.033, -213.68, 0.179, 0.179, -15.59, -35.84, 2.293333333, 0.006999999999999999, 0.006999999999999999, -2.63, -0.066, 0.024, -0.022, -61.44, -23.53, -27.05, -7.82, -4.06, -1.04, 1.145, -0.17, -0.036000000000000004, -0.036000000000000004, -0.036000000000000004, -0.002, 2.17, -3.96, -1.47, -2.76, 0.0029, -0.0067, -0.0037, -0.002, -0.02, -0.02, 140.0, -500.0, -55.0, 0.2215, 0.0077, -0.52, 1.41, 99.8, 147.66, 33.2, -24.5, -4.05, -61.68, -33.63, 0.38, -0.05, -0.25, -0.2, -0.725, -1.57, 0.0013, 0.0054, -0.38, -0.16, 1.28, -15.45, -10.8, -6.68, 0.0083, 4.02, -0.18, -3.66, -0.08, -7.33, -2.8, 11.4, -6.2, -56.2, -53.4, -68.5, 2.0, 86.72, 122.87, -16.41, -1.98, -17.44, -0.0053, 0.0044, 0.0044, -10.58, -32.98, 0.0, 1.85, 3.23, 9.0, -3.52, -68.58, -0.03, -0.2026, -0.165, -0.0879, 26.34666667, 16.11, -1.1, 4.04, 1.09, -0.0196, 0.0245, -0.0051, 0.0145, -0.041, -0.041, 0.8, 1.03, 0.58, 0.17, -0.09, -0.63, 5.13, 0.033, 0.033, 0.033, 0.033, -5.75, 1.64
2010-1-11, -1.14, -0.036000000000000004, 0.0095, -0.0087, -0.0007, 1.42, 0.29, 7.5, -0.0135, -0.015, -1.44, 1.0, -0.06, 0.13, -0.206, -0.255, 42.97, 0.103, 0.103, 11.82, 10.99, 2.293333333, 0.01, 0.01, 4.9, -0.024, -0.101, -0.031, 3.22, -76.73, -69.9, -7.32, -5.38, 17.12, -1.29, 0.07, 0.002, 0.002, 0.002, 0.009000000000000001, 1.25, 2.66, -1.46, -2.53, -0.0046, 0.0023, 0.001, 0.0003, 0.008, 0.008, 250.0, 115.0, 95.0, -0.1201, 0.1759, 0.09, -0.46, 237.35, 10.27, 0.55, 40.89, 62.52, 38.17, 61.62, -2.49, 0.9, 3.6, 2.1, 7.62, 6.12, -0.0019, -0.0059, -0.14, 0.0, -0.46, 5.88, 1.26, 2.14, 0.0006, 2.59, 2.23, 6.82, 1.9, 0.04, 5.1, -7.2, 3.9, -3.3, 55.0, 0.8, -0.25, 102.12, 154.63, 27.48, -16.71, 13.58, 0.0045, -0.0055, -0.005, -30.8, 9.0, 0.02, -2.48, -3.9, -9.95, 1.74, 43.63, -0.0264, -0.0306, -0.0942, -0.021, 26.34666667, 16.11, 4.33, -2.48, 2.28, 0.0167, -0.0181, 0.0012, -0.0192, -0.008, -0.008, 1.1, -0.1, 0.17, 0.125, 0.32, 2.63, -2.5, 0.025, 0.025, 0.025, 0.025, 0.96, 5.94
2010-1-12, 4.52, 0.012, 0.0101, 0.0112, 0.0118, 2.22, 1.87, 3.9, -0.0275, -0.299, -1.11, -1.56, -1.82, -1.83, -0.251, -0.228, 302.17, 0.091, 0.091, 29.31, 58.9, 2.293333333, -0.08800000000000001, -0.08800000000000001, 5.8, 0.041, 0.055, 0.055, 16.75, 124.35, 107.83, 1.82, 3.17, -4.76, -0.985, -1.63, -0.033, -0.033, -0.033, -0.012, 0.13, 1.29, 1.45, 6.04, 0.0034, -0.0061, -0.004, -0.0043, -0.034, -0.034, 360.0, 360.0, -70.0, -0.0562, -0.2095, -0.23, 0.16, -175.46, -32.82, 13.525, 43.06, -25.62, 78.11, 30.67, 86.76, 3.4, 0.95, 0.6, 4.74, 2.97, 0.0021, 0.0051, -0.4, 0.4, -0.18, -2.21, -7.41, -4.2, 0.0106, -0.57, 6.98, 1.83, -8.15, -0.32, 12.5, 18.1, 24.3, -88.5, -25.5, -13.8, 1.25, -36.37, 147.69, 17.83, 28.82, 31.76, 0.0047, 0.0075, 0.0056, 36.07, 27.69, -0.0035, -3.89, -4.78, -7.75, 1.74, 60.09, -0.0042, -0.0253, -0.0377, -0.0083, 26.34666667, 16.11, 7.99, 6.79, 6.69, -0.0202, 0.0281, 0.0191, 0.0073, -0.025, -0.025, -1.1, -1.01, -0.46, 0.225, 0.375, 4.87, 10.0, 0.01, 0.01, 0.01, 0.01, -5.78, 6.94
2010-1-13, -27.23, -0.056, -0.0019, 0.0082, -0.001, -3.51, -5.13, -39.4, 0.0005, 0.393, 0.02, -0.7, 0.32, 0.29, -0.091, -0.02, -639.24, -0.093, -0.093, -18.54, -106.42, 54.57, -0.044, -0.044, -10.25, -0.092, -0.095, -0.125, 61.22, -95.91, -31.55, 2.14, 6.37, -30.1, 0.025, 0.26, -0.018000000000000002, -0.018000000000000002, -0.018000000000000002, -0.107, -1.16, 0.62, 1.74, 4.63, 0.0061, 0.0053, 0.0072, 0.0062, -0.031, -0.031, -1190.0, -1010.0, -865.0, -0.2114, 0.1075, -1.73, -2.05, 58.23, -70.62, 13.525, 43.06, -50.36, -56.11, -57.64, -38.39, -1.85, -2.1, -0.05, -8.63, -5.32, -0.0001, -0.0016, -1.67, -1.59, -1.92, -5.71, 3.42, 4.84, -0.0035, -8.49, -7.36, -7.77, -4.29, -6.44, -21.8, 12.0, -4.0, -108.4, -98.1, -125.0, -6.0, -191.41, -195.35, 27.35, 16.7, 8.16, -0.0035, 0.0015, -0.0006, 1.15, -28.88, -0.0035, -7.0, -7.03, 0.25, -23.86, -156.71, 0.1539, -0.0132, 0.1468, 0.0522, -26.75, -26.75, -1.71, 2.45, 2.43, -0.0483, -0.0425, -0.0519, -0.0586, 0.004, 0.004, -0.25, -0.23, -1.1, -0.44, -0.095, -0.25, -43.0, -0.06, -0.06, -0.06, -0.06, -20.81, -15.81
2010-1-14, 14.36, 0.054000000000000006, 0.0017, -0.003, 0.0036, -5.33, 0.35, -25.2, 0.0335, -0.024, 0.27, 0.06, 0.47, 0.11, 0.103, 0.18, 197.45, -0.08199999999999999, -0.08199999999999999, -102.22, 0.52, -11.97, 0.029, 0.029, 1.41, 0.051, -0.016, 0.002, -101.31, -0.72, -42.38, 7.58, -2.39, 25.59, 0.255, 0.12, 0.005, 0.005, 0.005, 0.076, 1.56, -2.35, 2.43, -0.95, -0.0086, 0.0056, -0.0004, -0.0024, -0.011, -0.011, 420.0, 495.0, 165.0, 0.1385, -0.2373, -1.14, -1.54, -157.47, -47.29, 25.13, -33.82, 12.65, -88.46, -35.74, 45.64, -1.05, 1.2, 0.25, 5.41, -11.19, -0.0058, -0.0062, -0.99, -1.77, -1.45, 6.34, 17.62, 6.04, -0.0114, 8.06, -2.81, -0.36, -2.0, -3.26, 7.5, -26.9, -20.8, -7.8, -171.4, -31.5, -33.75, 75.05, -190.86, -26.68, 25.59, -0.31, 0.0019, -0.0034, -0.0006, -21.16, 21.53, -0.014, 0.56, -0.18, 2.25, 6.05, -27.95, -0.0354, 0.1576, 0.0633, 0.1121, -25.13, 12.66, 1.5, -3.99, -3.75, -0.0372, -0.057, -0.0564, -0.0474, 0.035, 0.035, -1.0, -0.88, 0.18, 0.295, -0.18, -36.37, -1.25, -0.105, -0.105, -0.105, -0.105, 10.06, -28.48
2010-1-15, 16.03, -0.056, -0.0009, 0.0026, -0.0028, 5.84, 3.75, 24.7, -0.0515, 0.002, 0.07, 0.27, -0.98, -0.02, 0.166, 0.019, -118.06, 0.04, 0.04, 61.91, 26.45, 22.11, 0.015, 0.015, 10.62, -0.012, 0.062, 0.066, 42.89, -21.6, -13.8, -7.33, 3.0, 8.84, -0.015, 0.0, 0.006, 0.006, 0.006, -0.051, -0.06, 2.26, -5.11, -1.35, -0.0076, -0.0086, -0.0089, -0.0067, -0.008, -0.008, 170.0, -150.0, 210.0, -0.0568, 0.1302, -0.26, 0.55, 50.69, -81.39, -17.41, 44.39, 72.87, 80.54, 73.45, 20.03, 2.2, -0.35, 0.8, 6.54, 6.66, -0.0031, -0.0028, -0.49, -0.11, 0.45, 16.52, 2.04, 14.58, 0.0041, 2.87, 6.41, 8.9, -0.55, -2.66, 6.2, 8.9, 9.5, 41.5, 126.1, -7.3, -2.5, 147.59, 233.39, 12.31, -24.32, 10.12, 0.002, 0.002, 0.0019, 21.16, 17.46, 0.006999999999999999, 8.41, 8.54, 0.0, -4.95, 37.88, 0.0351, -0.036000000000000004, -0.053, -0.0619, 42.46333333, 40.21, 2.68, 9.16, 6.54, -0.0117, -0.0165, -0.0098, 0.0049, 0.011, 0.011, 0.29, 0.49, -0.05, 0.105, 0.05, -3.0, 6.5, 0.063, 0.063, 0.063, 0.063, -3.74, 22.14
