@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_High numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute EUR_USD_High numeric
@attribute EUR_USD_Low numeric
@attribute AEX_Open numeric
@attribute AEX_Low numeric
@attribute FTSE_Now_x numeric
@attribute FTSE_Open_x numeric
@attribute IDR_KRW_Low numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Open numeric
@attribute GAS_Open numeric
@attribute GAS_High numeric
@attribute Brazil_Now numeric
@attribute Brazil_Open numeric
@attribute Brazil_High numeric
@attribute HONH_KONG_10_YEAR_Now numeric
@attribute HONH_KONG_10_YEAR_Open numeric
@attribute HONH_KONG_10_YEAR_High numeric
@attribute DAX_High numeric
@attribute DAX_Low numeric
@attribute MOEX_Now numeric
@attribute MOEX_High numeric
@attribute UK_10_YEAR_Now numeric
@attribute UK_10_YEAR_High numeric
@attribute UK_10_YEAR_Low numeric
@attribute Nifty_Open numeric
@attribute Nifty_Low numeric
@attribute S&P_Now numeric
@attribute Copper_Now numeric
@attribute Copper_Open numeric
@attribute Copper_Low numeric
@attribute SANGHAI_Open numeric
@attribute EUR_KRW_Now numeric
@attribute NASDAQ_Now numeric
@attribute NASDAQ_Low numeric
@attribute FRANCE_10_YEAR_Open numeric
@attribute FRANCE_10_YEAR_High numeric
@attribute US_10_YEAR_Low numeric
@attribute CHF_KRW_Low numeric
@attribute USD_CAD_High numeric
@attribute USD_CAD_Low numeric
@attribute GERMANY_10_YEAR_Now numeric
@attribute GERMANY_10_YEAR_High numeric
@attribute GERMANY_10_YEAR_Low numeric
@attribute iBovespa_High numeric
@attribute INR_KRW_Now numeric
@attribute INR_KRW_Open numeric
@attribute INR_KRW_High numeric
@attribute WTI_High numeric
@attribute WTI_Low numeric
@attribute S&P_BMV_Now numeric
@attribute NIKKEI_High numeric
@attribute SOUTH_KOREA_10_YEAR_Open numeric
@attribute SOUTH_KOREA_10_YEAR_High numeric
@attribute SOUTH_KOREA_10_YEAR_Low numeric
@attribute SMI_High numeric
@attribute DOWJONES_Now numeric
@attribute DOWJONES_Open numeric
@attribute DOWJONES_High numeric
@attribute US_COFFEE_Now numeric
@attribute US_COFFEE_Open numeric
@attribute OMXS_Now numeric
@attribute OMXS_Open numeric
@attribute AUD_KRW_Now numeric
@attribute BRENT_OIL_Now numeric
@attribute BRENT_OIL_Open numeric
@attribute BRENT_OIL_High numeric
@attribute AUD_SGD_Open numeric
@attribute Russell_Now numeric
@attribute Russell_Open numeric
@attribute Russell_High numeric
@attribute Russell_Low numeric
@attribute BRL_KRW_Now numeric
@attribute BRL_KRW_Open numeric
@attribute BRL_KRW_High numeric
@attribute Gold_Open numeric
@attribute Gold_High numeric
@attribute Gold_Low numeric
@attribute IBEX_Now numeric
@attribute IBEX_Low numeric
@attribute GBP_USD_High numeric
@attribute Corn_Now numeric
@attribute Corn_High numeric
@attribute Corn_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_Low_y numeric
@attribute IDX_Open numeric
@attribute IDX_High numeric
@attribute IDX_Low numeric
@attribute SPAIN_10_YEAR_Now numeric
@attribute SPAIN_10_YEAR_Open numeric
@attribute SPAIN_10_YEAR_High numeric
@attribute SPAIN_10_YEAR_Low numeric
@attribute NZD_USD_Open numeric
@attribute NZD_USD_High numeric
@attribute CSE_Now numeric
@attribute JAPAN_10_YEAR_Open numeric
@attribute JAPAN_10_YEAR_Low numeric
@attribute CAD_KRW_Low numeric
@attribute USD_KRW_High numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Now numeric
@attribute JPY_KRW_Now numeric
@attribute JPY_KRW_Open numeric
@attribute Tadawul_Now numeric
@attribute Tadawul_Open numeric
@attribute Tadawul_High numeric
@attribute Tadawul_Low numeric
@attribute SET_Now numeric
@attribute SET_Low numeric
@attribute HEATING_OIL_Now numeric
@attribute HEATING_OIL_High numeric
@attribute HEATING_OIL_Low numeric
@attribute ITALY_10_YEAR_Open numeric
@attribute ITALY_10_YEAR_High numeric
@attribute ITALY_10_YEAR_Low numeric
@attribute USD_JPY_Now numeric
@attribute USD_JPY_Open numeric
@attribute USD_JPY_High numeric
@attribute Silver_Open numeric
@attribute Silver_High numeric
@attribute Silver_Low numeric
@attribute US_WHEAT_Now numeric
@attribute US_WHEAT_Low numeric
@attribute BEL_Low numeric

@data
2013-1-2, 34.05, -0.035, -0.014, -0.0027, -0.0034, 2.07, -1.63, -28.93, 0.12, -0.018000000000000002, -0.67, -0.18, 0.06, 0.107, 536.13, -547.71, -124.92, -0.005, -0.005, -0.011, -10.82, -37.41, -3.52, -1.97, 0.011, -0.078, -0.039, -43.05, 14.8, -15.67, -0.012, 0.012, -0.006999999999999999, -15.74, -8.32, -25.6, 8.33, -0.013, 0.005, -0.033, -7.95, 0.0012, 0.0031, -0.021, -0.069, -0.025, -135.0, -0.0231, -0.0501, -0.064, 0.05, 0.27, 252.04, 57.24, -0.04, -0.04, -0.07, -13.64, -158.2, -19.89, -46.28, -1.05, -0.95, -6.18, 6.99, -6.17, -0.18, 0.46, 0.05, -0.0017, -5.3, -1.04, -1.38, 4.36, -3.41, 0.77, 0.63, 7.8, 1.9, -2.5, -149.9, -127.3, -0.0032, 2.5, 0.75, -0.5, -134.9, 83.21, -91.63, 22.92, 35.11, 25.07, -0.009000000000000001, 0.031, 0.02, -0.002, 0.0009, 0.0001, 18.11, 0.005, 0.012, -5.96, -2.14, 25.695, -57.65, -0.0565, -0.0843, 24.53333333, -1.5466666669999998, 24.47, 11.14666667, -5.26, 7.61, -0.0275, 0.001, -0.0135, 0.055, 0.045, -0.002, -0.08, 0.47, 0.48, 0.25, 0.215, -0.02, 1.5, 2.5, -11.42
2013-1-3, -11.69, 0.114, 0.033, 0.0044, -0.001, 3.16, 5.34, 102.0, -56.49, -0.022, -0.62, -0.82, -0.064, -0.129, 1598.02, 574.39, 1820.62, 0.07400000000000001, 0.006, 0.07400000000000001, 124.26, 86.57, 8.02, 7.502000000000002, 0.172, 0.163, 0.129, 95.45, 102.5, 59.99, 0.146, 0.041, 0.065, 27.2, -9.2, 151.95, 124.12, 0.042, 0.07200000000000001, 0.134, -6.48, -0.0028, -0.0104, 0.136, 0.125, 0.079, 1865.0, 0.1106, -0.0704, 0.0493, 2.38, 1.24, 582.24, 100.2, 0.0, 0.02, 0.05, 70.615, 474.44, 9.22, 317.25, 2.55, -2.05, 25.23, 11.29, 9.53, 1.85, 0.26, 1.52, 0.0012, 41.32, 11.94, 35.63, 17.25, -1.45, -4.21, -2.86, 8.8, 29.8, 16.3, 316.6, 182.8, 0.0209, -3.25, 11.0, -1.0, 620.01, 133.68, 299.69, 23.65, 39.73, 27.02, -0.229, -0.093, -0.105, -0.238, 0.0068, 0.0167, 76.66, -0.000666667, -0.000666667, -1.33, -6.11, 25.695, 224.65, -0.2175, -0.1844, 24.53333333, -1.5466666669999998, 24.47, 11.14666667, 15.52, 9.1, 0.0015, -0.0128, -0.0009, -0.133, -0.134, -0.235, 1.32, 0.58, 0.71, 0.43, 1.135, 0.655, -19.5, -14.5, 39.5
2013-1-4, -7.47, 0.026, 0.062, -0.011, -0.0111, 1.9, 2.33, 19.97, 129.56, 0.003, -0.05, -0.42, -0.117, -0.122, 762.36, 1564.7, 585.59, 0.006, 0.09, 0.032, -12.92, 48.52, 8.02, 7.502000000000002, 0.07, 0.083, 0.085, 33.2, 4.55, -3.05, -0.023, 0.079, 0.039, 27.2, -14.95, -11.69, 8.79, 0.053, 0.043, 0.076, -9.1, -0.0059, 0.0006, 0.032, 0.033, 0.058, 545.0, -0.0901, 0.1183, 0.0471, -0.57, 0.93, 66.47, 100.2, 0.01, -0.01, -0.08, 70.615, -21.19, 308.71, 17.89, -2.9, 3.6, 0.44, 5.15, -4.1, -0.33, 0.7, -0.48, 0.012, -0.82, 24.5, 4.44, 21.43, -0.32, -0.43, -0.55, 13.3, -7.0, -8.0, -44.2, 47.6, -0.0124, -1.5, -12.5, -2.75, 16.44, 283.18, 208.9, 33.83, 36.67, 39.99, -0.009000000000000001, -0.17600000000000002, -0.151, -0.01, 0.0064, -0.0041, 46.66, -0.000666667, -0.000666667, 6.3, -1.55, -10.0, -70.33, -0.0034, -0.0823, 24.86333333, 48.23333333, 25.5, 38.98333333, 0.96, 4.04, -0.0212, -0.0273, -0.0265, -0.147, -0.122, -0.045, -0.11, 0.65, 0.02, 0.145, -0.335, -0.13, -4.63, -2.38, 4.67
2013-1-7, -0.69, 0.053, 0.067, -0.0101, -0.0047, -0.45, 0.29, 42.5, 19.97, 0.016, -0.14, -0.06, -0.033, 0.063, -789.4, 759.18, -158.33, 0.101, 0.096, 0.086, 2.65, -10.43, 8.02, 7.502000000000002, 0.069, 0.065, 0.105, -3.85, -5.0, 7.1, -0.022, -0.035, -0.008, 27.2, 1.27, 1.09, -1.47, 0.083, 0.045, -0.008, -3.28, 0.0039, 0.0008, 0.071, 0.08, 0.059, -305.0, -0.1799, -0.0602, -0.0743, -0.09, -0.97, 191.69, 100.2, -0.07, -0.04, 0.0, 38.66, 43.85, -21.96, 16.51, 0.85, -3.2, 6.37, 1.26, 1.34, -0.83, -0.48, -0.64, 0.0018, 6.55, -1.14, 2.04, 1.93, 2.45, -0.28, 0.11, -39.1, -28.5, -36.3, 32.4, 52.4, -0.0148, -9.0, -2.5, -5.5, 49.95, 31.36, 13.69, 50.52, 17.15, 33.31, 0.027000000000000003, -0.022, -0.001, -0.006999999999999999, -0.0058, -0.003, 17.26, -0.000666667, -0.000666667, -3.37, 0.4, -0.86, 70.37, -0.1378, 0.0058, 24.86333333, 48.23333333, 25.5, 38.98333333, 8.25, -5.02, -0.0074, -0.0188, -0.0251, -0.048, -0.036000000000000004, 0.019, 0.92, -0.11, 1.04, -1.34, -0.79, -1.245, -5.37, -10.37, -12.23
2013-1-8, -13.31, -0.021, -0.005, 0.003, 0.0019, 1.77, 0.99, -25.26, 42.5, -0.126, 0.17, -0.13, 0.079, 0.053, -590.52, -791.16, -615.35, -0.04, -0.054000000000000006, -0.048, -12.12, -14.13, 8.02, 7.502000000000002, -0.035, -0.028, -0.005, 30.2, -4.4, -4.58, -0.016, 0.001, -0.028, -17.85, 5.42, -2.85, -6.93, -0.032, -0.021, -0.002, 1.4, -0.0036, 0.0004, -0.028, -0.02, 0.02, -615.0, -0.086, -0.1673, -0.1616, 0.14, 0.9, 63.6, 9.46, 0.0, -0.02, 0.0, 14.01, -50.92, 45.08, -10.98, 3.05, 1.95, -6.64, 8.04, 2.72, 0.09, -0.3, -0.09, 0.0027, -3.35, 3.65, -1.32, 1.05, 2.35, 2.44, 2.35, 9.5, 1.6, 18.1, -16.8, 19.6, 0.001, 5.25, -2.25, -1.5, -64.12, 95.02, 77.78, 0.8, 9.17, -2.23, 0.041, 0.052000000000000005, 0.037000000000000005, 0.054000000000000006, 0.0027, 0.0053, -1.62, 0.045, 0.035, 2.06, -0.2, -0.86, -41.26, 0.0573, -0.1364, 24.86333333, 48.23333333, 25.5, 38.98333333, -1.34, 15.35, 0.0144, 0.0214, 0.0277, 0.041, 0.059, 0.023, -0.37, 0.96, -0.03, 0.96, 0.185, 0.7, 3.37, 3.75, 5.55
2013-1-9, -6.13, -0.018000000000000002, -0.02, 0.0021, 0.004, -1.67, -1.56, -10.95, -25.26, 0.0, 0.29, 0.16, -0.001, -0.071, -804.7, -590.19, -433.88, 0.008, 0.017, 0.021, -13.17, -29.94, 8.02, 7.502000000000002, -0.063, -0.019, -0.064, -58.7, -12.75, -4.74, -0.006, -0.023, 0.009000000000000001, 12.99, -1.63, -7.0, -7.28, -0.025, -0.012, -0.037000000000000005, 2.94, -0.0003, -0.0009, -0.028, -0.022, -0.026, -425.0, 0.1092, -0.0866, -0.0566, 0.45, 0.25, -54.73, -141.57, -0.04, -0.04, -0.06, 15.4, -55.44, -58.71, -58.71, -2.25, 1.95, -4.75, -8.28, 1.41, 0.54, 0.0, 0.78, 0.0044, -1.1, -0.57, -2.83, -2.73, -3.22, 2.46, 0.54, -8.8, -0.4, 3.9, 34.0, -31.6, 0.0011, 3.25, 4.5, 5.75, 55.48, -142.4, -58.03, -12.97, -13.71, -5.84, -0.024, 0.045, 0.018000000000000002, -0.003, 0.0063, 0.0005, 5.84, -0.002, -0.002, 0.56, -0.7, -4.12, 5.26, 0.1096, 0.0546, 38.39, 10.19, 38.23, 30.41, 2.01, -7.24, 0.0264, 0.0297, 0.0237, 0.078, 0.012, 0.01, -0.73, -0.42, -0.55, -0.14, -0.005, 0.215, -1.37, 6.0, -7.96
2013-1-10, 14.99, -0.015, -0.011, -0.0046, -0.0021, 0.45, -0.22, 45.02, -10.95, 0.027000000000000003, -0.65, 0.3, -0.058, -0.054000000000000006, 450.74, -804.08, -453.22, 0.043, -0.011, 0.049, -19.6, 5.07, 1.19, -0.7, -0.002, -0.039, -0.01, 22.75, -5.95, 3.87, -0.001, 0.021, 0.002, -13.35, -6.75, 14.0, 19.74, 0.016, -0.003, -0.004, -4.68, -0.0004, 0.001, -0.008, -0.009000000000000001, -0.02, -420.0, -0.0181, 0.1002, 0.0427, -0.15, 0.01, 291.34, 18.58, -0.04, -0.04, -0.01, 64.11, 61.66, -47.5, 39.13, -0.25, -2.7, 2.29, -2.2, -2.35, -0.18, 0.48, -0.24, 0.0007, 4.81, 1.68, 3.22, 3.69, -0.92, -3.19, -4.59, 10.9, 2.6, 3.5, 153.4, 110.7, -0.0053, 5.5, 1.5, 2.75, 375.13, 188.38, 219.72, 9.58, -2.17, -31.86, 0.053, -0.049, 0.036000000000000004, -0.004, -0.0007, 0.0028, -6.83, -0.018000000000000002, -0.016, -1.44, -0.05, 3.67, 17.43, -0.1313, 0.1185, 73.42, 38.39, 80.7, 45.41, 6.13, 13.55, 0.0114, 0.0001, 0.0149, -0.086, -0.035, -0.014, 0.83, -0.72, 0.19, -0.16, -0.12, -0.03, -1.25, -4.5, -2.24
2013-1-11, -10.13, 0.024, 0.019, 0.0177, 0.0002, 0.38, 0.91, 2.86, 45.02, -0.012, -0.23, -0.64, -0.08800000000000001, -0.016, 99.73, 449.23, 135.43, 0.006, 0.043, -0.016, 38.91, -3.47, -8.85, 1.23, 0.067, 0.059, -0.005, -7.4, -11.15, 11.1, 0.039, -0.026, 0.003, 3.08, 17.23, 15.95, 2.13, -0.003, 0.029, 0.039, 0.56, 0.0001, -0.0023, 0.073, 0.057, 0.009000000000000001, 120.0, 0.1076, 0.0181, 0.0432, 1.05, 0.4, -2.74, 65.42, -0.01, -0.02, -0.02, 22.45, 80.71, 61.9, 61.65, 1.75, 1.6, -0.8, 3.12, 5.97, 0.13, -0.22, 1.06, -0.0008, 1.73, 2.04, 3.65, 1.88, 1.4, -0.89, 0.7, 13.9, 11.7, 21.3, 12.5, 63.0, 0.0093, 4.5, 4.5, 8.0, 124.8, 359.41, 196.54, -35.58, -34.63, -51.18, -0.213, 0.078, 0.02, -0.155, 0.0032, 0.0049, -12.89, 0.001, 0.006, -1.19, -1.05, 1.72, 77.5, -0.1352, -0.1612, -12.96, 20.63333333, -6.403333333, 8.673333332999999, -17.47, -17.51, -0.0156, 0.0384, 0.0018, 0.005, -0.029, -0.132, 0.9, 0.83, 0.77, 0.665, 0.555, 0.57, -3.63, -1.0, 10.99
2013-1-14, 10.37, 0.017, 0.026, 0.0093, 0.0209, 0.42, -0.48, 20.07, 2.86, -0.085, -0.13, -0.28, 0.063, 0.13, -180.88, 83.85, -264.37, 0.043, 0.038, 0.087, -42.24, -1.16, 3.68, -5.39, -0.013, 0.011, 0.054000000000000006, 13.6, -6.7, -0.07, -0.056, 0.014, -0.014, 10.81, 6.34, 3.88, 15.63, 0.047, 0.016, -0.033, 5.26, -0.0028, -0.0017, 0.03, 0.042, 0.08, -270.0, -0.1973, 0.0774, 0.0099, -0.57, -0.43, 28.33, 144.31, 0.03, 0.05, -0.01, 19.24, 17.21, 79.63, 18.48, 3.7, 1.0, 5.41, 0.45, -8.13, -1.25, 0.27, -1.34, 0.0042, -0.47, 1.72, -0.57, 0.86, -2.12, 1.38, -0.09, 0.6, -0.7, -18.3, 45.8, 31.6, 0.0009, 10.0, 23.25, -8.25, 51.32, 130.96, 102.76, -43.52, -35.38, 2.88, -0.032, -0.243, -0.257, -0.06, 0.0059, 0.0002, 14.28, 0.002, -0.008, -0.63, -4.58, 4.895, 2.44, -0.1069, -0.1278, -12.96, 20.63333333, -6.403333333, 8.673333332999999, 6.07, -11.51, -0.0458, -0.0571, -0.0533, -0.126, -0.098, -0.041, 0.4, 0.92, 0.66, 0.02, -0.045, -0.515, 11.88, -7.75, -14.63
2013-1-15, -23.3, -0.019, -0.012, 0.0038, 0.0086, 0.38, -2.69, -13.72, 20.07, 0.121, -0.12, -0.14, 0.18600000000000005, 0.07, 583.36, -150.52, 601.93, -0.048, 0.006, -0.054000000000000006, 54.37, 18.44, 17.64, 16.55, -0.049, -0.064, -0.037000000000000005, -45.2, 21.55, -1.37, -0.02, -0.008, -0.019, -48.9, 3.75, -8.14, -10.02, -0.019, -0.012, -0.018000000000000002, -4.83, 0.0015, 0.0018, -0.037000000000000005, -0.038, -0.018000000000000002, 535.0, 0.1199, -0.1991, -0.0438, 0.16, 0.3, -25.21, 60.94, -0.03, -0.05, 0.02, 36.44, 18.89, 16.98, 23.5, -0.05, 3.75, 0.56, 3.17, 2.65, 1.24, -1.33, 0.2, -0.0018, -0.67, -1.5, -1.64, 0.12, 0.26, -1.48, -1.36, -7.7, 0.7, 9.9, -32.6, 21.3, -0.0023, 15.25, 3.0, 26.75, -111.15, 46.91, -63.94, -3.1, 40.74, 12.47, 0.162, 0.019, 0.14400000000000002, 0.079, -0.0084, -0.002, 1.875, -0.0055, -0.0165, -1.33, -1.73, 4.895, 0.91, -0.0281, -0.1117, -12.96, 20.63333333, -6.403333333, 8.673333332999999, 13.01, 21.42, 0.054000000000000006, 0.0118, 0.0108, 0.0, 0.018000000000000002, 0.043, 0.29, 0.46, 0.23, -0.16, 0.265, 0.47, 12.37, 27.12, 2.49
