@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Now numeric
@attribute CANADA_10_YEAR_High numeric
@attribute EUR_USD_Now numeric
@attribute EUR_USD_Open numeric
@attribute EUR_USD_Low numeric
@attribute FTSE_Open_x numeric
@attribute FTSE_High_x numeric
@attribute FTSE_Low_x numeric
@attribute IDR_KRW_Now numeric
@attribute IDR_KRW_Low numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Open numeric
@attribute CNY_KRW_High numeric
@attribute CNY_KRW_Low numeric
@attribute GAS_Low numeric
@attribute Brazil_Now numeric
@attribute Brazil_Open numeric
@attribute Brazil_Low numeric
@attribute DAX_High numeric
@attribute DAX_Low numeric
@attribute RTSI_Open numeric
@attribute RTSI_Low numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute MOEX_Low numeric
@attribute UK_10_YEAR_High numeric
@attribute UK_10_YEAR_Low numeric
@attribute Nifty_Now numeric
@attribute Nifty_Open numeric
@attribute Nifty_High numeric
@attribute S&P_Open numeric
@attribute S&P_High numeric
@attribute S&P_Low numeric
@attribute Copper_Low numeric
@attribute EUR_KRW_Now numeric
@attribute EUR_KRW_Open numeric
@attribute EUR_KRW_High numeric
@attribute NASDAQ_Now numeric
@attribute NASDAQ_High numeric
@attribute NASDAQ_Low numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_High numeric
@attribute FRANCE_10_YEAR_Open numeric
@attribute FRANCE_10_YEAR_Low numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_Open numeric
@attribute CHF_KRW_Now numeric
@attribute CHF_KRW_High numeric
@attribute USD_CAD_Open numeric
@attribute GERMANY_10_YEAR_Open numeric
@attribute GERMANY_10_YEAR_High numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_Open numeric
@attribute INR_KRW_Now numeric
@attribute INR_KRW_Open numeric
@attribute INR_KRW_High numeric
@attribute INR_KRW_Low numeric
@attribute WTI_Now numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_High numeric
@attribute S&P_BMV_Low numeric
@attribute NIKKEI_Now numeric
@attribute NIKKEI_Open numeric
@attribute NIKKEI_Low numeric
@attribute SOUTH_KOREA_10_YEAR_Now numeric
@attribute SOUTH_KOREA_10_YEAR_High numeric
@attribute SMI_Low numeric
@attribute DOWJONES_Open numeric
@attribute DOWJONES_High numeric
@attribute DOWJONES_Low numeric
@attribute US_COFFEE_Now numeric
@attribute US_COFFEE_Open numeric
@attribute OMXS_Now numeric
@attribute OMXS_Low numeric
@attribute AUD_KRW_Low numeric
@attribute EUR_GBP_Now numeric
@attribute EUR_GBP_High numeric
@attribute GBP_KRW_Low numeric
@attribute AUD_SGD_Now numeric
@attribute AUD_SGD_Open numeric
@attribute AUD_SGD_High numeric
@attribute Russell_Now numeric
@attribute Russell_Open numeric
@attribute Russell_High numeric
@attribute Russell_Low numeric
@attribute BRL_KRW_Now numeric
@attribute BRL_KRW_High numeric
@attribute BRL_KRW_Low numeric
@attribute Gold_Now numeric
@attribute Gold_Open numeric
@attribute Gold_High numeric
@attribute Gold_Low numeric
@attribute IBEX_Open numeric
@attribute IBEX_High numeric
@attribute GBP_USD_Now numeric
@attribute GBP_USD_Open numeric
@attribute GBP_USD_High numeric
@attribute GBP_USD_Low numeric
@attribute Corn_Open numeric
@attribute Corn_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute SPAIN_10_YEAR_Now numeric
@attribute SPAIN_10_YEAR_Low numeric
@attribute NZD_USD_Open numeric
@attribute NZD_USD_Low numeric
@attribute CSE_Now numeric
@attribute JAPAN_10_YEAR_Now numeric
@attribute JAPAN_10_YEAR_Open numeric
@attribute JAPAN_10_YEAR_High numeric
@attribute CAD_KRW_Now numeric
@attribute CAD_KRW_High numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_Open numeric
@attribute USD_KRW_High numeric
@attribute USD_KRW_Low numeric
@attribute TA_Open numeric
@attribute TA_High numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute JPY_KRW_Now numeric
@attribute JPY_KRW_Open numeric
@attribute JPY_KRW_Low numeric
@attribute Tadawul_Now numeric
@attribute Tadawul_Open numeric
@attribute Tadawul_High numeric
@attribute SET_Open numeric
@attribute HEATING_OIL_High numeric
@attribute ITALY_10_YEAR_Now numeric
@attribute ITALY_10_YEAR_Open numeric
@attribute USD_JPY_High numeric
@attribute Silver_Now numeric
@attribute Silver_Open numeric
@attribute Silver_High numeric
@attribute US_WHEAT_Now numeric
@attribute US_WHEAT_Open numeric
@attribute US_WHEAT_Low numeric
@attribute AUS_10_YEAR_Now numeric
@attribute AUS_10_YEAR_Open numeric
@attribute AUS_10_YEAR_High numeric
@attribute BEL_Now numeric
@attribute BEL_Low numeric

@data
2011-1-3, 19.08, -0.005, -0.07400000000000001, 0.0059, 0.0109, 0.013, -1.7, -11.2, -10.5, -0.1635, -0.114, -1.46, 0.45, -0.33, -1.47, 0.019, 352.39, 910.18, 897.08, -0.19, -84.57, -1.59, -0.44, 10.31, 12.82, 8.8, -0.08900000000000001, -0.08900000000000001, 41.5, 57.2, 38.85, 0.66, -1.51, -2.46, 0.022, -13.09, 16.2, -1.0, -3.95, -0.12, -2.68, -1.98, -0.31, -0.062, -0.062, 0.012, 0.012, -2.83, 1.71, 0.0001, -0.063, -0.063, 158.0, 730.0, -0.2785, 0.0947, -0.0492, -0.1335, -1.28, 12.94, 112.33, 72.62, -115.62, 30.0, -94.5, -0.05, -0.05, -113.64, 13.09, -40.6, -22.03, -3.35, -0.1, -9.54, -5.11, -11.36, 0.0084, 0.0081, -19.32, -0.0059, 0.0028, 0.0005, -0.52, 0.0, 2.0, -0.6, -2.38, -0.18, -1.04, -7.5, 10.4, 1.6, 0.2, 51.5, -14.2, -0.0078, 0.0122, 0.0017, 0.0017, 0.5, -6.5, -297.72, -18.0, -137.0, -268.0, -0.017, -0.041, 0.012, 0.0117, -32.79, -0.044, 0.011, -0.026, -14.69, -2.39, -15.55, 2.85, -2.35, -13.35, 18.87, -0.01, -14.76, 36.6, 43.83, 17.55, -0.1768, 0.1742, -0.0587, 27.955, 19.725, 21.72, 3.17, 0.0026, -0.008, -0.008, -0.51, -0.191, 0.5, 0.285, -14.38, -0.88, -9.62, -0.08, -0.08, -0.08, -20.78, -5.6
2011-1-4, 15.06, -0.0105, -0.003, 0.0071, 0.0123, 0.0039, -1.9, 20.85, 8.5, -0.063, -0.11, -0.62, -2.98, -1.5, -0.86, 0.256, 657.51, 356.8, 364.59, 18.5, 72.61, 0.35, 0.948571429, 3.711428571, 1.474285714, 1.957142857, -0.0075, -0.0075, 55.75, 115.1, 72.15, -1.82, 15.08, 1.3, 0.08, -0.67, -19.93, -9.6, 28.54, 33.75, 14.51, -0.58, -1.75, -0.029, -0.029, -0.033, -0.033, -4.93, -4.58, -0.0058, -0.044, -0.044, 632.0, 365.0, -0.0254, -0.3853, -0.0651, -0.1142, 1.71, 362.66, 492.99, 353.08, 84.59, 11.5, 65.5, 0.1, 0.07, 36.89, -8.4, 136.46, 41.93, 2.4, 0.2, 21.28, 5.55, 0.14, 0.0013, 0.0013, -0.71, -0.0049, -0.0056, -0.0064, 8.82, 1.2, 7.7, 0.0, 1.55, 0.81, 0.95, 17.0, 1.8, 10.1, 10.6, -85.7, -4.1, 0.0061, 0.0071, 0.0048, 0.0067, 3.25, 7.5, 262.99, -325.0, 93.0, -60.0, -0.048, -0.002, 0.0114, 0.0063, 43.83, 0.0235, -0.0185, 0.006, 1.05, -7.72, -6.3, -25.5, -14.6, -8.0, 6.28, 9.14, -16.05, 40.29, 18.17, -37.005, -0.1008, -0.2396, -0.0507, 27.955, 19.725, 21.72, 3.785, 0.0572, -0.076, -0.076, -0.11, 0.608, 0.241, 0.295, 20.5, -5.62, 16.25, -0.044, -0.044, -0.044, 41.17, 7.4
2011-1-5, -2.59, -0.0105, -0.003, -0.005, 0.001, 0.004, -1.9, 20.85, 8.5, 0.015, 0.016, -0.32, 0.61, -0.87, -0.69, 0.066, 355.47, 652.12, 255.25, -0.76, -17.81, 0.35, 0.948571429, 3.711428571, 1.474285714, 1.957142857, -0.0075, -0.0075, -11.25, -4.7, 2.5, 15.33, -2.05, 5.04, -0.065, -4.21, 6.31, -2.37, -10.27, -3.98, -12.7, 0.115, -0.475, -0.039, -0.039, 0.004, 0.004, -17.26, -2.41, -0.0013, -0.014, -0.014, 408.0, 795.0, -0.1466, 0.1328, -0.1229, -0.2471, -2.17, -63.64, -155.93, -81.77, 84.59, 11.5, 65.5, 0.01, 0.04, 8.67, 93.47, 16.04, 5.56, -3.75, 0.3, -10.97, 4.66, -16.57, -0.0088, -0.0011, -3.8, -0.0115, -0.0031, -0.0055, -12.73, 8.3, -1.2, -11.7, -5.25, -1.08, -4.07, -44.1, -6.0, -13.0, -37.9, -3.9, -19.4, 0.0104, -0.0085, 0.0062, 0.0021, -6.25, -16.75, 110.75, 335.0, 122.0, 235.0, -0.087, -0.075, -0.0046, -0.0086, 43.89, 0.0235, -0.0185, 0.006, -5.15, -4.68, 0.85, 4.95, -4.55, -0.55, 2.04, -3.28, -16.05, 40.29, 18.17, -37.005, -0.0408, -0.0413, -0.1493, 23.3, 20.31, 21.69, 3.785, -0.0158, -0.182, -0.182, 0.53, -1.604, -0.6459999999999999, -0.745, -17.25, 10.12, -9.75, -0.044, -0.044, -0.044, 16.02, 35.84
2011-1-6, -4.94, 0.141, 0.123, -0.0152, -0.0054, -0.0168, 21.5, -5.64, -17.8, -0.0195, 0.033, -0.61, -0.5, 0.54, 0.18, -0.11, 773.24, 349.33, 241.79, -58.62, -109.12, 0.35, 0.948571429, 3.711428571, 1.474285714, 1.957142857, 0.086, 0.086, -66.55, -31.4, -39.7, -4.17, 3.51, 2.7, -0.05, -20.08, -6.36, -3.92, 20.95, 1.32, 8.25, -0.29, 0.27, 0.053, 0.053, 0.125, 0.125, -23.88, -15.75, 0.0048, 0.063, 0.063, 684.0, -400.0, -0.268, -0.2026, -0.1146, -0.0978, 0.92, 154.08, -21.73, -132.8, -17.33, 43.0, 40.0, 0.05, 0.03, -56.73, 17.86, 8.78, 27.3, -1.95, -4.9, -14.08, -16.57, -4.5, -0.0059, -0.0094, 5.62, -0.0024, -0.013, -0.0102, 9.26, -15.3, -5.41, 5.2, -6.33, -3.69, -2.0, -5.1, -26.2, -26.9, -11.6, -18.0, -91.8, -0.0074, 0.0101, -0.0019, -0.0003, -11.0, -3.0, 4.55, 13.0, -120.0, -112.0, -0.014, -0.051, -0.0059, -0.008, 52.46, -0.001, 0.047, 0.009000000000000001, 0.76, 0.8, -2.0, -0.3, 2.3, 3.0, -3.84, -3.56, -6.32, -165.02, -129.95, -25.55, -0.2251, -0.0489, -0.1442, -3.41, 23.3, 8.0, 1.89, -0.0187, 0.0, 0.0, 1.1, -0.319, -0.695, -0.665, 21.88, -9.87, -6.75, 0.008, 0.008, 0.008, -16.29, -19.54
2011-1-7, 8.59, -0.05, -0.04, -0.0151, -0.0158, -0.0128, 25.2, 45.44, 40.8, -0.0225, -0.065, -0.34, -0.62, -0.63, -0.91, -0.067, -512.2, 781.07, 667.46, 80.35, 106.17, 0.35, 0.948571429, 3.711428571, 1.474285714, 1.957142857, -0.022, -0.022, -31.55, -34.35, -25.2, 7.51, 0.54, 5.07, 0.009000000000000001, -16.29, -20.28, -20.42, 7.69, 10.15, 25.84, -0.055, -0.615, -0.005, -0.005, -0.064, -0.064, 0.66, -24.17, -0.0019, -0.03, -0.03, -536.0, 1400.0, -0.023, -0.2326, -0.221, -0.0316, -1.92, -106.57, 73.8, 194.16, 148.99, 126.0, 141.0, 0.05, 0.05, 96.34, 28.17, 20.06, 5.02, 0.0, -0.5, 3.825, 1.41, -7.26, -0.0068, -0.0056, -4.68, -0.0028, -0.0017, -0.0031, -3.67, 11.3, 1.51, 5.5, -4.92, -7.32, -7.52, -2.0, -8.6, -7.5, 4.7, -74.3, -49.8, -0.0046, -0.0066, -0.0065, -0.0002, 9.75, 0.0, 85.81, 122.0, 337.0, 350.0, 0.158, 0.03, -0.0094, -0.001, 55.42, 0.063, 0.032, 0.051, -0.58, -5.2, -0.3, -3.0, -4.6, -5.6, 5.81, 6.66, -84.32, 42.23, 13.15, -10.26, -0.019, -0.2314, -0.023, -9.473333333, 7.783333333, 3.9, 10.74, 0.005, 0.0, 0.0, 0.01, -0.063, -0.43, -0.44, -21.75, 15.62, 11.37, 0.045, 0.045, 0.045, -6.13, 6.69
2011-1-10, -5.39, -0.041, 0.021, -0.0082, -0.0141, -0.0089, -27.2, -68.0, -32.8, -0.052000000000000005, -0.024, -0.09, -0.04, -0.78, 0.1, -0.053, -521.63, -512.6, -751.06, -36.7, -9.19, 0.35, 0.948571429, 3.711428571, 1.474285714, 1.957142857, -0.009000000000000001, -0.009000000000000001, -143.65, -76.1, -64.95, -1.88, -1.34, -8.73, -0.059, -12.47, -15.25, -16.18, -6.72, 3.61, -21.37, -0.13, 0.23, -0.011, -0.011, -0.071, -0.071, -3.14, 4.2, 0.0001, -0.062, -0.062, -600.0, -610.0, -0.022, 0.0603, -0.0243, -0.0229, -0.35, 11.19, -61.16, -169.92, 11.28, 5.0, 9.5, 0.03, 0.04, -32.02, -20.07, -34.29, -36.67, -2.3, -1.05, 3.825, 1.41, -2.55, -0.0112, -0.006, -3.61, 0.0019, -0.0039, 0.0, -3.59, -2.3, -0.9, -12.2, 0.36, -2.79, 1.28, -2.9, -2.1, 0.7, -13.4, -120.8, -133.2, 0.0092, -0.0049, 0.0018, -0.0039, -18.25, -5.25, -95.33, 43.0, -157.0, -215.0, 0.043, 0.145, -0.0026, 0.0004, 82.23, -0.021, 0.011, -0.008, 3.7, 6.93, -1.0, -0.1, 1.8, 0.9, -3.105, -4.095, -39.37, -144.48, -83.54, -57.57, 0.0342, -0.0029, -0.0311, -9.473333333, 7.783333333, 3.9, -4.82, -0.0353, 0.202, 0.202, 0.3, -0.449, -0.355, -0.065, -16.0, -20.37, -15.87, 0.043, 0.043, 0.043, -20.29, -16.91
2011-1-11, 7.51, -0.008, -0.102, 0.0025, -0.0122, -0.0032, -31.0, -40.5, -31.5, 0.0265, -0.018000000000000002, 0.57, -0.24, 0.86, -0.12, -0.005, 69.84, -523.85, -51.74, -69.5, -104.14, 0.35, 0.948571429, 3.711428571, 1.474285714, 1.957142857, -0.004, -0.004, -141.75, -129.6, -143.95, -3.57, -5.31, 0.48, 0.003, 10.91, -14.98, 1.24, 4.63, -3.64, 5.89, 0.585, 0.875, 0.011, 0.011, -0.041, -0.041, 4.57, 2.85, -0.0037, 0.012, 0.012, -20.0, -1190.0, 0.1196, -0.0876, 0.033, -0.0138, 1.22, -222.7, -77.91, -162.28, -15.18, -16.5, -16.5, -0.01, -0.01, -62.4, -24.52, -63.16, -32.77, 0.55, -1.35, -6.84, -2.65, 2.08, 0.0015, -0.0088, 10.55, 0.0015, -0.001, 0.0003, 3.75, -9.3, -0.9, 1.9, 0.92, 2.33, 1.52, 5.2, -3.7, -3.2, 10.2, -194.1, -207.6, 0.0014, 0.0053, 0.0023, 0.0066, -3.0, 2.25, -483.88, -255.0, -313.0, -302.82, 0.021, 0.047, 0.0035, 0.0017, 24.89, -0.0075, -0.0055, -0.0115, 4.6, 2.66, 5.3, 1.8, 7.35, 1.5, -3.105, -4.095, -27.18, 28.53, -34.27, -93.82, 0.118, 0.0074, 0.057, -9.473333333, 7.783333333, 3.9, -16.59, 0.0402, 0.112, 0.112, -0.41, 0.19, -0.07, -0.26, -5.5, -11.5, -5.5, -0.073, -0.073, -0.073, -49.96, -50.06
2011-1-12, 6.63, 0.049, 0.047, 0.0034, 0.0067, 0.0031, 7.6, 56.0, 40.3, -0.0075, -0.052000000000000005, 0.23, 0.28, -0.13, 0.58, 0.016, 296.4, 89.5, 478.91, 9.8, 24.78, 0.35, 0.948571429, 3.711428571, 1.474285714, 1.957142857, 0.04, 0.04, -8.75, -133.35, -64.65, 1.74, 5.73, 7.44, 0.071, 0.93, 11.79, -1.97, 9.03, 10.43, 24.33, -0.13, -0.36, 0.022, 0.022, 0.053, 0.053, -8.6, -6.0, 0.0002, 0.058, 0.058, 466.0, 1150.0, 0.0742, 0.0264, 0.0812, 0.0797, 1.86, -349.35, -71.13, -178.14, -15.18, -16.5, -16.5, 0.01, 0.01, 24.32, -33.83, 58.24, 55.7, 3.45, 0.05, 21.76, 5.5, -9.32, 0.0, 0.0003, 4.82, -0.0156, 0.0052, -0.0018, 3.18, 11.4, 4.0, 13.3, 1.25, -1.26, -0.74, 10.3, 6.4, 10.5, 8.2, -20.9, 101.2, 0.0043, 0.0048, 0.0037, 0.0037, 10.5, 6.25, 280.87, -249.0, -55.0, -53.18, -0.035, -0.008, 0.004, -0.0011, 75.86, -0.0075, -0.0055, -0.0115, 1.58, -0.95, -1.5, 2.8, -2.65, 1.7, -2.21, 4.09, 155.93, 50.29, 126.44, 105.62, -0.0999, 0.1214, 0.0052, 33.15, -55.18, -21.94, -18.1, 0.0495, -0.058, -0.058, 0.21, 0.639, 0.75, 0.63, -8.0, -6.75, -8.0, -0.1, -0.1, -0.1, 24.51, 15.57
2011-1-13, -5.47, 0.034, 0.036000000000000004, 0.0159, 0.0022, 0.0056, 38.2, 13.92, 41.0, -0.1415, -0.045, -1.2, 0.3, -0.8, -0.84, 0.108, 1209.46, 283.89, 284.16, 119.21, 97.98, 31.96, 32.44, 45.49, 26.04, 26.68, 0.095, 0.095, 109.15, 32.1, 31.6, 3.07, 9.62, 6.03, 0.026, -1.3, 1.29, 4.32, 20.5, 14.58, 15.74, -1.885, -0.615, 0.075, 0.075, 0.027000000000000003, 0.027000000000000003, -6.56, -10.96, -0.0031, 0.126, 0.126, 1134.0, 300.0, -0.2473, 0.156, -0.0449, -0.097, 0.75, -65.5, -215.3, -131.2, 2.12, 91.0, 31.5, -0.07, -0.04, 103.25, 35.11, 57.98, 72.05, 5.9, 5.15, -0.27, 17.89, -2.67, 0.0019, -0.0004, -6.71, 0.0052, -0.015, -0.0088, 6.6, 6.1, 4.5, 6.5, -4.54, -1.43, -2.22, 1.7, 7.2, 1.0, 4.1, 139.0, 513.2, 0.0155, 0.0036, 0.014, 0.0067, 0.0, 2.0, 777.34, 273.0, 751.0, 415.0, -0.044, -0.07400000000000001, -0.004, 0.0002, 22.14, -0.006, 0.002, 0.006999999999999999, -9.46, 0.21, -14.5, -0.5, -4.9, -7.7, 7.87, 6.55, 59.16, 125.53, 75.87, 157.15, -0.1356, -0.0954, -0.1376, 15.9, 33.15, 31.26, 6.48, 0.0213, -0.002, -0.002, -0.03, 0.042, 0.15, 0.16, 15.0, -8.75, 1.75, 0.077, 0.077, 0.077, 46.7, 14.18
2011-1-14, 18.69, -0.006999999999999999, 0.019, 0.0217, 0.0157, 0.0126, 23.5, 5.78, -15.8, -0.0155, -0.022, -0.52, -1.89, -0.89, -0.7, -0.084, -911.46, 1201.69, 289.66, 13.67, 77.59, 66.71, 65.67, -9.71, 45.42, 29.68, -0.047, -0.047, -111.35, 50.7, -16.45, 10.13, -0.17, 4.82, -0.009000000000000001, 26.73, -1.6, 21.19, -2.04, 5.1, 4.82, 0.15, -1.48, -0.019, -0.019, -0.068, -0.068, 4.14, -0.26, -0.0039, -0.011, -0.011, -947.0, 600.0, -0.0408, -0.3378, -0.1932, -0.0989, -0.46, 106.88, -277.21, 21.76, 76.96, 40.0, 70.0, 0.06, 0.04, 5.52, 80.08, -11.36, -7.3, -3.1, 3.95, 0.32, -1.69, -1.01, 0.0105, 0.0104, 6.2, 0.0005, 0.0053, 0.0046, -0.71, 0.3, 1.0, -0.2, 0.79, -1.24, 0.12, 1.2, 3.5, 7.0, -6.6, 499.4, 304.0, 0.0067, 0.0156, 0.0104, 0.0139, 25.5, 27.75, 191.74, 881.0, 219.0, 658.0, -0.106, -0.113, 0.003, 0.0046, 7.03, 0.002, -0.01, -0.001, -2.7, -8.77, 1.0, -17.0, -11.6, -6.6, 3.22, -2.37, -58.73, 24.83, 7.76, -18.74, 0.0396, -0.14, -0.0024, 17.02, 29.04666667, 20.62333333, 6.3, -0.0083, -0.128, -0.128, -0.31, -0.28, -0.365, -0.33, 7.75, 14.0, 9.25, 0.051, 0.051, 0.051, 6.28, 40.98
