@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Now numeric
@attribute CANADA_10_YEAR_High numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute EUR_USD_Now numeric
@attribute EUR_USD_High numeric
@attribute EUR_USD_Low numeric
@attribute AEX_Now numeric
@attribute AEX_High numeric
@attribute AEX_Low numeric
@attribute FTSE_Now_x numeric
@attribute FTSE_High_x numeric
@attribute FTSE_Low_x numeric
@attribute IDR_KRW_Now numeric
@attribute IDR_KRW_Open numeric
@attribute IDR_KRW_High numeric
@attribute IDR_KRW_Low numeric
@attribute CNY_KRW_Now numeric
@attribute Brazil_Now numeric
@attribute Brazil_High numeric
@attribute Brazil_Low numeric
@attribute DAX_Now numeric
@attribute DAX_High numeric
@attribute DAX_Low numeric
@attribute RTSI_Now numeric
@attribute RTSI_High numeric
@attribute RTSI_Low numeric
@attribute MOEX_Now numeric
@attribute MOEX_High numeric
@attribute MOEX_Low numeric
@attribute UK_10_YEAR_Now numeric
@attribute UK_10_YEAR_Open numeric
@attribute UK_10_YEAR_High numeric
@attribute UK_10_YEAR_Low numeric
@attribute Nifty_Now numeric
@attribute Nifty_High numeric
@attribute Nifty_Low numeric
@attribute S&P_Now numeric
@attribute S&P_Open numeric
@attribute S&P_High numeric
@attribute S&P_Low numeric
@attribute Copper_Now numeric
@attribute Copper_High numeric
@attribute Copper_Low numeric
@attribute EUR_KRW_Now numeric
@attribute EUR_KRW_Low numeric
@attribute NASDAQ_Now numeric
@attribute NASDAQ_Open numeric
@attribute NASDAQ_High numeric
@attribute NASDAQ_Low numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_Open numeric
@attribute US_10_YEAR_High numeric
@attribute US_10_YEAR_Low numeric
@attribute USD_CAD_Now numeric
@attribute USD_CAD_Open numeric
@attribute USD_CAD_High numeric
@attribute USD_CAD_Low numeric
@attribute GERMANY_10_YEAR_Now numeric
@attribute GERMANY_10_YEAR_Open numeric
@attribute GERMANY_10_YEAR_High numeric
@attribute GERMANY_10_YEAR_Low numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_Open numeric
@attribute iBovespa_High numeric
@attribute iBovespa_Low numeric
@attribute WTI_Now numeric
@attribute WTI_High numeric
@attribute WTI_Low numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_High numeric
@attribute S&P_BMV_Low numeric
@attribute SMI_Now numeric
@attribute SMI_High numeric
@attribute SMI_Low numeric
@attribute DOWJONES_Now numeric
@attribute DOWJONES_Open numeric
@attribute DOWJONES_High numeric
@attribute DOWJONES_Low numeric
@attribute US_COFFEE_Now numeric
@attribute US_COFFEE_High numeric
@attribute US_COFFEE_Low numeric
@attribute OMXS_Now numeric
@attribute OMXS_High numeric
@attribute OMXS_Low numeric
@attribute AUD_KRW_Now numeric
@attribute AUD_KRW_High numeric
@attribute AUD_KRW_Low numeric
@attribute EUR_GBP_Now numeric
@attribute EUR_GBP_Low numeric
@attribute BRENT_OIL_Now numeric
@attribute BRENT_OIL_High numeric
@attribute BRENT_OIL_Low numeric
@attribute GBP_KRW_Now numeric
@attribute AUD_SGD_Now numeric
@attribute AUD_SGD_High numeric
@attribute AUD_SGD_Low numeric
@attribute Russell_Now numeric
@attribute Russell_Open numeric
@attribute Russell_High numeric
@attribute Russell_Low numeric
@attribute BRL_KRW_Now numeric
@attribute BRL_KRW_High numeric
@attribute BRL_KRW_Low numeric
@attribute IBEX_Now numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute GBP_USD_Now numeric
@attribute GBP_USD_High numeric
@attribute GBP_USD_Low numeric
@attribute Corn_Now numeric
@attribute Corn_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute NZD_USD_Now numeric
@attribute NZD_USD_Open numeric
@attribute NZD_USD_High numeric
@attribute NZD_USD_Low numeric
@attribute JAPAN_10_YEAR_Low numeric
@attribute CAD_KRW_Now numeric
@attribute CAD_KRW_High numeric
@attribute CAD_KRW_Low numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_Open numeric
@attribute TA_Now numeric
@attribute TA_High numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute Tadawul_Now numeric
@attribute Tadawul_High numeric
@attribute SET_Now numeric
@attribute HEATING_OIL_Now numeric
@attribute HEATING_OIL_High numeric
@attribute HEATING_OIL_Low numeric
@attribute ITALY_10_YEAR_Now numeric
@attribute ITALY_10_YEAR_High numeric
@attribute ITALY_10_YEAR_Low numeric
@attribute Silver_Now numeric
@attribute Silver_Low numeric
@attribute US_WHEAT_Now numeric
@attribute US_WHEAT_Low numeric
@attribute BEL_Now numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2011-1-3, 19.08, -0.005, -0.07400000000000001, 0.0, 0.0059, 0.0077, 0.013, -1.96, -0.68, -1.75, -25.35, -11.2, -10.5, -0.1635, 0.057, -0.0015, -0.114, -1.46, 352.39, 487.41, 897.08, -81.28, -0.19, -84.57, 2.46, -3.98, -0.44, 10.31, 9.5, 8.8, -0.08900000000000001, -0.08900000000000001, -0.08900000000000001, -0.08900000000000001, 41.5, 38.85, 59.5, -1.9, 0.66, -1.51, -2.46, 0.047, 0.05, 0.022, -13.09, 1.34, -3.95, -1.5, -0.12, -2.68, 0.012, 0.012, 0.012, 0.012, -0.0007, 0.0001, -0.0032, 0.0001, -0.063, -0.063, -0.063, -0.063, 158.0, 730.0, 470.0, 730.0, -1.28, -0.13, -1.78, 12.94, 112.33, 72.62, -130.61, -17.58, -113.64, -15.67, 13.09, -40.6, -22.03, -3.35, 1.1, 0.05, -9.54, -0.31, -5.11, -16.45, -0.79, -11.36, 0.0084, 0.0015, -1.05, 0.04, -1.28, -32.47, -0.0059, 0.0005, -0.0067, -0.52, 0.0, 2.0, -0.6, -2.38, -0.18, -1.04, -122.4, -14.2, -41.8, -0.0078, 0.0017, 0.0017, -8.0, -6.5, -297.72, -137.0, -268.0, 0.0047, 0.012, 0.0033, 0.0117, -0.029, -14.69, -2.39, -9.37, -15.55, 2.85, -4.36, -0.01, 14.47, -14.76, 36.6, 43.83, 17.55, 27.955, 21.72, -1.83, -0.0361, 0.0026, -0.0435, -0.008, -0.008, -0.008, -0.191, 0.085, -14.38, -9.62, -20.78, 4.97, -5.6
2011-1-4, 15.06, -0.0105, -0.003, -0.018000000000000002, 0.0071, 0.0081, 0.0039, 3.5, 2.44, 1.45, 21.43, 20.85, 8.5, -0.063, -0.3, -0.14300000000000002, -0.11, -0.62, 657.51, 943.8, 364.59, 75.55, 18.5, 72.61, 4.564285714, 4.564285714, 0.948571429, 3.711428571, 3.742857143, 1.957142857, -0.0075, -0.0075, -0.0075, -0.0075, 55.75, 72.15, 84.85, 13.99, -1.82, 15.08, 1.3, 0.096, 0.09, 0.08, -0.67, -5.04, 28.54, 10.97, 33.75, 14.51, -0.033, -0.033, -0.033, -0.033, -0.0065, -0.0058, -0.0074, -0.0084, -0.044, -0.044, -0.044, -0.044, 632.0, 365.0, 905.0, 365.0, 1.71, 1.18, 2.19, 362.66, 492.99, 353.08, 57.84, -62.3, 36.89, 101.04, -8.4, 136.46, 41.93, 2.4, -3.05, 3.5, 21.28, 11.41, 5.55, -7.53, -12.79, 0.14, 0.0013, 0.0023, 1.75, 1.75, 2.16, -3.25, -0.0049, -0.0064, 0.0007, 8.82, 1.2, 7.7, 0.0, 1.55, 0.81, 0.95, 29.2, -4.1, -8.3, 0.0061, 0.0048, 0.0067, 4.5, 7.5, 262.99, 93.0, -60.0, 0.0021, 0.0114, 0.0058, 0.0063, 0.0015, 1.05, -7.72, -1.02, -6.3, -25.5, 8.59, 9.14, 10.2, -16.05, 40.29, 18.17, -37.005, 27.955, 21.72, 4.825, 0.0674, 0.0572, 0.0653, -0.076, -0.076, -0.076, 0.608, 0.6709999999999999, 20.5, 16.25, 41.17, 17.76, 7.4
2011-1-5, -2.59, -0.0105, -0.003, -0.018000000000000002, -0.005, 0.0039, 0.004, -1.0, 0.31, 1.38, 21.43, 20.85, 8.5, 0.015, 0.07, -0.053, 0.016, -0.32, 355.47, -153.18, 255.25, -14.39, -0.76, -17.81, 4.564285714, 4.564285714, 0.948571429, 3.711428571, 3.742857143, 1.957142857, -0.0075, -0.0075, -0.0075, -0.0075, -11.25, 2.5, -22.8, -1.67, 15.33, -2.05, 5.04, -0.08800000000000001, -0.006999999999999999, -0.065, -4.21, 0.55, -10.27, 23.21, -3.98, -12.7, 0.004, 0.004, 0.004, 0.004, 0.0056, -0.0013, 0.0083, 0.0026, -0.014, -0.014, -0.014, -0.014, 408.0, 795.0, -300.0, 160.0, -2.17, -0.51, -2.85, -63.64, -155.93, -81.77, 0.43, 22.41, 8.67, 20.43, 93.47, 16.04, 5.56, -3.75, 1.8, -6.7, -10.97, 4.56, 4.66, -11.13, -9.33, -16.57, -0.0088, -0.0016, -1.31, -0.43, -1.92, 12.9, -0.0115, -0.0055, -0.0118, -12.73, 8.3, -1.2, -11.7, -5.25, -1.08, -4.07, 0.1, -19.4, -51.1, 0.0104, 0.0062, 0.0021, -12.0, -16.75, 110.75, 122.0, 235.0, -0.0059, -0.0046, -0.0042, -0.0086, 0.0015, -5.15, -4.68, -7.04, 0.85, 4.95, -1.78, -3.28, -0.44, -16.05, 40.29, 18.17, -37.005, 23.3, 21.69, 4.825, -0.0463, -0.0158, -0.0505, -0.182, -0.182, -0.182, -1.604, -1.631, -17.25, -9.75, 16.02, 25.92, 35.84
2011-1-6, -4.94, 0.141, 0.123, 0.03, -0.0152, -0.0111, -0.0168, -1.58, -2.67, -5.85, 29.99, -5.64, -17.8, -0.0195, 0.004, 0.0265, 0.033, -0.61, 773.24, 855.17, 241.79, -35.53, -58.62, -109.12, 4.564285714, 4.564285714, 0.948571429, 3.711428571, 3.742857143, 1.957142857, 0.086, 0.086, 0.086, 0.086, -66.55, -39.7, -62.05, 6.36, -4.17, 3.51, 2.7, 0.038, -0.051, -0.05, -20.08, -18.71, 20.95, -25.95, 1.32, 8.25, 0.125, 0.125, 0.125, 0.125, -0.0027, 0.0048, -0.0011, 0.0018, 0.063, 0.063, 0.063, 0.063, 684.0, -400.0, 780.0, 165.0, 0.92, -1.23, -0.26, 154.08, -21.73, -132.8, 24.94, -11.58, -56.73, 31.71, 17.86, 8.78, 27.3, -1.95, -2.6, -2.0, -14.08, -14.47, -16.57, -8.64, -9.85, -4.5, -0.0059, -0.0054, 1.97, 0.12, -0.21, -11.71, -0.0024, -0.0102, -0.005, 9.26, -15.3, -5.41, 5.2, -6.33, -3.69, -2.0, -87.0, -91.8, -200.1, -0.0074, -0.0019, -0.0003, 10.75, -3.0, 4.55, -120.0, -112.0, -0.0094, -0.0059, -0.006, -0.008, 0.027000000000000003, 0.76, 0.8, 3.39, -2.0, -0.3, -0.91, -3.56, -8.69, -6.32, -165.02, -129.95, -25.55, -3.41, 8.0, 8.37, 0.0357, -0.0187, -0.0157, 0.0, 0.0, 0.0, -0.319, -0.745, 21.88, -6.75, -16.29, -15.7, -19.54
2011-1-7, 8.59, -0.05, -0.04, 0.08, -0.0151, -0.0154, -0.0128, -0.39, 1.39, 3.72, -24.35, 45.44, 40.8, -0.0225, -0.018000000000000002, -0.0505, -0.065, -0.34, -512.2, -5.86, 667.46, 41.57, 80.35, 106.17, 4.564285714, 4.564285714, 0.948571429, 3.711428571, 3.742857143, 1.957142857, -0.022, -0.022, -0.022, -0.022, -31.55, -25.2, -40.05, -2.71, 7.51, 0.54, 5.07, -0.081, 0.006999999999999999, 0.009000000000000001, -16.29, -14.64, 7.69, 30.47, 10.15, 25.84, -0.064, -0.064, -0.064, -0.064, 0.0006, -0.0019, -0.0028, -0.0012, -0.03, -0.03, -0.03, -0.03, -536.0, 1400.0, 230.0, 690.0, -1.92, -0.13, -0.25, -106.57, 73.8, 194.16, 13.59, 68.98, 96.34, -25.58, 28.17, 20.06, 5.02, 0.0, -1.05, 2.1, 3.825, -1.065, 1.41, -5.46, -9.34, -7.26, -0.0068, -0.006999999999999999, -0.98, 0.26, 1.64, -5.02, -0.0028, -0.0031, -0.0014, -3.67, 11.3, 1.51, 5.5, -4.92, -7.32, -7.52, -98.7, -49.8, 79.1, -0.0046, -0.0065, -0.0002, -17.25, 0.0, 85.81, 337.0, 350.0, -0.0026, -0.0094, -0.0078, -0.001, 0.052000000000000005, -0.58, -5.2, -0.7, -0.3, -3.0, 3.65, 6.66, 12.51, -84.32, 42.23, 13.15, -10.26, -9.473333333, 3.9, 0.2, -0.031, 0.005, 0.031, 0.0, 0.0, 0.0, -0.063, 0.1, -21.75, 11.37, -6.13, -6.34, 6.69
2011-1-10, -5.39, -0.041, 0.021, -0.046, -0.0082, -0.0148, -0.0089, -0.45, -1.44, -1.97, -35.18, -68.0, -32.8, -0.052000000000000005, -0.019, -0.017, -0.024, -0.09, -521.63, -384.27, -751.06, -33.55, -36.7, -9.19, 4.564285714, 4.564285714, 0.948571429, 3.711428571, 3.742857143, 1.957142857, -0.009000000000000001, -0.009000000000000001, -0.009000000000000001, -0.009000000000000001, -143.65, -64.95, -138.7, -2.35, -1.88, -1.34, -8.73, -0.049, -0.094, -0.059, -12.47, -12.26, -6.72, 8.37, 3.61, -21.37, -0.071, -0.071, -0.071, -0.071, -0.0056, 0.0001, 0.001, -0.0021, -0.062, -0.062, -0.062, -0.062, -600.0, -610.0, -550.0, -785.0, -0.35, -1.23, -0.6, 11.19, -61.16, -169.92, -35.2, -28.63, -32.02, -22.55, -20.07, -34.29, -36.67, -2.3, -1.35, -1.8, 3.825, -1.065, 1.41, 1.19, -3.88, -2.55, -0.0112, -0.0103, -1.19, -1.54, -1.42, 8.39, 0.0019, 0.0, -0.0014, -3.59, -2.3, -0.9, -12.2, 0.36, -2.79, 1.28, -142.0, -133.2, -180.6, 0.0092, 0.0018, -0.0039, -7.0, -5.25, -95.33, -157.0, -215.0, 0.0041, -0.0026, 0.0034, 0.0004, 0.005, 3.7, 6.93, -0.54, -1.0, -0.1, -6.645, -4.095, -6.815, -39.37, -144.48, -83.54, -57.57, -9.473333333, 3.9, -14.53, -0.0249, -0.0353, -0.0278, 0.202, 0.202, 0.202, -0.449, -0.395, -16.0, -15.87, -20.29, -12.29, -16.91
2011-1-11, 7.51, -0.008, -0.102, -0.016, 0.0025, -0.0056, -0.0032, -2.23, -2.41, -0.68, -28.03, -40.5, -31.5, 0.0265, -0.044, 0.0265, -0.018000000000000002, 0.57, 69.84, -649.44, -51.74, -90.78, -69.5, -104.14, 4.564285714, 4.564285714, 0.948571429, 3.711428571, 3.742857143, 1.957142857, -0.004, -0.004, -0.004, -0.004, -141.75, -143.95, -142.65, -1.75, -3.57, -5.31, 0.48, -0.017, -0.046, 0.003, 10.91, -3.89, 4.63, -21.28, -3.64, 5.89, -0.041, -0.041, -0.041, -0.041, 0.0017, -0.0037, -0.002, 0.0013, 0.012, 0.012, 0.012, 0.012, -20.0, -1190.0, -820.0, -235.0, 1.22, 0.5, 0.88, -222.7, -77.91, -162.28, -51.32, -61.55, -62.4, -37.31, -24.52, -63.16, -32.77, 0.55, -0.35, 0.25, -6.84, -4.54, -2.65, 4.04, 3.49, 2.08, 0.0015, -0.0013, 2.37, 1.3, 1.01, 9.99, 0.0015, 0.0003, 0.0008, 3.75, -9.3, -0.9, 1.9, 0.92, 2.33, 1.52, -122.9, -207.6, -109.9, 0.0014, 0.0023, 0.0066, 12.0, 2.25, -483.88, -313.0, -302.82, 0.0034, 0.0035, 0.0009, 0.0017, -0.0155, 4.6, 2.66, 4.57, 5.3, 1.8, -6.645, -4.095, -6.815, -27.18, 28.53, -34.27, -93.82, -9.473333333, 3.9, -18.42, 0.0698, 0.0402, 0.022, 0.112, 0.112, 0.112, 0.19, 0.465, -5.5, -5.5, -49.96, -25.12, -50.06
2011-1-12, 6.63, 0.049, 0.047, 0.018000000000000002, 0.0034, 0.0028, 0.0031, 4.09, 3.56, 1.66, 57.73, 56.0, 40.3, -0.0075, 0.001, -0.0345, -0.052000000000000005, 0.23, 296.4, 514.05, 478.91, 84.51, 9.8, 24.78, 4.564285714, 4.564285714, 0.948571429, 3.711428571, 3.742857143, 1.957142857, 0.04, 0.04, 0.04, 0.04, -8.75, -64.65, -42.75, 4.73, 1.74, 5.73, 7.44, 0.084, 0.07400000000000001, 0.071, 0.93, 8.47, 9.03, 28.13, 10.43, 24.33, 0.053, 0.053, 0.053, 0.053, -0.0029, 0.0002, -0.0034, -0.002, 0.058, 0.058, 0.058, 0.058, 466.0, 1150.0, 650.0, 820.0, 1.86, 1.41, 0.8, -349.35, -71.13, -178.14, 88.52, 44.59, 24.32, 34.43, -33.83, 58.24, 55.7, 3.45, 1.55, 0.3, 21.76, 14.61, 5.5, -11.51, -2.51, -9.32, 0.0, 0.0008, 1.91, 1.94, 1.48, 1.33, -0.0156, -0.0018, -0.0124, 3.18, 11.4, 4.0, 13.3, 1.25, -1.26, -0.74, 144.3, 101.2, 16.8, 0.0043, 0.0037, 0.0037, 0.0, 6.25, 280.87, -55.0, -53.18, -0.004, 0.004, -0.0013, -0.0011, -0.0155, 1.58, -0.95, 1.77, -1.5, 2.8, 12.44, 4.09, 6.39, 155.93, 50.29, 126.44, 105.62, 33.15, -21.94, -4.64, 0.0527, 0.0495, 0.0521, -0.058, -0.058, -0.058, 0.639, 0.51, -8.0, -8.0, 24.51, -13.56, 15.57
2011-1-13, -5.47, 0.034, 0.036000000000000004, 0.05, 0.0159, 0.0151, 0.0056, 4.11, 3.11, 3.76, 36.69, 13.92, 41.0, -0.1415, -0.002, -0.0395, -0.045, -1.2, 1209.46, 985.46, 284.16, 127.21, 119.21, 97.98, 66.71, 66.71, 32.44, 45.49, 45.9, 26.68, 0.095, 0.095, 0.095, 0.095, 109.15, 31.6, 13.1, 11.48, 3.07, 9.62, 6.03, 0.063, 0.061, 0.026, -1.3, -7.31, 20.5, 11.85, 14.58, 15.74, 0.027000000000000003, 0.027000000000000003, 0.027000000000000003, 0.027000000000000003, -0.0041, -0.0031, -0.0038, -0.0046, 0.126, 0.126, 0.126, 0.126, 1134.0, 300.0, 905.0, 625.0, 0.75, 1.0, 1.86, -65.5, -215.3, -131.2, 78.91, 75.28, 103.25, 83.56, 35.11, 57.98, 72.05, 5.9, 7.8, 4.85, -0.27, 3.03, 17.89, -4.53, -9.2, -2.67, 0.0019, 0.0005, 0.51, 1.03, 2.2, -5.74, 0.0052, -0.0088, -0.0036, 6.6, 6.1, 4.5, 6.5, -4.54, -1.43, -2.22, 519.1, 513.2, 191.3, 0.0155, 0.014, 0.0067, 24.0, 2.0, 777.34, 751.0, 415.0, 0.003, -0.004, 0.0008, 0.0002, -0.002, -9.46, 0.21, -6.59, -14.5, -0.5, 1.95, 6.55, 7.63, 59.16, 125.53, 75.87, 157.15, 15.9, 31.26, 6.12, 0.0098, 0.0213, 0.0549, -0.002, -0.002, -0.002, 0.042, 0.16, 15.0, 1.75, 46.7, 39.31, 14.18
2011-1-14, 18.69, -0.006999999999999999, 0.019, 0.023, 0.0217, 0.0238, 0.0126, -1.62, -0.36, 0.04, -26.84, 5.78, -15.8, -0.0155, -0.147, -0.1155, -0.022, -0.52, -911.46, 290.94, 289.66, 6.33, 13.67, 77.59, 9.2, 18.65, 65.67, -9.71, 8.12, 29.68, -0.047, -0.047, -0.047, -0.047, -111.35, -16.45, 25.4, -2.2, 10.13, -0.17, 4.82, -0.035, -0.017, -0.009000000000000001, 26.73, 9.16, -2.04, 3.48, 5.1, 4.82, -0.068, -0.068, -0.068, -0.068, 0.003, -0.0039, -0.0002, 0.0009, -0.011, -0.011, -0.011, -0.011, -947.0, 600.0, 270.0, -75.0, -0.46, -0.02, -0.04, 106.88, -277.21, 21.76, -51.28, -4.72, 5.52, -23.54, 80.08, -11.36, -7.3, -3.1, -3.3, 0.9, 0.32, 1.78, -1.69, 3.1, 0.8, -1.01, 0.0105, 0.0014, -0.06, -0.18, 0.02, 9.53, 0.0005, 0.0046, 0.0046, -0.71, 0.3, 1.0, -0.2, 0.79, -1.24, 0.12, 269.6, 304.0, 500.8, 0.0067, 0.0104, 0.0139, 11.5, 27.75, 191.74, 219.0, 658.0, 0.0096, 0.003, 0.0086, 0.0046, 0.013, -2.7, -8.77, -0.74, 1.0, -17.0, -1.27, -2.37, -2.36, -58.73, 24.83, 7.76, -18.74, 17.02, 20.62333333, 15.57, -0.0095, -0.0083, -0.0135, -0.128, -0.128, -0.128, -0.28, -0.98, 7.75, 9.25, 6.28, 12.58, 40.98
