@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Now numeric
@attribute CANADA_10_YEAR_Open numeric
@attribute CANADA_10_YEAR_High numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute EUR_USD_Now numeric
@attribute EUR_USD_High numeric
@attribute EUR_USD_Low numeric
@attribute AEX_Now numeric
@attribute AEX_High numeric
@attribute AEX_Low numeric
@attribute FTSE_Now_x numeric
@attribute FTSE_High_x numeric
@attribute FTSE_Low_x numeric
@attribute IDR_KRW_Now numeric
@attribute Brazil_Now numeric
@attribute Brazil_High numeric
@attribute Brazil_Low numeric
@attribute DAX_Now numeric
@attribute DAX_High numeric
@attribute DAX_Low numeric
@attribute RTSI_Now numeric
@attribute RTSI_High numeric
@attribute RTSI_Low numeric
@attribute MOEX_Now numeric
@attribute MOEX_High numeric
@attribute MOEX_Low numeric
@attribute UK_10_YEAR_Now numeric
@attribute UK_10_YEAR_Open numeric
@attribute UK_10_YEAR_High numeric
@attribute UK_10_YEAR_Low numeric
@attribute Nifty_Now numeric
@attribute Nifty_High numeric
@attribute Nifty_Low numeric
@attribute S&P_Now numeric
@attribute S&P_Open numeric
@attribute S&P_High numeric
@attribute S&P_Low numeric
@attribute Copper_Now numeric
@attribute Copper_High numeric
@attribute Copper_Low numeric
@attribute EUR_KRW_Now numeric
@attribute NASDAQ_Now numeric
@attribute NASDAQ_Open numeric
@attribute NASDAQ_High numeric
@attribute NASDAQ_Low numeric
@attribute FRANCE_10_YEAR_Now numeric
@attribute FRANCE_10_YEAR_Open numeric
@attribute FRANCE_10_YEAR_High numeric
@attribute FRANCE_10_YEAR_Low numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_Open numeric
@attribute US_10_YEAR_High numeric
@attribute US_10_YEAR_Low numeric
@attribute USD_CAD_Now numeric
@attribute USD_CAD_High numeric
@attribute USD_CAD_Low numeric
@attribute GERMANY_10_YEAR_Now numeric
@attribute GERMANY_10_YEAR_Open numeric
@attribute GERMANY_10_YEAR_High numeric
@attribute GERMANY_10_YEAR_Low numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_Open numeric
@attribute iBovespa_High numeric
@attribute iBovespa_Low numeric
@attribute WTI_Now numeric
@attribute WTI_High numeric
@attribute WTI_Low numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_High numeric
@attribute S&P_BMV_Low numeric
@attribute SMI_Now numeric
@attribute SMI_High numeric
@attribute SMI_Low numeric
@attribute DOWJONES_Now numeric
@attribute DOWJONES_High numeric
@attribute DOWJONES_Low numeric
@attribute US_COFFEE_Now numeric
@attribute US_COFFEE_High numeric
@attribute US_COFFEE_Low numeric
@attribute OMXS_Now numeric
@attribute OMXS_High numeric
@attribute OMXS_Low numeric
@attribute AUD_KRW_Now numeric
@attribute AUD_KRW_High numeric
@attribute AUD_KRW_Low numeric
@attribute EUR_GBP_Now numeric
@attribute BRENT_OIL_Now numeric
@attribute BRENT_OIL_High numeric
@attribute BRENT_OIL_Low numeric
@attribute AUD_SGD_Now numeric
@attribute AUD_SGD_High numeric
@attribute AUD_SGD_Low numeric
@attribute Russell_Now numeric
@attribute Russell_Open numeric
@attribute Russell_High numeric
@attribute Russell_Low numeric
@attribute BRL_KRW_Now numeric
@attribute BRL_KRW_High numeric
@attribute BRL_KRW_Low numeric
@attribute IBEX_Now numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute GBP_USD_Now numeric
@attribute Corn_Now numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute IDX_Now numeric
@attribute IDX_Low numeric
@attribute NZD_USD_Now numeric
@attribute NZD_USD_High numeric
@attribute NZD_USD_Low numeric
@attribute CAD_KRW_Now numeric
@attribute CAD_KRW_Low numeric
@attribute TA_Now numeric
@attribute TA_Open numeric
@attribute TA_High numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute JPY_KRW_Now numeric
@attribute Tadawul_Now numeric
@attribute SET_Now numeric
@attribute HEATING_OIL_Now numeric
@attribute HEATING_OIL_High numeric
@attribute HEATING_OIL_Low numeric
@attribute ITALY_10_YEAR_Now numeric
@attribute ITALY_10_YEAR_Open numeric
@attribute ITALY_10_YEAR_High numeric
@attribute ITALY_10_YEAR_Low numeric
@attribute USD_JPY_Now numeric
@attribute USD_JPY_Low numeric
@attribute Silver_Now numeric
@attribute US_WHEAT_Now numeric
@attribute US_WHEAT_Low numeric
@attribute BEL_Now numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2009-1-2, 32.93, -0.185, -0.185, -0.185, -0.185, 0.0095, -0.0139, -0.005, 5.77, 1.33, 2.35, 73.3, 79.8, 102.8, 0.1235, 490.15, 151.45, 427.06, 105.34, 77.56, 98.31, -17.41, -7.57, -16.29, 4.05, -9.41, -7.49, 0.003, 0.003, 0.003, 0.003, 57.3, 67.35, 86.85, 21.22, -1.79, 17.42, 13.51, 0.01, 0.006, -0.006999999999999999, 7.33, 40.38, -8.36, 19.78, 23.81, 0.062, 0.062, 0.062, 0.062, -0.048, -0.048, -0.048, -0.048, 0.0022, 0.0118, 0.006999999999999999, 0.061, 0.061, 0.061, 0.061, 596.0, 145.0, 220.0, 480.0, -0.99, -1.81, 0.4, 27.63, -54.29, -162.23, 69.57, 64.23, 119.87, 184.46, 125.29, 114.46, 0.9, -1.35, 0.3, 5.07, 1.3, 2.79, 2.79, -16.58, -5.92, 0.0103, -0.4, -2.3, 0.43, 0.001, -0.001, 0.0014, 16.62, -7.78, 6.59, 7.21, 11.26, 3.99, 1.03, 178.1, 57.6, 112.8, -0.0055, 2.75, 293.0, 143.0, 73.0, 7.26, 9.285, -0.0004, -0.003, -0.0005, -5.08, -12.69, 9.8, 9.31, 4.92, 7.96, 193.43, 136.95, 195.97, 280.94, 0.0128, 80.5, 3.26, 0.0027, -0.0764, 0.0224, -0.006, -0.006, -0.006, -0.006, -0.36, 0.24, 0.172, 12.75, -3.5, 23.95, 22.75, 18.4
2009-1-5, 16.17, 0.16899999999999998, 0.16899999999999998, 0.16899999999999998, 0.16899999999999998, -0.0193, -0.0165, -0.0078, 11.65, 11.65, 6.11, 169.1, 155.7, 110.6, 0.617, 2693.91, 2481.92, 485.54, 162.87, 164.32, 84.27, 0.581428571, -1.872857143, -0.6471428570000001, 5.064285714, 5.751428571, 4.595714286000001, -0.058, -0.058, -0.058, -0.058, 67.25, 80.7, 122.05, 41.16, 32.41, 43.61, 28.77, 0.13699999999999998, 0.134, 0.16699999999999998, 61.43, 81.51, 57.69, 85.33, 54.72, -0.022, -0.022, -0.022, -0.022, 0.305, 0.305, 0.305, 0.305, -0.0051, -0.0066, -0.0076, 0.002, 0.002, 0.002, 0.002, 2662.0, 545.0, 2150.0, 780.0, 7.31, 6.35, 3.12, 830.95, 785.32, 202.75, -0.93, -0.02, 0.05, 366.3, 379.68, 261.4, 3.35, 4.05, 2.55, 31.44, 28.96, 5.06, 66.93, 63.15, 27.75, -0.0193, 6.76, 6.45, 3.02, 0.0438, 0.0358, 0.0154, 23.07, 31.17, 25.68, 26.51, 28.45, 26.15, 34.16, 290.5, 290.5, 151.0, 0.0088, 16.0, 493.0, 493.0, 300.0, 40.965, 16.085, 0.009000000000000001, 0.0042, 0.0007, 55.14, 12.41, 19.38, 18.835, 19.55, 18.32, 403.39, 306.57, 401.92, 326.62, 0.3714, 194.54, 14.365, 0.1923, 0.1953, 0.0956, -0.065, -0.065, -0.065, -0.065, 2.11, 0.65, 0.51, 6.25, 7.25, 73.65, 64.89, 37.84
2009-1-6, 20.71, 0.063, 0.063, 0.063, 0.063, -0.0274, -0.0093, -0.0294, 3.55, 3.97, 8.88, 17.8, 56.3, 90.8, -0.083, 1274.44, 1624.62, 1975.39, 10.92, 60.12, 110.87, 0.581428571, -1.872857143, -0.6471428570000001, 5.064285714, 5.751428571, 4.595714286000001, 0.106, 0.106, 0.106, 0.106, 74.7, 52.1, 34.65, -4.35, 26.18, 1.9, 20.18, -0.002, 0.004, -0.027000000000000003, -44.23, -4.18, 42.61, 4.43, 32.65, 0.078, 0.078, 0.078, 0.078, 0.124, 0.124, 0.124, 0.124, -0.0263, -0.0051, -0.0197, 0.065, 0.065, 0.065, 0.065, 1499.0, 2505.0, 2000.0, 1670.0, 2.47, 2.54, 4.51, -12.1, 181.48, 858.86, 222.49, 190.63, 182.46, -81.8, 12.9, 116.6, -3.2, -0.45, -3.05, -0.02, 8.51, 28.29, 5.34, 12.22, 34.16, -0.0298, 2.71, 2.72, 4.71, 0.0179, 0.0207, 0.0273, -0.81, 6.05, -0.22, 1.27, 19.07, 17.35, -0.19, 157.8, 157.8, 287.2, 0.0174, -1.0, 309.0, 309.0, 517.0, 40.965, 16.085, 0.0014, 0.0048, 0.0051, 18.33, 36.92, 19.38, 18.835, 19.55, 18.32, 51.4, 281.19, 137.74, 197.85, -0.24, 194.54, 14.365, 0.096, 0.0876, 0.1133, 0.015, 0.015, 0.015, 0.015, 0.83, 1.14, -0.22, 5.75, 4.25, 23.55, 36.01, 45.38
2009-1-7, 33.89, -0.023, -0.023, -0.023, -0.023, -0.0095, -0.0306, -0.0234, 7.49, 9.71, 2.71, 59.3, 57.6, 41.2, -0.0545, 793.62, 473.85, 1994.37, 42.32, 76.17, 10.85, 0.581428571, -1.872857143, -0.6471428570000001, 5.064285714, 5.751428571, 4.595714286000001, 0.115, 0.115, 0.115, 0.115, -8.65, 9.85, -0.35, 7.25, 2.0, 7.22, 7.75, 0.124, 0.119, 0.069, -16.74, 24.35, 20.89, 25.17, 31.62, 0.158, 0.158, 0.158, 0.158, -0.035, -0.035, -0.035, -0.035, -0.004, -0.0225, -0.0108, 0.139, 0.139, 0.139, 0.139, 693.0, 1690.0, 430.0, 2020.0, -0.23, 1.19, 2.04, -233.45, 6.23, -304.05, 43.22, 108.74, 34.96, 62.21, 81.72, 26.37, 8.4, 5.1, 2.2, 3.82, 0.13, 1.57, 5.72, 2.51, -0.12, -0.0207, 0.91, 2.16, 2.29, 0.0075, 0.0105, 0.0079, 9.68, 1.6, 10.77, 11.15, 16.77, 17.61, 20.59, 79.9, 155.9, 111.5, 0.0228, 16.25, 467.0, 734.0, 309.0, -1.8, 52.65, 0.0108, 0.0074, 0.0007, 3.91, 14.1, 22.95, 8.43, 22.96, 12.39, 186.58, 176.73, 132.8, 169.55, -0.0868, 109.38, -5.54, 0.05, 0.0838, 0.0884, 0.132, 0.132, 0.132, 0.132, 0.15, 1.14, 0.175, 26.75, 15.25, -7.04, -8.72, 9.3
2009-1-8, -22.47, 0.062, 0.062, 0.062, 0.062, 0.0124, 0.0089, 0.0118, -4.23, -2.39, 3.45, -131.4, -36.8, -84.0, 0.043, -1492.03, -54.92, -956.64, -88.84, -100.05, -45.99, 0.581428571, -1.872857143, -0.6471428570000001, 5.064285714, 5.751428571, 4.595714286000001, 0.027000000000000003, 0.027000000000000003, 0.027000000000000003, 0.027000000000000003, -192.4, 5.4, -167.9, -28.05, -3.72, -16.4, -24.91, -0.07200000000000001, -0.02, 0.003, -10.18, -53.32, -20.74, -40.26, -48.05, 0.038, 0.038, 0.038, 0.038, 0.048, 0.048, 0.048, 0.048, 0.0113, 0.0, 0.0013, 0.052000000000000005, 0.052000000000000005, 0.052000000000000005, 0.052000000000000005, -1623.0, -440.0, -530.0, -1170.0, -5.95, -1.38, -5.19, -887.9, -497.06, -778.61, -37.62, -75.47, 0.38, -245.4, -178.25, -177.62, -1.9, 0.5, 5.5, 3.82, 0.13, 1.57, -28.83, -7.66, -3.97, -0.0029, -4.67, -0.81, -2.93, -0.0156, -0.0016, 0.0043, -17.61, 3.16, -8.68, -14.8, -35.9, -6.4, -9.51, -154.0, -73.8, -114.0, 0.0185, -11.0, -123.0, -138.0, 209.0, -14.07, -15.95, -0.0106, 0.0043, 0.006999999999999999, -29.05, -5.68, -8.32, 14.8, 2.7, 7.91, -350.77, -46.9, -33.63, -185.27, -0.0392, 32.49, -10.19, -0.0832, -0.021, -0.0265, -0.013, -0.013, -0.013, -0.013, -0.64, -0.62, -0.34, -30.25, -2.0, 0.63, -9.2, -4.17
2009-1-9, -24.74, -0.052000000000000005, -0.052000000000000005, -0.052000000000000005, -0.052000000000000005, 0.0093, 0.0052, 0.0103, -0.45, -3.42, -2.61, -2.1, -124.2, -67.5, 0.121, 1170.3, -317.72, -312.86, -57.56, -93.35, -94.14, 0.581428571, -1.872857143, -0.6471428570000001, 5.064285714, 5.751428571, 4.595714286000001, -0.073, -0.073, -0.073, -0.073, -23.7, -108.675, -38.975, 3.08, -21.72, -17.45, -5.56, -0.031, -0.051, -0.047, 62.96, 17.95, -31.38, -8.36, -3.92, -0.091, -0.091, -0.091, -0.091, -0.053, -0.053, -0.053, -0.053, -0.0168, 0.0074, -0.0004, -0.083, -0.083, -0.083, -0.083, 1013.0, -700.0, -550.0, -220.0, -0.93, -5.46, -1.87, -162.11, -875.91, -447.49, -10.62, -41.58, -52.58, -27.24, -189.8, -96.93, -0.75, -0.8, -0.7, -5.45, -3.08, -9.18, 28.01, 3.55, 0.0, -0.0017, -1.19, -4.04, -1.92, 0.0051, -0.0138, -0.0127, 4.91, -14.07, -8.31, 0.16, 10.54, -7.64, 1.94, -100.5, -150.1, -146.1, 0.0133, -9.75, 24.0, -187.0, -189.0, -18.81, -26.05, 0.0057, -0.0066, -0.0067, 49.99, 2.69, -17.44, -15.77, -21.82, -16.75, 100.26, -287.4, -248.02, -83.55, 0.6472, -56.56, 2.07, -0.0235, -0.0453, -0.0375, -0.073, -0.073, -0.073, -0.073, -1.36, -1.48, -0.008, -0.75, -11.5, -21.34, -16.07, -24.43
2009-1-12, -24.21, -0.069, -0.069, -0.069, -0.069, -0.0287, -0.0048, -0.0118, 1.59, 3.64, 3.05, -56.9, 20.1, 21.4, 0.16899999999999998, -407.61, 534.66, 930.92, -96.02, 15.04, -76.11, 0.581428571, -1.872857143, -0.6471428570000001, 5.064285714, 5.751428571, 4.595714286000001, -0.085, -0.085, -0.085, -0.085, -23.7, -108.675, -38.975, -19.38, 4.18, 1.93, -8.5, 0.083, 0.051, 0.02, -13.78, -45.42, 26.8, 0.25, -14.41, -0.105, -0.105, -0.105, -0.105, -0.052000000000000005, -0.052000000000000005, -0.052000000000000005, -0.052000000000000005, 0.0093, -0.0105, 0.0023, -0.105, -0.105, -0.105, -0.105, -288.0, 710.0, 1210.0, 845.0, -0.87, -0.93, -1.16, -214.11, -76.6, -5.21, -53.83, -10.76, -31.11, -143.28, -6.69, -51.77, 3.45, 3.1, 0.7, -10.12, -5.46, -1.17, 0.1, 7.37, 18.17, -0.0151, -0.25, -1.69, -0.96, -0.0089, 0.0013, 0.005, -20.71, 5.8, 0.12, -11.56, 19.44, 4.77, 4.15, -91.0, -47.1, -48.2, -0.0075, 4.0, -537.0, 29.0, -227.0, 14.01, 7.22, 0.0006, -0.002, 0.0074, 2.59, 33.46, 3.37, 3.93, 7.83, 2.33, -136.4, 162.36, 43.44, 36.47, 0.3244, -56.56, -5.97, -0.0319, -0.0558, -0.0595, -0.047, -0.047, -0.047, -0.047, -1.24, -0.69, 0.223, 17.0, 14.5, -2.62, 13.69, 9.29
2009-1-13, 10.96, -0.052000000000000005, -0.052000000000000005, -0.052000000000000005, -0.052000000000000005, -0.0069, -0.0276, -0.0128, -4.38, -2.94, -2.77, -22.3, -63.5, -29.6, -0.0705, -2179.47, -940.32, -1836.09, -64.27, -140.7, -35.47, 0.581428571, -1.872857143, -0.6471428570000001, 5.064285714, 5.751428571, 4.595714286000001, 0.003, 0.003, 0.003, 0.003, -99.9, -60.65, -61.7, -20.09, -19.51, -21.53, -23.99, -0.071, 0.02, -0.006999999999999999, -0.2, -32.8, -43.6, -43.8, -41.87, -0.015, -0.015, -0.015, -0.015, -0.084, -0.084, -0.084, -0.084, 0.028, 0.0208, 0.008, -0.034, -0.034, -0.034, -0.034, -2199.0, -670.0, -1510.0, -1675.0, -3.24, -1.9, -1.9, -579.02, -295.72, -635.67, -105.45, -86.84, -59.83, -125.21, -146.48, -149.9, -2.4, -0.65, 0.55, -17.86, -10.12, -16.94, -26.49, 0.03, -19.38, 0.0165, -1.51, -0.97, -0.67, -0.0308, -0.0136, -0.0261, -12.5, -21.02, -21.1, -14.21, -13.9, 10.12, 6.53, -178.6, -178.4, -130.3, -0.0341, -30.0, -182.0, -496.0, -199.0, -10.12, -3.1, -0.023, -0.0059, -0.0173, -17.99, -4.88, 3.37, 3.93, 7.83, 2.33, -291.85, -285.33, -182.33, -301.58, 0.2672, -56.56, -6.26, -0.0153, -0.0397, 0.0014, 0.043, 0.043, 0.043, 0.043, -0.7, -1.26, -0.57, -59.75, -43.0, -3.41, -3.35, 6.33
2009-1-14, 14.97, -0.034, -0.034, -0.034, -0.034, -0.0175, -0.0101, -0.0145, -1.06, -4.74, -4.33, -27.1, -45.1, -81.0, -0.07400000000000001, 140.76, -1262.31, -722.15, -82.68, -87.45, -112.01, -8.49, -1.76, -10.12, 1.88, 0.86, 8.81, 0.067, 0.067, 0.067, 0.067, -28.15, -66.6, -27.75, 1.53, -20.61, -13.38, -2.3, 0.057, -0.035, -0.038, -24.64, 7.67, -36.03, -15.51, -0.53, 0.033, 0.033, 0.033, 0.033, -0.012, -0.012, -0.012, -0.012, 0.008, 0.0162, 0.028, 0.013, 0.013, 0.013, 0.013, 293.0, -2040.0, -810.0, -900.0, 0.19, -1.3, -1.38, -114.97, -458.89, -153.17, -57.46, -98.46, -136.16, -25.41, -69.29, -66.26, 0.25, -2.0, -0.75, -11.35, -17.86, -17.42, -22.58, -17.06, -25.83, 0.0081, 1.92, 0.89, -0.28, -0.0249, -0.025, -0.0325, 4.99, -13.02, -4.8, -0.7, -1.31, -11.44, -0.5, -142.6, -239.0, -259.0, -0.0327, -18.25, -456.0, -293.0, -567.0, -6.82, 0.14, -0.0192, -0.0167, -0.0255, -8.83, -11.48, -2.51, -11.84, -17.09, -5.35, 168.22, -126.15, -99.03, 41.75, -0.006999999999999999, -72.84, -18.99, 0.0417, 0.045, 0.0132, 0.023, 0.023, 0.023, 0.023, -0.08, -0.09, -0.07, 1.0, -8.5, -7.52, -17.6, -14.92
2009-1-15, -71.34, -0.17, -0.17, -0.17, -0.17, -0.0034, -0.0039, -0.005, -13.42, 0.95, -11.13, -218.5, 0.3, -205.9, 0.0275, -1562.46, -752.7, -964.91, -214.59, -33.67, -216.61, -29.66, -3.2, -19.43, -44.8, 9.23, -31.76, -0.07400000000000001, -0.07400000000000001, -0.07400000000000001, -0.07400000000000001, 90.35, 50.65, 27.6, -29.17, -2.51, -9.74, -25.09, -0.059, -0.063, 0.025, -3.86, -56.82, -15.71, -29.3, -42.21, -0.055, -0.055, -0.055, -0.055, -0.091, -0.091, -0.091, -0.091, 0.0234, 0.0154, -0.005, -0.061, -0.061, -0.061, -0.061, -1537.0, 350.0, -820.0, -1100.0, -0.5, -0.05, -0.58, -678.07, -238.29, -562.77, -155.52, 17.88, -122.65, -248.42, -138.67, -227.64, -0.1, -0.2, 0.8, -34.03, -5.83, -29.35, -6.77, -21.14, -0.29, -0.0063, 0.25, 0.41, 1.9, -0.0038, -0.0039, 0.0033, -20.62, 1.43, -6.79, -13.36, -11.35, -11.45, -10.04, -364.6, 26.7, -326.0, 0.0072, 4.0, -692.0, -259.0, -727.0, -12.82, -9.1, -0.0096, -0.0128, -0.0072, -20.9, -13.43, -21.11, 8.88, 5.92, -13.24, -273.19, 37.45, -24.6, -184.7, 0.0068, -144.37, 5.7, -0.051, -0.0122, -0.0344, 0.013, 0.013, 0.013, 0.013, -0.23, -0.2, -0.203, 3.5, -0.5, -72.75, 6.27, -70.79
