@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Now numeric
@attribute CANADA_10_YEAR_Open numeric
@attribute CANADA_10_YEAR_High numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute EUR_USD_Now numeric
@attribute EUR_USD_Open numeric
@attribute EUR_USD_Low numeric
@attribute AEX_Now numeric
@attribute AEX_Open numeric
@attribute AEX_High numeric
@attribute AEX_Low numeric
@attribute FTSE_Now_x numeric
@attribute FTSE_Open_x numeric
@attribute FTSE_High_x numeric
@attribute FTSE_Low_x numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Open numeric
@attribute CNY_KRW_High numeric
@attribute CNY_KRW_Low numeric
@attribute Brazil_Now numeric
@attribute Brazil_Open numeric
@attribute Brazil_High numeric
@attribute Brazil_Low numeric
@attribute HONH_KONG_10_YEAR_Now numeric
@attribute HONH_KONG_10_YEAR_Open numeric
@attribute HONH_KONG_10_YEAR_High numeric
@attribute HONH_KONG_10_YEAR_Low numeric
@attribute DAX_Now numeric
@attribute DAX_Open numeric
@attribute DAX_High numeric
@attribute DAX_Low numeric
@attribute RTSI_Now numeric
@attribute RTSI_Open numeric
@attribute RTSI_High numeric
@attribute RTSI_Low numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute MOEX_High numeric
@attribute MOEX_Low numeric
@attribute UK_10_YEAR_Now numeric
@attribute UK_10_YEAR_Open numeric
@attribute UK_10_YEAR_High numeric
@attribute UK_10_YEAR_Low numeric
@attribute Nifty_Now numeric
@attribute Nifty_Open numeric
@attribute Nifty_High numeric
@attribute Nifty_Low numeric
@attribute Copper_Now numeric
@attribute Copper_Open numeric
@attribute Copper_High numeric
@attribute Copper_Low numeric
@attribute SANGHAI_Now numeric
@attribute SANGHAI_Open numeric
@attribute SANGHAI_High numeric
@attribute SANGHAI_Low numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_Open numeric
@attribute HKD_KRW_High numeric
@attribute HKD_KRW_Low numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_Open numeric
@attribute US_10_YEAR_High numeric
@attribute US_10_YEAR_Low numeric
@attribute USD_CAD_Now numeric
@attribute USD_CAD_Open numeric
@attribute USD_CAD_High numeric
@attribute USD_CAD_Low numeric
@attribute GERMANY_10_YEAR_Now numeric
@attribute GERMANY_10_YEAR_Open numeric
@attribute GERMANY_10_YEAR_High numeric
@attribute GERMANY_10_YEAR_Low numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_Open numeric
@attribute iBovespa_High numeric
@attribute iBovespa_Low numeric
@attribute WTI_Now numeric
@attribute WTI_Open numeric
@attribute WTI_High numeric
@attribute WTI_Low numeric
@attribute NIKKEI_Now numeric
@attribute NIKKEI_Open numeric
@attribute NIKKEI_High numeric
@attribute NIKKEI_Low numeric
@attribute SOUTH_KOREA_10_YEAR_Now numeric
@attribute SOUTH_KOREA_10_YEAR_Open numeric
@attribute SOUTH_KOREA_10_YEAR_High numeric
@attribute SOUTH_KOREA_10_YEAR_Low numeric
@attribute SMI_Now numeric
@attribute SMI_Open numeric
@attribute SMI_High numeric
@attribute SMI_Low numeric
@attribute OMXS_Now numeric
@attribute OMXS_Open numeric
@attribute OMXS_High numeric
@attribute OMXS_Low numeric
@attribute Russell_Now numeric
@attribute Russell_Open numeric
@attribute Russell_High numeric
@attribute Russell_Low numeric
@attribute IBEX_Now numeric
@attribute IBEX_Open numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute GBP_USD_Now numeric
@attribute GBP_USD_Open numeric
@attribute GBP_USD_High numeric
@attribute GBP_USD_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute JAPAN_10_YEAR_Now numeric
@attribute JAPAN_10_YEAR_Open numeric
@attribute JAPAN_10_YEAR_High numeric
@attribute JAPAN_10_YEAR_Low numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_Open numeric
@attribute USD_KRW_High numeric
@attribute USD_KRW_Low numeric
@attribute TA_Now numeric
@attribute TA_Open numeric
@attribute TA_High numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute JPY_KRW_Now numeric
@attribute JPY_KRW_Open numeric
@attribute JPY_KRW_High numeric
@attribute JPY_KRW_Low numeric
@attribute ITALY_10_YEAR_Now numeric
@attribute ITALY_10_YEAR_Open numeric
@attribute ITALY_10_YEAR_High numeric
@attribute ITALY_10_YEAR_Low numeric
@attribute USD_JPY_Now numeric
@attribute USD_JPY_Open numeric
@attribute USD_JPY_High numeric
@attribute USD_JPY_Low numeric
@attribute AUS_10_YEAR_Now numeric
@attribute AUS_10_YEAR_Open numeric
@attribute AUS_10_YEAR_High numeric
@attribute AUS_10_YEAR_Low numeric
@attribute BEL_Now numeric
@attribute BEL_Open numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2011-01-03, 2070.08, 3.156, 3.1630000000000003, 3.202, 3.141, 1.3283, 1.3225, 1.3212, 356.36, 358.07, 358.12, 355.58, 5971.01, 5993.8, 6007.8, 5962.8, 171.29, 172.98, 173.22, 170.86, 69304.81, 68953.18, 69527.17, 68940.08, 3.04, 3.04, 3.04, 3.04, 6914.19, 6996.56, 7008.12, 6897.22, 1770.28, 1767.82, 1770.28, 1761.16, 1687.99, 1677.68, 1687.99, 1673.66, 3.4760000000000004, 3.4760000000000004, 3.4760000000000004, 3.4760000000000004, 6101.85, 6062.35, 6106.4, 6062.35, 4.356, 4.372, 4.372, 4.335, 2759.58, 2751.97, 2768.13, 2724.54, 145.335, 147.24, 147.315, 145.02, 3.367, 3.367, 3.367, 3.367, 0.9999, 1.0008, 1.0025, 0.997, 2.949, 2.949, 2.949, 2.949, 70050.0, 69740.0, 70395.0, 69740.0, 89.84, 90.98, 91.4, 89.02, 10228.92, 10303.0, 10308.0, 10178.5, 4.47, 4.5, 4.5, 4.45, 6436.04, 6566.92, 6570.72, 6436.04, 1155.57, 1164.57, 1165.59, 1155.57, 789.74, 790.1, 794.0, 788.8, 9859.1, 9985.1, 9997.7, 9858.8, 1.5421, 1.5499, 1.5537, 1.5366, 20173.29, 20463.0, 20466.0, 20163.0, 1.1159999999999999, 1.156, 1.157, 1.1159999999999999, 1130.95, 1146.35, 1146.35, 1128.85, 1326.44, 1326.36, 1330.79, 1321.26, 13434.41, 13449.77, 13493.64, 13400.71, 13.8622, 14.0338, 14.050999999999998, 13.7958, 4.84, 4.84, 4.84, 4.84, 81.5, 81.63, 81.86, 81.29, 5.585, 5.585, 5.585, 5.585, 2590.67, 2613.09, 2616.42, 2589.89
2011-01-04, 2085.14, 3.1455, 3.1460000000000004, 3.199, 3.123, 1.3354, 1.3348, 1.3251, 359.86, 357.91, 360.56, 357.03, 5992.440000000001, 5991.9, 6028.65, 5971.3, 170.67, 170.0, 171.72, 170.0, 69962.32, 69309.98, 70470.97, 69304.67, 3.005, 3.005, 3.005, 3.005, 6989.74, 6973.39, 7026.62, 6969.83, 1774.8442857142857, 1768.1699999999994, 1774.8442857142857, 1762.1085714285714, 1691.7014285714286, 1679.1542857142858, 1691.7328571428573, 1675.6171428571427, 3.4685000000000006, 3.4685000000000006, 3.4685000000000006, 3.4685000000000006, 6157.6, 6177.45, 6178.55, 6147.2, 4.452, 4.437, 4.462, 4.415, 2806.115, 2788.65, 2811.7650000000012, 2767.325, 144.755, 144.13, 145.565, 144.1, 3.3339999999999996, 3.3339999999999996, 3.3339999999999996, 3.3339999999999996, 0.9934, 0.995, 0.9951, 0.9886, 2.905, 2.905, 2.905, 2.905, 70682.0, 70105.0, 71300.0, 70105.0, 91.55, 91.31, 92.58, 91.21, 10313.51, 10314.5, 10358.5, 10244.0, 4.57, 4.5, 4.57, 4.5, 6493.88, 6473.68, 6508.42, 6472.93, 1176.85, 1161.58, 1177.0, 1161.12, 798.56, 791.3, 801.7, 788.8, 9888.3, 9899.4, 9993.6, 9850.5, 1.5482, 1.557, 1.5585, 1.5433, 20436.28, 20138.0, 20559.0, 20103.0, 1.1395, 1.1375, 1.163, 1.1175000000000002, 1124.65, 1120.85, 1131.75, 1120.85, 1335.03, 1332.64, 1339.93, 1331.46, 13418.36, 13490.06, 13511.81, 13363.705, 13.7614, 13.7942, 13.9163, 13.7451, 4.763999999999999, 4.763999999999999, 4.763999999999999, 4.763999999999999, 81.67, 81.13, 81.75, 81.13, 5.541, 5.541, 5.541, 5.541, 2631.84, 2599.42, 2634.18, 2597.29
2011-01-05, 2082.55, 3.135, 3.1289999999999996, 3.196, 3.105, 1.3304, 1.3358, 1.3291, 358.86, 359.82, 360.87, 358.41, 6013.87, 5990.0, 6049.5, 5979.8, 170.35, 170.61, 170.85, 169.31, 70317.79, 69962.1, 70317.79, 69559.92, 2.9560000000000004, 2.9560000000000004, 2.9560000000000004, 2.9560000000000004, 6975.35, 6979.68, 7025.86, 6952.02, 1779.4085714285711, 1768.52, 1779.4085714285711, 1763.057142857143, 1695.412857142857, 1680.6285714285714, 1695.4757142857145, 1677.5742857142857, 3.4610000000000003, 3.4610000000000003, 3.4610000000000003, 3.4610000000000003, 6146.35, 6172.75, 6181.05, 6124.4, 4.364, 4.428999999999999, 4.455, 4.35, 2852.65, 2825.33, 2855.4, 2810.11, 144.87, 144.68, 145.09, 143.97, 3.338, 3.338, 3.338, 3.338, 0.999, 0.9937, 1.0034, 0.9912, 2.891, 2.891, 2.891, 2.891, 71090.0, 70900.0, 71000.0, 70265.0, 89.38, 91.5, 92.07, 88.36, 10398.1, 10326.0, 10409.0, 10309.5, 4.58, 4.56, 4.61, 4.56, 6494.31, 6502.27, 6530.83, 6481.6, 1165.88, 1180.5, 1181.56, 1165.78, 785.83, 799.6, 800.5, 777.1, 9888.4, 9895.5, 9974.2, 9799.4, 1.5586, 1.5485, 1.5647, 1.5454, 20547.03, 20473.0, 20681.0, 20338.0, 1.163, 1.119, 1.169, 1.119, 1125.5, 1125.8, 1127.2, 1120.3, 1333.25, 1334.68, 1336.65, 1331.02, 13402.31, 13530.35, 13529.98, 13326.7, 13.7206, 13.7529, 13.7897, 13.5958, 4.582, 4.582, 4.582, 4.582, 82.06, 81.67, 82.28, 81.61, 5.497000000000001, 5.497000000000001, 5.497000000000001, 5.497000000000001, 2647.86, 2641.93, 2660.1, 2633.13
2011-01-06, 2077.61, 3.2760000000000002, 3.178, 3.319, 3.135, 1.3152, 1.3304, 1.3123, 357.28, 358.2, 358.2, 352.56, 6043.86, 6011.5, 6043.86, 5962.0, 169.74, 170.11, 171.39, 169.49, 71091.03, 70311.43, 71172.96, 69801.71, 2.9410000000000003, 2.9410000000000003, 2.9410000000000003, 2.9410000000000003, 6939.82, 6966.08, 6967.24, 6842.9, 1783.972857142857, 1768.87, 1783.972857142857, 1764.005714285714, 1699.1242857142856, 1682.1028571428574, 1699.2185714285715, 1679.5314285714285, 3.5469999999999997, 3.5469999999999997, 3.5469999999999997, 3.5469999999999997, 6079.8, 6141.35, 6141.35, 6062.35, 4.402, 4.35, 4.404, 4.3, 2838.59, 2833.12, 2850.49, 2824.3, 144.58, 144.67, 145.36, 144.37, 3.463, 3.463, 3.463, 3.463, 0.9963, 0.9985, 1.0023, 0.993, 2.9539999999999997, 2.9539999999999997, 2.9539999999999997, 2.9539999999999997, 71774.0, 70500.0, 71780.0, 70430.0, 90.3, 89.29, 90.84, 88.1, 10380.77, 10369.0, 10399.5, 10349.5, 4.63, 4.59, 4.64, 4.58, 6519.25, 6485.91, 6519.25, 6424.87, 1151.8, 1166.39, 1167.09, 1149.21, 795.09, 784.3, 795.09, 782.3, 9801.4, 9877.5, 9882.4, 9599.3, 1.5512, 1.5586, 1.5628, 1.5451, 20551.58, 20486.0, 20561.0, 20226.0, 1.162, 1.166, 1.178, 1.146, 1123.5, 1125.5, 1129.5, 1123.3, 1332.34, 1330.84, 1333.09, 1322.33, 13395.99, 13365.33, 13400.03, 13301.15, 13.4955, 13.704, 13.7605, 13.4516, 4.582, 4.582, 4.582, 4.582, 83.19, 82.06, 83.38, 81.89, 5.505, 5.505, 5.505, 5.505, 2631.57, 2641.03, 2644.4, 2613.59
2011-01-07, 2086.2, 3.2260000000000004, 3.2710000000000004, 3.279, 3.215, 1.3001, 1.3146, 1.2995, 356.89, 358.54, 359.59, 356.28, 6019.51, 6036.7, 6089.3, 6002.8, 169.4, 169.49, 170.76, 168.58, 70578.83, 71092.5, 71167.1, 70469.17, 3.011, 3.011, 3.011, 3.011, 6981.39, 6949.48, 7047.59, 6949.07, 1788.537142857143, 1769.22, 1788.537142857143, 1764.9542857142858, 1702.8357142857144, 1683.577142857143, 1702.9614285714285, 1681.4885714285715, 3.525, 3.525, 3.525, 3.525, 6048.25, 6107.0, 6116.15, 6022.3, 4.3210000000000015, 4.4110000000000005, 4.4110000000000005, 4.309, 2824.2, 2838.43, 2853.88, 2816.95, 144.525, 144.38, 144.745, 143.69, 3.3989999999999996, 3.3989999999999996, 3.3989999999999996, 3.3989999999999996, 0.9969, 0.9966, 0.9995, 0.9918, 2.924, 2.924, 2.924, 2.924, 71238.0, 71900.0, 72010.0, 71120.0, 88.38, 90.47, 90.71, 87.85, 10529.76, 10495.0, 10529.76, 10490.5, 4.68, 4.67, 4.69, 4.66, 6532.84, 6550.59, 6588.23, 6521.21, 1155.625, 1162.985, 1166.025, 1150.62, 791.42, 795.6, 796.6, 787.8, 9702.7, 9803.2, 9832.6, 9678.4, 1.5466, 1.5519999999999998, 1.5563, 1.5449, 20637.39, 20608.0, 20898.0, 20576.0, 1.225, 1.198, 1.229, 1.198, 1123.2, 1122.5, 1124.9, 1117.7, 1335.99, 1336.65, 1339.75, 1334.84, 13311.67, 13407.56, 13413.18, 13290.89, 13.4765, 13.4726, 13.5212, 13.4286, 4.582, 4.582, 4.582, 4.582, 83.31, 83.19, 83.39, 82.88, 5.55, 5.55, 5.55, 5.55, 2625.44, 2634.52, 2638.06, 2620.28
2011-01-10, 2080.81, 3.185, 3.2310000000000003, 3.3, 3.1689999999999996, 1.2919, 1.3005, 1.2906, 356.44, 356.59, 358.15, 354.31, 5984.33, 6009.5, 6021.3, 5970.0, 169.31, 169.45, 169.98, 168.68, 70057.2, 70579.9, 70782.83, 69718.11, 2.988, 2.988, 2.988, 2.988, 6947.84, 6991.55, 7010.89, 6939.88, 1793.1014285714284, 1769.57, 1793.1014285714284, 1765.902857142857, 1706.547142857143, 1685.0514285714291, 1706.7042857142858, 1683.4457142857145, 3.516, 3.516, 3.516, 3.516, 5904.6, 6030.9, 6051.2, 5883.6, 4.272, 4.269, 4.317, 4.25, 2838.8, 2820.66, 2868.01, 2807.87, 144.395, 144.46, 144.975, 143.8, 3.3280000000000003, 3.3280000000000003, 3.3280000000000003, 3.3280000000000003, 0.9913, 0.9967, 1.0005, 0.9897, 2.862, 2.862, 2.862, 2.862, 70638.0, 71290.0, 71460.0, 70335.0, 88.03, 88.18, 89.48, 87.25, 10541.04, 10500.0, 10542.5, 10500.0, 4.71, 4.7, 4.73, 4.68, 6497.64, 6543.53, 6559.6, 6489.19, 1159.45, 1159.58, 1164.96, 1152.03, 787.83, 793.3, 795.7, 775.6, 9560.7, 9682.4, 9699.4, 9497.8, 1.5558, 1.5471, 1.5581, 1.541, 20542.06, 20651.0, 20741.0, 20361.0, 1.204, 1.209, 1.2209999999999999, 1.203, 1122.2, 1122.4, 1126.7, 1118.6, 1329.345, 1333.545, 1335.655, 1328.025, 13272.3, 13263.08, 13329.64, 13233.32, 13.5107, 13.4697, 13.5474, 13.3975, 4.784, 4.784, 4.784, 4.784, 83.14, 83.31, 83.69, 82.86, 5.593, 5.593, 5.593, 5.593, 2605.15, 2619.07, 2625.77, 2603.37
2011-01-11, 2088.32, 3.177, 3.18, 3.198, 3.153, 1.2944, 1.2883, 1.2874, 354.21, 355.5, 355.74, 353.63, 5956.3, 5978.5, 5980.8, 5938.5, 169.88, 169.21, 170.84, 168.56, 70127.04, 70056.05, 70133.39, 69666.37, 2.9530000000000003, 2.9530000000000003, 2.9530000000000003, 2.9530000000000003, 6857.06, 6920.36, 6941.39, 6835.74, 1797.6657142857143, 1769.92, 1797.6657142857143, 1766.8514285714284, 1710.2585714285715, 1686.525714285714, 1710.4471428571426, 1685.402857142857, 3.512, 3.512, 3.512, 3.512, 5762.85, 5901.3, 5907.25, 5740.95, 4.255, 4.2589999999999995, 4.271, 4.253, 2791.81, 2832.62, 2847.36, 2786.86, 144.98, 144.28, 145.85, 143.75, 3.287, 3.287, 3.287, 3.287, 0.993, 0.993, 0.9985, 0.991, 2.8739999999999997, 2.8739999999999997, 2.8739999999999997, 2.8739999999999997, 70618.0, 70100.0, 70640.0, 70100.0, 89.25, 89.0, 89.98, 88.13, 10525.86, 10483.5, 10538.0, 10483.5, 4.7, 4.69, 4.72, 4.69, 6446.32, 6485.74, 6498.05, 6426.79, 1152.61, 1158.74, 1160.42, 1149.38, 791.58, 784.0, 794.8, 777.5, 9437.8, 9488.3, 9491.8, 9387.9, 1.5572, 1.5524, 1.5604, 1.5476, 20058.18, 20396.0, 20428.0, 20058.18, 1.1965, 1.2035, 1.2095, 1.1875, 1127.5, 1124.2, 1134.05, 1120.1, 1322.7, 1330.44, 1331.56, 1321.21, 13245.12, 13291.61, 13295.37, 13139.5, 13.6287, 13.4771, 13.6761, 13.4545, 4.896, 4.896, 4.896, 4.896, 82.72, 83.06, 83.28, 82.67, 5.52, 5.52, 5.52, 5.52, 2555.19, 2600.65, 2600.65, 2553.31
2011-01-12, 2094.95, 3.2260000000000004, 3.1860000000000004, 3.245, 3.1710000000000003, 1.2978, 1.295, 1.2905, 358.3, 355.58, 359.3, 355.29, 6014.03, 5986.1, 6036.8, 5978.8, 170.11, 169.49, 170.71, 169.14, 70423.44, 70145.55, 70647.44, 70145.28, 2.937, 2.937, 2.937, 2.937, 6941.57, 6879.39, 6951.19, 6860.52, 1802.23, 1770.27, 1802.23, 1767.8, 1713.97, 1688.0, 1714.19, 1687.36, 3.552, 3.552, 3.552, 3.552, 5754.1, 5767.95, 5842.6, 5698.2, 4.3389999999999995, 4.33, 4.345, 4.324, 2804.05, 2783.48, 2810.76, 2770.34, 144.85, 144.66, 145.49, 143.99, 3.34, 3.34, 3.34, 3.34, 0.9901, 0.9932, 0.9951, 0.989, 2.932, 2.932, 2.932, 2.932, 71084.0, 71250.0, 71290.0, 70920.0, 91.11, 89.31, 91.39, 88.93, 10510.68, 10467.0, 10533.5, 10467.0, 4.71, 4.71, 4.73, 4.69, 6534.84, 6454.39, 6542.64, 6451.11, 1174.37, 1158.41, 1175.03, 1154.88, 794.76, 795.4, 798.8, 790.8, 9582.1, 9467.4, 9593.0, 9404.7, 1.5615, 1.5572, 1.5641, 1.5513, 20339.05, 20147.0, 20373.0, 20005.0, 1.189, 1.198, 1.198, 1.172, 1126.0, 1127.0, 1131.4, 1121.8, 1335.14, 1328.23, 1335.65, 1327.6, 13401.05, 13341.9, 13421.81, 13245.12, 13.5288, 13.5985, 13.6526, 13.4597, 4.838, 4.838, 4.838, 4.838, 83.36, 82.72, 83.49, 82.72, 5.42, 5.42, 5.42, 5.42, 2579.7, 2573.25, 2587.09, 2568.88
2011-01-13, 2089.48, 3.26, 3.2319999999999998, 3.281, 3.221, 1.3137, 1.2972, 1.2961, 362.41, 359.06, 362.41, 359.05, 6050.72, 6024.3, 6050.72, 6019.8, 168.91, 169.79, 169.91, 168.3, 71632.9, 70429.44, 71632.9, 70429.44, 2.967, 2.967, 2.967, 2.967, 7068.78, 6958.84, 7070.4, 6958.5, 1868.94, 1802.23, 1868.94, 1800.24, 1759.46, 1714.04, 1760.09, 1714.04, 3.647, 3.647, 3.647, 3.647, 5863.25, 5800.05, 5874.2, 5711.3, 4.402, 4.35, 4.4060000000000015, 4.35, 2821.31, 2811.79, 2828.47, 2788.13, 142.965, 144.55, 144.875, 142.62, 3.367, 3.367, 3.367, 3.367, 0.986, 0.9901, 0.9913, 0.9844, 3.0580000000000003, 3.0580000000000003, 3.0580000000000003, 3.0580000000000003, 72218.0, 71550.0, 72195.0, 71545.0, 91.86, 91.18, 92.39, 90.79, 10512.8, 10558.0, 10568.5, 10498.5, 4.64, 4.69, 4.69, 4.62, 6613.75, 6555.94, 6617.92, 6554.36, 1174.1, 1175.76, 1178.06, 1172.77, 801.36, 801.5, 803.3, 797.3, 10101.2, 9606.4, 10106.2, 9596.0, 1.577, 1.5608, 1.5781, 1.558, 21116.39, 20420.0, 21124.0, 20420.0, 1.183, 1.2, 1.205, 1.17, 1111.5, 1126.5, 1126.5, 1114.1, 1337.09, 1336.1, 1342.2, 1335.23, 13460.21, 13467.43, 13497.68, 13402.27, 13.3932, 13.5031, 13.5397, 13.3221, 4.836, 4.836, 4.836, 4.836, 83.09, 83.36, 83.46, 82.81, 5.497000000000001, 5.497000000000001, 5.497000000000001, 5.497000000000001, 2626.4, 2583.17, 2626.4, 2583.06
2011-01-14, 2108.17, 3.253, 3.26, 3.3, 3.2439999999999998, 1.3354, 1.3129, 1.3087, 360.79, 362.05, 362.05, 359.09, 6023.88, 6047.8, 6056.5, 6004.0, 168.39, 167.9, 169.02, 167.6, 70721.44, 71631.13, 71923.84, 70719.1, 2.972, 2.972, 2.972, 2.972, 7075.11, 7075.54, 7084.07, 7036.09, 1878.14, 1868.94, 1887.59, 1865.91, 1749.75, 1759.46, 1768.21, 1743.72, 3.6, 3.6, 3.6, 3.6, 5751.9, 5850.75, 5857.75, 5736.7, 4.367, 4.383, 4.388999999999999, 4.341, 2827.71, 2830.53, 2837.53, 2810.87, 143.115, 142.64, 143.395, 142.39, 3.299, 3.299, 3.299, 3.299, 0.989, 0.9862, 0.9911, 0.9853, 3.0469999999999997, 3.0469999999999997, 3.0469999999999997, 3.0469999999999997, 71271.0, 72150.0, 72465.0, 71470.0, 91.4, 92.0, 92.37, 90.75, 10589.76, 10598.0, 10613.5, 10568.5, 4.7, 4.65, 4.73, 4.63, 6562.47, 6608.36, 6613.2, 6559.88, 1174.42, 1178.96, 1179.84, 1171.08, 800.65, 801.8, 804.3, 797.1, 10370.8, 10105.8, 10410.2, 10096.8, 1.5837, 1.5764, 1.5885, 1.5719, 21308.13, 21301.0, 21343.0, 21078.0, 1.185, 1.19, 1.204, 1.183, 1112.5, 1109.5, 1114.9, 1107.5, 1335.82, 1339.32, 1339.83, 1332.87, 13401.48, 13492.26, 13505.44, 13383.53, 13.4328, 13.3631, 13.4652, 13.3197, 4.708, 4.708, 4.708, 4.708, 82.77, 83.09, 83.15, 82.55, 5.547999999999999, 5.547999999999999, 5.547999999999999, 5.547999999999999, 2632.68, 2630.15, 2638.98, 2624.04
