@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Open numeric
@attribute CNY_KRW_High numeric
@attribute CNY_KRW_Low numeric
@attribute Brazil_Now numeric
@attribute Brazil_Open numeric
@attribute Brazil_High numeric
@attribute Brazil_Low numeric
@attribute EUR_KRW_High numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_Open numeric
@attribute HKD_KRW_High numeric
@attribute HKD_KRW_Low numeric
@attribute CHF_KRW_Now numeric
@attribute CHF_KRW_Open numeric
@attribute CHF_KRW_High numeric
@attribute CHF_KRW_Low numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_Open numeric
@attribute iBovespa_High numeric
@attribute iBovespa_Low numeric
@attribute NZD_USD_Now numeric
@attribute NZD_USD_Open numeric
@attribute NZD_USD_High numeric
@attribute NZD_USD_Low numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_Open numeric
@attribute USD_KRW_High numeric
@attribute USD_KRW_Low numeric
@attribute S&P_TSX_Low numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2013-01-02, 2031.1, 171.32, 171.9, 172.43, 171.17, 60952.08, 60415.95, 61066.34, 60415.95, 1424.04, 137.725, 138.29, 138.675, 137.61, 1169.25, 1173.52, 1178.88, 1161.99, 61287.0, 61000.0, 61465.0, 60790.0, 0.8198, 0.8206, 0.8227, 0.8179, 1067.64, 1072.51, 1072.51, 1067.24, 12304.98, 2489.68, 2463.22
2013-01-03, 2019.41, 170.7, 171.08, 171.17, 170.63, 62550.1, 60990.34, 62886.96, 60990.34, 1416.2, 137.21, 137.17, 137.59, 137.13, 1158.62, 1160.87, 1172.87, 1155.51, 63061.0, 63000.0, 63330.0, 62460.0, 0.8341, 0.8274, 0.8394, 0.826, 1063.5, 1066.1, 1066.4, 1063.3, 12439.25, 2518.57, 2502.72
2013-01-04, 2011.94, 170.65, 170.66, 170.92, 170.28, 63312.46, 62555.04, 63472.55, 62341.48, 1404.3, 137.175, 137.18, 137.375, 136.86, 1147.3, 1158.28, 1160.25, 1146.41, 63607.0, 62995.0, 63875.0, 62730.0, 0.828, 0.8338, 0.8353, 0.8269, 1063.2, 1063.55, 1064.85, 1061.15, 12430.41, 2519.45, 2507.39
2013-01-07, 2011.25, 170.51, 170.6, 170.98, 170.45, 62523.06, 63314.22, 63314.22, 62414.98, 1390.62, 137.075, 137.14, 137.425, 137.0, 1149.28, 1146.9, 1151.02, 1143.13, 62792.0, 63510.0, 63570.0, 62770.0, 0.8317, 0.828, 0.8323, 0.8211, 1062.39, 1063.2, 1065.25, 1062.25, 12442.84, 2516.32, 2495.16
2013-01-08, 1997.94, 170.68, 170.47, 170.94, 170.16, 61932.54, 62523.06, 62698.87, 61639.34, 1394.88, 137.14, 137.03, 137.42, 136.78, 1153.39, 1149.13, 1154.41, 1144.53, 62198.0, 62610.0, 62955.0, 61915.0, 0.8371, 0.8307, 0.8376, 0.8284, 1063.21, 1062.39, 1065.05, 1060.45, 12448.21, 2518.2, 2500.71
2013-01-09, 1991.81, 170.97, 170.63, 171.01, 170.52, 61127.84, 61932.87, 62264.99, 61080.92, 1397.01, 137.295, 137.13, 137.325, 137.01, 1151.93, 1153.64, 1155.4, 1147.47, 61363.0, 62210.0, 62530.0, 61305.0, 0.8366, 0.8370000000000001, 0.8381, 0.8333, 1064.15, 1063.16, 1064.35, 1062.3, 12456.0, 2508.89, 2492.75
2013-01-10, 2006.8, 170.32, 170.93, 170.97, 170.22, 61578.58, 61128.79, 61811.77, 61102.69, 1392.7, 136.79, 137.26, 137.3, 136.71, 1146.31, 1150.96, 1152.3, 1142.79, 61744.0, 61435.0, 62110.0, 61315.0, 0.8397, 0.8363, 0.8409, 0.8347, 1060.65, 1064.3, 1064.3, 1060.2, 12484.8, 2510.0, 2490.51
2013-01-11, 1996.67, 170.09, 170.29, 170.76, 169.99, 61678.31, 61578.02, 61947.2, 61156.05, 1404.53, 136.57, 136.77, 137.13, 136.48, 1157.03, 1145.78, 1159.07, 1143.35, 61907.0, 61995.0, 62230.0, 61365.0, 0.8456, 0.8395, 0.8458, 0.8375, 1058.57, 1060.65, 1063.25, 1058.42, 12523.56, 2521.27, 2501.5
2013-01-14, 2007.04, 169.96, 170.01, 170.09, 169.41, 61497.43, 61661.87, 61682.83, 61198.0, 1411.81, 136.29, 136.54, 136.6, 135.98, 1156.66, 1156.44, 1159.55, 1148.61, 61752.0, 61950.0, 61960.0, 61385.0, 0.8364, 0.8454, 0.846, 0.8359, 1056.49, 1058.67, 1058.67, 1054.75, 12545.03, 2511.15, 2486.87
2013-01-15, 1983.74, 169.84, 169.87, 170.09, 169.73, 62080.79, 61511.35, 62284.76, 61511.35, 1416.24, 136.255, 136.22, 136.315, 136.13, 1145.9, 1156.92, 1158.36, 1143.78, 62220.0, 62150.0, 62495.0, 61875.0, 0.8432, 0.8370000000000001, 0.8440000000000001, 0.8359, 1056.5, 1056.54, 1056.94, 1055.9, 12582.15, 2507.66, 2489.36
2013-01-16, 1977.45, 170.26, 169.79, 170.27, 169.52, 61727.61, 62078.96, 62151.36, 61694.62, 1415.27, 136.425, 136.22, 136.475, 135.98, 1135.16, 1145.21, 1146.74, 1133.08, 61912.0, 62070.0, 62315.0, 61905.0, 0.8397, 0.8428, 0.8440000000000001, 0.8370000000000001, 1057.57, 1056.45, 1058.07, 1054.75, 12569.77, 2503.77, 2486.41
2013-01-17, 1974.27, 170.32, 170.12, 170.63, 169.91, 61787.35, 61725.63, 61787.35, 61241.06, 1410.97, 136.58, 136.37, 136.79, 136.18, 1137.33, 1134.49, 1141.45, 1133.15, 61881.0, 61855.0, 61945.0, 61385.0, 0.841, 0.8395, 0.8429, 0.8365, 1058.8, 1057.57, 1060.5, 1056.25, 12580.32, 2505.32, 2487.98
2013-01-18, 1987.85, 170.2, 170.23, 170.5, 169.86, 62194.06, 61806.18, 62309.42, 61683.11, 1416.44, 136.47, 136.52, 136.72, 136.26, 1134.46, 1136.67, 1138.0, 1129.79, 62459.0, 61955.0, 62535.0, 61760.0, 0.8362, 0.8405, 0.8425, 0.8346, 1057.99, 1058.53, 1059.97, 1056.58, 12608.82, 2532.43, 2508.83
2013-01-21, 1986.86, 170.28, 170.17, 170.34, 169.7, 61956.14, 62196.86, 62395.2, 61822.46, 1416.9, 136.515, 136.45, 136.575, 136.07, 1132.53, 1134.15, 1137.8, 1123.8, 62075.0, 62600.0, 62645.0, 61950.0, 0.8371, 0.836, 0.8381, 0.833, 1058.35, 1058.17, 1058.75, 1055.25, 12675.61, 2546.09, 2532.25
