@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Now numeric
@attribute CANADA_10_YEAR_Open numeric
@attribute CANADA_10_YEAR_High numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute AEX_Now numeric
@attribute AEX_Open numeric
@attribute AEX_High numeric
@attribute AEX_Low numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Open numeric
@attribute CNY_KRW_High numeric
@attribute CNY_KRW_Low numeric
@attribute Brazil_Now numeric
@attribute Brazil_Open numeric
@attribute Brazil_High numeric
@attribute Brazil_Low numeric
@attribute RTSI_Now numeric
@attribute RTSI_Open numeric
@attribute RTSI_High numeric
@attribute RTSI_Low numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute MOEX_High numeric
@attribute MOEX_Low numeric
@attribute UK_10_YEAR_Now numeric
@attribute UK_10_YEAR_Open numeric
@attribute UK_10_YEAR_High numeric
@attribute UK_10_YEAR_Low numeric
@attribute Nifty_Now numeric
@attribute Nifty_Open numeric
@attribute Nifty_High numeric
@attribute Nifty_Low numeric
@attribute Copper_Now numeric
@attribute Copper_Open numeric
@attribute Copper_High numeric
@attribute Copper_Low numeric
@attribute SANGHAI_Now numeric
@attribute SANGHAI_Open numeric
@attribute SANGHAI_High numeric
@attribute SANGHAI_Low numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_Open numeric
@attribute HKD_KRW_High numeric
@attribute HKD_KRW_Low numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_Open numeric
@attribute US_10_YEAR_High numeric
@attribute US_10_YEAR_Low numeric
@attribute GERMANY_10_YEAR_Now numeric
@attribute GERMANY_10_YEAR_Open numeric
@attribute GERMANY_10_YEAR_High numeric
@attribute GERMANY_10_YEAR_Low numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_Open numeric
@attribute iBovespa_High numeric
@attribute iBovespa_Low numeric
@attribute OMXS_Now numeric
@attribute OMXS_Open numeric
@attribute OMXS_High numeric
@attribute OMXS_Low numeric
@attribute IBEX_Now numeric
@attribute IBEX_Open numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_Open numeric
@attribute USD_KRW_High numeric
@attribute USD_KRW_Low numeric
@attribute TA_Now numeric
@attribute TA_Open numeric
@attribute TA_High numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute AUS_10_YEAR_Now numeric
@attribute AUS_10_YEAR_Open numeric
@attribute AUS_10_YEAR_High numeric
@attribute AUS_10_YEAR_Low numeric
@attribute BEL_Now numeric
@attribute BEL_Open numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2011-01-03, 2070.08, 3.156, 3.1630000000000003, 3.202, 3.141, 356.36, 358.07, 358.12, 355.58, 171.29, 172.98, 173.22, 170.86, 69304.81, 68953.18, 69527.17, 68940.08, 1770.28, 1767.82, 1770.28, 1761.16, 1687.99, 1677.68, 1687.99, 1673.66, 3.4760000000000004, 3.4760000000000004, 3.4760000000000004, 3.4760000000000004, 6101.85, 6062.35, 6106.4, 6062.35, 4.356, 4.372, 4.372, 4.335, 2759.58, 2751.97, 2768.13, 2724.54, 145.335, 147.24, 147.315, 145.02, 3.367, 3.367, 3.367, 3.367, 2.949, 2.949, 2.949, 2.949, 70050.0, 69740.0, 70395.0, 69740.0, 1155.57, 1164.57, 1165.59, 1155.57, 9859.1, 9985.1, 9997.7, 9858.8, 20173.29, 20463.0, 20466.0, 20163.0, 1130.95, 1146.35, 1146.35, 1128.85, 1326.44, 1326.36, 1330.79, 1321.26, 13434.41, 13449.77, 13493.64, 13400.71, 5.585, 5.585, 5.585, 5.585, 2590.67, 2613.09, 2616.42, 2589.89
2011-01-04, 2085.14, 3.1455, 3.1460000000000004, 3.199, 3.123, 359.86, 357.91, 360.56, 357.03, 170.67, 170.0, 171.72, 170.0, 69962.32, 69309.98, 70470.97, 69304.67, 1774.8442857142857, 1768.1699999999994, 1774.8442857142857, 1762.1085714285714, 1691.7014285714286, 1679.1542857142858, 1691.7328571428573, 1675.6171428571427, 3.4685000000000006, 3.4685000000000006, 3.4685000000000006, 3.4685000000000006, 6157.6, 6177.45, 6178.55, 6147.2, 4.452, 4.437, 4.462, 4.415, 2806.115, 2788.65, 2811.7650000000012, 2767.325, 144.755, 144.13, 145.565, 144.1, 3.3339999999999996, 3.3339999999999996, 3.3339999999999996, 3.3339999999999996, 2.905, 2.905, 2.905, 2.905, 70682.0, 70105.0, 71300.0, 70105.0, 1176.85, 1161.58, 1177.0, 1161.12, 9888.3, 9899.4, 9993.6, 9850.5, 20436.28, 20138.0, 20559.0, 20103.0, 1124.65, 1120.85, 1131.75, 1120.85, 1335.03, 1332.64, 1339.93, 1331.46, 13418.36, 13490.06, 13511.81, 13363.705, 5.541, 5.541, 5.541, 5.541, 2631.84, 2599.42, 2634.18, 2597.29
2011-01-05, 2082.55, 3.135, 3.1289999999999996, 3.196, 3.105, 358.86, 359.82, 360.87, 358.41, 170.35, 170.61, 170.85, 169.31, 70317.79, 69962.1, 70317.79, 69559.92, 1779.4085714285711, 1768.52, 1779.4085714285711, 1763.057142857143, 1695.412857142857, 1680.6285714285714, 1695.4757142857145, 1677.5742857142857, 3.4610000000000003, 3.4610000000000003, 3.4610000000000003, 3.4610000000000003, 6146.35, 6172.75, 6181.05, 6124.4, 4.364, 4.428999999999999, 4.455, 4.35, 2852.65, 2825.33, 2855.4, 2810.11, 144.87, 144.68, 145.09, 143.97, 3.338, 3.338, 3.338, 3.338, 2.891, 2.891, 2.891, 2.891, 71090.0, 70900.0, 71000.0, 70265.0, 1165.88, 1180.5, 1181.56, 1165.78, 9888.4, 9895.5, 9974.2, 9799.4, 20547.03, 20473.0, 20681.0, 20338.0, 1125.5, 1125.8, 1127.2, 1120.3, 1333.25, 1334.68, 1336.65, 1331.02, 13402.31, 13530.35, 13529.98, 13326.7, 5.497000000000001, 5.497000000000001, 5.497000000000001, 5.497000000000001, 2647.86, 2641.93, 2660.1, 2633.13
2011-01-06, 2077.61, 3.2760000000000002, 3.178, 3.319, 3.135, 357.28, 358.2, 358.2, 352.56, 169.74, 170.11, 171.39, 169.49, 71091.03, 70311.43, 71172.96, 69801.71, 1783.972857142857, 1768.87, 1783.972857142857, 1764.005714285714, 1699.1242857142856, 1682.1028571428574, 1699.2185714285715, 1679.5314285714285, 3.5469999999999997, 3.5469999999999997, 3.5469999999999997, 3.5469999999999997, 6079.8, 6141.35, 6141.35, 6062.35, 4.402, 4.35, 4.404, 4.3, 2838.59, 2833.12, 2850.49, 2824.3, 144.58, 144.67, 145.36, 144.37, 3.463, 3.463, 3.463, 3.463, 2.9539999999999997, 2.9539999999999997, 2.9539999999999997, 2.9539999999999997, 71774.0, 70500.0, 71780.0, 70430.0, 1151.8, 1166.39, 1167.09, 1149.21, 9801.4, 9877.5, 9882.4, 9599.3, 20551.58, 20486.0, 20561.0, 20226.0, 1123.5, 1125.5, 1129.5, 1123.3, 1332.34, 1330.84, 1333.09, 1322.33, 13395.99, 13365.33, 13400.03, 13301.15, 5.505, 5.505, 5.505, 5.505, 2631.57, 2641.03, 2644.4, 2613.59
2011-01-07, 2086.2, 3.2260000000000004, 3.2710000000000004, 3.279, 3.215, 356.89, 358.54, 359.59, 356.28, 169.4, 169.49, 170.76, 168.58, 70578.83, 71092.5, 71167.1, 70469.17, 1788.537142857143, 1769.22, 1788.537142857143, 1764.9542857142858, 1702.8357142857144, 1683.577142857143, 1702.9614285714285, 1681.4885714285715, 3.525, 3.525, 3.525, 3.525, 6048.25, 6107.0, 6116.15, 6022.3, 4.3210000000000015, 4.4110000000000005, 4.4110000000000005, 4.309, 2824.2, 2838.43, 2853.88, 2816.95, 144.525, 144.38, 144.745, 143.69, 3.3989999999999996, 3.3989999999999996, 3.3989999999999996, 3.3989999999999996, 2.924, 2.924, 2.924, 2.924, 71238.0, 71900.0, 72010.0, 71120.0, 1155.625, 1162.985, 1166.025, 1150.62, 9702.7, 9803.2, 9832.6, 9678.4, 20637.39, 20608.0, 20898.0, 20576.0, 1123.2, 1122.5, 1124.9, 1117.7, 1335.99, 1336.65, 1339.75, 1334.84, 13311.67, 13407.56, 13413.18, 13290.89, 5.55, 5.55, 5.55, 5.55, 2625.44, 2634.52, 2638.06, 2620.28
2011-01-10, 2080.81, 3.185, 3.2310000000000003, 3.3, 3.1689999999999996, 356.44, 356.59, 358.15, 354.31, 169.31, 169.45, 169.98, 168.68, 70057.2, 70579.9, 70782.83, 69718.11, 1793.1014285714284, 1769.57, 1793.1014285714284, 1765.902857142857, 1706.547142857143, 1685.0514285714291, 1706.7042857142858, 1683.4457142857145, 3.516, 3.516, 3.516, 3.516, 5904.6, 6030.9, 6051.2, 5883.6, 4.272, 4.269, 4.317, 4.25, 2838.8, 2820.66, 2868.01, 2807.87, 144.395, 144.46, 144.975, 143.8, 3.3280000000000003, 3.3280000000000003, 3.3280000000000003, 3.3280000000000003, 2.862, 2.862, 2.862, 2.862, 70638.0, 71290.0, 71460.0, 70335.0, 1159.45, 1159.58, 1164.96, 1152.03, 9560.7, 9682.4, 9699.4, 9497.8, 20542.06, 20651.0, 20741.0, 20361.0, 1122.2, 1122.4, 1126.7, 1118.6, 1329.345, 1333.545, 1335.655, 1328.025, 13272.3, 13263.08, 13329.64, 13233.32, 5.593, 5.593, 5.593, 5.593, 2605.15, 2619.07, 2625.77, 2603.37
2011-01-11, 2088.32, 3.177, 3.18, 3.198, 3.153, 354.21, 355.5, 355.74, 353.63, 169.88, 169.21, 170.84, 168.56, 70127.04, 70056.05, 70133.39, 69666.37, 1797.6657142857143, 1769.92, 1797.6657142857143, 1766.8514285714284, 1710.2585714285715, 1686.525714285714, 1710.4471428571426, 1685.402857142857, 3.512, 3.512, 3.512, 3.512, 5762.85, 5901.3, 5907.25, 5740.95, 4.255, 4.2589999999999995, 4.271, 4.253, 2791.81, 2832.62, 2847.36, 2786.86, 144.98, 144.28, 145.85, 143.75, 3.287, 3.287, 3.287, 3.287, 2.8739999999999997, 2.8739999999999997, 2.8739999999999997, 2.8739999999999997, 70618.0, 70100.0, 70640.0, 70100.0, 1152.61, 1158.74, 1160.42, 1149.38, 9437.8, 9488.3, 9491.8, 9387.9, 20058.18, 20396.0, 20428.0, 20058.18, 1127.5, 1124.2, 1134.05, 1120.1, 1322.7, 1330.44, 1331.56, 1321.21, 13245.12, 13291.61, 13295.37, 13139.5, 5.52, 5.52, 5.52, 5.52, 2555.19, 2600.65, 2600.65, 2553.31
2011-01-12, 2094.95, 3.2260000000000004, 3.1860000000000004, 3.245, 3.1710000000000003, 358.3, 355.58, 359.3, 355.29, 170.11, 169.49, 170.71, 169.14, 70423.44, 70145.55, 70647.44, 70145.28, 1802.23, 1770.27, 1802.23, 1767.8, 1713.97, 1688.0, 1714.19, 1687.36, 3.552, 3.552, 3.552, 3.552, 5754.1, 5767.95, 5842.6, 5698.2, 4.3389999999999995, 4.33, 4.345, 4.324, 2804.05, 2783.48, 2810.76, 2770.34, 144.85, 144.66, 145.49, 143.99, 3.34, 3.34, 3.34, 3.34, 2.932, 2.932, 2.932, 2.932, 71084.0, 71250.0, 71290.0, 70920.0, 1174.37, 1158.41, 1175.03, 1154.88, 9582.1, 9467.4, 9593.0, 9404.7, 20339.05, 20147.0, 20373.0, 20005.0, 1126.0, 1127.0, 1131.4, 1121.8, 1335.14, 1328.23, 1335.65, 1327.6, 13401.05, 13341.9, 13421.81, 13245.12, 5.42, 5.42, 5.42, 5.42, 2579.7, 2573.25, 2587.09, 2568.88
2011-01-13, 2089.48, 3.26, 3.2319999999999998, 3.281, 3.221, 362.41, 359.06, 362.41, 359.05, 168.91, 169.79, 169.91, 168.3, 71632.9, 70429.44, 71632.9, 70429.44, 1868.94, 1802.23, 1868.94, 1800.24, 1759.46, 1714.04, 1760.09, 1714.04, 3.647, 3.647, 3.647, 3.647, 5863.25, 5800.05, 5874.2, 5711.3, 4.402, 4.35, 4.4060000000000015, 4.35, 2821.31, 2811.79, 2828.47, 2788.13, 142.965, 144.55, 144.875, 142.62, 3.367, 3.367, 3.367, 3.367, 3.0580000000000003, 3.0580000000000003, 3.0580000000000003, 3.0580000000000003, 72218.0, 71550.0, 72195.0, 71545.0, 1174.1, 1175.76, 1178.06, 1172.77, 10101.2, 9606.4, 10106.2, 9596.0, 21116.39, 20420.0, 21124.0, 20420.0, 1111.5, 1126.5, 1126.5, 1114.1, 1337.09, 1336.1, 1342.2, 1335.23, 13460.21, 13467.43, 13497.68, 13402.27, 5.497000000000001, 5.497000000000001, 5.497000000000001, 5.497000000000001, 2626.4, 2583.17, 2626.4, 2583.06
2011-01-14, 2108.17, 3.253, 3.26, 3.3, 3.2439999999999998, 360.79, 362.05, 362.05, 359.09, 168.39, 167.9, 169.02, 167.6, 70721.44, 71631.13, 71923.84, 70719.1, 1878.14, 1868.94, 1887.59, 1865.91, 1749.75, 1759.46, 1768.21, 1743.72, 3.6, 3.6, 3.6, 3.6, 5751.9, 5850.75, 5857.75, 5736.7, 4.367, 4.383, 4.388999999999999, 4.341, 2827.71, 2830.53, 2837.53, 2810.87, 143.115, 142.64, 143.395, 142.39, 3.299, 3.299, 3.299, 3.299, 3.0469999999999997, 3.0469999999999997, 3.0469999999999997, 3.0469999999999997, 71271.0, 72150.0, 72465.0, 71470.0, 1174.42, 1178.96, 1179.84, 1171.08, 10370.8, 10105.8, 10410.2, 10096.8, 21308.13, 21301.0, 21343.0, 21078.0, 1112.5, 1109.5, 1114.9, 1107.5, 1335.82, 1339.32, 1339.83, 1332.87, 13401.48, 13492.26, 13505.44, 13383.53, 5.547999999999999, 5.547999999999999, 5.547999999999999, 5.547999999999999, 2632.68, 2630.15, 2638.98, 2624.04
