@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Now numeric
@attribute CANADA_10_YEAR_Open numeric
@attribute CANADA_10_YEAR_High numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute EUR_USD_Now numeric
@attribute EUR_USD_Open numeric
@attribute EUR_USD_High numeric
@attribute EUR_USD_Low numeric
@attribute AEX_Now numeric
@attribute AEX_Open numeric
@attribute AEX_High numeric
@attribute AEX_Low numeric
@attribute FTSE_Now_x numeric
@attribute FTSE_Open_x numeric
@attribute FTSE_High_x numeric
@attribute FTSE_Low_x numeric
@attribute IDR_KRW_Now numeric
@attribute IDR_KRW_Open numeric
@attribute IDR_KRW_High numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Open numeric
@attribute CNY_KRW_High numeric
@attribute CNY_KRW_Low numeric
@attribute Brazil_Now numeric
@attribute Brazil_Open numeric
@attribute Brazil_High numeric
@attribute Brazil_Low numeric
@attribute DAX_Now numeric
@attribute DAX_Open numeric
@attribute DAX_High numeric
@attribute DAX_Low numeric
@attribute RTSI_Now numeric
@attribute RTSI_Open numeric
@attribute RTSI_High numeric
@attribute RTSI_Low numeric
@attribute Nifty_Now numeric
@attribute Nifty_Open numeric
@attribute Nifty_High numeric
@attribute Nifty_Low numeric
@attribute S&P_Now numeric
@attribute S&P_Open numeric
@attribute S&P_High numeric
@attribute S&P_Low numeric
@attribute Copper_Now numeric
@attribute Copper_Open numeric
@attribute Copper_High numeric
@attribute Copper_Low numeric
@attribute NASDAQ_Now numeric
@attribute NASDAQ_Open numeric
@attribute NASDAQ_High numeric
@attribute NASDAQ_Low numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_High numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_Open numeric
@attribute iBovespa_High numeric
@attribute iBovespa_Low numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_Open numeric
@attribute S&P_BMV_High numeric
@attribute S&P_BMV_Low numeric
@attribute NIKKEI_Now numeric
@attribute NIKKEI_Open numeric
@attribute NIKKEI_High numeric
@attribute NIKKEI_Low numeric
@attribute SMI_Now numeric
@attribute SMI_Open numeric
@attribute SMI_High numeric
@attribute SMI_Low numeric
@attribute DOWJONES_Now numeric
@attribute DOWJONES_Open numeric
@attribute DOWJONES_High numeric
@attribute DOWJONES_Low numeric
@attribute OMXS_Now numeric
@attribute OMXS_Open numeric
@attribute OMXS_High numeric
@attribute OMXS_Low numeric
@attribute EUR_GBP_Now numeric
@attribute EUR_GBP_Open numeric
@attribute EUR_GBP_High numeric
@attribute EUR_GBP_Low numeric
@attribute GBP_KRW_Now numeric
@attribute GBP_KRW_Open numeric
@attribute GBP_KRW_High numeric
@attribute GBP_KRW_Low numeric
@attribute Russell_Now numeric
@attribute Russell_Open numeric
@attribute Russell_High numeric
@attribute Russell_Low numeric
@attribute IDX_Now numeric
@attribute IDX_Open numeric
@attribute IDX_High numeric
@attribute IDX_Low numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute SET_Now numeric
@attribute SET_Open numeric
@attribute SET_High numeric
@attribute SET_Low numeric
@attribute BEL_Now numeric
@attribute BEL_Open numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2015-01-02, 1926.44, 1.8119999999999998, 1.844, 1.848, 1.798, 1.2157, 1.2151, 1.2188, 1.2123, 421.59, 425.13, 425.13, 421.56, 6547.0, 6633.51, 6633.51, 6528.89, 8.812999999999997, 8.828, 8.849, 176.87, 176.64, 177.23, 176.21, 50007.41, 50601.0, 50841.24, 49992.91, 9805.55, 9883.1, 9886.78, 9805.55, 790.71, 774.43, 795.84, 756.96, 8248.25, 8260.3, 8268.25, 8220.55, 2080.35, 2088.49, 2088.49, 2079.53, 2.8689999999999998, 2.861, 2.8739999999999997, 2.8369999999999997, 4777.44, 4793.61, 4803.89, 4772.88, 141.405, 141.925, 50464.0, 51260.0, 51520.0, 50280.0, 43018.75, 43179.57, 43340.56, 42872.17, 17450.77, 17702.12, 17713.76, 17450.77, 8983.37, 9015.8, 9037.53, 8973.07, 17983.07, 18035.02, 18035.02, 17959.7, 1464.55, 1475.49, 1476.33, 1463.13, 0.7814, 0.7829999999999999, 0.7846, 0.7807, 1706.7, 1705.23, 1711.34, 1698.97, 1213.05, 1216.15, 1220.05, 1211.15, 5226.95, 5177.94, 5226.95, 5175.64, 14640.04, 14663.24, 14681.05, 14601.79, 1497.67, 1496.89, 1499.89, 1486.3, 3276.41, 3305.2, 3307.23, 3276.41
2015-01-05, 1915.75, 1.744, 1.811, 1.818, 1.744, 1.2003, 1.2106, 1.2111, 1.2001, 422.28, 425.89, 428.09, 420.35, 6547.8, 6566.09, 6607.89, 6510.6, 8.8255, 8.811, 8.8885, 178.36, 175.87, 178.41, 175.76, 48512.22, 50004.5, 50004.5, 48345.26, 9764.73, 9869.13, 9879.53, 9687.26, 776.005, 780.115, 792.465, 750.595, 8395.45, 8288.7, 8410.6, 8288.7, 2058.2, 2058.9, 2072.36, 2046.04, 2.838, 2.842, 2.842, 2.8369999999999997, 4726.81, 4760.24, 4777.01, 4698.11, 142.71, 142.76, 48910.0, 50500.0, 50500.0, 48800.0, 42115.47, 43146.52, 43325.43, 41989.65, 17429.739999999998, 17513.9, 17627.339999999997, 17334.995000000006, 8961.11, 9009.31, 9054.19, 8955.96, 17832.99, 17823.07, 17951.78, 17731.3, 1463.78, 1470.55, 1472.61, 1460.67, 0.7831, 0.7785, 0.7835, 0.7742, 1696.63, 1696.99, 1720.11, 1694.41, 1198.8, 1209.85, 1214.15, 1186.45, 5242.77, 5233.8, 5247.94, 5230.75, 14753.65, 14637.34, 14756.3, 14631.35, 1490.46, 1498.295, 1500.995, 1484.585, 3281.61, 3297.05, 3302.9, 3266.76
2015-01-06, 1882.45, 1.6909999999999998, 1.755, 1.764, 1.689, 1.1934, 1.2003, 1.2008, 1.1883, 410.94, 420.06, 424.58, 410.49, 6417.16, 6547.8, 6576.74, 6404.49, 8.7895, 8.812000000000003, 8.8345, 178.43, 178.15, 178.88, 177.87, 47516.82, 48512.22, 48512.22, 47263.91, 9473.16, 9735.65, 9790.27, 9468.58, 761.3, 785.8, 789.09, 744.23, 8378.4, 8407.95, 8445.6, 8363.9, 2020.58, 2054.44, 2054.44, 2017.34, 2.793, 2.8289999999999997, 2.8289999999999997, 2.7880000000000003, 4652.57, 4700.34, 4702.77, 4641.46, 143.105, 143.445, 48033.0, 48925.0, 49005.0, 47750.0, 41099.37, 42134.66, 42147.96, 40824.93, 17408.71, 17325.68, 17540.92, 17219.22, 8938.85, 9002.82, 9070.85, 8938.85, 17501.65, 17821.3, 17821.3, 17475.93, 1454.81, 1460.89, 1467.69, 1453.53, 0.7826, 0.7828, 0.785, 0.7747, 1692.59, 1695.49, 1701.84, 1682.21, 1181.37, 1191.65, 1195.05, 1176.05, 5219.99, 5229.68, 5233.66, 5206.28, 14392.7, 14709.02, 14709.02, 14339.5, 1483.25, 1499.7, 1502.1, 1482.87, 3208.15, 3270.35, 3306.17, 3205.26
2015-01-07, 1883.83, 1.6369999999999998, 1.683, 1.6869999999999998, 1.6019999999999999, 1.1889, 1.1933, 1.1969, 1.1884, 408.43, 411.67, 414.62, 406.3, 6366.51, 6417.16, 6452.66, 6328.59, 8.6825, 8.78, 8.7915, 176.88, 178.25, 178.48, 176.35, 48000.92, 47517.14, 48061.28, 47337.71, 9469.66, 9484.25, 9624.65, 9382.82, 746.48, 755.03, 755.03, 723.21, 8127.35, 8325.3, 8327.85, 8111.35, 2002.61, 2022.15, 2030.25, 1992.44, 2.804, 2.795, 2.806, 2.792, 4592.74, 4666.85, 4667.33, 4567.6, 141.73, 143.14, 48499.0, 47900.0, 48800.0, 47565.0, 41329.41, 41101.01, 41456.62, 40723.66, 16883.19, 17101.58, 17111.36, 16881.73, 8874.47, 8948.89, 8991.26, 8867.79, 17371.64, 17504.18, 17581.05, 17262.37, 1438.0749999999994, 1446.595, 1454.5, 1437.435, 0.7847, 0.7822, 0.7875, 0.7816, 1665.15, 1690.9, 1693.88, 1662.58, 1161.32, 1183.15, 1184.65, 1152.05, 5169.06, 5186.2, 5194.8, 5169.06, 14246.77, 14368.11, 14370.4, 14161.98, 1477.58, 1467.97, 1478.35, 1459.22, 3190.24, 3213.48, 3226.41, 3189.48
2015-01-08, 1904.65, 1.655, 1.646, 1.681, 1.629, 1.1839, 1.1892, 1.1898, 1.1803, 411.21, 411.01, 413.96, 408.6, 6419.83, 6366.51, 6459.74, 6366.51, 8.625, 8.673, 8.705, 176.84, 176.71, 177.72, 176.08, 49462.91, 48006.05, 49882.26, 48006.05, 9518.18, 9510.34, 9592.37, 9459.18, 779.25, 750.56, 788.675, 733.99, 8102.1, 8118.65, 8151.2, 8065.45, 2025.9, 2005.55, 2029.61, 2005.55, 2.7960000000000003, 2.792, 2.8089999999999997, 2.79, 4650.47, 4626.84, 4652.72, 4613.9, 141.68, 142.35, 50003.0, 49100.0, 50480.0, 49100.0, 41813.93, 41331.12, 41963.95, 41331.12, 16885.33, 16808.26, 16974.61, 16808.26, 8900.83, 8881.03, 8945.58, 8862.13, 17584.52, 17374.78, 17597.08, 17374.78, 1421.34, 1432.3, 1441.31, 1421.34, 0.7835, 0.7846, 0.7856, 0.7811, 1660.26, 1663.47, 1670.66, 1655.81, 1175.97, 1169.85, 1176.65, 1164.45, 5207.12, 5175.55, 5207.38, 5174.8, 14285.0, 14324.37, 14427.44, 14265.71, 1500.75, 1478.84, 1500.83, 1478.26, 3193.83, 3212.63, 3213.59, 3186.74
2015-01-09, 1924.7, 1.706, 1.666, 1.719, 1.652, 1.1793, 1.1839, 1.1848, 1.1753, 423.07, 416.6, 424.14, 415.44, 6569.96, 6419.83, 6580.82, 6419.83, 8.6395, 8.616, 8.6625, 176.28, 176.68, 177.37, 176.01, 49943.3, 49463.15, 50260.72, 49017.31, 9837.61, 9643.77, 9855.43, 9607.9, 812.02, 746.09, 822.32, 744.77, 8234.6, 8191.4, 8243.5, 8167.3, 2062.14, 2030.61, 2064.08, 2030.61, 2.807, 2.7960000000000003, 2.8169999999999997, 2.787, 4736.19, 4689.54, 4741.38, 4688.02, 141.27, 142.11, 50419.0, 50200.0, 50835.0, 49470.0, 42402.31, 41819.04, 42554.41, 41814.21, 17167.1, 17067.4, 17243.71, 17016.09, 9139.69, 8981.59, 9152.06, 8981.59, 17907.87, 17591.97, 17916.04, 17591.97, 1456.72, 1439.2, 1458.17, 1428.54, 0.7815, 0.7834, 0.7857, 0.7802, 1653.07, 1658.58, 1664.62, 1645.91, 1196.13, 1185.05, 1197.05, 1185.05, 5211.83, 5218.4, 5230.18, 5208.99, 14457.72, 14368.58, 14506.14, 14368.58, 1521.62, 1514.9, 1523.32, 1514.18, 3283.22, 3235.79, 3283.22, 3231.27
2015-01-12, 1920.95, 1.6540000000000001, 1.7180000000000002, 1.722, 1.651, 1.1841, 1.1793, 1.1848, 1.1763, 415.59, 422.41, 424.23, 412.76, 6501.14, 6569.96, 6570.24, 6471.38, 8.5825, 8.628, 8.6645, 174.88, 176.11, 176.54, 174.64, 48840.25, 49954.7, 49954.7, 48500.66, 9648.5, 9813.99, 9860.18, 9601.75, 782.62, 810.07, 820.15, 765.94, 8284.5, 8285.45, 8303.3, 8190.8, 2044.81, 2063.45, 2064.43, 2038.33, 2.7910000000000004, 2.804, 2.8080000000000003, 2.7880000000000003, 4704.07, 4744.47, 4744.71, 4681.24, 140.055, 141.475, 49344.0, 50205.0, 50250.0, 48955.0, 42382.41, 42393.17, 42504.41, 41940.49, 17197.73, 17318.74, 17342.65, 17129.53, 9105.7, 9116.49, 9182.23, 9075.95, 17737.37, 17911.02, 17915.32, 17686.09, 1444.46, 1453.51, 1460.99, 1439.15, 0.7811, 0.7814, 0.7828, 0.7781, 1646.16, 1651.29, 1658.13, 1642.06, 1185.67, 1194.05, 1194.85, 1181.85, 5216.66, 5226.89, 5240.24, 5212.28, 14384.92, 14484.62, 14496.91, 14325.15, 1529.42, 1529.5, 1531.21, 1522.75, 3248.19, 3274.53, 3297.29, 3228.92
2015-01-13, 1917.14, 1.607, 1.663, 1.6769999999999998, 1.601, 1.1834, 1.1838, 1.1871, 1.1786, 418.41, 417.05, 421.5, 413.63, 6501.42, 6501.14, 6542.43, 6447.91, 8.5945, 8.568, 8.6615, 174.55, 174.6, 175.56, 173.92, 48139.74, 48839.73, 48839.73, 47955.85, 9781.9, 9697.46, 9815.96, 9622.32, 756.63, 776.45, 778.97, 748.92, 8323.0, 8291.35, 8332.6, 8245.6, 2028.26, 2046.13, 2049.3, 2022.58, 2.763, 2.793, 2.793, 2.745, 4664.71, 4714.07, 4715.81, 4650.65, 139.65, 140.34, 48596.0, 49480.0, 49555.0, 48360.0, 41780.78, 42373.81, 42408.65, 41773.38, 17142.72, 17144.81, 17215.18, 16978.9, 9152.97, 9148.99, 9200.63, 9103.31, 17640.84, 17742.05, 17793.88, 17571.58, 1453.64, 1455.54, 1460.11, 1444.55, 0.7799, 0.7808, 0.7832, 0.7783, 1642.76, 1647.08, 1650.27, 1634.78, 1180.07, 1187.35, 1187.35, 1171.55, 5187.93, 5202.75, 5220.25, 5183.21, 14265.01, 14378.32, 14378.32, 14122.38, 1531.21, 1527.42, 1538.93, 1522.17, 3257.98, 3259.46, 3285.7, 3231.7
2015-01-14, 1913.66, 1.6019999999999999, 1.5859999999999999, 1.641, 1.584, 1.1772, 1.1833, 1.186, 1.1753, 423.79, 415.76, 424.92, 414.82, 6542.2, 6501.42, 6558.83, 6465.19, 8.5635, 8.585, 8.6255, 174.06, 174.37, 175.17, 173.56, 48041.67, 48144.29, 48939.41, 48041.67, 9941.0, 9759.57, 9978.94, 9755.02, 737.88, 755.23, 758.15, 724.64, 8299.4, 8346.15, 8356.65, 8267.9, 2023.03, 2031.58, 2056.93, 2008.25, 2.679, 2.76, 2.76, 2.635, 4661.5, 4708.74, 4751.34, 4624.28, 139.145, 140.155, 48391.0, 48690.0, 49350.0, 48335.0, 41478.26, 41781.04, 42211.09, 41313.35, 17087.71, 16970.88, 17087.71, 16828.27, 9285.63, 9130.58, 9292.44, 9120.82, 17613.68, 17645.02, 17923.01, 17498.23, 1465.66, 1451.12, 1468.85, 1449.84, 0.7766, 0.7798, 0.7831, 0.7753, 1635.33, 1640.97, 1647.62, 1631.59, 1180.63, 1190.35, 1202.55, 1166.85, 5214.36, 5199.94, 5217.22, 5197.09, 14187.16, 14285.13, 14369.84, 14074.95, 1534.97, 1520.71, 1537.08, 1515.08, 3309.64, 3252.71, 3323.71, 3252.07
2015-01-15, 1914.14, 1.578, 1.581, 1.5959999999999999, 1.514, 1.1789, 1.1772, 1.1846, 1.1726, 418.33, 418.44, 425.3, 416.87, 6388.46, 6542.2, 6542.2, 6353.65, 8.5855, 8.554, 8.6125, 174.77, 173.89, 175.33, 173.57, 47645.87, 48037.63, 48280.82, 47372.27, 9817.08, 9810.7, 9962.98, 9768.1, 743.06, 738.15, 744.39, 723.98, 8277.55, 8307.25, 8326.45, 8236.65, 2011.27, 2018.4, 2018.4, 1988.44, 2.553, 2.648, 2.648, 2.499, 4639.32, 4610.76, 4655.37, 4595.98, 139.645, 140.105, 48088.0, 48145.0, 48755.0, 47695.0, 40984.22, 41478.38, 41479.78, 40907.48, 16795.96, 16961.82, 17036.72, 16770.56, 9198.2, 9200.88, 9281.82, 9174.8, 17427.09, 17609.06, 17609.06, 17264.9, 1434.79, 1454.85, 1459.68, 1434.79, 0.774, 0.7764, 0.7782, 0.773, 1649.45, 1633.7, 1654.61, 1631.67, 1177.06, 1167.45, 1178.55, 1163.35, 5159.67, 5217.2, 5225.02, 5159.67, 14084.43, 14119.75, 14119.75, 13892.57, 1523.24, 1539.58, 1548.24, 1521.81, 3274.03, 3281.95, 3309.71, 3258.45
