@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute AEX_Now numeric
@attribute AEX_Open numeric
@attribute AEX_High numeric
@attribute AEX_Low numeric
@attribute FTSE_Now_x numeric
@attribute FTSE_Open_x numeric
@attribute FTSE_High_x numeric
@attribute FTSE_Low_x numeric
@attribute DAX_Now numeric
@attribute DAX_Open numeric
@attribute DAX_High numeric
@attribute DAX_Low numeric
@attribute EUR_KRW_Now numeric
@attribute EUR_KRW_Open numeric
@attribute EUR_KRW_High numeric
@attribute EUR_KRW_Low numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_Open numeric
@attribute S&P_BMV_High numeric
@attribute S&P_BMV_Low numeric
@attribute OMXS_Now numeric
@attribute OMXS_Low numeric
@attribute IBEX_Now numeric
@attribute IBEX_Open numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute TA_Now numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2013-01-02, 2031.1, 342.0, 345.37, 345.52, 341.67, 5925.37, 5954.3, 5975.97, 5915.32, 7612.39, 7649.89, 7665.68, 7602.89, 1411.58, 1418.81, 1424.04, 1404.98, 43721.93, 43487.21, 43729.41, 43451.81, 1104.73, 1104.69, 8131.0, 8276.6, 8308.7, 8103.9, 16273.38, 16449.75, 16484.81, 16273.38, 1202.715, 12316.12, 12316.99, 12371.22, 12304.98, 2489.68, 2463.22
2013-01-03, 2019.41, 350.21, 348.53, 350.77, 347.01, 6027.37, 5897.81, 6044.57, 5897.81, 7778.78, 7689.46, 7789.94, 7689.46, 1402.38, 1403.48, 1416.2, 1398.77, 44304.17, 43703.98, 44336.04, 43703.98, 1129.96, 1116.62, 8447.6, 8337.9, 8447.6, 8286.7, 16893.39, 16583.43, 16893.39, 16573.07, 1221.31, 12540.77, 12571.76, 12588.75, 12439.25, 2518.57, 2502.72
2013-01-04, 2011.94, 350.74, 350.43, 351.06, 349.34, 6047.34, 6027.37, 6051.3, 6016.8, 7756.44, 7762.13, 7777.02, 7737.98, 1387.43, 1401.54, 1404.3, 1386.83, 44370.64, 44304.21, 44655.89, 44190.37, 1130.4, 1126.1, 8403.4, 8375.0, 8422.6, 8334.3, 16909.83, 16866.61, 16915.36, 16781.97, 1210.62, 12470.44, 12539.14, 12540.58, 12430.41, 2519.45, 2507.39
2013-01-07, 2011.25, 351.73, 349.98, 351.8, 349.63, 6089.84, 6047.34, 6089.84, 6038.02, 7776.37, 7740.99, 7779.67, 7727.55, 1388.7, 1387.26, 1390.62, 1382.62, 44562.33, 44374.97, 44611.59, 44277.68, 1136.77, 1126.38, 8435.8, 8411.7, 8447.0, 8386.7, 16959.78, 16897.97, 16970.16, 16795.66, 1208.6999999999996, 12540.81, 12435.12, 12540.81, 12442.84, 2516.32, 2495.16
2013-01-08, 1997.94, 351.24, 351.75, 352.3, 350.62, 6064.58, 6089.84, 6091.5, 6060.75, 7732.66, 7760.01, 7767.55, 7713.42, 1394.12, 1388.96, 1394.88, 1383.64, 44625.93, 44572.67, 44725.77, 44317.21, 1130.13, 1130.13, 8419.0, 8434.3, 8485.6, 8406.3, 16895.66, 16992.99, 17103.12, 16873.44, 1206.78, 12499.55, 12503.24, 12540.81, 12448.21, 2518.2, 2500.71
2013-01-09, 1991.81, 349.11, 350.08, 351.58, 349.06, 6053.63, 6064.58, 6088.18, 6053.63, 7695.83, 7710.7, 7754.38, 7683.48, 1392.49, 1394.28, 1397.01, 1387.21, 44571.2, 44631.93, 44638.69, 44409.94, 1125.38, 1124.32, 8453.0, 8388.2, 8493.5, 8374.7, 16951.14, 16850.59, 17082.0, 16815.41, 1203.97, 12504.81, 12490.37, 12504.81, 12456.0, 2508.89, 2492.75
2013-01-10, 2006.8, 350.0, 350.53, 350.76, 348.84, 6098.65, 6053.63, 6112.27, 6053.63, 7720.47, 7713.57, 7734.78, 7688.55, 1385.74, 1391.54, 1392.7, 1381.78, 44862.54, 44576.86, 44863.29, 44570.92, 1127.67, 1118.98, 8606.4, 8491.8, 8614.2, 8485.4, 17326.27, 17038.97, 17326.27, 17035.13, 1210.26, 12522.24, 12508.13, 12528.86, 12484.8, 2510.0, 2490.51
2013-01-11, 1996.67, 350.69, 350.91, 352.33, 349.75, 6101.51, 6098.65, 6118.3, 6090.61, 7708.47, 7732.14, 7773.69, 7685.08, 1402.97, 1385.07, 1404.53, 1382.45, 44859.8, 44871.87, 45013.65, 44658.72, 1126.87, 1125.4, 8618.9, 8607.3, 8649.3, 8548.4, 17451.07, 17398.38, 17561.79, 17231.67, 1224.11, 12599.74, 12571.95, 12618.43, 12523.56, 2521.27, 2501.5
2013-01-14, 2007.04, 350.13, 351.33, 351.74, 349.27, 6121.58, 6101.51, 6121.58, 6095.07, 7715.53, 7725.93, 7731.45, 7683.92, 1409.31, 1403.29, 1411.81, 1397.09, 44888.13, 44864.45, 44946.37, 44779.18, 1132.28, 1126.66, 8664.7, 8638.0, 8677.4, 8580.0, 17502.39, 17529.34, 17550.31, 17334.43, 1221.7199999999998, 12602.18, 12600.9, 12603.15, 12545.03, 2511.15, 2486.87
2013-01-15, 1983.74, 347.34, 351.71, 351.71, 346.58, 6107.86, 6121.58, 6134.17, 6104.9, 7729.52, 7737.61, 7785.82, 7702.36, 1413.06, 1411.08, 1416.24, 1408.05, 44862.92, 44900.12, 45241.74, 44734.89, 1132.84, 1130.78, 8632.1, 8699.2, 8721.1, 8601.3, 17391.24, 17576.25, 17683.92, 17270.49, 1219.33, 12603.09, 12627.41, 12636.68, 12582.15, 2507.66, 2489.36
2013-01-16, 1977.45, 347.86, 346.43, 348.39, 346.05, 6117.31, 6107.86, 6117.31, 6086.21, 7675.91, 7704.05, 7735.21, 7635.88, 1407.05, 1412.08, 1415.27, 1403.04, 44748.06, 44864.3, 44919.06, 44662.13, 1127.51, 1125.39, 8601.0, 8549.6, 8607.5, 8520.6, 17467.48, 17332.58, 17489.98, 17295.11, 1210.24, 12641.97, 12569.21, 12642.03, 12569.77, 2503.77, 2486.41
2013-01-17, 1974.27, 348.84, 347.52, 349.29, 346.69, 6103.98, 6117.31, 6117.33, 6076.12, 7691.13, 7661.61, 7694.8, 7643.14, 1407.14, 1406.39, 1410.97, 1403.61, 44865.3, 44751.15, 44927.87, 44703.13, 1130.62, 1123.74, 8581.1, 8588.9, 8604.0, 8525.5, 17339.95, 17429.49, 17450.39, 17195.88, 1208.65, 12608.82, 12602.47, 12638.42, 12580.32, 2505.32, 2487.98
2013-01-18, 1987.85, 351.19, 348.06, 351.39, 347.66, 6132.36, 6103.98, 6135.89, 6087.49, 7735.46, 7677.28, 7764.03, 7662.43, 1415.17, 1406.23, 1416.44, 1403.32, 44943.34, 44867.84, 45143.68, 44851.22, 1136.2, 1129.44, 8628.9, 8568.4, 8664.9, 8565.9, 17587.35, 17343.98, 17587.35, 17323.9, 1207.67, 12674.73, 12614.3, 12684.07, 12608.82, 2532.43, 2508.83
2013-01-21, 1986.86, 350.89, 352.22, 352.61, 350.78, 6154.41, 6132.36, 6172.49, 6131.93, 7702.23, 7747.13, 7753.49, 7702.23, 1409.14, 1415.05, 1416.9, 1405.41, 45212.53, 44941.95, 45220.13, 44903.7, 1135.02, 1133.46, 8604.0, 8662.3, 8679.8, 8600.7, 17554.13, 17696.74, 17709.05, 17483.31, 1200.34, 12725.69, 12701.96, 12751.16, 12675.61, 2546.09, 2532.25
