@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute AEX_Now numeric
@attribute AEX_Open numeric
@attribute AEX_High numeric
@attribute AEX_Low numeric
@attribute FTSE_Now_x numeric
@attribute FTSE_Open_x numeric
@attribute FTSE_High_x numeric
@attribute FTSE_Low_x numeric
@attribute Brazil_Now numeric
@attribute Brazil_Open numeric
@attribute Brazil_High numeric
@attribute Brazil_Low numeric
@attribute DAX_Now numeric
@attribute DAX_Open numeric
@attribute DAX_High numeric
@attribute DAX_Low numeric
@attribute EUR_KRW_Now numeric
@attribute EUR_KRW_High numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_Open numeric
@attribute iBovespa_High numeric
@attribute iBovespa_Low numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_Open numeric
@attribute S&P_BMV_High numeric
@attribute S&P_BMV_Low numeric
@attribute OMXS_Low numeric
@attribute Russell_Low numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2013-01-02, 2031.1, 342.0, 345.37, 345.52, 341.67, 5925.37, 5954.3, 5975.97, 5915.32, 60952.08, 60415.95, 61066.34, 60415.95, 7612.39, 7649.89, 7665.68, 7602.89, 1411.58, 1424.04, 61287.0, 61000.0, 61465.0, 60790.0, 43721.93, 43487.21, 43729.41, 43451.81, 1104.69, 832.08, 12316.12, 12316.99, 12371.22, 12304.98, 2489.68, 2463.22
2013-01-03, 2019.41, 350.21, 348.53, 350.77, 347.01, 6027.37, 5897.81, 6044.57, 5897.81, 62550.1, 60990.34, 62886.96, 60990.34, 7778.78, 7689.46, 7789.94, 7689.46, 1402.38, 1416.2, 63061.0, 63000.0, 63330.0, 62460.0, 44304.17, 43703.98, 44336.04, 43703.98, 1116.62, 849.33, 12540.77, 12571.76, 12588.75, 12439.25, 2518.57, 2502.72
2013-01-04, 2011.94, 350.74, 350.43, 351.06, 349.34, 6047.34, 6027.37, 6051.3, 6016.8, 63312.46, 62555.04, 63472.55, 62341.48, 7756.44, 7762.13, 7777.02, 7737.98, 1387.43, 1404.3, 63607.0, 62995.0, 63875.0, 62730.0, 44370.64, 44304.21, 44655.89, 44190.37, 1126.1, 870.76, 12470.44, 12539.14, 12540.58, 12430.41, 2519.45, 2507.39
2013-01-07, 2011.25, 351.73, 349.98, 351.8, 349.63, 6089.84, 6047.34, 6089.84, 6038.02, 62523.06, 63314.22, 63314.22, 62414.98, 7776.37, 7740.99, 7779.67, 7727.55, 1388.7, 1390.62, 62792.0, 63510.0, 63570.0, 62770.0, 44562.33, 44374.97, 44611.59, 44277.68, 1126.38, 872.69, 12540.81, 12435.12, 12540.81, 12442.84, 2516.32, 2495.16
2013-01-08, 1997.94, 351.24, 351.75, 352.3, 350.62, 6064.58, 6089.84, 6091.5, 6060.75, 61932.54, 62523.06, 62698.87, 61639.34, 7732.66, 7760.01, 7767.55, 7713.42, 1394.12, 1394.88, 62198.0, 62610.0, 62955.0, 61915.0, 44625.93, 44572.67, 44725.77, 44317.21, 1130.13, 873.74, 12499.55, 12503.24, 12540.81, 12448.21, 2518.2, 2500.71
2013-01-09, 1991.81, 349.11, 350.08, 351.58, 349.06, 6053.63, 6064.58, 6088.18, 6053.63, 61127.84, 61932.87, 62264.99, 61080.92, 7695.83, 7710.7, 7754.38, 7683.48, 1392.49, 1397.01, 61363.0, 62210.0, 62530.0, 61305.0, 44571.2, 44631.93, 44638.69, 44409.94, 1124.32, 871.01, 12504.81, 12490.37, 12504.81, 12456.0, 2508.89, 2492.75
2013-01-10, 2006.8, 350.0, 350.53, 350.76, 348.84, 6098.65, 6053.63, 6112.27, 6053.63, 61578.58, 61128.79, 61811.77, 61102.69, 7720.47, 7713.57, 7734.78, 7688.55, 1385.74, 1392.7, 61744.0, 61435.0, 62110.0, 61315.0, 44862.54, 44576.86, 44863.29, 44570.92, 1118.98, 874.7, 12522.24, 12508.13, 12528.86, 12484.8, 2510.0, 2490.51
2013-01-11, 1996.67, 350.69, 350.91, 352.33, 349.75, 6101.51, 6098.65, 6118.3, 6090.61, 61678.31, 61578.02, 61947.2, 61156.05, 7708.47, 7732.14, 7773.69, 7685.08, 1402.97, 1404.53, 61907.0, 61995.0, 62230.0, 61365.0, 44859.8, 44871.87, 45013.65, 44658.72, 1125.4, 876.58, 12599.74, 12571.95, 12618.43, 12523.56, 2521.27, 2501.5
2013-01-14, 2007.04, 350.13, 351.33, 351.74, 349.27, 6121.58, 6101.51, 6121.58, 6095.07, 61497.43, 61661.87, 61682.83, 61198.0, 7715.53, 7725.93, 7731.45, 7683.92, 1409.31, 1411.81, 61752.0, 61950.0, 61960.0, 61385.0, 44888.13, 44864.45, 44946.37, 44779.18, 1126.66, 877.44, 12602.18, 12600.9, 12603.15, 12545.03, 2511.15, 2486.87
2013-01-15, 1983.74, 347.34, 351.71, 351.71, 346.58, 6107.86, 6121.58, 6134.17, 6104.9, 62080.79, 61511.35, 62284.76, 61511.35, 7729.52, 7737.61, 7785.82, 7702.36, 1413.06, 1416.24, 62220.0, 62150.0, 62495.0, 61875.0, 44862.92, 44900.12, 45241.74, 44734.89, 1130.78, 877.56, 12603.09, 12627.41, 12636.68, 12582.15, 2507.66, 2489.36
2013-01-16, 1977.45, 347.86, 346.43, 348.39, 346.05, 6117.31, 6107.86, 6117.31, 6086.21, 61727.61, 62078.96, 62151.36, 61694.62, 7675.91, 7704.05, 7735.21, 7635.88, 1407.05, 1415.27, 61912.0, 62070.0, 62315.0, 61905.0, 44748.06, 44864.3, 44919.06, 44662.13, 1125.39, 875.42, 12641.97, 12569.21, 12642.03, 12569.77, 2503.77, 2486.41
2013-01-17, 1974.27, 348.84, 347.52, 349.29, 346.69, 6103.98, 6117.31, 6117.33, 6076.12, 61787.35, 61725.63, 61787.35, 61241.06, 7691.13, 7661.61, 7694.8, 7643.14, 1407.14, 1410.97, 61881.0, 61855.0, 61945.0, 61385.0, 44865.3, 44751.15, 44927.87, 44703.13, 1123.74, 881.02, 12608.82, 12602.47, 12638.42, 12580.32, 2505.32, 2487.98
2013-01-18, 1987.85, 351.19, 348.06, 351.39, 347.66, 6132.36, 6103.98, 6135.89, 6087.49, 62194.06, 61806.18, 62309.42, 61683.11, 7735.46, 7677.28, 7764.03, 7662.43, 1415.17, 1416.44, 62459.0, 61955.0, 62535.0, 61760.0, 44943.34, 44867.84, 45143.68, 44851.22, 1129.44, 882.3, 12674.73, 12614.3, 12684.07, 12608.82, 2532.43, 2508.83
2013-01-21, 1986.86, 350.89, 352.22, 352.61, 350.78, 6154.41, 6132.36, 6172.49, 6131.93, 61956.14, 62196.86, 62395.2, 61822.46, 7702.23, 7747.13, 7753.49, 7702.23, 1409.14, 1416.9, 62075.0, 62600.0, 62645.0, 61950.0, 45212.53, 44941.95, 45220.13, 44903.7, 1133.46, 888.26, 12725.69, 12701.96, 12751.16, 12675.61, 2546.09, 2532.25
2013-01-22, 1996.52, 353.07, 351.84, 353.36, 351.84, 6180.98, 6154.41, 6182.23, 6154.41, 61899.71, 61962.34, 62051.78, 61804.24, 7748.86, 7727.77, 7749.82, 7719.02, 1416.6, 1418.54, 62095.0, 62210.0, 62210.0, 61960.0, 45223.85, 45239.67, 45281.36, 45130.98, 1135.01, 889.6700000000003, 12794.25, 12748.12, 12798.92, 12725.69, 2549.62, 2541.02
2013-01-23, 1980.41, 353.45, 352.79, 353.79, 351.34, 6179.17, 6180.98, 6188.58, 6149.18, 61692.29, 61904.35, 61995.23, 61534.06, 7696.21, 7741.88, 7746.91, 7634.26, 1416.8, 1423.49, 61798.0, 62015.0, 62170.0, 61635.0, 45320.3, 45218.11, 45347.66, 45052.68, 1135.33, 891.08, 12824.63, 12774.71, 12824.63, 12758.64, 2552.18, 2532.17
2013-01-24, 1964.48, 353.01, 355.14, 355.54, 352.64, 6197.64, 6179.17, 6200.49, 6178.47, 61966.26, 61692.29, 61969.36, 61542.52, 7707.54, 7702.92, 7731.63, 7684.84, 1421.72, 1423.93, 62134.0, 61900.0, 62145.0, 61650.0, 45442.98, 45321.3, 45443.45, 45116.12, 1136.75, 896.22, 12794.05, 12779.66, 12828.93, 12792.07, 2553.73, 2533.44
2013-01-25, 1946.69, 354.13, 353.27, 354.74, 352.25, 6264.91, 6197.64, 6271.4, 6186.48, 61169.83, 61965.59, 62249.42, 60838.29, 7748.13, 7700.53, 7753.3, 7661.96, 1429.89, 1431.14, 61204.0, 62140.0, 62410.0, 60985.0, 45428.7, 45453.14, 45547.78, 45285.09, 1137.84, 896.34, 12823.62, 12802.32, 12863.47, 12794.05, 2556.34, 2531.21
2013-01-28, 1939.71, 355.74, 353.73, 356.21, 353.52, 6284.45, 6264.91, 6284.45, 6247.33, 60598.45, 61571.66499999999, 61781.14, 60379.82, 7857.97, 7746.78, 7865.16, 7743.19, 1447.35, 1449.83, 60612.5, 61750.0, 61920.0, 60482.5, 45575.86, 45431.78, 45624.6, 45304.11, 1144.71, 900.1, 12816.63, 12851.52, 12875.35, 12808.66, 2573.66, 2554.66
2013-01-29, 1955.96, 356.68, 356.45, 357.55, 356.17, 6294.41, 6284.45, 6311.26, 6277.04, 60027.07, 61177.74, 61312.86, 59921.35, 7833.0, 7859.83, 7871.79, 7831.72, 1469.07, 1473.06, 60021.0, 61360.0, 61430.0, 59980.0, 45912.51, 45584.18, 45959.93, 45422.43, 1157.66, 900.88, 12815.91, 12860.36, 12859.93, 12812.06, 2584.97, 2562.57
2013-01-30, 1964.43, 358.08, 356.49, 358.11, 356.12, 6339.19, 6294.41, 6346.37, 6285.77, 60406.33, 60027.0, 60427.64, 59757.7, 7848.57, 7841.96, 7857.14, 7800.12, 1462.86, 1470.62, 60462.0, 59850.0, 60350.0, 59690.0, 45907.98, 45912.51, 46075.04, 45669.69, 1155.74, 902.62, 12830.56, 12817.4, 12849.16, 12812.99, 2580.76, 2560.61
2013-01-31, 1961.94, 357.54, 358.45, 358.92, 356.68, 6323.11, 6339.19, 6354.46, 6316.29, 59336.7, 60404.64, 60404.64, 59305.44, 7811.31, 7855.68, 7863.35, 7775.03, 1473.62, 1476.98, 59315.0, 60615.0, 60650.0, 59385.0, 45753.18, 45910.78, 46051.89, 45751.79, 1162.97, 894.34, 12794.44, 12846.29, 12895.28, 12773.62, 2579.82, 2554.59
