@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Now numeric
@attribute CANADA_10_YEAR_Open numeric
@attribute CANADA_10_YEAR_High numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Open numeric
@attribute CNY_KRW_High numeric
@attribute CNY_KRW_Low numeric
@attribute Brazil_Now numeric
@attribute Brazil_Low numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute MOEX_High numeric
@attribute MOEX_Low numeric
@attribute UK_10_YEAR_Now numeric
@attribute UK_10_YEAR_Open numeric
@attribute UK_10_YEAR_High numeric
@attribute UK_10_YEAR_Low numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_Open numeric
@attribute HKD_KRW_High numeric
@attribute HKD_KRW_Low numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_Open numeric
@attribute US_10_YEAR_High numeric
@attribute US_10_YEAR_Low numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_Open numeric
@attribute iBovespa_Low numeric
@attribute IBEX_Now numeric
@attribute IBEX_Open numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_Open numeric
@attribute USD_KRW_High numeric
@attribute USD_KRW_Low numeric
@attribute TA_Now numeric
@attribute TA_Open numeric
@attribute TA_High numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2011-01-03, 2070.08, 3.156, 3.1630000000000003, 3.202, 3.141, 171.29, 172.98, 173.22, 170.86, 69304.81, 68940.08, 1687.99, 1677.68, 1687.99, 1673.66, 3.4760000000000004, 3.4760000000000004, 3.4760000000000004, 3.4760000000000004, 145.335, 147.24, 147.315, 145.02, 3.367, 3.367, 3.367, 3.367, 70050.0, 69740.0, 69740.0, 9859.1, 9985.1, 9997.7, 9858.8, 20173.29, 20463.0, 20466.0, 20163.0, 1130.95, 1146.35, 1146.35, 1128.85, 1326.44, 1326.36, 1330.79, 1321.26, 13434.41, 13449.77, 13493.64, 13400.71, 2616.42, 2589.89
2011-01-04, 2085.14, 3.1455, 3.1460000000000004, 3.199, 3.123, 170.67, 170.0, 171.72, 170.0, 69962.32, 69304.67, 1691.7014285714286, 1679.1542857142858, 1691.7328571428573, 1675.6171428571427, 3.4685000000000006, 3.4685000000000006, 3.4685000000000006, 3.4685000000000006, 144.755, 144.13, 145.565, 144.1, 3.3339999999999996, 3.3339999999999996, 3.3339999999999996, 3.3339999999999996, 70682.0, 70105.0, 70105.0, 9888.3, 9899.4, 9993.6, 9850.5, 20436.28, 20138.0, 20559.0, 20103.0, 1124.65, 1120.85, 1131.75, 1120.85, 1335.03, 1332.64, 1339.93, 1331.46, 13418.36, 13490.06, 13511.81, 13363.705, 2634.18, 2597.29
2011-01-05, 2082.55, 3.135, 3.1289999999999996, 3.196, 3.105, 170.35, 170.61, 170.85, 169.31, 70317.79, 69559.92, 1695.412857142857, 1680.6285714285714, 1695.4757142857145, 1677.5742857142857, 3.4610000000000003, 3.4610000000000003, 3.4610000000000003, 3.4610000000000003, 144.87, 144.68, 145.09, 143.97, 3.338, 3.338, 3.338, 3.338, 71090.0, 70900.0, 70265.0, 9888.4, 9895.5, 9974.2, 9799.4, 20547.03, 20473.0, 20681.0, 20338.0, 1125.5, 1125.8, 1127.2, 1120.3, 1333.25, 1334.68, 1336.65, 1331.02, 13402.31, 13530.35, 13529.98, 13326.7, 2660.1, 2633.13
2011-01-06, 2077.61, 3.2760000000000002, 3.178, 3.319, 3.135, 169.74, 170.11, 171.39, 169.49, 71091.03, 69801.71, 1699.1242857142856, 1682.1028571428574, 1699.2185714285715, 1679.5314285714285, 3.5469999999999997, 3.5469999999999997, 3.5469999999999997, 3.5469999999999997, 144.58, 144.67, 145.36, 144.37, 3.463, 3.463, 3.463, 3.463, 71774.0, 70500.0, 70430.0, 9801.4, 9877.5, 9882.4, 9599.3, 20551.58, 20486.0, 20561.0, 20226.0, 1123.5, 1125.5, 1129.5, 1123.3, 1332.34, 1330.84, 1333.09, 1322.33, 13395.99, 13365.33, 13400.03, 13301.15, 2644.4, 2613.59
2011-01-07, 2086.2, 3.2260000000000004, 3.2710000000000004, 3.279, 3.215, 169.4, 169.49, 170.76, 168.58, 70578.83, 70469.17, 1702.8357142857144, 1683.577142857143, 1702.9614285714285, 1681.4885714285715, 3.525, 3.525, 3.525, 3.525, 144.525, 144.38, 144.745, 143.69, 3.3989999999999996, 3.3989999999999996, 3.3989999999999996, 3.3989999999999996, 71238.0, 71900.0, 71120.0, 9702.7, 9803.2, 9832.6, 9678.4, 20637.39, 20608.0, 20898.0, 20576.0, 1123.2, 1122.5, 1124.9, 1117.7, 1335.99, 1336.65, 1339.75, 1334.84, 13311.67, 13407.56, 13413.18, 13290.89, 2638.06, 2620.28
2011-01-10, 2080.81, 3.185, 3.2310000000000003, 3.3, 3.1689999999999996, 169.31, 169.45, 169.98, 168.68, 70057.2, 69718.11, 1706.547142857143, 1685.0514285714291, 1706.7042857142858, 1683.4457142857145, 3.516, 3.516, 3.516, 3.516, 144.395, 144.46, 144.975, 143.8, 3.3280000000000003, 3.3280000000000003, 3.3280000000000003, 3.3280000000000003, 70638.0, 71290.0, 70335.0, 9560.7, 9682.4, 9699.4, 9497.8, 20542.06, 20651.0, 20741.0, 20361.0, 1122.2, 1122.4, 1126.7, 1118.6, 1329.345, 1333.545, 1335.655, 1328.025, 13272.3, 13263.08, 13329.64, 13233.32, 2625.77, 2603.37
2011-01-11, 2088.32, 3.177, 3.18, 3.198, 3.153, 169.88, 169.21, 170.84, 168.56, 70127.04, 69666.37, 1710.2585714285715, 1686.525714285714, 1710.4471428571426, 1685.402857142857, 3.512, 3.512, 3.512, 3.512, 144.98, 144.28, 145.85, 143.75, 3.287, 3.287, 3.287, 3.287, 70618.0, 70100.0, 70100.0, 9437.8, 9488.3, 9491.8, 9387.9, 20058.18, 20396.0, 20428.0, 20058.18, 1127.5, 1124.2, 1134.05, 1120.1, 1322.7, 1330.44, 1331.56, 1321.21, 13245.12, 13291.61, 13295.37, 13139.5, 2600.65, 2553.31
2011-01-12, 2094.95, 3.2260000000000004, 3.1860000000000004, 3.245, 3.1710000000000003, 170.11, 169.49, 170.71, 169.14, 70423.44, 70145.28, 1713.97, 1688.0, 1714.19, 1687.36, 3.552, 3.552, 3.552, 3.552, 144.85, 144.66, 145.49, 143.99, 3.34, 3.34, 3.34, 3.34, 71084.0, 71250.0, 70920.0, 9582.1, 9467.4, 9593.0, 9404.7, 20339.05, 20147.0, 20373.0, 20005.0, 1126.0, 1127.0, 1131.4, 1121.8, 1335.14, 1328.23, 1335.65, 1327.6, 13401.05, 13341.9, 13421.81, 13245.12, 2587.09, 2568.88
2011-01-13, 2089.48, 3.26, 3.2319999999999998, 3.281, 3.221, 168.91, 169.79, 169.91, 168.3, 71632.9, 70429.44, 1759.46, 1714.04, 1760.09, 1714.04, 3.647, 3.647, 3.647, 3.647, 142.965, 144.55, 144.875, 142.62, 3.367, 3.367, 3.367, 3.367, 72218.0, 71550.0, 71545.0, 10101.2, 9606.4, 10106.2, 9596.0, 21116.39, 20420.0, 21124.0, 20420.0, 1111.5, 1126.5, 1126.5, 1114.1, 1337.09, 1336.1, 1342.2, 1335.23, 13460.21, 13467.43, 13497.68, 13402.27, 2626.4, 2583.06
2011-01-14, 2108.17, 3.253, 3.26, 3.3, 3.2439999999999998, 168.39, 167.9, 169.02, 167.6, 70721.44, 70719.1, 1749.75, 1759.46, 1768.21, 1743.72, 3.6, 3.6, 3.6, 3.6, 143.115, 142.64, 143.395, 142.39, 3.299, 3.299, 3.299, 3.299, 71271.0, 72150.0, 71470.0, 10370.8, 10105.8, 10410.2, 10096.8, 21308.13, 21301.0, 21343.0, 21078.0, 1112.5, 1109.5, 1114.9, 1107.5, 1335.82, 1339.32, 1339.83, 1332.87, 13401.48, 13492.26, 13505.44, 13383.53, 2638.98, 2624.04
