@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute FTSE_Now_x numeric
@attribute FTSE_Open_x numeric
@attribute FTSE_High_x numeric
@attribute FTSE_Low_x numeric
@attribute Brazil_Now numeric
@attribute Brazil_Open numeric
@attribute Brazil_High numeric
@attribute Brazil_Low numeric
@attribute DAX_Now numeric
@attribute DAX_Open numeric
@attribute DAX_High numeric
@attribute DAX_Low numeric
@attribute RTSI_Now numeric
@attribute RTSI_Open numeric
@attribute RTSI_High numeric
@attribute RTSI_Low numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute MOEX_High numeric
@attribute MOEX_Low numeric
@attribute Nifty_Now numeric
@attribute Nifty_Open numeric
@attribute Nifty_High numeric
@attribute Nifty_Low numeric
@attribute S&P_Now numeric
@attribute S&P_Open numeric
@attribute S&P_High numeric
@attribute S&P_Low numeric
@attribute Copper_Now numeric
@attribute Copper_Open numeric
@attribute Copper_High numeric
@attribute Copper_Low numeric
@attribute NASDAQ_Now numeric
@attribute NASDAQ_Open numeric
@attribute NASDAQ_High numeric
@attribute NASDAQ_Low numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_Open numeric
@attribute HKD_KRW_High numeric
@attribute HKD_KRW_Low numeric
@attribute USD_CAD_Now numeric
@attribute USD_CAD_Open numeric
@attribute USD_CAD_High numeric
@attribute USD_CAD_Low numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_Open numeric
@attribute iBovespa_High numeric
@attribute iBovespa_Low numeric
@attribute INR_KRW_Now numeric
@attribute INR_KRW_Open numeric
@attribute INR_KRW_High numeric
@attribute INR_KRW_Low numeric
@attribute WTI_Now numeric
@attribute WTI_Open numeric
@attribute WTI_High numeric
@attribute WTI_Low numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_Open numeric
@attribute S&P_BMV_High numeric
@attribute S&P_BMV_Low numeric
@attribute DOWJONES_Now numeric
@attribute DOWJONES_Open numeric
@attribute DOWJONES_High numeric
@attribute DOWJONES_Low numeric
@attribute US_COFFEE_Now numeric
@attribute US_COFFEE_Open numeric
@attribute US_COFFEE_High numeric
@attribute US_COFFEE_Low numeric
@attribute OMXS_Now numeric
@attribute OMXS_Open numeric
@attribute OMXS_High numeric
@attribute OMXS_Low numeric
@attribute BRENT_OIL_Now numeric
@attribute BRENT_OIL_Open numeric
@attribute BRENT_OIL_High numeric
@attribute BRENT_OIL_Low numeric
@attribute GBP_KRW_Now numeric
@attribute GBP_KRW_Open numeric
@attribute GBP_KRW_High numeric
@attribute GBP_KRW_Low numeric
@attribute AUD_SGD_Now numeric
@attribute AUD_SGD_Open numeric
@attribute AUD_SGD_High numeric
@attribute AUD_SGD_Low numeric
@attribute Russell_Now numeric
@attribute Russell_Open numeric
@attribute Russell_High numeric
@attribute Russell_Low numeric
@attribute Gold_Now numeric
@attribute Gold_Open numeric
@attribute Gold_High numeric
@attribute Gold_Low numeric
@attribute Corn_Now numeric
@attribute Corn_Open numeric
@attribute Corn_High numeric
@attribute Corn_Low numeric
@attribute IDX_Now numeric
@attribute IDX_Open numeric
@attribute IDX_High numeric
@attribute IDX_Low numeric
@attribute SPAIN_10_YEAR_Now numeric
@attribute SPAIN_10_YEAR_Open numeric
@attribute SPAIN_10_YEAR_High numeric
@attribute SPAIN_10_YEAR_Low numeric
@attribute NZD_USD_Now numeric
@attribute NZD_USD_Open numeric
@attribute NZD_USD_High numeric
@attribute NZD_USD_Low numeric
@attribute CSE_Now numeric
@attribute CSE_Open numeric
@attribute CSE_High numeric
@attribute CSE_Low numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_Open numeric
@attribute USD_KRW_High numeric
@attribute USD_KRW_Low numeric
@attribute TA_Now numeric
@attribute TA_Open numeric
@attribute TA_High numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute SET_Now numeric
@attribute SET_Open numeric
@attribute SET_High numeric
@attribute SET_Low numeric
@attribute HEATING_OIL_Now numeric
@attribute HEATING_OIL_Open numeric
@attribute HEATING_OIL_High numeric
@attribute HEATING_OIL_Low numeric
@attribute Silver_Now numeric
@attribute Silver_Open numeric
@attribute Silver_High numeric
@attribute Silver_Low numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2007-01-11, 1365.31, 6160.7, 6196.1, 6196.1, 6142.0, 42335.67, 42000.91, 42335.67, 41266.21, 6566.56, 6578.76, 6592.97, 6531.25, 1770.67, 1798.09, 1798.09, 1749.22, 1569.83, 1571.93, 1580.65, 1528.85, 3850.3, 3910.95, 3911.95, 3841.7, 1414.85, 1408.7, 1415.99, 1405.32, 2.6510000000000002, 2.542, 2.6630000000000003, 2.542, 2459.33, 2434.04, 2461.34, 2427.9, 120.255, 120.35, 120.775, 120.19, 1.1756, 1.1764, 1.1796, 1.1751, 42695.0, 41945.0, 42720.0, 41550.0, 21.1159, 21.1066, 21.1159, 21.1066, 54.02, 55.75, 55.81, 53.44, 25885.8, 25780.84, 25954.13, 25400.33, 12442.16, 12417.0, 12487.18, 12313.01, 120.75, 118.1, 121.4, 118.1, 1133.05, 1143.09, 1143.09, 1128.9, 53.69, 55.18, 55.31, 53.09, 1811.79, 1819.93, 1824.57, 1810.97, 1.1932, 1.1988, 1.2015, 1.1917, 778.87, 775.78, 779.45, 773.14, 611.6, 611.6, 611.6, 611.6, 360.25, 354.0, 363.5, 352.5, 1710.37, 1746.5, 1747.27, 1703.65, 4.064, 4.064, 4.064, 4.064, 0.6869, 0.6917, 0.6932, 0.6855, 2731.65, 2715.35, 2739.61, 2714.22, 937.85, 939.95, 941.75, 937.55, 909.61, 913.83, 914.04, 906.44, 12457.55, 12461.21, 12474.16, 12412.55, 622.27, 609.83, 622.27, 608.14, 1.5255, 1.5598, 1.5679, 1.5162, 12.35, 12.35, 12.35, 12.35, 4412.84, 4389.93
2007-01-12, 1388.37, 6230.1, 6160.7, 6233.1, 6130.2, 42670.32, 42335.67, 43127.95, 41940.03, 6687.3, 6590.74, 6695.74, 6571.59, 1800.61, 1770.67, 1808.23, 1769.31, 1599.67, 1569.64, 1608.19, 1556.53, 3942.25, 3852.15, 3953.1, 3833.6, 1423.82, 1414.84, 1427.12, 1414.84, 2.648, 2.68, 2.68, 2.635, 2484.85, 2464.89, 2489.46, 2463.39, 120.395, 120.21, 120.605, 120.21, 1.1765, 1.1746, 1.1804, 1.1691, 43094.0, 42700.0, 43570.0, 42260.0, 21.0753, 21.0649, 21.0753, 21.0649, 51.88, 53.59, 54.73, 51.8, 26247.9, 25882.74, 26290.7, 25851.15, 12514.98, 12442.96, 12586.12, 12413.72, 120.65, 120.25, 121.75, 119.8, 1160.04, 1133.05, 1161.04, 1133.05, 51.7, 53.03, 54.42, 51.65, 1827.24, 1811.91, 1835.14, 1811.07, 1.2074, 1.1928, 1.2105, 1.1925, 788.45, 779.5, 791.0, 779.5, 612.4, 612.4, 612.4, 612.4, 376.5, 362.0, 380.25, 362.0, 1703.84, 1729.4, 1732.09, 1698.84, 4.074, 4.074, 4.074, 4.074, 0.6918, 0.6869, 0.6934, 0.6859999999999999, 2766.51, 2731.65, 2771.28, 2731.65, 938.95, 940.05, 940.45, 937.75, 913.99, 914.67, 915.7, 903.44, 12519.9, 12454.97, 12594.09, 12453.13, 637.63, 625.65, 639.47, 625.65, 1.4804, 1.518, 1.5523, 1.4780000000000002, 12.375, 12.375, 12.375, 12.375, 4478.15, 4411.93
2007-01-15, 1390.96, 6239.0, 6230.1, 6247.6, 6204.3, 43094.97, 42669.48, 43188.46, 42525.5, 6705.17, 6690.43, 6705.17, 6659.95, 1797.59, 1799.44, 1805.55, 1793.51, 1591.47, 1599.57, 1602.85, 1581.3, 4052.45, 3944.55, 4059.15, 3944.55, 1430.73, 1423.82, 1431.23, 1422.58, 2.593, 2.6239999999999997, 2.63, 2.5989999999999998, 2502.82, 2481.72, 2502.82, 2481.54, 120.53, 120.34, 120.88, 120.31, 1.1693, 1.1778, 1.1783, 1.1682, 43580.0, 43370.0, 43600.0, 42950.0, 21.1881, 21.173, 21.1881, 21.173, 52.99, 52.07, 53.11, 51.56, 26324.38, 26247.9, 26335.29, 26091.36, 12556.08, 12514.66, 12616.08, 12432.3, 120.3, 119.5, 120.5, 119.5, 1159.46, 1160.04, 1164.92, 1155.08, 52.95, 52.15, 53.11, 51.76, 1841.41, 1825.29, 1843.59, 1823.04, 1.2088, 1.2056, 1.2103, 1.2014, 794.26, 788.11, 794.27, 787.87, 625.5, 616.2, 616.2, 616.2, 396.5, 377.0, 396.5, 374.25, 1678.04, 1711.21, 1711.21, 1627.76, 4.11, 4.11, 4.11, 4.11, 0.6899, 0.6902, 0.6929, 0.6877, 2810.37, 2766.51, 2815.84, 2766.5, 940.05, 942.15, 942.75, 939.05, 924.115, 922.815, 925.93, 917.2, 12678.81, 12565.16, 12702.93, 12519.9, 645.71, 647.14, 648.48, 641.91, 1.5036, 1.4867, 1.5095, 1.48, 12.798, 12.798, 12.798, 12.798, 4497.01, 4464.88
2007-01-16, 1389.71, 6263.5, 6239.0, 6279.7, 6239.0, 42919.17, 43095.19, 43472.73, 42874.83, 6731.74, 6719.53, 6746.3, 6719.53, 1850.21, 1798.45, 1850.21, 1798.45, 1650.83, 1591.67, 1652.93, 1591.47, 4078.4, 4052.85, 4099.65, 4052.4, 1431.315, 1427.275, 1432.58, 1425.6, 2.579, 2.6045, 2.6075, 2.5645, 2500.3, 2493.14, 2505.875, 2487.73, 120.345, 120.48, 120.525, 120.05, 1.1667, 1.1694, 1.1707, 1.1658, 43328.0, 43700.0, 44000.0, 43400.0, 21.2633, 21.2506, 21.2633, 21.2506, 52.1, 52.505, 53.33, 51.045, 26480.03, 26324.38, 26484.06, 26313.02, 12569.335, 12535.25, 12627.175, 12461.1, 120.975, 120.05, 121.35, 119.8, 1173.87, 1159.46, 1176.64, 1159.46, 53.12, 53.09, 53.62, 52.65, 1843.73, 1841.44, 1846.17, 1833.62, 1.2084, 1.2101, 1.2129, 1.2052, 792.87, 791.1949999999997, 796.785, 788.75, 625.05, 620.4000000000002, 620.4000000000002, 620.4000000000002, 399.75, 396.75, 406.5, 388.375, 1730.47, 1694.16, 1730.47, 1694.16, 4.102, 4.102, 4.102, 4.102, 0.6959, 0.6922, 0.6961, 0.6907, 2842.575, 2788.44, 2848.335, 2788.435, 938.5, 938.5, 939.3, 936.6, 934.24, 930.96, 936.16, 930.96, 12755.36, 12714.67, 12776.4, 12678.81, 656.31, 648.66, 656.97, 648.19, 1.49195, 1.49585, 1.5144000000000002, 1.472, 12.669, 12.669, 12.669, 12.669, 4498.71, 4478.41
2007-01-17, 1379.48, 6215.7, 6263.5, 6266.4, 6206.4, 42624.22, 42915.61, 42915.61, 42415.48, 6716.82, 6735.83, 6746.63, 6705.21, 1851.63, 1850.18, 1879.86, 1847.35, 1641.31, 1650.83, 1680.41, 1636.15, 4080.5, 4090.7, 4107.45, 4067.9, 1431.9, 1430.73, 1433.93, 1428.62, 2.565, 2.585, 2.585, 2.53, 2497.78, 2504.56, 2508.93, 2493.92, 119.915, 120.29, 120.335, 119.88, 1.1765, 1.1675, 1.1779, 1.1647, 43089.0, 43150.0, 43300.0, 42750.0, 21.233, 21.2237, 21.233, 21.2237, 51.21, 52.94, 53.55, 50.53, 26480.33, 26479.83, 26487.17, 26333.56, 12582.59, 12555.84, 12638.27, 12489.9, 121.65, 120.6, 122.2, 120.1, 1170.63, 1173.87, 1178.24, 1168.69, 52.26, 53.0, 53.63, 52.04, 1834.95, 1843.2, 1844.39, 1832.36, 1.2049, 1.2081, 1.2095, 1.2023, 791.48, 794.28, 799.3, 789.63, 624.6, 624.6, 624.6, 624.6, 403.0, 416.5, 416.5, 402.5, 1754.29, 1741.8, 1755.74, 1737.18, 4.087, 4.087, 4.087, 4.087, 0.696, 0.6963, 0.6979, 0.6936, 2874.78, 2810.37, 2880.83, 2810.37, 935.55, 937.45, 938.05, 935.35, 933.32, 937.31, 938.59, 930.3, 12720.32, 12708.19, 12760.22, 12679.59, 655.9, 657.85, 660.91, 652.75, 1.4803, 1.505, 1.5193, 1.464, 12.54, 12.54, 12.54, 12.54, 4499.38, 4460.49
2007-01-18, 1383.21, 6204.5, 6215.7, 6227.0, 6163.5, 42735.48, 42625.81, 42929.97, 42252.02, 6701.7, 6716.67, 6732.31, 6672.76, 1810.63, 1849.88, 1857.94, 1808.06, 1610.76, 1641.3, 1655.15, 1597.21, 4076.45, 4084.9, 4096.75, 4071.55, 1430.62, 1431.77, 1435.27, 1428.57, 2.555, 2.55, 2.553, 2.52, 2479.42, 2487.89, 2496.93, 2475.83, 120.045, 119.89, 120.215, 119.87, 1.1728, 1.1763, 1.1772, 1.1721, 43139.0, 43100.0, 43320.0, 42600.0, 21.2143, 21.2061, 21.2143, 21.2061, 52.24, 51.2, 52.4, 50.28, 26558.5, 26480.33, 26610.61, 26381.94, 12577.15, 12563.53, 12613.28, 12550.95, 121.6, 120.5, 121.75, 119.3, 1175.9, 1170.63, 1180.62, 1170.56, 52.78, 51.78, 53.03, 50.75, 1845.78, 1834.51, 1848.24, 1833.38, 1.2102, 1.2041, 1.2117, 1.2023, 788.77, 789.81, 793.57, 788.54, 632.1, 630.5, 632.6, 630.5, 408.0, 402.75, 420.5, 402.5, 1758.48, 1755.16, 1761.42, 1753.27, 4.073, 4.073, 4.073, 4.073, 0.6920000000000001, 0.6907, 0.6935, 0.6882, 2877.15, 2875.15, 2897.48, 2875.15, 936.9, 936.1, 937.9, 936.1, 934.05, 926.45, 940.2, 924.64, 12730.41, 12705.71, 12751.16, 12651.37, 651.47, 654.89, 658.1, 650.63, 1.4998, 1.484, 1.5055, 1.4577, 12.812999999999999, 12.812999999999999, 12.812999999999999, 12.812999999999999, 4481.24, 4449.28
2007-01-19, 1360.56, 6210.3, 6204.5, 6257.2, 6204.5, 42477.92, 42740.98, 43402.25, 42406.65, 6689.62, 6721.09, 6737.98, 6661.05, 1807.28, 1814.03, 1837.81, 1807.28, 1607.54, 1610.76, 1647.88, 1605.36, 4109.05, 4075.2, 4140.25, 4075.2, 1426.37, 1430.59, 1432.96, 1424.21, 2.477, 2.5, 2.52, 2.485, 2443.21, 2475.33, 2475.8, 2438.11, 119.915, 120.0, 120.155, 119.83, 1.1729, 1.1727, 1.1774, 1.1712, 42881.0, 43285.0, 43780.0, 43070.0, 21.216, 21.2044, 21.216, 21.2044, 50.48, 52.4, 52.69, 49.9, 26112.87, 26556.66, 26594.6, 26112.8, 12567.93, 12575.06, 12674.16, 12487.9, 119.75, 121.1, 121.6, 119.6, 1173.59, 1175.9, 1181.47, 1167.91, 51.75, 53.1, 53.35, 50.91, 1849.28, 1845.1, 1853.03, 1838.72, 1.2119, 1.2089, 1.2148, 1.2076, 778.21, 788.13, 788.19, 776.87, 627.1, 627.1, 627.1, 627.1, 412.25, 411.5, 418.0, 405.25, 1777.71, 1764.92, 1783.65, 1764.92, 4.092, 4.092, 4.092, 4.092, 0.6966, 0.6925, 0.6967, 0.6917, 2901.44, 2877.15, 2911.06, 2877.15, 936.7, 936.8, 937.6, 935.8, 933.86, 937.57, 938.64, 932.68, 12640.68, 12762.44, 12795.94, 12629.66, 654.89, 653.74, 655.41, 650.23, 1.4707, 1.5045, 1.51, 1.453, 12.607999999999999, 12.607999999999999, 12.607999999999999, 12.607999999999999, 4487.89, 4449.89
2007-01-22, 1363.41, 6237.2, 6210.3, 6243.3, 6178.0, 43427.64, 42476.95, 43427.64, 42476.95, 6747.17, 6678.81, 6754.55, 6651.68, 1812.93, 1807.12, 1815.49, 1803.06, 1617.09, 1607.54, 1617.43, 1595.6, 4090.15, 4126.0, 4137.15, 4058.35, 1430.5, 1426.35, 1431.57, 1425.19, 2.502, 2.476, 2.52, 2.476, 2451.31, 2437.63, 2453.79, 2435.68, 119.925, 119.86, 120.415, 119.76, 1.1717, 1.1740000000000002, 1.1757, 1.1698, 43655.0, 42675.0, 43550.0, 42640.0, 21.2115, 21.1999, 21.2115, 21.1999, 51.99, 50.47, 52.05, 50.12, 26213.38, 26112.87, 26304.51, 25939.44, 12565.53, 12567.93, 12649.89, 12462.5, 119.7, 119.25, 120.5, 119.25, 1180.57, 1173.59, 1182.19, 1170.36, 53.44, 51.5, 53.55, 51.5, 1848.97, 1848.55, 1856.59, 1843.36, 1.2149, 1.2123, 1.2154, 1.2074, 785.16, 778.13, 785.45, 775.17, 635.5, 633.5, 633.5, 633.5, 406.75, 412.5, 414.5, 405.75, 1795.56, 1775.49, 1795.56, 1768.66, 4.101, 4.101, 4.101, 4.101, 0.6957, 0.6951, 0.6967, 0.6931, 2910.92, 2901.44, 2937.92, 2901.44, 936.4, 939.3, 940.5, 935.6, 936.28, 938.065, 940.1, 935.55, 12718.99, 12638.68, 12751.6, 12637.53, 658.17, 655.41, 660.09, 653.96, 1.5135, 1.4715, 1.5229, 1.466, 12.845, 12.7, 12.7, 12.7, 4478.74, 4432.74
2007-01-23, 1363.09, 6218.4, 6237.2, 6270.9, 6215.8, 43553.3, 43431.12, 43879.48, 43182.57, 6687.31, 6753.73, 6766.57, 6682.49, 1841.97, 1819.93, 1845.45, 1819.93, 1654.65, 1617.09, 1655.56, 1617.09, 4102.45, 4089.6, 4114.5, 4069.95, 1422.95, 1430.47, 1431.39, 1420.4, 2.519, 2.526, 2.526, 2.495, 2431.07, 2454.5, 2454.66, 2422.92, 120.52, 119.86, 120.6, 119.85, 1.1821, 1.1725, 1.1839, 1.1714, 43802.0, 43915.0, 44220.0, 43460.0, 21.2239, 21.2123, 21.2239, 21.2123, 51.13, 52.09, 53.44, 50.8, 26432.25, 26213.27, 26432.25, 26042.06, 12477.16, 12566.33, 12619.04, 12389.68, 117.35, 119.1, 119.6, 116.8, 1181.35, 1180.57, 1190.76, 1180.21, 52.7, 53.75, 54.6, 52.18, 1858.26, 1847.66, 1860.52, 1846.82, 1.2127, 1.2138, 1.2166, 1.2107, 777.96, 784.96, 785.04, 775.83, 633.3, 633.3, 633.3, 633.3, 404.25, 405.0, 409.25, 399.0, 1817.41, 1804.58, 1817.41, 1801.35, 4.073, 4.073, 4.073, 4.073, 0.6986, 0.6952, 0.7011, 0.6939, 2921.39, 2910.92, 2930.51, 2910.92, 940.2, 936.6, 941.2, 936.2, 938.7, 938.56, 941.56, 938.42, 12705.77, 12779.33, 12790.6, 12696.18, 655.12, 660.09, 661.03, 654.01, 1.5084, 1.5235, 1.5590000000000002, 1.495, 12.925, 12.865, 12.865, 12.855, 4490.39, 4455.23
2007-01-24, 1383.06, 6227.6, 6218.4, 6240.7, 6189.2, 44177.2, 43549.37, 44243.06, 43432.47, 6678.93, 6692.83, 6704.36, 6627.96, 1856.4, 1840.91, 1859.23, 1840.91, 1664.18, 1654.64, 1666.3, 1643.39, 4066.1, 4102.65, 4105.1, 4056.45, 1427.99, 1422.95, 1431.33, 1421.66, 2.5669999999999997, 2.56, 2.595, 2.56, 2431.41, 2428.26, 2447.03, 2425.98, 120.54, 120.47, 120.85, 120.42, 1.1803, 1.1823, 1.1854, 1.1787, 44425.0, 43695.0, 44570.0, 43550.0, 21.2956, 21.284, 21.2956, 21.284, 55.04, 52.64, 55.15, 52.41, 26810.0, 26432.63, 26811.12, 26419.22, 12533.8, 12467.96, 12553.44, 12467.96, 115.65, 116.9, 117.25, 115.35, 1175.13, 1181.35, 1183.13, 1171.93, 55.1, 52.81, 55.18, 52.59, 1863.2, 1857.24, 1873.0, 1856.3, 1.2165, 1.2109, 1.2184, 1.2102, 785.38, 777.59, 788.69, 776.82, 645.2, 642.2, 642.2, 642.2, 409.0, 404.75, 410.75, 404.75, 1808.58, 1811.7, 1811.7, 1789.3, 4.088, 4.088, 4.088, 4.088, 0.7013, 0.6993, 0.7041, 0.6978, 2906.01, 2921.39, 2935.4, 2906.01, 940.25, 939.75, 942.35, 939.75, 940.54, 938.71, 942.36, 935.62, 12910.87, 12765.52, 12910.87, 12705.77, 650.76, 651.41, 651.99, 647.35, 1.5763, 1.51, 1.5830000000000002, 1.5025, 13.185, 13.185, 13.185, 13.185, 4458.66, 4414.69
