@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute MOEX_High numeric
@attribute MOEX_Low numeric
@attribute IBEX_Now numeric
@attribute IBEX_Open numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2011-01-03, 2070.08, 1687.99, 1677.68, 1687.99, 1673.66, 9859.1, 9985.1, 9997.7, 9858.8, 20173.29, 20463.0, 20466.0, 20163.0, 13434.41, 13449.77, 13493.64, 13400.71, 2616.42, 2589.89
2011-01-04, 2085.14, 1691.7014285714286, 1679.1542857142858, 1691.7328571428573, 1675.6171428571427, 9888.3, 9899.4, 9993.6, 9850.5, 20436.28, 20138.0, 20559.0, 20103.0, 13418.36, 13490.06, 13511.81, 13363.705, 2634.18, 2597.29
2011-01-05, 2082.55, 1695.412857142857, 1680.6285714285714, 1695.4757142857145, 1677.5742857142857, 9888.4, 9895.5, 9974.2, 9799.4, 20547.03, 20473.0, 20681.0, 20338.0, 13402.31, 13530.35, 13529.98, 13326.7, 2660.1, 2633.13
2011-01-06, 2077.61, 1699.1242857142856, 1682.1028571428574, 1699.2185714285715, 1679.5314285714285, 9801.4, 9877.5, 9882.4, 9599.3, 20551.58, 20486.0, 20561.0, 20226.0, 13395.99, 13365.33, 13400.03, 13301.15, 2644.4, 2613.59
2011-01-07, 2086.2, 1702.8357142857144, 1683.577142857143, 1702.9614285714285, 1681.4885714285715, 9702.7, 9803.2, 9832.6, 9678.4, 20637.39, 20608.0, 20898.0, 20576.0, 13311.67, 13407.56, 13413.18, 13290.89, 2638.06, 2620.28
2011-01-10, 2080.81, 1706.547142857143, 1685.0514285714291, 1706.7042857142858, 1683.4457142857145, 9560.7, 9682.4, 9699.4, 9497.8, 20542.06, 20651.0, 20741.0, 20361.0, 13272.3, 13263.08, 13329.64, 13233.32, 2625.77, 2603.37
2011-01-11, 2088.32, 1710.2585714285715, 1686.525714285714, 1710.4471428571426, 1685.402857142857, 9437.8, 9488.3, 9491.8, 9387.9, 20058.18, 20396.0, 20428.0, 20058.18, 13245.12, 13291.61, 13295.37, 13139.5, 2600.65, 2553.31
2011-01-12, 2094.95, 1713.97, 1688.0, 1714.19, 1687.36, 9582.1, 9467.4, 9593.0, 9404.7, 20339.05, 20147.0, 20373.0, 20005.0, 13401.05, 13341.9, 13421.81, 13245.12, 2587.09, 2568.88
2011-01-13, 2089.48, 1759.46, 1714.04, 1760.09, 1714.04, 10101.2, 9606.4, 10106.2, 9596.0, 21116.39, 20420.0, 21124.0, 20420.0, 13460.21, 13467.43, 13497.68, 13402.27, 2626.4, 2583.06
2011-01-14, 2108.17, 1749.75, 1759.46, 1768.21, 1743.72, 10370.8, 10105.8, 10410.2, 10096.8, 21308.13, 21301.0, 21343.0, 21078.0, 13401.48, 13492.26, 13505.44, 13383.53, 2638.98, 2624.04
2011-01-17, 2099.85, 1744.74, 1749.75, 1757.56, 1731.86, 10385.1, 10337.8, 10423.0, 10249.5, 21460.09, 21333.0, 21505.0, 21223.0, 13464.06, 13408.89, 13464.06, 13376.14, 2631.8, 2601.38
2011-01-18, 2096.48, 1771.66, 1745.15, 1773.98, 1745.15, 10280.0, 10328.3, 10354.9, 10245.5, 21344.14, 21498.0, 21530.0, 21278.0, 13440.11, 13427.11, 13472.99, 13424.38, 2626.21, 2612.59
2011-01-19, 2115.69, 1765.3, 1771.69, 1788.74, 1754.86, 10583.4, 10314.2, 10591.9, 10304.6, 21590.86, 21463.0, 21623.0, 21443.0, 13559.2, 13486.19, 13565.62, 13440.69, 2657.85, 2632.64
2011-01-20, 2106.66, 1764.44, 1765.3, 1778.27, 1760.23, 10556.5, 10596.7, 10618.0, 10493.3, 21712.14, 21640.0, 21858.0, 21568.0, 13439.04, 13570.06, 13572.32, 13411.45, 2669.21, 2636.67
2011-01-21, 2069.92, 1733.89, 1764.31, 1764.31, 1732.89, 10636.9, 10542.6, 10683.0, 10515.5, 21792.28, 21693.0, 21973.0, 21658.0, 13331.32, 13362.41, 13429.5, 13238.89, 2644.63, 2618.66
2011-01-24, 2082.16, 1747.39, 1733.89, 1752.39, 1723.85, 10829.1, 10663.4, 10937.6, 10660.5, 22093.85, 21940.0, 22318.0, 21883.0, 13258.57, 13355.29, 13408.01, 13258.57, 2675.85, 2630.82
2011-01-25, 2086.67, 1720.7, 1747.39, 1750.44, 1705.18, 10815.4, 10852.2, 10925.5, 10690.3, 22156.85, 22233.0, 22243.0, 21955.0, 13347.58, 13313.74, 13369.33, 13264.72, 2664.88, 2641.37
2011-01-26, 2110.46, 1716.24, 1720.7, 1730.9, 1709.68, 10664.4, 10840.8, 10855.4, 10626.7, 21940.13, 22248.0, 22258.0, 21863.0, 13259.63, 13322.4, 13347.04, 13192.72, 2673.82, 2647.59
2011-01-27, 2115.01, 1746.55, 1716.24, 1746.63, 1716.24, 10670.7, 10715.0, 10812.3, 10668.7, 22007.0, 22068.0, 22173.0, 21940.0, 13465.75, 13300.27, 13477.93, 13259.63, 2692.73, 2668.29
2011-01-28, 2107.87, 1751.54, 1746.55, 1758.13, 1738.26, 10828.7, 10644.2, 10899.3, 10579.9, 22311.52, 21902.0, 22405.0, 21860.0, 13410.2, 13473.01, 13497.2, 13397.46, 2688.75, 2644.03
2011-01-31, 2069.73, 1735.01, 1751.47, 1751.47, 1730.69, 10747.0, 10822.0, 10961.1, 10713.4, 22025.11, 22270.0, 22462.0, 22002.0, 13437.58, 13406.42, 13497.55, 13406.03, 2678.93, 2646.32
2011-02-01, 2072.03, 1723.42, 1734.93, 1734.93, 1705.46, 10806.0, 10738.2, 10918.6, 10603.4, 22050.45, 21872.0, 22214.0, 21715.0, 13551.99, 13449.74, 13588.47, 13438.38, 2649.94, 2621.53
2011-02-07, 2081.74, 1755.95, 1723.45, 1757.48, 1723.45, 10967.9, 10886.2, 10987.1, 10777.1, 22525.59, 22119.0, 22525.59, 21996.0, 13712.62, 13617.7, 13714.49, 13552.27, 2688.4, 2641.11
2011-02-08, 2069.7, 1767.31, 1766.53, 1773.0, 1745.29, 10922.6, 10854.3, 10985.0, 10782.3, 22793.01, 22752.0, 22962.0, 22672.0, 13811.93, 13854.06, 13872.13, 13791.81, 2728.63, 2695.98
