@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Now numeric
@attribute EUR_USD_Open numeric
@attribute AEX_Open numeric
@attribute FTSE_Open_x numeric
@attribute FTSE_High_x numeric
@attribute IDR_KRW_Now numeric
@attribute IDR_KRW_Open numeric
@attribute IDR_KRW_High numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Low numeric
@attribute GAS_Now numeric
@attribute GAS_Open numeric
@attribute GAS_High numeric
@attribute GAS_Low numeric
@attribute Brazil_Now numeric
@attribute Brazil_High numeric
@attribute Brazil_Low numeric
@attribute HONH_KONG_10_YEAR_Now numeric
@attribute HONH_KONG_10_YEAR_Low numeric
@attribute RTSI_Open numeric
@attribute MOEX_High numeric
@attribute UK_10_YEAR_High numeric
@attribute UK_10_YEAR_Low numeric
@attribute Nifty_Now numeric
@attribute Nifty_Low numeric
@attribute S&P_High numeric
@attribute S&P_Low numeric
@attribute Copper_Now numeric
@attribute Copper_Open numeric
@attribute Copper_Low numeric
@attribute SANGHAI_Open numeric
@attribute EUR_KRW_Open numeric
@attribute EUR_KRW_Low numeric
@attribute NASDAQ_Now numeric
@attribute NASDAQ_High numeric
@attribute NASDAQ_Low numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_High numeric
@attribute HKD_KRW_Low numeric
@attribute FRANCE_10_YEAR_Open numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_Low numeric
@attribute CHF_KRW_High numeric
@attribute CHF_KRW_Low numeric
@attribute USD_CAD_Open numeric
@attribute USD_CAD_High numeric
@attribute USD_CAD_Low numeric
@attribute GERMANY_10_YEAR_Now numeric
@attribute GERMANY_10_YEAR_High numeric
@attribute GERMANY_10_YEAR_Low numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_Open numeric
@attribute iBovespa_High numeric
@attribute INR_KRW_Now numeric
@attribute INR_KRW_Open numeric
@attribute INR_KRW_High numeric
@attribute WTI_Open numeric
@attribute S&P_BMV_Low numeric
@attribute NIKKEI_High numeric
@attribute NIKKEI_Low numeric
@attribute SOUTH_KOREA_10_YEAR_Open numeric
@attribute SOUTH_KOREA_10_YEAR_High numeric
@attribute SMI_Now numeric
@attribute SMI_High numeric
@attribute DOWJONES_Now numeric
@attribute DOWJONES_Open numeric
@attribute DOWJONES_High numeric
@attribute DOWJONES_Low numeric
@attribute US_COFFEE_Open numeric
@attribute US_COFFEE_High numeric
@attribute OMXS_High numeric
@attribute AUD_KRW_Now numeric
@attribute AUD_KRW_High numeric
@attribute AUD_KRW_Low numeric
@attribute EUR_GBP_Now numeric
@attribute EUR_GBP_Open numeric
@attribute EUR_GBP_High numeric
@attribute BRENT_OIL_Now numeric
@attribute GBP_KRW_Now numeric
@attribute AUD_SGD_Now numeric
@attribute AUD_SGD_High numeric
@attribute AUD_SGD_Low numeric
@attribute BRL_KRW_Open numeric
@attribute Gold_Now numeric
@attribute Gold_Open numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute GBP_USD_Now numeric
@attribute GBP_USD_Low numeric
@attribute Corn_Open numeric
@attribute Corn_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_High_y numeric
@attribute IDX_High numeric
@attribute IDX_Low numeric
@attribute SPAIN_10_YEAR_Now numeric
@attribute SPAIN_10_YEAR_Open numeric
@attribute SPAIN_10_YEAR_High numeric
@attribute SPAIN_10_YEAR_Low numeric
@attribute NZD_USD_High numeric
@attribute CSE_Now numeric
@attribute CSE_Open numeric
@attribute CSE_Low numeric
@attribute JAPAN_10_YEAR_Now numeric
@attribute JAPAN_10_YEAR_Open numeric
@attribute CAD_KRW_Open numeric
@attribute CAD_KRW_High numeric
@attribute USD_KRW_Open numeric
@attribute USD_KRW_Low numeric
@attribute TA_Now numeric
@attribute TA_High numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_Low numeric
@attribute JPY_KRW_Now numeric
@attribute JPY_KRW_Open numeric
@attribute JPY_KRW_Low numeric
@attribute Tadawul_Now numeric
@attribute Tadawul_Open numeric
@attribute Tadawul_High numeric
@attribute SET_Open numeric
@attribute SET_Low numeric
@attribute HEATING_OIL_Now numeric
@attribute HEATING_OIL_Open numeric
@attribute HEATING_OIL_High numeric
@attribute ITALY_10_YEAR_High numeric
@attribute USD_JPY_Now numeric
@attribute USD_JPY_Low numeric
@attribute Silver_Now numeric
@attribute US_WHEAT_Open numeric
@attribute US_WHEAT_Low numeric
@attribute AUS_10_YEAR_Now numeric
@attribute AUS_10_YEAR_Open numeric
@attribute BEL_Open numeric
@attribute BEL_High numeric

@data
2011-01-03, 2070.08, 3.156, 1.3225, 358.07, 5993.8, 6007.8, 12.573, 12.729, 12.74, 171.29, 170.86, 4.338, 4.31, 4.364, 4.235, 69304.81, 69527.17, 68940.08, 3.04, 3.04, 1767.82, 1687.99, 3.4760000000000004, 3.4760000000000004, 6101.85, 6062.35, 1261.09, 1256.32, 4.356, 4.372, 4.335, 2751.97, 1515.24, 1496.5, 2662.98, 2671.11, 2661.83, 145.335, 147.315, 145.02, 3.361, 3.367, 3.367, 1214.36, 1199.78, 1.0008, 1.0025, 0.997, 2.949, 2.949, 2.949, 70050.0, 69740.0, 70395.0, 25.2276, 25.4384, 25.4718, 90.98, 38183.63, 10308.0, 10178.5, 4.5, 4.5, 6436.04, 6570.72, 11569.71, 11585.83, 11614.44, 11535.5, 238.5, 241.75, 1165.59, 1150.35, 1167.27, 1141.36, 0.8613, 0.853, 0.8637, 93.09, 1744.61, 1.3105, 1.3194, 1.3029, 683.28, 1405.6, 1413.8, 9997.7, 9858.8, 1.5421, 1.5366, 623.0, 612.5, 20173.29, 20463.0, 20466.0, 3718.98, 3689.03, 5.483, 5.433, 5.5089999999999995, 5.42, 0.7726, 6614.13, 6646.92, 6530.1, 1.1159999999999999, 1.156, 1144.63, 1147.04, 1146.35, 1128.85, 1326.44, 1330.79, 13434.41, 13449.77, 13400.71, 13.8622, 14.0338, 13.7958, 6648.705, 6636.625, 6660.99, 1035.16, 1029.96, 2.4854, 2.5195, 2.5309, 4.84, 81.5, 81.29, 30.488000000000003, 798.75, 776.88, 5.585, 5.585, 2613.09, 2616.42
2011-01-04, 2085.14, 3.1455, 1.3348, 357.91, 5991.9, 6028.65, 12.51, 12.429, 12.597, 170.67, 170.0, 4.65, 4.492, 4.689, 4.4910000000000005, 69962.32, 70470.97, 69304.67, 3.005, 3.005, 1768.1699999999994, 1691.7328571428573, 3.4685000000000006, 3.4685000000000006, 6157.6, 6147.2, 1276.17, 1257.62, 4.452, 4.437, 4.415, 2788.65, 1495.31, 1491.46, 2691.52, 2704.86, 2676.34, 144.755, 145.565, 144.1, 3.332, 3.3339999999999996, 3.3339999999999996, 1209.78, 1196.86, 0.995, 0.9951, 0.9886, 2.905, 2.905, 2.905, 70682.0, 70105.0, 71300.0, 25.2022, 25.0531, 25.4067, 91.31, 38536.71, 10358.5, 10244.0, 4.5, 4.57, 6493.88, 6508.42, 11670.75, 11577.43, 11750.9, 11577.43, 238.7, 238.7, 1177.0, 1142.82, 1154.48, 1141.5, 0.8626, 0.8569, 0.865, 94.84, 1741.36, 1.3056, 1.3130000000000002, 1.3036, 675.08, 1422.6, 1415.6, 9993.6, 9850.5, 1.5482, 1.5433, 626.25, 620.0, 20436.28, 20138.0, 20559.0, 3738.59, 3704.44, 5.435, 5.502999999999999, 5.537000000000001, 5.4179999999999975, 0.7784, 6657.96, 6635.87, 6635.87, 1.1395, 1.1375, 1126.02, 1139.32, 1120.85, 1120.85, 1335.03, 1339.93, 13418.36, 13490.06, 13363.705, 13.7614, 13.7942, 13.7451, 6676.66, 6656.35, 6682.71, 1038.9450000000004, 1035.01, 2.5528, 2.5424, 2.5881, 4.763999999999999, 81.67, 81.13, 31.096, 793.13, 793.13, 5.541, 5.541, 2599.42, 2634.18
2011-01-05, 2082.55, 3.135, 1.3358, 359.82, 5990.0, 6049.5, 12.525, 12.499, 12.544, 170.35, 169.31, 4.669, 4.627, 4.707, 4.5569999999999995, 70317.79, 70317.79, 69559.92, 2.9560000000000004, 2.9560000000000004, 1768.52, 1695.4757142857145, 3.4610000000000003, 3.4610000000000003, 6146.35, 6124.4, 1274.12, 1262.66, 4.364, 4.428999999999999, 4.35, 2825.33, 1501.62, 1492.01, 2681.25, 2700.88, 2663.64, 144.87, 145.09, 143.97, 3.293, 3.338, 3.338, 1207.37, 1180.33, 0.9937, 1.0034, 0.9912, 2.891, 2.891, 2.891, 71090.0, 70900.0, 71000.0, 25.0556, 25.1859, 25.2838, 91.5, 38454.94, 10409.0, 10309.5, 4.56, 4.61, 6494.31, 6530.83, 11691.18, 11670.9, 11766.94, 11582.99, 239.0, 240.5, 1181.56, 1131.69, 1145.15, 1124.93, 0.8538, 0.8623, 0.8639, 93.53, 1754.26, 1.2941, 1.3075, 1.2918, 682.18, 1378.5, 1409.6, 9974.2, 9799.4, 1.5586, 1.5454, 620.0, 603.25, 20547.03, 20473.0, 20681.0, 3763.38, 3724.47, 5.348, 5.443, 5.482, 5.343, 0.7742, 6701.85, 6657.96, 6653.85, 1.163, 1.119, 1131.2, 1134.64, 1125.8, 1120.3, 1333.25, 1336.65, 13402.31, 13530.35, 13326.7, 13.7206, 13.7529, 13.5958, 6699.96, 6676.66, 6704.4, 1042.73, 1040.06, 2.5065, 2.555, 2.5723, 4.582, 82.06, 81.61, 29.491999999999997, 803.25, 783.38, 5.497000000000001, 5.497000000000001, 2641.93, 2660.1
2011-01-06, 2077.61, 3.2760000000000002, 1.3304, 358.2, 6011.5, 6043.86, 12.5055, 12.503, 12.5705, 169.74, 169.49, 4.473, 4.6110000000000015, 4.64, 4.447, 71091.03, 71172.96, 69801.71, 2.9410000000000003, 2.9410000000000003, 1768.87, 1699.2185714285715, 3.5469999999999997, 3.5469999999999997, 6079.8, 6062.35, 1277.63, 1265.36, 4.402, 4.35, 4.3, 2833.12, 1495.26, 1473.3, 2702.2, 2702.2, 2671.89, 144.58, 145.36, 144.37, 3.346, 3.463, 3.463, 1191.62, 1157.78, 0.9985, 1.0023, 0.993, 2.9539999999999997, 2.9539999999999997, 2.9539999999999997, 71774.0, 70500.0, 71780.0, 24.7876, 24.9833, 25.1692, 89.29, 38322.14, 10399.5, 10349.5, 4.59, 4.64, 6519.25, 6519.25, 11722.89, 11688.76, 11775.72, 11610.29, 234.1, 237.9, 1167.09, 1123.05, 1135.3, 1120.43, 0.8479, 0.8535, 0.8545, 95.5, 1742.55, 1.2917, 1.2973, 1.2868, 676.5, 1373.4, 1383.4, 9882.4, 9599.3, 1.5512, 1.5451, 609.0, 600.25, 20551.58, 20486.0, 20561.0, 3786.05, 3728.91, 5.334, 5.37, 5.399, 5.292000000000002, 0.7682, 6754.31, 6701.85, 6701.26, 1.162, 1.166, 1125.24, 1135.44, 1125.5, 1123.3, 1332.34, 1333.09, 13395.99, 13365.33, 13301.15, 13.4955, 13.704, 13.4516, 6696.55, 6699.96, 6712.4, 1044.62, 1044.18, 2.5422, 2.5035, 2.5536, 4.582, 83.19, 81.89, 29.173000000000002, 793.38, 776.63, 5.505, 5.505, 2641.03, 2644.4
2011-01-07, 2086.2, 3.2260000000000004, 1.3146, 358.54, 6036.7, 6089.3, 12.483, 12.485, 12.52, 169.4, 168.58, 4.434, 4.4860000000000015, 4.623, 4.38, 70578.83, 71167.1, 70469.17, 3.011, 3.011, 1769.22, 1702.9614285714285, 3.525, 3.525, 6048.25, 6022.3, 1278.17, 1270.43, 4.3210000000000015, 4.4110000000000005, 4.309, 2838.43, 1474.98, 1458.66, 2709.89, 2712.35, 2697.73, 144.525, 144.745, 143.69, 3.341, 3.3989999999999996, 3.3989999999999996, 1167.45, 1153.23, 0.9966, 0.9995, 0.9918, 2.924, 2.924, 2.924, 71238.0, 71900.0, 72010.0, 24.7646, 24.7507, 24.9482, 90.47, 38516.3, 10529.76, 10490.5, 4.67, 4.69, 6532.84, 6588.23, 11697.31, 11716.93, 11795.78, 11615.31, 233.6, 236.85, 1166.025, 1117.59, 1125.96, 1113.17, 0.8411, 0.8471, 0.8489, 94.52, 1737.53, 1.2889, 1.2942, 1.2854, 670.33, 1371.4, 1374.8, 9832.6, 9678.4, 1.5466, 1.5449, 618.75, 600.25, 20637.39, 20608.0, 20898.0, 3789.47, 3720.57, 5.492000000000001, 5.351, 5.494, 5.322, 0.7604, 6809.73, 6754.31, 6754.31, 1.225, 1.198, 1125.38, 1130.24, 1122.5, 1117.7, 1335.99, 1339.75, 13311.67, 13407.56, 13290.89, 13.4765, 13.4726, 13.4286, 6687.076666666668, 6707.743333333334, 6716.3, 1055.36, 1045.18, 2.5112, 2.5455, 2.5586, 4.582, 83.31, 82.88, 29.11, 809.0, 788.0, 5.55, 5.55, 2634.52, 2638.06
2011-01-10, 2080.81, 3.185, 1.3005, 356.59, 6009.5, 6021.3, 12.431, 12.466, 12.503, 169.31, 168.68, 4.422, 4.4, 4.45, 4.327, 70057.2, 70782.83, 69718.11, 2.988, 2.988, 1769.57, 1706.7042857142858, 3.516, 3.516, 5904.6, 5883.6, 1276.83, 1261.7, 4.272, 4.269, 4.25, 2820.66, 1459.73, 1446.4, 2703.17, 2715.96, 2676.36, 144.395, 144.975, 143.8, 3.33, 3.3280000000000003, 3.3280000000000003, 1171.65, 1156.56, 0.9967, 1.0005, 0.9897, 2.862, 2.862, 2.862, 70638.0, 71290.0, 71460.0, 24.7426, 24.811, 24.9239, 88.18, 38346.38, 10542.5, 10500.0, 4.7, 4.73, 6497.64, 6559.6, 11674.76, 11696.86, 11761.49, 11578.64, 232.55, 235.5, 1164.96, 1118.78, 1122.08, 1110.62, 0.8299, 0.8404, 0.8429, 93.33, 1745.92, 1.2908, 1.2942, 1.284, 665.5, 1368.5, 1372.7, 9699.4, 9497.8, 1.5558, 1.541, 600.5, 595.0, 20542.06, 20651.0, 20741.0, 3734.37, 3607.33, 5.535, 5.475, 5.581, 5.4670000000000005, 0.7638, 6891.96, 6809.73, 6809.73, 1.204, 1.209, 1126.19, 1137.17, 1122.4, 1118.6, 1329.345, 1335.655, 13272.3, 13263.08, 13233.32, 13.5107, 13.4697, 13.3975, 6677.6033333333335, 6715.526666666668, 6720.2, 1050.54, 1036.27, 2.4863, 2.5139, 2.5233, 4.784, 83.14, 82.86, 28.660999999999998, 788.63, 772.13, 5.593, 5.593, 2619.07, 2625.77
2011-01-11, 2088.32, 3.177, 1.2883, 355.5, 5978.5, 5980.8, 12.4575, 12.422, 12.5295, 169.88, 168.56, 4.399, 4.373, 4.45, 4.322, 70127.04, 70133.39, 69666.37, 2.9530000000000003, 2.9530000000000003, 1769.92, 1710.4471428571426, 3.512, 3.512, 5762.85, 5740.95, 1271.52, 1262.18, 4.255, 4.2589999999999995, 4.253, 2832.62, 1444.75, 1442.51, 2707.8, 2712.32, 2682.25, 144.98, 145.85, 143.75, 3.341, 3.287, 3.287, 1174.5, 1155.8, 0.993, 0.9985, 0.991, 2.8739999999999997, 2.8739999999999997, 2.8739999999999997, 70618.0, 70100.0, 70640.0, 24.8622, 24.7234, 24.9569, 89.0, 38184.1, 10538.0, 10483.5, 4.69, 4.72, 6446.32, 6498.05, 11637.45, 11672.34, 11698.33, 11545.87, 231.2, 235.15, 1160.42, 1122.82, 1125.57, 1112.7, 0.8314, 0.8296, 0.8341, 95.7, 1755.91, 1.2923, 1.2945, 1.2848, 666.21, 1373.7, 1369.0, 9491.8, 9387.9, 1.5572, 1.5476, 597.5, 597.25, 20058.18, 20396.0, 20428.0, 3631.27, 3449.58, 5.556, 5.528, 5.608, 5.513999999999999, 0.7647, 6916.85, 6892.53, 6891.93, 1.1965, 1.2035, 1128.93, 1139.83, 1124.2, 1120.1, 1322.7, 1331.56, 13245.12, 13291.61, 13139.5, 13.6287, 13.4771, 13.4545, 6668.13, 6723.31, 6724.1, 1033.95, 1007.78, 2.5561, 2.509, 2.5635, 4.896, 82.72, 82.67, 28.851, 777.13, 766.63, 5.52, 5.52, 2600.65, 2600.65
2011-01-12, 2094.95, 3.2260000000000004, 1.295, 355.58, 5986.1, 6036.8, 12.45, 12.423, 12.495, 170.11, 169.14, 4.481, 4.386, 4.504, 4.338, 70423.44, 70647.44, 70145.28, 2.937, 2.937, 1770.27, 1714.19, 3.552, 3.552, 5754.1, 5698.2, 1277.25, 1269.62, 4.3389999999999995, 4.33, 4.324, 2783.48, 1456.54, 1450.98, 2716.83, 2722.75, 2706.58, 144.85, 145.49, 143.99, 3.363, 3.34, 3.34, 1168.5, 1149.0, 0.9932, 0.9951, 0.989, 2.932, 2.932, 2.932, 71084.0, 71250.0, 71290.0, 24.9364, 24.7498, 25.0381, 89.31, 38005.96, 10533.5, 10467.0, 4.71, 4.73, 6534.84, 6542.64, 11671.88, 11638.51, 11756.57, 11601.57, 231.25, 236.7, 1175.03, 1111.31, 1123.06, 1103.38, 0.8314, 0.8313, 0.8344, 97.61, 1757.24, 1.2767, 1.2927, 1.2724, 665.96, 1384.0, 1375.4, 9593.0, 9404.7, 1.5615, 1.5513, 608.0, 603.5, 20339.05, 20147.0, 20373.0, 3550.36, 3434.27, 5.521, 5.577999999999999, 5.649, 5.506, 0.7634, 6992.71, 6916.85, 6916.78, 1.189, 1.198, 1132.36, 1138.88, 1127.0, 1121.8, 1335.14, 1335.65, 13401.05, 13341.9, 13245.12, 13.5288, 13.5985, 13.4597, 6701.28, 6668.13, 6702.16, 1015.85, 1008.24, 2.6088, 2.5580000000000003, 2.613, 4.838, 83.36, 82.72, 29.49, 770.38, 758.63, 5.42, 5.42, 2573.25, 2587.09
2011-01-13, 2089.48, 3.26, 1.2972, 359.06, 6024.3, 6050.72, 12.3085, 12.421, 12.4555, 168.91, 168.3, 4.5310000000000015, 4.504, 4.553999999999999, 4.4460000000000015, 71632.9, 71632.9, 70429.44, 2.967, 2.967, 1802.23, 1760.09, 3.647, 3.647, 5863.25, 5711.3, 1286.87, 1275.65, 4.402, 4.35, 4.35, 2811.79, 1457.83, 1443.67, 2737.33, 2737.33, 2722.32, 142.965, 144.875, 142.62, 3.438, 3.367, 3.367, 1157.54, 1141.62, 0.9901, 0.9913, 0.9844, 3.0580000000000003, 3.0580000000000003, 3.0580000000000003, 72218.0, 71550.0, 72195.0, 24.6891, 24.9058, 24.9932, 91.18, 37874.76, 10568.5, 10498.5, 4.69, 4.69, 6613.75, 6617.92, 11755.44, 11673.62, 11814.55, 11673.62, 236.4, 244.5, 1178.06, 1106.78, 1113.86, 1100.71, 0.8333, 0.8308, 0.8340000000000001, 98.12, 1751.5, 1.2819, 1.2839, 1.2688, 667.5, 1385.7, 1382.6, 10106.2, 9596.0, 1.577, 1.558, 608.0, 605.5, 21116.39, 20420.0, 21124.0, 3555.39, 3455.41, 5.477, 5.496, 5.53, 5.432, 0.7642, 7014.85, 6992.71, 6992.71, 1.183, 1.2, 1134.78, 1139.09, 1126.5, 1114.1, 1337.09, 1342.2, 13460.21, 13467.43, 13402.27, 13.3932, 13.5031, 13.3221, 6717.18, 6701.28, 6733.42, 1022.33, 1014.9, 2.6186, 2.604, 2.6343, 4.836, 83.09, 82.81, 29.531999999999996, 761.63, 760.38, 5.497000000000001, 5.497000000000001, 2583.17, 2626.4
2011-01-14, 2108.17, 3.253, 1.3129, 362.05, 6047.8, 6056.5, 12.293, 12.274, 12.34, 168.39, 167.6, 4.407, 4.481, 4.503, 4.362, 70721.44, 71923.84, 70719.1, 2.972, 2.972, 1868.94, 1768.21, 3.6, 3.6, 5751.9, 5736.7, 1286.7, 1280.47, 4.367, 4.383, 4.341, 2830.53, 1456.23, 1452.83, 2735.29, 2742.43, 2727.14, 143.115, 143.395, 142.39, 3.4189999999999996, 3.299, 3.299, 1157.28, 1138.62, 0.9862, 0.9911, 0.9853, 3.0469999999999997, 3.0469999999999997, 3.0469999999999997, 71271.0, 72150.0, 72465.0, 24.6483, 24.568, 24.8, 92.0, 37896.52, 10613.5, 10568.5, 4.65, 4.73, 6562.47, 6613.2, 11731.9, 11753.7, 11803.19, 11666.32, 240.35, 241.2, 1179.84, 1109.88, 1114.66, 1099.7, 0.8438, 0.8329, 0.8444, 98.06, 1761.03, 1.2824, 1.2885, 1.2734, 662.64, 1386.9, 1386.1, 10410.2, 10096.8, 1.5837, 1.5719, 633.5, 633.25, 21308.13, 21301.0, 21343.0, 3630.68, 3549.01, 5.371, 5.483, 5.513, 5.319, 0.7728, 7021.88, 7014.89, 6940.99, 1.185, 1.19, 1124.4, 1130.32, 1109.5, 1107.5, 1335.82, 1339.83, 13401.48, 13492.26, 13383.53, 13.4328, 13.3631, 13.3197, 6734.2, 6730.326666666668, 6754.043333333332, 1028.63, 1025.97, 2.6091, 2.617, 2.6260000000000003, 4.708, 82.77, 82.55, 29.252, 775.63, 769.63, 5.547999999999999, 5.547999999999999, 2630.15, 2638.98
