@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Now numeric
@attribute CANADA_10_YEAR_High numeric
@attribute EUR_USD_Now numeric
@attribute EUR_USD_Open numeric
@attribute EUR_USD_High numeric
@attribute EUR_USD_Low numeric
@attribute AEX_Now numeric
@attribute AEX_High numeric
@attribute AEX_Low numeric
@attribute FTSE_Now_x numeric
@attribute FTSE_High_x numeric
@attribute IDR_KRW_Now numeric
@attribute IDR_KRW_Open numeric
@attribute IDR_KRW_Low numeric
@attribute CNY_KRW_Now numeric
@attribute GAS_High numeric
@attribute Brazil_Now numeric
@attribute Brazil_High numeric
@attribute Brazil_Low numeric
@attribute HONH_KONG_10_YEAR_Now numeric
@attribute HONH_KONG_10_YEAR_Open numeric
@attribute HONH_KONG_10_YEAR_High numeric
@attribute HONH_KONG_10_YEAR_Low numeric
@attribute DAX_Now numeric
@attribute DAX_Open numeric
@attribute DAX_Low numeric
@attribute RTSI_High numeric
@attribute RTSI_Low numeric
@attribute MOEX_Now numeric
@attribute MOEX_High numeric
@attribute MOEX_Low numeric
@attribute UK_10_YEAR_Now numeric
@attribute UK_10_YEAR_Open numeric
@attribute UK_10_YEAR_Low numeric
@attribute Nifty_Low numeric
@attribute S&P_Now numeric
@attribute S&P_Low numeric
@attribute Copper_Open numeric
@attribute Copper_Low numeric
@attribute SANGHAI_High numeric
@attribute SANGHAI_Low numeric
@attribute EUR_KRW_Now numeric
@attribute EUR_KRW_Open numeric
@attribute NASDAQ_Open numeric
@attribute NASDAQ_High numeric
@attribute NASDAQ_Low numeric
@attribute HKD_KRW_Low numeric
@attribute FRANCE_10_YEAR_Now numeric
@attribute FRANCE_10_YEAR_Low numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_Low numeric
@attribute CHF_KRW_Now numeric
@attribute CHF_KRW_Open numeric
@attribute CHF_KRW_High numeric
@attribute USD_CAD_Open numeric
@attribute USD_CAD_Low numeric
@attribute GERMANY_10_YEAR_Now numeric
@attribute GERMANY_10_YEAR_Open numeric
@attribute GERMANY_10_YEAR_Low numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_Open numeric
@attribute INR_KRW_Now numeric
@attribute INR_KRW_High numeric
@attribute INR_KRW_Low numeric
@attribute WTI_High numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_High numeric
@attribute NIKKEI_Open numeric
@attribute NIKKEI_Low numeric
@attribute SMI_Now numeric
@attribute SMI_Open numeric
@attribute SMI_High numeric
@attribute SMI_Low numeric
@attribute DOWJONES_Now numeric
@attribute DOWJONES_Open numeric
@attribute DOWJONES_High numeric
@attribute DOWJONES_Low numeric
@attribute US_COFFEE_Now numeric
@attribute US_COFFEE_High numeric
@attribute US_COFFEE_Low numeric
@attribute OMXS_Now numeric
@attribute AUD_KRW_Now numeric
@attribute AUD_KRW_Low numeric
@attribute EUR_GBP_Open numeric
@attribute EUR_GBP_High numeric
@attribute EUR_GBP_Low numeric
@attribute BRENT_OIL_Low numeric
@attribute GBP_KRW_Now numeric
@attribute GBP_KRW_Low numeric
@attribute AUD_SGD_Low numeric
@attribute Russell_Now numeric
@attribute Russell_Open numeric
@attribute BRL_KRW_Now numeric
@attribute BRL_KRW_Open numeric
@attribute BRL_KRW_Low numeric
@attribute Gold_Now numeric
@attribute IBEX_Open numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute GBP_USD_Now numeric
@attribute GBP_USD_Open numeric
@attribute GBP_USD_High numeric
@attribute GBP_USD_Low numeric
@attribute Corn_Now numeric
@attribute Corn_Open numeric
@attribute Corn_High numeric
@attribute Corn_Low numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute IDX_Open numeric
@attribute IDX_High numeric
@attribute SPAIN_10_YEAR_Now numeric
@attribute SPAIN_10_YEAR_High numeric
@attribute SPAIN_10_YEAR_Low numeric
@attribute NZD_USD_Now numeric
@attribute NZD_USD_Open numeric
@attribute NZD_USD_High numeric
@attribute CSE_Open numeric
@attribute CSE_High numeric
@attribute JAPAN_10_YEAR_Low numeric
@attribute CAD_KRW_High numeric
@attribute CAD_KRW_Low numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_Open numeric
@attribute TA_Open numeric
@attribute TA_High numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_Low numeric
@attribute JPY_KRW_High numeric
@attribute JPY_KRW_Low numeric
@attribute Tadawul_Now numeric
@attribute Tadawul_Open numeric
@attribute Tadawul_High numeric
@attribute SET_High numeric
@attribute SET_Low numeric
@attribute HEATING_OIL_Open numeric
@attribute HEATING_OIL_High numeric
@attribute HEATING_OIL_Low numeric
@attribute ITALY_10_YEAR_Now numeric
@attribute ITALY_10_YEAR_High numeric
@attribute USD_JPY_Open numeric
@attribute Silver_Now numeric
@attribute Silver_Open numeric
@attribute Silver_High numeric
@attribute Silver_Low numeric
@attribute US_WHEAT_Open numeric
@attribute US_WHEAT_High numeric
@attribute AUS_10_YEAR_High numeric
@attribute AUS_10_YEAR_Low numeric
@attribute BEL_Now numeric
@attribute BEL_Open numeric
@attribute BEL_High numeric

@data
2009-01-02, 1157.4, 2.66, 2.66, 1.4072, 1.3946, 1.4223, 1.3918, 246.58, 246.58, 241.72, 4392.7, 4406.1, 11.503, 11.124, 11.116, 184.4, 6.18, 37550.31, 37782.8, 37064.77, 1.395, 1.395, 1.395, 1.395, 4810.2, 4754.22, 4754.22, 643.07, 625.42, 617.83, 621.26, 601.06, 3.1010000000000004, 3.1010000000000004, 3.1010000000000004, 2899.75, 890.64, 870.58, 1.275, 1.275, 1862.94, 1826.98, 1772.12, 1759.73, 1521.18, 1550.7, 1517.26, 160.62, 3.4139999999999997, 3.4139999999999997, 2.056, 2.056, 1190.45, 1189.67, 1201.44, 1.22, 1.2142, 2.949, 2.949, 2.949, 38217.0, 38000.0, 26.1915, 26.298, 25.7551, 40.39, 22420.01, 22516.74, 8716.28, 8702.95, 5534.53, 5528.69, 5582.12, 5513.85, 8668.39, 8487.51, 8700.89, 8463.7, 107.55, 108.0, 106.55, 662.34, 870.79, 858.55, 0.9655, 0.9805, 0.9652, 38.58, 1818.22, 1801.27, 0.9891, 482.77, 468.34, 540.46, 528.67, 521.55, 869.3, 9081.8, 9195.8, 9068.1, 1.4438, 1.4436, 1.4552, 1.4383, 396.25, 392.25, 400.75, 385.0, 19460.0, 19136.0, 1345.28, 1361.86, 3.79, 3.79, 3.79, 0.5783, 0.5787, 0.5831, 1496.38, 1496.51, 1.16, 1038.11, 1018.72, 1259.55, 1248.05, 636.93, 641.19, 634.0, 8830.72, 8645.28, 8591.49, 14.0134, 13.7296, 4791.27, 4710.77, 4798.92, 452.49, 446.86, 1.2833, 1.3021, 1.265, 4.379, 4.379, 90.68, 10.955, 10.885, 11.095, 10.85, 590.25, 607.0, 4.013, 4.013, 1907.12, 1898.55, 1915.88
2009-01-05, 1173.57, 2.8289999999999997, 2.8289999999999997, 1.3879, 1.3993, 1.4058, 1.384, 258.23, 258.23, 247.83, 4561.8, 4561.8, 12.12, 12.064, 11.829, 193.61, 6.087999999999999, 40244.22, 40264.72, 37550.31, 1.433, 1.433, 1.433, 1.433, 4973.07, 4856.85, 4838.49, 641.1971428571429, 624.7728571428571, 622.8942857142857, 627.0114285714286, 605.6557142857142, 3.043, 3.043, 3.043, 3021.8, 931.8, 899.35, 1.442, 1.442, 1871.83, 1835.535, 1833.55, 1767.68, 1578.87, 1636.03, 1571.98, 162.77, 3.392, 3.392, 2.3609999999999998, 2.3609999999999998, 1219.82, 1184.2, 1253.98, 1.2197, 1.2066, 2.951, 2.951, 2.951, 40879.0, 38545.0, 27.4522, 27.6256, 25.9992, 46.74, 23250.96, 23302.06, 8853.744999999999, 8845.155, 5533.6, 5528.7, 5582.1, 5513.9, 9034.69, 8772.25, 9080.57, 8725.1, 110.9, 112.05, 109.1, 693.78, 937.72, 886.3, 0.9577, 0.9652, 0.9433, 41.6, 1919.21, 1855.27, 1.0045, 505.84, 499.51, 568.91, 566.73, 555.71, 878.8, 9262.0, 9486.3, 9219.1, 1.4526, 1.4704, 1.4796, 1.4376, 412.25, 404.0, 415.5, 399.5, 19953.0, 19436.0, 1361.365, 1400.03, 3.8110000000000004, 3.8110000000000004, 3.8110000000000004, 0.5873, 0.5831, 0.5873, 1503.02, 1596.41, 1.1725, 1096.36, 1031.13, 1321.0, 1325.5, 655.765, 660.74, 652.3199999999998, 9234.11, 8951.85, 8918.11, 14.7222, 13.8742, 4985.81, 4879.540000000001, 5006.615, 465.59, 453.215, 1.426, 1.4974, 1.3606, 4.314, 4.314, 90.68, 11.465, 11.195, 11.525, 11.16, 606.25, 615.0, 3.955, 3.955, 1980.77, 1941.03, 1980.77
2009-01-06, 1194.28, 2.892, 2.892, 1.3605, 1.3902, 1.3965, 1.3546, 261.78, 262.2, 256.71, 4579.6, 4618.1, 12.037, 12.082, 11.738, 192.59, 6.142, 41518.66, 41889.34, 39525.7, 1.492, 1.492, 1.492, 1.492, 4983.99, 5010.18, 4949.36, 639.3242857142858, 624.1257142857143, 627.9585714285714, 632.7628571428571, 610.2514285714285, 3.1489999999999996, 3.1489999999999996, 3.1489999999999996, 3056.45, 927.45, 919.53, 1.421, 1.415, 1880.72, 1844.09, 1789.32, 1830.33, 1621.48, 1640.46, 1604.63, 167.03, 3.47, 3.47, 2.485, 2.485, 1184.79, 1218.3, 1240.56, 1.206, 1.1869, 3.016, 3.016, 3.016, 42378.0, 41050.0, 27.1639, 27.6233, 26.8678, 49.28, 23238.86, 23483.54, 8991.21, 8987.36, 5756.09, 5734.13, 5772.73, 5696.36, 8952.89, 9027.13, 9093.47, 8841.7, 107.7, 111.6, 106.05, 693.76, 943.06, 920.46, 0.9562, 0.9636, 0.9225, 46.31, 1933.12, 1873.46, 1.0318, 505.03, 505.56, 587.98, 564.83, 555.52, 857.2, 9543.4, 9644.1, 9506.3, 1.47, 1.4527, 1.474, 1.4429, 411.25, 412.25, 416.0, 402.0, 20262.0, 19953.0, 1377.45, 1438.2, 3.846, 3.846, 3.846, 0.5887, 0.5907, 0.5921, 1578.46, 1624.23, 1.185, 1111.52, 1068.05, 1315.0, 1329.0, 674.6, 680.29, 670.64, 9285.51, 9233.04, 9115.96, 14.4313, 13.985, 5180.35, 5048.31, 5214.31, 478.69, 459.57, 1.484, 1.585, 1.4739, 4.329, 4.329, 92.1, 11.245, 10.92, 11.235, 10.89, 613.0, 619.5, 4.26, 4.26, 2004.32, 2003.17, 2016.78
2009-01-07, 1228.17, 2.8689999999999998, 2.8689999999999998, 1.351, 1.3611, 1.3659, 1.3312, 269.27, 271.91, 259.42, 4638.9, 4675.7, 11.9825, 11.753, 11.666, 191.91, 6.24, 42312.28, 42363.19, 41520.07, 1.642, 1.642, 1.642, 1.642, 5026.31, 4992.67, 4960.21, 637.4514285714288, 623.4785714285714, 633.0228571428571, 638.5142857142857, 614.8471428571427, 3.264, 3.264, 3.264, 3056.1, 934.7, 927.28, 1.484, 1.484, 1938.69, 1871.97, 1772.58, 1781.94, 1642.37, 1665.63, 1636.25, 166.35, 3.628, 3.628, 2.45, 2.45, 1175.73, 1178.11, 1200.38, 1.189, 1.1761, 3.155, 3.155, 3.155, 43071.0, 42740.0, 27.0851, 27.615, 26.5566, 50.47, 23005.41, 23489.77, 9130.01, 9029.94, 5799.31, 5778.76, 5881.47, 5731.32, 9015.1, 8954.57, 9175.19, 8868.07, 116.1, 116.7, 108.25, 697.5799999999997, 948.78, 920.34, 0.9271, 0.9304, 0.9015, 48.6, 1958.55, 1887.71, 1.0397, 514.71, 507.16, 604.75, 576.11, 576.11, 865.4, 9677.1, 9800.0, 9617.8, 1.4928, 1.4684, 1.4995, 1.4505, 427.5, 410.25, 429.0, 407.25, 20996.0, 20262.0, 1438.42, 1462.63, 3.99, 3.99, 3.99, 0.5995, 0.589, 0.5995, 1560.97, 1568.31, 1.22, 1120.68, 1082.15, 1312.0, 1319.8, 683.03, 703.25, 683.03, 9472.09, 9409.77, 9285.51, 14.2796, 13.8088, 5289.73, 5180.35, 5291.28, 488.12, 470.82, 1.57, 1.6688, 1.5623, 4.461, 4.461, 93.25, 11.42, 10.88, 11.485, 10.88, 615.0, 645.0, 4.293, 4.293, 1997.28, 2007.54, 2008.06
2009-01-08, 1205.7, 2.931, 2.931, 1.3634, 1.3529, 1.3748, 1.3430000000000002, 265.04, 269.52, 262.87, 4507.5, 4638.9, 12.0255, 11.726, 11.645, 189.17, 6.07, 40820.25, 42308.27, 40563.43, 1.661, 1.661, 1.661, 1.661, 4937.47, 5008.62, 4914.22, 635.5785714285714, 622.8314285714285, 638.0871428571429, 644.2657142857142, 619.4428571428573, 3.2910000000000004, 3.2910000000000004, 3.2910000000000004, 2888.2, 906.65, 902.37, 1.5419999999999998, 1.4869999999999999, 1948.23, 1920.52, 1762.4, 1768.24, 1621.63, 1625.37, 1588.2, 165.33, 3.6660000000000004, 3.6660000000000004, 2.498, 2.498, 1173.37, 1171.99, 1189.65, 1.1839, 1.1774, 3.207, 3.207, 3.207, 41448.0, 42300.0, 26.5251, 26.9571, 26.4112, 49.09, 22117.51, 22992.71, 9133.8, 9106.05, 5761.69, 5778.02, 5806.0, 5731.7, 8769.7, 8996.94, 8996.94, 8690.45, 114.2, 117.2, 113.75, 701.4, 919.95, 916.37, 0.9062, 0.9175, 0.8957, 45.67, 1953.72, 1907.21, 1.044, 497.1, 510.32, 568.85, 601.42, 566.6, 841.1, 9726.2, 9726.2, 9503.8, 1.5113, 1.4932, 1.5283, 1.4806, 416.5, 424.25, 427.0, 413.25, 20858.0, 20471.0, 1440.25, 1472.46, 4.004, 4.004, 4.004, 0.5889, 0.5966, 0.6038, 1549.47, 1556.57, 1.24, 1105.75, 1076.47, 1292.7, 1290.3, 697.83, 705.95, 690.94, 9121.32, 9362.87, 9100.24, 14.028, 13.617, 5322.22, 5289.73, 5344.31, 479.3, 462.96, 1.6478, 1.6478, 1.5358, 4.448, 4.448, 93.4, 11.08, 11.41, 11.41, 10.895, 641.5, 646.25, 4.25, 4.25, 1997.91, 1991.29, 1998.86
2009-01-09, 1180.96, 2.8789999999999996, 2.8789999999999996, 1.3727, 1.3651, 1.38, 1.3533, 264.59, 266.1, 260.26, 4505.4, 4514.7, 12.1465, 12.082, 11.856, 194.59, 6.004, 41990.55, 41990.55, 40250.57, 1.558, 1.558, 1.558, 1.558, 4879.91, 4897.16, 4820.08, 633.7057142857143, 622.1842857142857, 643.1514285714286, 650.0171428571429, 624.0385714285715, 3.218, 3.218, 3.218, 2849.225, 909.73, 896.81, 1.48, 1.44, 1894.17, 1862.26, 1825.36, 1765.54, 1590.25, 1617.01, 1584.28, 166.67, 3.575, 3.575, 2.445, 2.445, 1216.72, 1174.82, 1228.16, 1.1944, 1.177, 3.1239999999999997, 3.1239999999999997, 3.1239999999999997, 42461.0, 41600.0, 27.4114, 27.5628, 26.5796, 43.63, 21955.4, 22116.8, 9143.21, 8876.42, 5751.07, 5697.53, 5764.42, 5679.12, 8742.46, 8769.94, 8807.14, 8593.52, 113.45, 116.4, 113.05, 695.95, 947.96, 916.37, 0.9026, 0.9071, 0.8886, 43.75, 2027.78, 1946.07, 1.0313, 502.01, 496.25, 579.39, 568.54, 568.54, 853.9, 9452.7, 9576.1, 9357.7, 1.5246, 1.5136, 1.5375, 1.4984, 406.75, 413.5, 418.5, 405.75, 20671.0, 20282.0, 1401.09, 1410.93, 3.938, 3.938, 3.938, 0.5946, 0.5889, 0.5972, 1550.07, 1559.52, 1.26, 1129.89, 1079.16, 1330.0, 1306.65, 682.06, 684.13, 674.19, 9221.58, 9075.47, 9016.69, 14.6856, 13.9256, 5265.66, 5248.356666666667, 5291.096666666667, 465.49, 455.44, 1.55, 1.6025, 1.4983, 4.375, 4.375, 92.76, 11.072000000000001, 11.155, 11.17, 11.035, 610.25, 620.75, 4.14, 4.14, 1976.57, 1975.29, 1982.79
2009-01-12, 1156.75, 2.81, 2.81, 1.344, 1.371, 1.3752, 1.3415, 266.18, 269.74, 263.31, 4448.5, 4534.8, 12.3155, 12.018, 11.91, 197.28, 5.625, 41582.94, 42525.21, 41181.49, 1.508, 1.508, 1.508, 1.508, 4783.89, 4891.58, 4743.97, 631.8328571428573, 621.5371428571427, 648.2157142857143, 655.7685714285714, 628.6342857142857, 3.133, 3.133, 3.133, 2810.25, 890.35, 888.31, 1.46, 1.46, 1909.35, 1875.16, 1811.58, 1820.77, 1617.05, 1617.26, 1569.87, 169.53, 3.47, 3.47, 2.3930000000000002, 2.3930000000000002, 1210.88, 1214.9, 1235.78, 1.18, 1.1793, 3.0189999999999997, 3.0189999999999997, 3.0189999999999997, 42173.0, 42310.0, 28.0528, 28.0944, 26.9312, 42.7, 21741.29, 22040.2, 8932.71, 8773.2, 5697.24, 5753.55, 5753.66, 5648.01, 8599.18, 8738.8, 8800.45, 8541.75, 116.9, 119.5, 113.75, 685.83, 948.06, 934.54, 0.9, 0.9049, 0.8835, 42.79, 2046.42, 2001.67, 1.0363, 481.3, 502.05, 598.83, 578.51, 572.69, 854.3, 9527.7, 9529.0, 9309.5, 1.5171, 1.5227, 1.5351, 1.5118, 410.75, 408.0, 418.25, 407.5, 20700.0, 20055.0, 1400.7, 1416.67, 3.863, 3.863, 3.863, 0.5952, 0.5946, 0.5952, 1542.4, 1545.11, 1.29, 1138.84, 1112.62, 1348.5, 1325.0, 685.99, 691.96, 676.52, 9085.18, 9237.83, 9053.16, 14.9822, 14.3846, 5209.1, 5206.983333333334, 5237.883333333333, 467.32, 458.9, 1.5372, 1.5467, 1.4388, 4.328, 4.328, 91.41, 11.295, 11.29, 11.295, 11.29, 613.75, 632.0, 4.12, 4.12, 1973.95, 1979.56, 1996.48
2009-01-13, 1167.71, 2.758, 2.758, 1.3371, 1.3474, 1.3476, 1.3287, 261.8, 266.8, 260.54, 4426.2, 4471.3, 12.245, 12.249, 12.099, 198.13, 5.6339999999999995, 39403.47, 41584.89, 39345.4, 1.486, 1.486, 1.486, 1.486, 4719.62, 4765.38, 4708.5, 629.96, 620.89, 653.28, 661.52, 633.23, 3.136, 3.136, 3.136, 2748.55, 870.26, 864.32, 1.565, 1.453, 1924.44, 1886.83, 1811.38, 1812.66, 1573.45, 1573.46, 1528.0, 171.55, 3.455, 3.455, 2.309, 2.309, 1215.12, 1208.79, 1227.62, 1.1874, 1.1873, 2.985, 2.985, 2.985, 39974.0, 41640.0, 27.86, 28.5191, 27.5321, 40.8, 21162.27, 21744.48, 8832.669999999998, 8589.35, 5591.79, 5657.1, 5666.82, 5588.18, 8473.97, 8599.26, 8653.97, 8391.85, 114.5, 118.85, 114.3, 667.97, 921.57, 915.16, 0.8894, 0.9033, 0.8859999999999999, 42.12, 2008.87, 1998.0, 1.0102, 468.8, 481.03, 584.93, 597.2, 579.22, 820.3, 9329.5, 9350.6, 9179.2, 1.483, 1.5138, 1.5149, 1.4814, 380.75, 411.0, 415.0, 380.75, 20204.0, 19856.0, 1406.78, 1411.23, 3.9189999999999996, 3.9189999999999996, 3.9189999999999996, 0.5722, 0.5884, 0.5893, 1532.25, 1555.06, 1.2625000000000002, 1151.15, 1107.74, 1354.55, 1352.95, 689.92, 699.79, 678.85, 8793.33, 8952.5, 8751.58, 15.2401, 14.7599, 5152.54, 5165.61, 5184.67, 460.82, 451.1, 1.4880000000000002, 1.507, 1.4402, 4.371, 4.371, 90.16, 10.725, 10.725, 10.725, 10.725, 629.75, 637.5, 4.113, 4.113, 1970.54, 1973.5, 1993.13
2009-01-14, 1182.68, 2.7239999999999998, 2.7239999999999998, 1.3196, 1.3361, 1.3375, 1.3142, 260.74, 262.06, 256.21, 4399.1, 4426.2, 12.171, 12.35, 11.962, 198.12, 5.567, 39544.23, 40322.58, 38623.25, 1.496, 1.496, 1.496, 1.496, 4636.94, 4704.51, 4596.49, 628.2, 610.77, 655.16, 662.38, 642.04, 3.2030000000000003, 3.2030000000000003, 3.2030000000000003, 2720.8, 871.79, 862.02, 1.415, 1.415, 1888.31, 1861.81, 1786.74, 1803.48, 1537.42, 1557.95, 1527.47, 172.89, 3.488, 3.488, 2.2969999999999997, 2.2969999999999997, 1210.77, 1211.39, 1241.04, 1.219, 1.2153, 2.998, 2.998, 2.998, 40267.0, 39600.0, 27.675, 28.4718, 27.4493, 39.5, 21047.3, 21285.59, 8732.63, 8405.5, 5534.33, 5568.36, 5568.36, 5452.02, 8448.56, 8474.61, 8584.68, 8325.59, 114.75, 116.85, 113.55, 656.62, 898.99, 889.33, 0.9025, 0.9129, 0.8982, 41.84, 1963.37, 1957.52, 0.9777, 473.79, 468.01, 583.62, 582.22, 578.72, 820.1, 9098.8, 9111.6, 8920.2, 1.4503, 1.4811, 1.4829, 1.4469999999999998, 362.5, 373.0, 379.25, 361.75, 19911.0, 19289.0, 1395.45, 1412.68, 3.9810000000000003, 3.9810000000000003, 3.9810000000000003, 0.5529999999999999, 0.5723, 0.5726, 1533.79, 1588.93, 1.235, 1137.68, 1096.26, 1354.0, 1371.9, 678.08, 682.7, 673.5, 8961.55, 8826.35, 8793.33, 15.472, 14.9888, 5079.7, 5152.54, 5152.54, 451.18, 433.81, 1.48, 1.5519999999999998, 1.4534, 4.394, 4.394, 89.49, 10.655, 10.71, 10.71, 10.71, 567.0, 590.0, 3.955, 3.955, 1963.02, 1973.31, 1975.53
2009-01-15, 1111.34, 2.5540000000000003, 2.5540000000000003, 1.3162, 1.319, 1.3336, 1.3092, 247.32, 263.01, 245.08, 4180.6, 4426.5, 12.1985, 11.928, 11.928, 198.1, 5.235, 37981.77, 39569.88, 37658.34, 1.442, 1.442, 1.442, 1.442, 4422.35, 4661.84, 4379.88, 625.0, 591.34, 610.36, 671.61, 610.28, 3.1289999999999996, 3.1289999999999996, 3.1289999999999996, 2748.4, 842.62, 836.93, 1.4669999999999999, 1.44, 1929.28, 1862.31, 1782.88, 1784.34, 1521.71, 1528.65, 1485.26, 171.81, 3.4330000000000003, 3.4330000000000003, 2.206, 2.206, 1211.63, 1209.33, 1214.78, 1.225, 1.2103, 2.937, 2.937, 2.937, 38730.0, 39950.0, 27.8372, 27.9693, 27.3921, 39.45, 20369.23, 21047.3, 8425.75, 8359.16, 5378.81, 5584.02, 5586.24, 5329.37, 8200.14, 8446.01, 8446.01, 8097.95, 114.65, 116.65, 114.35, 622.59, 892.22, 889.04, 0.9094, 0.9129, 0.8974, 43.74, 1972.38, 1934.3, 0.981, 453.17, 469.44, 572.27, 584.6, 568.68, 808.2, 9132.1, 9138.3, 8594.2, 1.4575, 1.4497, 1.471, 1.4486, 366.5, 364.75, 369.5, 358.75, 19652.0, 18562.0, 1406.51, 1416.06, 3.948, 3.948, 3.948, 0.5434, 0.5528, 0.5598, 1555.02, 1616.6950000000006, 1.245, 1114.15, 1082.83, 1354.0, 1342.9, 686.96, 688.62, 660.26, 8688.36, 8863.8, 8608.63, 15.2812, 14.9094, 4935.33, 5079.7, 5079.7, 442.65, 431.2, 1.5268, 1.5398, 1.419, 4.407, 4.407, 89.39, 10.452, 10.5, 10.56, 10.37, 574.75, 581.25, 3.99, 3.99, 1890.27, 1981.72, 1981.8
