@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_High numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute EUR_USD_Now numeric
@attribute EUR_USD_Open numeric
@attribute EUR_USD_High numeric
@attribute EUR_USD_Low numeric
@attribute AEX_Now numeric
@attribute AEX_Low numeric
@attribute IDR_KRW_Open numeric
@attribute IDR_KRW_High numeric
@attribute IDR_KRW_Low numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Open numeric
@attribute CNY_KRW_High numeric
@attribute CNY_KRW_Low numeric
@attribute GAS_Now numeric
@attribute GAS_High numeric
@attribute Brazil_Now numeric
@attribute Brazil_Open numeric
@attribute Brazil_High numeric
@attribute HONH_KONG_10_YEAR_Now numeric
@attribute HONH_KONG_10_YEAR_Open numeric
@attribute HONH_KONG_10_YEAR_High numeric
@attribute DAX_High numeric
@attribute DAX_Low numeric
@attribute RTSI_Now numeric
@attribute RTSI_Open numeric
@attribute RTSI_Low numeric
@attribute MOEX_Open numeric
@attribute MOEX_High numeric
@attribute MOEX_Low numeric
@attribute UK_10_YEAR_Now numeric
@attribute Nifty_Now numeric
@attribute Nifty_High numeric
@attribute Nifty_Low numeric
@attribute S&P_Now numeric
@attribute S&P_Open numeric
@attribute S&P_High numeric
@attribute Copper_High numeric
@attribute Copper_Low numeric
@attribute SANGHAI_Now numeric
@attribute SANGHAI_Open numeric
@attribute SANGHAI_Low numeric
@attribute EUR_KRW_Now numeric
@attribute EUR_KRW_Low numeric
@attribute NASDAQ_Open numeric
@attribute NASDAQ_High numeric
@attribute NASDAQ_Low numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_Open numeric
@attribute HKD_KRW_High numeric
@attribute HKD_KRW_Low numeric
@attribute FRANCE_10_YEAR_Now numeric
@attribute FRANCE_10_YEAR_High numeric
@attribute FRANCE_10_YEAR_Low numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_Open numeric
@attribute US_10_YEAR_Low numeric
@attribute CHF_KRW_Open numeric
@attribute CHF_KRW_High numeric
@attribute CHF_KRW_Low numeric
@attribute USD_CAD_Now numeric
@attribute USD_CAD_Low numeric
@attribute GERMANY_10_YEAR_Now numeric
@attribute iBovespa_Open numeric
@attribute iBovespa_High numeric
@attribute iBovespa_Low numeric
@attribute INR_KRW_Now numeric
@attribute INR_KRW_Open numeric
@attribute INR_KRW_High numeric
@attribute WTI_Now numeric
@attribute WTI_Open numeric
@attribute S&P_BMV_High numeric
@attribute S&P_BMV_Low numeric
@attribute NIKKEI_Now numeric
@attribute NIKKEI_High numeric
@attribute NIKKEI_Low numeric
@attribute SOUTH_KOREA_10_YEAR_Now numeric
@attribute SMI_Open numeric
@attribute SMI_High numeric
@attribute SMI_Low numeric
@attribute DOWJONES_Now numeric
@attribute DOWJONES_Open numeric
@attribute DOWJONES_High numeric
@attribute US_COFFEE_High numeric
@attribute US_COFFEE_Low numeric
@attribute OMXS_Now numeric
@attribute OMXS_High numeric
@attribute AUD_KRW_Now numeric
@attribute AUD_KRW_Open numeric
@attribute AUD_KRW_High numeric
@attribute AUD_KRW_Low numeric
@attribute EUR_GBP_Now numeric
@attribute EUR_GBP_Open numeric
@attribute EUR_GBP_High numeric
@attribute EUR_GBP_Low numeric
@attribute BRENT_OIL_Now numeric
@attribute GBP_KRW_Open numeric
@attribute GBP_KRW_Low numeric
@attribute AUD_SGD_Now numeric
@attribute AUD_SGD_Open numeric
@attribute AUD_SGD_Low numeric
@attribute Russell_Now numeric
@attribute Russell_Low numeric
@attribute BRL_KRW_Open numeric
@attribute BRL_KRW_High numeric
@attribute Gold_Now numeric
@attribute Gold_High numeric
@attribute IBEX_Now numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute GBP_USD_Now numeric
@attribute GBP_USD_Open numeric
@attribute GBP_USD_Low numeric
@attribute Corn_Now numeric
@attribute Corn_Open numeric
@attribute Corn_High numeric
@attribute Corn_Low numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute IDX_Open numeric
@attribute IDX_High numeric
@attribute IDX_Low numeric
@attribute SPAIN_10_YEAR_Low numeric
@attribute NZD_USD_Now numeric
@attribute NZD_USD_High numeric
@attribute NZD_USD_Low numeric
@attribute CSE_Now numeric
@attribute CSE_Open numeric
@attribute JAPAN_10_YEAR_Open numeric
@attribute JAPAN_10_YEAR_High numeric
@attribute CAD_KRW_Open numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_Open numeric
@attribute USD_KRW_High numeric
@attribute USD_KRW_Low numeric
@attribute TA_Now numeric
@attribute TA_Open numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_Low numeric
@attribute JPY_KRW_Now numeric
@attribute JPY_KRW_Low numeric
@attribute Tadawul_Now numeric
@attribute Tadawul_High numeric
@attribute Tadawul_Low numeric
@attribute SET_Low numeric
@attribute HEATING_OIL_Now numeric
@attribute HEATING_OIL_Open numeric
@attribute HEATING_OIL_High numeric
@attribute HEATING_OIL_Low numeric
@attribute ITALY_10_YEAR_Open numeric
@attribute ITALY_10_YEAR_High numeric
@attribute USD_JPY_Now numeric
@attribute USD_JPY_High numeric
@attribute USD_JPY_Low numeric
@attribute Silver_Open numeric
@attribute Silver_Low numeric
@attribute US_WHEAT_Now numeric
@attribute US_WHEAT_Open numeric
@attribute US_WHEAT_High numeric
@attribute AUS_10_YEAR_High numeric
@attribute AUS_10_YEAR_Low numeric
@attribute BEL_Now numeric
@attribute BEL_Open numeric

@data
2015-01-02, 1926.44, 1.848, 1.798, 1.2157, 1.2151, 1.2188, 1.2123, 421.59, 421.56, 8.828, 8.849, 8.788, 176.87, 176.64, 177.23, 176.21, 3.094, 3.178, 50007.41, 50601.0, 50841.24, 1.943, 1.9340000000000002, 1.943, 9886.78, 9805.55, 790.71, 774.43, 756.96, 1429.68, 1429.68, 1378.84, 1.794, 8248.25, 8268.25, 8220.55, 2080.35, 2088.49, 2088.49, 2.8739999999999997, 2.8369999999999997, 3165.81, 3160.8, 3130.35, 1333.58, 1330.52, 4793.61, 4803.89, 4772.88, 141.405, 141.69, 141.925, 141.02, 0.828, 0.851, 0.826, 2.1919999999999997, 2.202, 2.167, 1110.52, 1113.4, 1105.72, 1.1612, 1.1595, 0.54, 51260.0, 51520.0, 50280.0, 17.3056, 17.2642, 17.3408, 54.12, 53.72, 43340.56, 42872.17, 17450.77, 17713.76, 17450.77, 2.5980000000000003, 9015.8, 9037.53, 8973.07, 17983.07, 18035.02, 18035.02, 166.45, 164.5, 1464.55, 1476.33, 897.56, 893.73, 901.06, 891.86, 0.7814, 0.7829999999999999, 0.7846, 0.7807, 57.9, 1705.23, 1698.97, 1.0814, 1.0754, 1.0748, 1213.05, 1211.15, 406.64, 415.17, 1281.9, 1281.9, 10279.2, 10365.4, 10269.4, 1.5559, 1.5515, 1.55, 406.5, 411.75, 412.75, 406.0, 19183.36, 18993.91, 5177.94, 5226.95, 5175.64, 1.588, 0.7829, 0.7851, 0.7768, 7291.33, 7297.05, 0.315, 0.344, 944.74, 1096.92, 1100.3, 1101.11, 1094.89, 1452.42, 1454.4, 1449.33, 14663.24, 14601.79, 9.1808, 9.0985, 8486.58, 8855.35, 8462.82, 1486.3, 1.8688, 1.858, 1.8802, 1.8341, 1.9709999999999999, 1.9780000000000002, 119.48, 120.71, 118.84, 15.845, 15.805, 603.25, 614.75, 615.38, 2.94, 2.8689999999999998, 3276.41, 3305.2
2015-01-05, 1915.75, 1.818, 1.744, 1.2003, 1.2106, 1.2111, 1.2001, 422.28, 420.35, 8.811, 8.8885, 8.785, 178.36, 175.87, 178.41, 175.76, 3.003, 3.096, 48512.22, 50004.5, 50004.5, 1.976, 1.963, 1.9769999999999999, 9879.53, 9687.26, 776.005, 780.115, 750.595, 1412.17, 1434.27, 1384.73, 1.719, 8395.45, 8410.6, 8288.7, 2058.2, 2058.9, 2072.36, 2.842, 2.8369999999999997, 3258.165, 3209.715, 3192.115, 1328.58, 1319.22, 4760.24, 4777.01, 4698.11, 142.71, 140.79, 142.76, 140.65, 0.787, 0.8370000000000001, 0.779, 2.114, 2.2, 2.102, 1098.04, 1109.29, 1097.0, 1.1784, 1.1598, 0.498, 50500.0, 50500.0, 48800.0, 17.4911, 17.2306, 17.4965, 52.69, 53.76, 43325.43, 41989.65, 17429.739999999998, 17627.339999999997, 17334.995000000006, 2.662, 9009.31, 9054.19, 8955.96, 17832.99, 17823.07, 17951.78, 167.25, 160.2, 1463.78, 1472.61, 895.44, 892.92, 901.17, 890.65, 0.7831, 0.7785, 0.7835, 0.7742, 56.42, 1696.99, 1694.41, 1.077, 1.0821, 1.0748, 1198.8, 1186.45, 410.73, 416.36, 1267.7, 1265.0, 10350.8, 10440.3, 10232.3, 1.5328, 1.5585, 1.5328, 395.75, 396.25, 398.5, 391.5, 19246.76, 18919.65, 5233.8, 5247.94, 5230.75, 1.508, 0.7706, 0.7804, 0.7683, 7348.39, 7300.29, 0.322, 0.337, 939.61, 1106.92, 1092.73, 1107.27, 1092.03, 1454.9450000000006, 1457.21, 1452.495, 14637.34, 14631.35, 9.1856, 9.1014, 8296.69, 8606.14, 8282.735, 1484.585, 1.7957, 1.8533, 1.8777, 1.7871, 1.83, 1.83, 120.5, 120.75, 119.71, 15.79, 15.535, 581.13, 589.38, 589.38, 2.8819999999999997, 2.81, 3281.61, 3297.05
2015-01-06, 1882.45, 1.764, 1.689, 1.1934, 1.2003, 1.2008, 1.1883, 410.94, 410.49, 8.812000000000003, 8.8345, 8.742, 178.43, 178.15, 178.88, 177.87, 2.8819999999999997, 3.176, 47516.82, 48512.22, 48512.22, 1.889, 1.895, 1.895, 9790.27, 9468.58, 761.3, 785.8, 744.23, 1394.66, 1438.86, 1390.62, 1.6640000000000001, 8378.4, 8445.6, 8363.9, 2020.58, 2054.44, 2054.44, 2.8289999999999997, 2.7880000000000003, 3350.52, 3258.63, 3253.88, 1324.53, 1313.83, 4700.34, 4702.77, 4641.46, 143.105, 142.59, 143.445, 142.35, 0.794, 0.804, 0.777, 2.0340000000000003, 2.102, 2.0269999999999997, 1103.49, 1107.23, 1095.84, 1.1764, 1.1741, 0.513, 48925.0, 49005.0, 47750.0, 17.522000000000002, 17.4708, 17.578, 50.04, 52.61, 42147.96, 40824.93, 17408.71, 17540.92, 17219.22, 2.6289999999999996, 9002.82, 9070.85, 8938.85, 17501.65, 17821.3, 17821.3, 168.65, 160.1, 1454.81, 1467.69, 897.16, 893.14, 899.39, 890.16, 0.7826, 0.7828, 0.785, 0.7747, 53.11, 1695.49, 1682.21, 1.0793, 1.0748, 1.0726, 1181.37, 1176.05, 410.35, 412.9, 1283.5, 1283.5, 9993.3, 10390.8, 9977.8, 1.525, 1.5332, 1.52, 406.0, 395.75, 406.75, 394.5, 19190.24, 18188.44, 5229.68, 5233.66, 5206.28, 1.504, 0.7687, 0.7722, 0.7616, 7384.265, 7323.96, 0.32899999999999996, 0.33, 938.65, 1109.93, 1106.9, 1112.6, 1105.16, 1457.47, 1460.02, 1455.66, 14709.02, 14339.5, 9.2777, 9.1679, 8106.8, 8356.93, 8102.65, 1482.87, 1.7492, 1.7955, 1.7996, 1.7386, 1.767, 1.8159999999999998, 119.64, 120.64, 119.38, 16.179000000000002, 16.179000000000002, 588.63, 579.88, 597.38, 2.813, 2.7489999999999997, 3208.15, 3270.35
2015-01-07, 1883.83, 1.6869999999999998, 1.6019999999999999, 1.1889, 1.1933, 1.1969, 1.1884, 408.43, 406.3, 8.78, 8.7915, 8.655, 176.88, 178.25, 178.48, 176.35, 2.938, 2.955, 48000.92, 47517.14, 48061.28, 1.776, 1.806, 1.806, 9624.65, 9382.82, 746.48, 755.03, 723.21, 1435.39, 1481.3, 1430.69, 1.5819999999999999, 8127.35, 8327.85, 8111.35, 2002.61, 2022.15, 2030.25, 2.806, 2.792, 3351.45, 3330.8, 3303.18, 1306.6, 1304.77, 4666.85, 4667.33, 4567.6, 141.73, 142.97, 143.14, 141.32, 0.7440000000000001, 0.805, 0.7190000000000001, 1.9380000000000002, 2.037, 1.8869999999999998, 1100.89, 1103.15, 1086.33, 1.1836, 1.1729, 0.45299999999999996, 47900.0, 48800.0, 47565.0, 17.2867, 17.5048, 17.5262, 47.93, 50.0, 41456.62, 40723.66, 16883.19, 17111.36, 16881.73, 2.552, 8948.89, 8991.26, 8867.79, 17371.64, 17504.18, 17581.05, 175.4, 168.05, 1438.0749999999994, 1454.5, 888.54, 896.24, 899.74, 887.12, 0.7847, 0.7822, 0.7875, 0.7816, 51.1, 1690.9, 1662.58, 1.0779, 1.0789, 1.0764, 1161.32, 1152.05, 409.67, 410.21, 1292.2, 1292.2, 9871.1, 10060.8, 9871.1, 1.5151, 1.5249, 1.5141, 405.0, 405.5, 409.5, 402.25, 18523.74, 18041.32, 5186.2, 5194.8, 5169.06, 1.55, 0.7759999999999999, 0.7811, 0.7679, 7420.14, 7347.63, 0.318, 0.319, 942.57, 1099.0, 1109.93, 1110.2, 1096.75, 1458.66, 1450.98, 1449.94, 14368.11, 14161.98, 9.2817, 9.2148, 8057.43, 8106.8, 7770.17, 1459.22, 1.7262, 1.75, 1.7629, 1.7025, 1.851, 1.8530000000000002, 118.41, 119.64, 118.04, 16.602999999999998, 16.602999999999998, 592.13, 587.75, 603.5, 2.7430000000000003, 2.713, 3190.24, 3213.48
2015-01-08, 1904.65, 1.681, 1.629, 1.1839, 1.1892, 1.1898, 1.1803, 411.21, 408.6, 8.673, 8.705, 8.615, 176.84, 176.71, 177.72, 176.08, 2.8710000000000004, 3.012, 49462.91, 48006.05, 49882.26, 1.706, 1.689, 1.706, 9592.37, 9459.18, 779.25, 750.56, 733.99, 1458.755, 1523.03, 1456.405, 1.605, 8102.1, 8151.2, 8065.45, 2025.9, 2005.55, 2029.61, 2.8089999999999997, 2.79, 3373.95, 3326.65, 3312.21, 1300.8, 1298.81, 4626.84, 4652.72, 4613.9, 141.68, 141.6, 142.35, 141.1, 0.78, 0.7909999999999999, 0.723, 1.969, 1.944, 1.926, 1086.81, 1090.91, 1081.45, 1.1814, 1.1812, 0.47200000000000003, 49100.0, 50480.0, 49100.0, 17.3631, 17.2696, 17.4509, 48.65, 48.0, 41963.95, 41331.12, 16885.33, 16974.61, 16808.26, 2.562, 8881.03, 8945.58, 8862.13, 17584.52, 17374.78, 17597.08, 182.85, 173.0, 1421.34, 1441.31, 887.72, 887.62, 891.13, 882.28, 0.7835, 0.7846, 0.7856, 0.7811, 51.15, 1663.47, 1655.81, 1.0814, 1.0771, 1.075, 1175.97, 1164.45, 406.58, 412.34, 1283.6, 1283.6, 9891.4, 10051.2, 9836.4, 1.5111, 1.5151, 1.5055, 396.25, 404.75, 407.25, 395.75, 18478.11, 17991.76, 5175.55, 5207.38, 5174.8, 1.598, 0.7782, 0.7794, 0.7711, 7438.52, 7423.77, 0.28600000000000003, 0.304, 927.6, 1098.74, 1099.0, 1103.95, 1095.1, 1462.16, 1456.93, 1453.56, 14324.37, 14265.71, 9.2133, 9.2022, 8133.39, 8208.7, 7986.06, 1478.26, 1.6999, 1.702, 1.7256, 1.6715, 1.858, 1.933, 119.25, 119.64, 118.35, 16.48, 16.48, 579.13, 594.38, 594.38, 2.6839999999999997, 2.64, 3193.83, 3212.63
2015-01-09, 1924.7, 1.719, 1.652, 1.1793, 1.1839, 1.1848, 1.1753, 423.07, 415.44, 8.616, 8.6625, 8.597999999999999, 176.28, 176.68, 177.37, 176.01, 2.927, 2.968, 49943.3, 49463.15, 50260.72, 1.734, 1.739, 1.7409999999999999, 9855.43, 9607.9, 812.02, 746.09, 744.77, 1482.12, 1564.76, 1482.12, 1.6440000000000001, 8234.6, 8243.5, 8167.3, 2062.14, 2030.61, 2064.08, 2.8169999999999997, 2.787, 3293.46, 3371.96, 3285.1, 1291.88, 1287.18, 4689.54, 4741.38, 4688.02, 141.27, 141.55, 142.11, 141.05, 0.799, 0.805, 0.777, 2.0180000000000002, 1.976, 1.9680000000000002, 1082.05, 1086.15, 1071.71, 1.1831, 1.1793, 0.512, 50200.0, 50835.0, 49470.0, 17.4793, 17.3446, 17.5221, 48.79, 48.78, 42554.41, 41814.21, 17167.1, 17243.71, 17016.09, 2.559, 8981.59, 9152.06, 8981.59, 17907.87, 17591.97, 17916.04, 182.35, 174.3, 1456.72, 1458.17, 889.88, 886.64, 893.16, 885.58, 0.7815, 0.7834, 0.7857, 0.7802, 50.96, 1658.58, 1645.91, 1.0857, 1.0808, 1.0787, 1196.13, 1185.05, 408.99, 412.21, 1281.6, 1281.6, 10115.0, 10143.0, 9970.3, 1.5088, 1.5109, 1.5034, 394.25, 396.5, 398.75, 392.75, 18857.66, 18247.95, 5218.4, 5230.18, 5208.99, 1.6640000000000001, 0.7825, 0.7832, 0.7759999999999999, 7497.6, 7441.58, 0.301, 0.309, 928.95, 1095.51, 1098.74, 1102.0, 1094.89, 1469.58, 1463.98, 1463.98, 14368.58, 14368.58, 9.1552, 9.1262, 8284.89, 8335.34, 8133.39, 1514.18, 1.711, 1.6969999999999998, 1.7195, 1.6766, 1.903, 1.929, 119.66, 119.97, 119.13, 16.351, 16.351, 567.38, 580.5, 580.5, 2.75, 2.6860000000000004, 3283.22, 3235.79
2015-01-12, 1920.95, 1.722, 1.651, 1.1841, 1.1793, 1.1848, 1.1763, 415.59, 412.76, 8.628, 8.6645, 8.57, 174.88, 176.11, 176.54, 174.64, 2.946, 2.99, 48840.25, 49954.7, 49954.7, 1.7209999999999999, 1.755, 1.755, 9860.18, 9601.75, 782.62, 810.07, 765.94, 1547.61, 1557.83, 1496.18, 1.588, 8284.5, 8303.3, 8190.8, 2044.81, 2063.45, 2064.43, 2.8080000000000003, 2.7880000000000003, 3285.41, 3276.97, 3267.51, 1285.78, 1282.39, 4744.47, 4744.71, 4681.24, 140.055, 141.14, 141.475, 139.85, 0.7809999999999999, 0.8, 0.779, 1.95, 2.0180000000000002, 1.943, 1074.63, 1077.19, 1067.73, 1.1867, 1.1803, 0.48200000000000004, 50205.0, 50250.0, 48955.0, 17.4136, 17.4619, 17.5484, 48.36, 48.92, 42504.41, 41940.49, 17197.73, 17342.65, 17129.53, 2.539, 9116.49, 9182.23, 9075.95, 17737.37, 17911.02, 17915.32, 183.85, 177.75, 1444.46, 1460.99, 890.86, 888.96, 894.27, 883.98, 0.7811, 0.7814, 0.7828, 0.7781, 50.11, 1651.29, 1642.06, 1.094, 1.0854, 1.0826, 1185.67, 1181.85, 410.85, 415.14, 1287.4, 1287.4, 9719.0, 10080.0, 9610.1, 1.516, 1.509, 1.5076, 400.25, 394.75, 401.5, 393.0, 18849.2, 18052.81, 5226.89, 5240.24, 5212.28, 1.666, 0.7839, 0.7853, 0.7788, 7605.79, 7521.67, 0.292, 0.303, 925.04, 1085.82, 1095.51, 1097.1, 1085.32, 1466.3049999999994, 1465.1, 1461.525, 14484.62, 14325.15, 9.1608, 9.1014, 8360.8, 8416.869999999999, 8261.185, 1522.75, 1.703, 1.7088, 1.7347, 1.6753, 1.848, 1.9, 118.53, 119.91, 118.4, 16.386, 16.386, 562.38, 568.0, 573.88, 2.748, 2.72, 3248.19, 3274.53
2015-01-13, 1917.14, 1.6769999999999998, 1.601, 1.1834, 1.1838, 1.1871, 1.1786, 418.41, 413.63, 8.568, 8.6615, 8.535, 174.55, 174.6, 175.56, 173.92, 2.795, 2.9339999999999997, 48139.74, 48839.73, 48839.73, 1.645, 1.6669999999999998, 1.6669999999999998, 9815.96, 9622.32, 756.63, 776.45, 748.92, 1515.23, 1534.49, 1503.6, 1.577, 8323.0, 8332.6, 8245.6, 2028.26, 2046.13, 2049.3, 2.793, 2.745, 3229.32, 3258.21, 3191.58, 1281.18, 1277.58, 4714.07, 4715.81, 4650.65, 139.65, 139.91, 140.34, 139.27, 0.758, 0.792, 0.746, 1.909, 1.964, 1.902, 1069.53, 1073.87, 1063.58, 1.1974, 1.1835, 0.48, 49480.0, 49555.0, 48360.0, 17.4421, 17.3833, 17.4815, 46.07, 48.19, 42408.65, 41773.38, 17142.72, 17215.18, 16978.9, 2.447, 9148.99, 9200.63, 9103.31, 17640.84, 17742.05, 17793.88, 184.9, 175.3, 1453.64, 1460.11, 883.17, 889.66, 895.29, 881.25, 0.7799, 0.7808, 0.7832, 0.7783, 47.43, 1647.08, 1634.78, 1.0884, 1.0934, 1.0863, 1180.07, 1171.55, 412.43, 413.7, 1303.2, 1303.2, 9797.5, 9882.1, 9682.1, 1.5171, 1.5184, 1.5097, 402.0, 399.0, 407.0, 390.0, 18429.68, 18031.76, 5202.75, 5220.25, 5183.21, 1.6219999999999999, 0.7782, 0.7865, 0.7735, 7566.7, 7618.62, 0.28300000000000003, 0.2885, 914.3, 1082.72, 1085.11, 1088.1, 1080.9, 1463.03, 1466.22, 1459.07, 14378.32, 14122.38, 9.1485, 9.0812, 8436.71, 8498.4, 8388.98, 1522.17, 1.6541, 1.7033, 1.7095, 1.6471, 1.876, 1.886, 118.35, 119.34, 118.08, 16.535, 16.535, 555.25, 564.0, 566.38, 2.7310000000000003, 2.681, 3257.98, 3259.46
2015-01-14, 1913.66, 1.641, 1.584, 1.1772, 1.1833, 1.186, 1.1753, 423.79, 414.82, 8.585, 8.6255, 8.542, 174.06, 174.37, 175.17, 173.56, 2.943, 2.971, 48041.67, 48144.29, 48939.41, 1.56, 1.5959999999999999, 1.5959999999999999, 9978.94, 9755.02, 737.88, 755.23, 724.64, 1513.21, 1543.58, 1499.57, 1.5930000000000002, 8299.4, 8356.65, 8267.9, 2023.03, 2031.58, 2056.93, 2.76, 2.635, 3235.3, 3223.54, 3214.41, 1269.99, 1267.03, 4708.74, 4751.34, 4624.28, 139.145, 139.51, 140.155, 138.82, 0.741, 0.754, 0.7170000000000001, 1.905, 1.905, 1.864, 1065.84, 1070.07, 1054.92, 1.1957, 1.1924, 0.47700000000000004, 48690.0, 49350.0, 48335.0, 17.4053, 17.4232, 17.5046, 45.89, 45.69, 42211.09, 41313.35, 17087.71, 17087.71, 16828.27, 2.428, 9130.58, 9292.44, 9120.82, 17613.68, 17645.02, 17923.01, 178.9, 173.85, 1465.66, 1468.85, 880.93, 882.25, 886.82, 877.35, 0.7766, 0.7798, 0.7831, 0.7753, 46.59, 1640.97, 1631.59, 1.089, 1.088, 1.0852, 1180.63, 1166.85, 404.59, 411.26, 1304.5, 1304.5, 9966.0, 9996.1, 9757.3, 1.5159, 1.517, 1.5075, 385.75, 402.0, 406.5, 384.5, 18790.39, 18229.34, 5199.94, 5217.22, 5197.09, 1.5930000000000002, 0.7738, 0.7802, 0.7709, 7549.85, 7569.13, 0.27399999999999997, 0.27399999999999997, 903.16, 1078.78, 1082.72, 1086.6, 1077.42, 1474.83, 1463.5, 1461.21, 14285.13, 14074.95, 9.1477, 9.1037, 8491.68, 8503.49, 8268.5, 1515.08, 1.633, 1.6513, 1.656, 1.6031, 1.791, 1.8, 117.93, 118.85, 117.53, 17.0, 17.0, 547.75, 556.13, 566.63, 2.658, 2.623, 3309.64, 3252.71
2015-01-15, 1914.14, 1.5959999999999999, 1.514, 1.1789, 1.1772, 1.1846, 1.1726, 418.33, 416.87, 8.554, 8.6125, 8.538, 174.77, 173.89, 175.33, 173.57, 3.233, 3.3369999999999997, 47645.87, 48037.63, 48280.82, 1.5419999999999998, 1.574, 1.575, 9962.98, 9768.1, 743.06, 738.15, 723.98, 1531.65, 1559.99, 1524.82, 1.5190000000000001, 8277.55, 8326.45, 8236.65, 2011.27, 2018.4, 2018.4, 2.648, 2.499, 3222.44, 3242.34, 3193.98, 1276.62, 1266.32, 4610.76, 4655.37, 4595.98, 139.645, 139.01, 140.105, 138.74, 0.657, 0.7290000000000001, 0.6559999999999999, 1.855, 1.9, 1.784, 1056.34, 1068.74, 1054.29, 1.1951, 1.1925, 0.4320000000000001, 48145.0, 48755.0, 47695.0, 17.4386, 17.3864, 17.4764, 48.48, 46.16, 41479.78, 40907.48, 16795.96, 17036.72, 16770.56, 2.367, 9200.88, 9281.82, 9174.8, 17427.09, 17609.06, 17609.06, 184.8, 177.6, 1434.79, 1459.68, 882.58, 880.01, 886.61, 871.62, 0.774, 0.7764, 0.7782, 0.773, 48.69, 1633.7, 1631.67, 1.0875, 1.0884, 1.0773, 1177.06, 1163.35, 407.71, 415.73, 1294.5, 1294.5, 9846.0, 10013.8, 9778.9, 1.5232, 1.516, 1.5143, 381.0, 386.0, 386.25, 376.0, 18849.02, 18400.66, 5217.2, 5225.02, 5159.67, 1.538, 0.7715, 0.7781, 0.7688, 7537.853333333333, 7551.68, 0.26899999999999996, 0.27, 901.23, 1082.85, 1078.78, 1086.32, 1076.76, 1465.44, 1467.63, 1462.5, 14119.75, 13892.57, 9.2287, 9.133, 8551.93, 8569.54, 8490.93, 1521.81, 1.6552, 1.6230000000000002, 1.6646, 1.589, 1.815, 1.817, 117.33, 117.97, 116.05, 16.9, 16.9, 538.13, 548.5, 549.63, 2.665, 2.613, 3274.03, 3281.95
