@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Now numeric
@attribute CANADA_10_YEAR_Open numeric
@attribute CANADA_10_YEAR_High numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute EUR_USD_Open numeric
@attribute AEX_Now numeric
@attribute AEX_Open numeric
@attribute FTSE_High_x numeric
@attribute IDR_KRW_Open numeric
@attribute IDR_KRW_High numeric
@attribute IDR_KRW_Low numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Open numeric
@attribute CNY_KRW_Low numeric
@attribute GAS_Now numeric
@attribute GAS_Low numeric
@attribute Brazil_Now numeric
@attribute Brazil_High numeric
@attribute HONH_KONG_10_YEAR_Open numeric
@attribute HONH_KONG_10_YEAR_High numeric
@attribute DAX_Open numeric
@attribute RTSI_Now numeric
@attribute RTSI_High numeric
@attribute RTSI_Low numeric
@attribute UK_10_YEAR_Now numeric
@attribute UK_10_YEAR_Open numeric
@attribute UK_10_YEAR_Low numeric
@attribute Nifty_High numeric
@attribute S&P_High numeric
@attribute SANGHAI_Now numeric
@attribute SANGHAI_Open numeric
@attribute NASDAQ_Low numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_High numeric
@attribute FRANCE_10_YEAR_Now numeric
@attribute CHF_KRW_Open numeric
@attribute CHF_KRW_High numeric
@attribute CHF_KRW_Low numeric
@attribute USD_CAD_Open numeric
@attribute USD_CAD_High numeric
@attribute GERMANY_10_YEAR_Now numeric
@attribute GERMANY_10_YEAR_Open numeric
@attribute GERMANY_10_YEAR_High numeric
@attribute GERMANY_10_YEAR_Low numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_Open numeric
@attribute iBovespa_High numeric
@attribute INR_KRW_Now numeric
@attribute WTI_Now numeric
@attribute WTI_Open numeric
@attribute WTI_Low numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_Open numeric
@attribute NIKKEI_High numeric
@attribute NIKKEI_Low numeric
@attribute SMI_Now numeric
@attribute DOWJONES_Now numeric
@attribute DOWJONES_Open numeric
@attribute US_COFFEE_Open numeric
@attribute OMXS_Open numeric
@attribute OMXS_High numeric
@attribute OMXS_Low numeric
@attribute AUD_KRW_Low numeric
@attribute EUR_GBP_Now numeric
@attribute EUR_GBP_High numeric
@attribute BRENT_OIL_Open numeric
@attribute BRENT_OIL_High numeric
@attribute BRENT_OIL_Low numeric
@attribute GBP_KRW_Now numeric
@attribute GBP_KRW_High numeric
@attribute GBP_KRW_Low numeric
@attribute AUD_SGD_Low numeric
@attribute Russell_Now numeric
@attribute Russell_High numeric
@attribute BRL_KRW_High numeric
@attribute Gold_Now numeric
@attribute Gold_High numeric
@attribute IBEX_Now numeric
@attribute IBEX_Open numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute GBP_USD_Open numeric
@attribute GBP_USD_High numeric
@attribute GBP_USD_Low numeric
@attribute Corn_Open numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute IDX_Now numeric
@attribute IDX_Open numeric
@attribute IDX_High numeric
@attribute IDX_Low numeric
@attribute SPAIN_10_YEAR_Now numeric
@attribute SPAIN_10_YEAR_Open numeric
@attribute SPAIN_10_YEAR_High numeric
@attribute SPAIN_10_YEAR_Low numeric
@attribute NZD_USD_Now numeric
@attribute NZD_USD_Open numeric
@attribute NZD_USD_High numeric
@attribute NZD_USD_Low numeric
@attribute CSE_Now numeric
@attribute CSE_Open numeric
@attribute CSE_High numeric
@attribute CSE_Low numeric
@attribute JAPAN_10_YEAR_Now numeric
@attribute JAPAN_10_YEAR_Open numeric
@attribute JAPAN_10_YEAR_High numeric
@attribute JAPAN_10_YEAR_Low numeric
@attribute CAD_KRW_Now numeric
@attribute CAD_KRW_Open numeric
@attribute CAD_KRW_High numeric
@attribute CAD_KRW_Low numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_Open numeric
@attribute USD_KRW_High numeric
@attribute USD_KRW_Low numeric
@attribute TA_Now numeric
@attribute TA_Open numeric
@attribute TA_High numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute JPY_KRW_Now numeric
@attribute JPY_KRW_Open numeric
@attribute JPY_KRW_High numeric
@attribute JPY_KRW_Low numeric
@attribute Tadawul_Now numeric
@attribute Tadawul_Open numeric
@attribute Tadawul_High numeric
@attribute Tadawul_Low numeric
@attribute SET_Now numeric
@attribute SET_Open numeric
@attribute SET_High numeric
@attribute SET_Low numeric
@attribute HEATING_OIL_Now numeric
@attribute HEATING_OIL_Open numeric
@attribute HEATING_OIL_High numeric
@attribute HEATING_OIL_Low numeric
@attribute ITALY_10_YEAR_Now numeric
@attribute ITALY_10_YEAR_Open numeric
@attribute ITALY_10_YEAR_High numeric
@attribute ITALY_10_YEAR_Low numeric
@attribute USD_JPY_Now numeric
@attribute USD_JPY_Open numeric
@attribute USD_JPY_High numeric
@attribute USD_JPY_Low numeric
@attribute Silver_Now numeric
@attribute Silver_Open numeric
@attribute Silver_High numeric
@attribute Silver_Low numeric
@attribute US_WHEAT_Now numeric
@attribute US_WHEAT_Open numeric
@attribute US_WHEAT_High numeric
@attribute US_WHEAT_Low numeric
@attribute AUS_10_YEAR_Now numeric
@attribute AUS_10_YEAR_Open numeric
@attribute AUS_10_YEAR_High numeric
@attribute AUS_10_YEAR_Low numeric
@attribute BEL_Now numeric
@attribute BEL_Open numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2013-01-02, 2031.1, 1.77, 1.788, 1.795, 1.765, 1.3236, 342.0, 345.37, 5975.97, 11.086, 11.128, 10.982, 171.32, 171.9, 171.17, 3.469, 3.36, 60952.08, 61066.34, 0.6659999999999999, 0.6659999999999999, 7649.89, 1526.98, 1537.44, 1520.79, 1.817, 1.828, 1.765, 5915.75, 1418.1, 2233.25, 2207.91, 2959.37, 137.725, 138.675, 1.992, 1173.52, 1178.88, 1161.99, 0.9951, 0.9972, 1.306, 1.324, 1.3259999999999998, 1.2919999999999998, 61287.0, 61000.0, 61465.0, 19.4967, 90.8, 91.15, 90.32, 43721.93, 43487.21, 10433.63, 10374.85, 6822.44, 12938.11, 13095.08, 147.05, 1111.17, 1114.0, 1104.69, 1105.66, 0.8177, 0.8226, 111.24, 111.38, 109.83, 1726.32, 1729.05, 1715.78, 1.2662, 832.1, 838.36, 526.25, 1654.9, 1664.0, 8131.0, 8276.6, 8308.7, 8103.9, 1.6099, 1.6172, 1.6079, 691.75, 16449.75, 16484.81, 16273.38, 4316.69, 4298.93, 4324.93, 4289.4, 5.269, 5.313, 5.325, 5.267, 0.8198, 0.8206, 0.8227, 0.8179, 5607.13, 5570.2, 5607.13, 5565.85, 0.802, 0.799, 0.809, 0.799, 1071.49, 1077.07, 1084.49, 1070.13, 1067.64, 1072.51, 1072.51, 1067.24, 1202.715, 1192.17, 1205.9499999999996, 1191.435, 12316.12, 12316.99, 12371.22, 12304.98, 12.4073, 12.4493, 12.6681, 12.3578, 6915.776666666668, 6861.556666666666, 6916.74, 6848.863333333334, 1391.93, 1401.91, 1402.86, 1391.85, 3.0448, 3.0799, 3.083, 3.0334, 4.508, 4.57, 4.582, 4.503, 86.02, 86.09, 86.63, 85.92, 29.92, 30.2, 30.2, 29.93, 778.38, 777.0, 784.38, 767.13, 3.338, 3.313, 3.36, 3.313, 2466.27, 2487.87, 2489.68, 2463.22
2013-01-03, 2019.41, 1.87, 1.8230000000000002, 1.909, 1.798, 1.3205, 350.21, 348.53, 6044.57, 11.050999999999998, 11.062, 10.96, 170.7, 171.08, 170.63, 3.233, 3.05, 62550.1, 62886.96, 0.672, 0.74, 7689.46, 1536.8039999999999, 1546.422, 1522.0279999999998, 1.989, 1.8940000000000001, 1.8940000000000001, 6006.05, 1462.43, 2247.83, 2235.11, 3083.49, 137.21, 137.59, 2.082, 1160.87, 1172.87, 1155.51, 0.993, 0.9944, 1.442, 1.3719999999999999, 1.4509999999999998, 1.371, 63061.0, 63000.0, 63330.0, 19.6073, 93.12, 91.78, 91.56, 44304.17, 43703.98, 10533.83, 10450.646666666667, 6921.45, 13412.55, 13104.3, 145.0, 1122.46, 1129.96, 1116.62, 1102.79, 0.8113, 0.8155, 111.5, 112.9, 111.27, 1728.61, 1744.08, 1724.99, 1.2666, 873.42, 873.99, 523.39, 1687.9, 1693.8, 8447.6, 8337.9, 8447.6, 8286.7, 1.6248, 1.6381, 1.6224, 706.25, 16583.43, 16893.39, 16573.07, 4346.48, 4322.58, 4364.66, 4316.42, 5.04, 5.22, 5.22, 5.029, 0.8341, 0.8274, 0.8394, 0.826, 5683.79, 5642.87, 5684.26, 5632.97, 0.8123333333333334, 0.7983333333333333, 0.8186666666666667, 0.7983333333333333, 1079.47, 1070.2, 1081.24, 1068.8, 1063.5, 1066.1, 1066.4, 1063.3, 1221.31, 1218.6, 1223.53, 1217.13, 12540.77, 12571.76, 12588.75, 12439.25, 12.1898, 12.2649, 12.2907, 12.1701, 6940.31, 6860.01, 6941.21, 6860.01, 1407.45, 1401.39, 1411.58, 1400.95, 3.0463, 3.0329, 3.0702, 3.0325, 4.276, 4.437, 4.448, 4.268, 87.34, 86.67, 87.34, 86.51, 30.951999999999998, 30.63, 31.335, 30.585, 758.88, 786.88, 787.38, 752.63, 3.408, 3.322, 3.418, 3.322, 2515.27, 2508.17, 2518.57, 2502.72
2013-01-04, 2011.94, 1.926, 1.867, 1.935, 1.86, 1.3187, 350.74, 350.43, 6051.3, 11.013, 11.04, 10.963, 170.65, 170.66, 170.28, 3.198, 3.1639999999999997, 63312.46, 63472.55, 0.762, 0.772, 7762.13, 1546.628, 1555.404, 1523.266, 2.059, 1.986, 1.979, 6017.0, 1465.47, 2262.41, 2262.31, 3092.28, 137.175, 137.375, 2.123, 1158.28, 1160.25, 1146.41, 0.9849, 0.9885, 1.474, 1.446, 1.484, 1.429, 63607.0, 62995.0, 63875.0, 19.5172, 92.92, 92.91, 92.49, 44370.64, 44304.21, 10634.03, 10526.443333333333, 7020.46, 13391.36, 13413.01, 148.6, 1127.61, 1130.89, 1126.1, 1111.42, 0.8105, 0.8123, 112.2, 112.42, 111.63, 1711.86, 1730.37, 1710.18, 1.2792, 872.6, 878.43, 522.84, 1673.7, 1686.8, 8403.4, 8375.0, 8422.6, 8334.3, 1.6256, 1.6257, 1.609, 690.75, 16866.61, 16915.36, 16781.97, 4399.26, 4356.41, 4401.33, 4356.41, 5.0310000000000015, 5.044, 5.069, 5.019, 0.828, 0.8338, 0.8353, 0.8269, 5730.45, 5685.07, 5739.21, 5683.79, 0.8226666666666667, 0.7976666666666667, 0.8283333333333334, 0.7976666666666667, 1076.06, 1078.4, 1080.62, 1075.1, 1063.2, 1063.55, 1064.85, 1061.15, 1210.62, 1216.79, 1217.45, 1207.13, 12470.44, 12539.14, 12540.58, 12430.41, 12.1864, 12.1826, 12.2507, 12.1523, 6965.173333333332, 6908.243333333334, 6966.71, 6898.993333333334, 1408.41, 1411.56, 1415.81, 1404.99, 3.0251, 3.042, 3.0429, 3.006, 4.249, 4.29, 4.3260000000000005, 4.223, 87.23, 87.32, 87.36, 86.74, 30.671, 30.775, 31.0, 30.455, 754.25, 758.75, 761.13, 750.25, 3.388, 3.4219999999999997, 3.447, 3.3819999999999997, 2516.85, 2511.23, 2519.45, 2507.39
2013-01-07, 2011.25, 1.9369999999999998, 1.9340000000000002, 1.9880000000000002, 1.9269999999999998, 1.3048, 351.73, 349.98, 6089.84, 10.998, 11.027, 10.979, 170.51, 170.6, 170.45, 3.287, 3.193, 62523.06, 63314.22, 0.858, 0.858, 7740.99, 1556.4520000000002, 1564.386, 1524.504, 2.128, 2.103, 2.084, 6020.75, 1467.94, 2276.99, 2289.51, 3090.81, 137.075, 137.425, 2.146, 1146.9, 1151.02, 1143.13, 0.9879, 0.9924, 1.545, 1.505, 1.564, 1.4880000000000002, 62792.0, 63510.0, 63570.0, 19.3373, 93.09, 92.86, 91.52, 44562.33, 44374.97, 10734.23, 10602.24, 7058.92, 13435.21, 13391.05, 145.4, 1128.87, 1136.77, 1126.38, 1105.5, 0.8135, 0.8145, 111.72, 111.78, 110.38, 1707.05, 1713.56, 1702.17, 1.2778, 879.15, 880.47, 522.95, 1648.1, 1658.3, 8435.8, 8411.7, 8447.0, 8386.7, 1.6105, 1.6109, 1.6008, 688.0, 16897.97, 16970.16, 16795.66, 4410.02, 4406.93, 4418.48, 4389.72, 5.058, 5.022, 5.0680000000000005, 5.012, 0.8317, 0.828, 0.8323, 0.8211, 5747.71, 5731.72, 5747.71, 5726.31, 0.833, 0.797, 0.838, 0.797, 1076.43, 1075.86, 1079.47, 1071.73, 1062.39, 1063.2, 1065.25, 1062.25, 1208.6999999999996, 1215.345, 1215.955, 1206.27, 12540.81, 12435.12, 12540.81, 12442.84, 12.0486, 12.1884, 12.1933, 12.0149, 6990.036666666668, 6956.4766666666665, 6992.21, 6937.9766666666665, 1416.66, 1405.48, 1416.67, 1399.97, 3.0177, 3.0225, 3.0241, 2.9809, 4.2669999999999995, 4.242, 4.29, 4.242, 88.15, 87.21, 88.4, 87.21, 29.896, 29.435, 30.21, 29.21, 748.88, 754.38, 757.63, 739.88, 3.45, 3.4730000000000003, 3.483, 3.432, 2516.32, 2513.01, 2516.32, 2495.16
2013-01-08, 1997.94, 1.942, 1.926, 1.9669999999999999, 1.922, 1.3072, 351.24, 351.75, 6091.5, 10.99, 11.028, 10.853, 170.68, 170.47, 170.16, 3.266, 3.238, 61932.54, 62698.87, 0.804, 0.81, 7760.01, 1566.2759999999994, 1573.368, 1525.7420000000006, 2.093, 2.102, 2.079, 6042.15, 1466.47, 2285.36, 2271.66, 3083.88, 137.14, 137.42, 2.113, 1149.13, 1154.41, 1144.53, 0.9867, 0.9888, 1.517, 1.5330000000000001, 1.544, 1.508, 62198.0, 62610.0, 62955.0, 19.2513, 93.19, 93.21, 92.42, 44625.93, 44572.67, 10743.69, 10589.7, 7049.3, 13384.29, 13436.13, 147.35, 1136.91, 1137.37, 1130.13, 1111.51, 0.8138, 0.8155, 111.42, 111.69, 110.54, 1713.07, 1713.38, 1700.88, 1.2844, 875.8, 879.15, 525.3, 1645.5, 1659.9, 8419.0, 8434.3, 8485.6, 8406.3, 1.6074, 1.6119, 1.6021, 680.5, 16992.99, 17103.12, 16873.44, 4392.38, 4407.73, 4427.65, 4387.49, 5.099, 5.074, 5.105, 5.066, 0.8371, 0.8307, 0.8376, 0.8284, 5746.09, 5750.87, 5767.24, 5731.27, 0.8340000000000001, 0.8420000000000001, 0.848, 0.8320000000000001, 1078.33, 1076.35, 1079.24, 1073.79, 1063.21, 1062.39, 1065.05, 1060.45, 1206.78, 1213.9, 1214.46, 1205.41, 12499.55, 12503.24, 12540.81, 12448.21, 12.1059, 12.052, 12.142, 12.0152, 7014.9, 7004.71, 7017.71, 6976.96, 1415.32, 1423.27, 1425.26, 1415.32, 3.0321, 3.0185, 3.0455, 3.0086, 4.3469999999999995, 4.283, 4.349, 4.265, 87.78, 88.17, 88.37, 87.6, 30.031999999999996, 30.395, 30.395, 29.91, 752.25, 748.13, 760.25, 743.63, 3.4530000000000003, 3.48, 3.483, 3.443, 2503.12, 2517.6, 2518.2, 2500.71
2013-01-09, 1991.81, 1.909, 1.935, 1.949, 1.902, 1.3116, 349.11, 350.08, 6088.18, 10.987, 11.0075, 10.853, 170.97, 170.63, 170.52, 3.218, 3.201, 61127.84, 62264.99, 0.821, 0.831, 7710.7, 1576.1, 1582.35, 1526.98, 2.03, 2.083, 2.015, 6007.05, 1461.89, 2276.07, 2284.65, 3076.6, 137.295, 137.325, 2.1069999999999998, 1153.64, 1155.4, 1147.47, 0.9861, 0.9885, 1.489, 1.5030000000000001, 1.5219999999999998, 1.482, 61363.0, 62210.0, 62530.0, 19.3605, 93.15, 93.32, 92.67, 44571.2, 44631.93, 10602.12, 10463.43, 7074.52, 13328.85, 13377.42, 149.3, 1128.63, 1133.28, 1124.32, 1112.44, 0.8149, 0.8162, 111.42, 112.47, 111.12, 1708.6, 1714.9, 1702.33, 1.2865, 874.7, 876.32, 525.84, 1661.5, 1659.5, 8453.0, 8388.2, 8493.5, 8374.7, 1.6116, 1.6130000000000002, 1.6029, 685.5, 16850.59, 17082.0, 16815.41, 4397.55, 4394.76, 4413.94, 4381.65, 5.075, 5.119, 5.122999999999998, 5.063, 0.8366, 0.8370000000000001, 0.8381, 0.8333, 5751.93, 5746.28, 5752.66, 5719.68, 0.835, 0.84, 0.845, 0.83, 1078.55, 1078.05, 1079.72, 1074.35, 1064.15, 1063.16, 1064.35, 1062.3, 1203.97, 1202.62, 1209.36, 1201.29, 12504.81, 12490.37, 12504.81, 12456.0, 12.2155, 12.1066, 12.2239, 12.0997, 7053.29, 7014.9, 7055.94, 7007.37, 1417.33, 1415.08, 1421.62, 1408.08, 3.0585, 3.0401, 3.0752, 3.0323, 4.288, 4.3610000000000015, 4.3610000000000015, 4.275, 87.05, 87.75, 87.82, 86.88, 30.415, 30.255, 30.39, 30.125, 750.88, 752.13, 759.13, 749.63, 3.432, 3.443, 3.443, 3.4219999999999997, 2497.62, 2497.35, 2508.89, 2492.75
2013-01-10, 2006.8, 1.9069999999999998, 1.9180000000000001, 1.9340000000000002, 1.891, 1.3081, 350.0, 350.53, 6112.27, 10.991, 11.0045, 10.88, 170.32, 170.93, 170.22, 3.113, 3.0869999999999997, 61578.58, 61811.77, 0.81, 0.88, 7713.57, 1568.59, 1578.31, 1564.09, 2.028, 2.045, 2.005, 6020.1, 1464.73, 2275.34, 2271.3, 3096.34, 136.79, 137.3, 2.1069999999999998, 1150.96, 1152.3, 1142.79, 0.9867, 0.9881, 1.4809999999999999, 1.505, 1.5130000000000001, 1.462, 61744.0, 61435.0, 62110.0, 19.3424, 93.1, 93.15, 92.68, 44862.54, 44576.86, 10620.7, 10398.61, 7151.6, 13390.51, 13329.92, 146.6, 1126.43, 1128.66, 1118.98, 1112.52, 0.8152, 0.8165, 111.9, 112.23, 111.11, 1699.9, 1709.34, 1695.02, 1.2873, 879.51, 879.54, 521.25, 1654.8, 1662.1, 8606.4, 8491.8, 8614.2, 8485.4, 1.6054, 1.6077, 1.5991, 688.0, 17038.97, 17326.27, 17035.13, 4362.93, 4404.34, 4411.77, 4349.79, 5.127999999999999, 5.07, 5.159, 5.059, 0.8397, 0.8363, 0.8409, 0.8347, 5745.1, 5753.25, 5757.11, 5742.11, 0.831, 0.8220000000000001, 0.8340000000000001, 0.8140000000000001, 1073.71, 1078.29, 1079.21, 1072.91, 1060.65, 1064.3, 1064.3, 1060.2, 1210.26, 1206.25, 1210.26, 1204.96, 12522.24, 12508.13, 12528.86, 12484.8, 12.0842, 12.2251, 12.2575, 12.0434, 7126.71, 7053.29, 7136.64, 7052.78, 1423.46, 1422.83, 1428.98, 1421.63, 3.0699, 3.0591, 3.0753, 3.0472, 4.274, 4.275, 4.3260000000000005, 4.261, 87.88, 87.03, 88.01, 86.81, 30.201, 30.095, 30.27, 30.095, 749.63, 751.0, 756.88, 745.13, 3.412, 3.412, 3.432, 3.392, 2506.39, 2503.44, 2510.0, 2490.51
2013-01-11, 1996.67, 1.955, 1.921, 1.9580000000000002, 1.91, 1.3065, 350.69, 350.91, 6118.3, 10.965, 11.0055, 10.868, 170.09, 170.29, 169.99, 3.193, 3.108, 61678.31, 61947.2, 0.853, 0.8640000000000001, 7732.14, 1572.0, 1576.32, 1568.59, 2.095, 2.022, 2.0, 6005.15, 1472.3, 2283.66, 2274.38, 3098.47, 136.57, 137.13, 2.136, 1145.78, 1159.07, 1143.35, 0.9875, 0.9882, 1.554, 1.482, 1.57, 1.4709999999999999, 61907.0, 61995.0, 62230.0, 19.45, 93.82, 93.19, 93.08, 44859.8, 44871.87, 10686.12, 10619.65, 7143.73, 13471.22, 13391.82, 148.2, 1129.55, 1131.27, 1125.4, 1112.89, 0.8208, 0.8214, 111.68, 113.29, 111.6, 1709.54, 1711.76, 1695.83, 1.2878, 881.24, 883.19, 521.95, 1677.3, 1673.8, 8618.9, 8607.3, 8649.3, 8548.4, 1.6023, 1.617, 1.6004, 694.75, 17398.38, 17561.79, 17231.67, 4317.36, 4368.76, 4377.14, 4298.61, 4.915, 5.148, 5.178999999999999, 4.904, 0.8456, 0.8395, 0.8458, 0.8375, 5732.21, 5747.07, 5749.14, 5732.21, 0.83, 0.823, 0.835, 0.82, 1075.29, 1073.29, 1076.3, 1071.72, 1058.57, 1060.65, 1063.25, 1058.42, 1224.11, 1216.65, 1224.3, 1206.68, 12599.74, 12571.95, 12618.43, 12523.56, 11.949000000000002, 12.0639, 12.0757, 11.928, 7113.75, 7073.923333333332, 7130.236666666668, 7061.453333333333, 1405.99, 1426.73, 1429.21, 1404.12, 3.0543, 3.0762, 3.1137, 3.049, 4.172, 4.28, 4.297, 4.129, 88.78, 87.86, 88.78, 87.84, 30.875, 30.76, 30.825, 30.665, 746.0, 749.75, 756.13, 744.13, 3.45, 3.4, 3.455, 3.385, 2505.27, 2504.58, 2521.27, 2501.5
2013-01-14, 2007.04, 1.944, 1.963, 1.975, 1.936, 1.3272, 350.13, 351.33, 6121.58, 10.943, 10.967, 10.783, 169.96, 170.01, 169.41, 3.327, 3.178, 61497.43, 61682.83, 0.8909999999999999, 0.951, 7725.93, 1571.73, 1575.42, 1565.57, 2.082, 2.1180000000000003, 2.0540000000000003, 6018.85, 1472.75, 2243.0, 2285.19, 3114.1, 136.29, 136.6, 2.1630000000000003, 1156.44, 1159.55, 1148.61, 0.9829, 0.9854, 1.584, 1.564, 1.6119999999999999, 1.551, 61752.0, 61950.0, 61960.0, 19.2527, 93.56, 93.87, 92.65, 44888.13, 44864.45, 10830.43, 10748.06, 7188.22, 13488.43, 13471.45, 149.2, 1130.0, 1132.28, 1126.66, 1111.39, 0.8273, 0.8291, 111.95, 111.95, 109.6, 1703.54, 1712.87, 1697.26, 1.2888, 880.77, 882.62, 521.86, 1660.0, 1673.1, 8664.7, 8638.0, 8677.4, 8580.0, 1.617, 1.6179, 1.609, 698.5, 17529.34, 17550.31, 17334.43, 4305.91, 4325.24, 4341.76, 4301.49, 4.883, 4.905, 4.922, 4.843999999999999, 0.8364, 0.8454, 0.846, 0.8359, 5746.49, 5731.1, 5750.53, 5730.54, 0.8220000000000001, 0.825, 0.847, 0.812, 1073.18, 1075.36, 1077.36, 1071.09, 1056.49, 1058.67, 1058.67, 1054.75, 1221.7199999999998, 1218.77, 1225.03, 1211.575, 12602.18, 12600.9, 12603.15, 12545.03, 11.8421, 11.9361, 11.9444, 11.7922, 7100.79, 7094.556666666666, 7123.833333333334, 7070.126666666668, 1412.06, 1407.12, 1412.06, 1392.61, 3.0085, 3.0543, 3.0566, 2.9957, 4.117, 4.154, 4.199, 4.088, 89.18, 88.78, 89.44, 88.66, 30.366999999999997, 30.78, 30.78, 30.15, 757.88, 745.88, 771.75, 736.38, 3.485, 3.5, 3.51, 3.48, 2496.8, 2508.39, 2511.15, 2486.87
2013-01-15, 1983.74, 1.942, 1.9380000000000002, 1.956, 1.9240000000000002, 1.334, 347.34, 351.71, 6134.17, 10.955, 10.968, 10.904000000000002, 169.84, 169.87, 169.73, 3.373, 3.3369999999999997, 62080.79, 62284.76, 0.897, 0.897, 7737.61, 1590.21, 1594.17, 1569.66, 2.033, 2.056, 2.017, 6036.9, 1472.05, 2311.74, 2236.29, 3104.08, 136.255, 136.315, 2.14, 1156.92, 1158.36, 1143.78, 0.9841, 0.9869, 1.547, 1.5719999999999998, 1.574, 1.5330000000000001, 62220.0, 62150.0, 62495.0, 19.3726, 94.14, 93.74, 92.95, 44862.92, 44900.12, 10891.37, 10799.86, 7202.52, 13507.32, 13488.43, 152.95, 1133.17, 1138.07, 1130.78, 1110.49, 0.8320000000000001, 0.8327, 110.62, 112.15, 110.31, 1698.09, 1706.99, 1692.9, 1.2889, 880.1, 880.98, 520.5, 1668.9, 1673.8, 8632.1, 8699.2, 8721.1, 8601.3, 1.6129, 1.6156, 1.6032, 713.75, 17576.25, 17683.92, 17270.49, 4382.5, 4322.14, 4382.5, 4313.96, 5.045, 4.9239999999999995, 5.066, 4.923, 0.8432, 0.8370000000000001, 0.8440000000000001, 0.8359, 5748.365, 5733.675, 5753.585, 5733.395, 0.8009999999999999, 0.8195, 0.8320000000000001, 0.7955000000000001, 1073.74, 1072.56, 1074.47, 1069.76, 1056.5, 1056.54, 1056.94, 1055.9, 1219.33, 1220.89, 1225.76, 1216.47, 12603.09, 12627.41, 12636.68, 12582.15, 11.814, 11.8244, 11.8636, 11.773, 7087.83, 7115.19, 7117.43, 7078.8, 1425.07, 1417.16, 1426.22, 1414.03, 3.0625, 3.0065, 3.0684, 3.0065, 4.188, 4.154, 4.217, 4.131, 89.47, 89.24, 89.67, 89.05, 31.08, 30.62, 31.045, 30.62, 770.25, 767.63, 776.63, 763.5, 3.47, 3.457, 3.475, 3.44, 2491.38, 2503.2, 2507.66, 2489.36
