@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Now numeric
@attribute CANADA_10_YEAR_High numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute EUR_USD_Now numeric
@attribute EUR_USD_High numeric
@attribute EUR_USD_Low numeric
@attribute AEX_Now numeric
@attribute AEX_Open numeric
@attribute AEX_High numeric
@attribute AEX_Low numeric
@attribute FTSE_Open_x numeric
@attribute IDR_KRW_Now numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Open numeric
@attribute CNY_KRW_High numeric
@attribute CNY_KRW_Low numeric
@attribute Brazil_Now numeric
@attribute Brazil_Open numeric
@attribute HONH_KONG_10_YEAR_Now numeric
@attribute HONH_KONG_10_YEAR_Open numeric
@attribute HONH_KONG_10_YEAR_Low numeric
@attribute DAX_High numeric
@attribute DAX_Low numeric
@attribute RTSI_Open numeric
@attribute RTSI_Low numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute MOEX_High numeric
@attribute MOEX_Low numeric
@attribute UK_10_YEAR_Open numeric
@attribute UK_10_YEAR_High numeric
@attribute UK_10_YEAR_Low numeric
@attribute Nifty_High numeric
@attribute Nifty_Low numeric
@attribute S&P_Open numeric
@attribute S&P_High numeric
@attribute S&P_Low numeric
@attribute Copper_Now numeric
@attribute Copper_Open numeric
@attribute Copper_High numeric
@attribute SANGHAI_Now numeric
@attribute SANGHAI_Open numeric
@attribute SANGHAI_High numeric
@attribute EUR_KRW_Now numeric
@attribute EUR_KRW_Open numeric
@attribute EUR_KRW_High numeric
@attribute EUR_KRW_Low numeric
@attribute NASDAQ_Now numeric
@attribute NASDAQ_Open numeric
@attribute NASDAQ_High numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_Open numeric
@attribute HKD_KRW_High numeric
@attribute HKD_KRW_Low numeric
@attribute FRANCE_10_YEAR_Open numeric
@attribute FRANCE_10_YEAR_High numeric
@attribute US_10_YEAR_Open numeric
@attribute US_10_YEAR_High numeric
@attribute CHF_KRW_Low numeric
@attribute USD_CAD_Now numeric
@attribute USD_CAD_Low numeric
@attribute GERMANY_10_YEAR_Open numeric
@attribute GERMANY_10_YEAR_High numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_Open numeric
@attribute INR_KRW_Open numeric
@attribute INR_KRW_High numeric
@attribute INR_KRW_Low numeric
@attribute WTI_Now numeric
@attribute WTI_Open numeric
@attribute WTI_High numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_Open numeric
@attribute S&P_BMV_High numeric
@attribute NIKKEI_Open numeric
@attribute NIKKEI_High numeric
@attribute NIKKEI_Low numeric
@attribute SOUTH_KOREA_10_YEAR_Now numeric
@attribute SOUTH_KOREA_10_YEAR_Open numeric
@attribute SOUTH_KOREA_10_YEAR_High numeric
@attribute SOUTH_KOREA_10_YEAR_Low numeric
@attribute SMI_Now numeric
@attribute SMI_Open numeric
@attribute SMI_Low numeric
@attribute DOWJONES_Open numeric
@attribute DOWJONES_High numeric
@attribute DOWJONES_Low numeric
@attribute US_COFFEE_Now numeric
@attribute US_COFFEE_High numeric
@attribute US_COFFEE_Low numeric
@attribute AUD_KRW_Now numeric
@attribute AUD_KRW_High numeric
@attribute EUR_GBP_Now numeric
@attribute EUR_GBP_Open numeric
@attribute EUR_GBP_Low numeric
@attribute BRENT_OIL_Now numeric
@attribute BRENT_OIL_Low numeric
@attribute GBP_KRW_Now numeric
@attribute GBP_KRW_Open numeric
@attribute GBP_KRW_High numeric
@attribute AUD_SGD_Now numeric
@attribute AUD_SGD_Open numeric
@attribute Russell_Now numeric
@attribute Russell_Open numeric
@attribute BRL_KRW_Now numeric
@attribute BRL_KRW_High numeric
@attribute Gold_Now numeric
@attribute IBEX_Open numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute GBP_USD_Now numeric
@attribute GBP_USD_Open numeric
@attribute GBP_USD_Low numeric
@attribute Corn_Open numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute SPAIN_10_YEAR_Now numeric
@attribute SPAIN_10_YEAR_Open numeric
@attribute SPAIN_10_YEAR_High numeric
@attribute SPAIN_10_YEAR_Low numeric
@attribute NZD_USD_Now numeric
@attribute NZD_USD_High numeric
@attribute CSE_Now numeric
@attribute CSE_Open numeric
@attribute CSE_High numeric
@attribute CSE_Low numeric
@attribute JAPAN_10_YEAR_Now numeric
@attribute JAPAN_10_YEAR_Open numeric
@attribute CAD_KRW_Open numeric
@attribute CAD_KRW_High numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_High numeric
@attribute USD_KRW_Low numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute Tadawul_Now numeric
@attribute Tadawul_Open numeric
@attribute Tadawul_High numeric
@attribute Tadawul_Low numeric
@attribute SET_Now numeric
@attribute SET_Open numeric
@attribute SET_High numeric
@attribute SET_Low numeric
@attribute HEATING_OIL_Now numeric
@attribute HEATING_OIL_Open numeric
@attribute HEATING_OIL_High numeric
@attribute HEATING_OIL_Low numeric
@attribute ITALY_10_YEAR_Now numeric
@attribute ITALY_10_YEAR_Open numeric
@attribute USD_JPY_High numeric
@attribute USD_JPY_Low numeric
@attribute Silver_Now numeric
@attribute Silver_Open numeric
@attribute Silver_High numeric
@attribute Silver_Low numeric
@attribute US_WHEAT_Open numeric
@attribute US_WHEAT_Low numeric
@attribute AUS_10_YEAR_Low numeric
@attribute BEL_Open numeric
@attribute BEL_High numeric

@data
2007-01-11, 1365.31, 4.055, 4.055, 4.055, 1.2934, 1.3008, 1.2931, 492.49, 493.9, 494.2, 490.93, 6196.1, 10.335, 120.13, 120.33, 120.62, 120.03, 42335.67, 42000.91, 3.739, 3.739, 3.739, 6592.97, 6531.25, 1798.09, 1749.22, 1569.83, 1571.93, 1580.65, 1528.85, 4.803, 4.803, 4.803, 3911.95, 3841.7, 1408.7, 1415.99, 1405.32, 2.6510000000000002, 2.542, 2.6630000000000003, 2825.58, 2838.11, 2841.74, 1213.07, 1219.92, 1222.91, 1212.19, 2459.33, 2434.04, 2461.34, 120.255, 120.35, 120.775, 120.19, 4.044, 4.044, 4.69, 4.69, 751.3, 1.1756, 1.1751, 4.015, 4.015, 42695.0, 41945.0, 21.1066, 21.1159, 21.1066, 54.02, 55.75, 55.81, 25885.8, 25780.84, 25954.13, 17192.42, 17199.42, 16847.57, 4.97, 4.97, 4.97, 4.97, 8861.6, 8846.58, 8814.6, 12417.0, 12487.18, 12313.01, 120.75, 121.4, 118.1, 728.47, 735.11, 0.6694, 0.6701, 0.6686, 53.69, 53.09, 1811.79, 1819.93, 1824.57, 1.1932, 1.1988, 778.87, 775.78, 436.31, 436.31, 611.6, 14236.7, 14239.4, 14065.7, 1.9318, 1.9396, 1.9317, 354.0, 41360.0, 41566.0, 41234.0, 4.064, 4.064, 4.064, 4.064, 0.6869, 0.6932, 2731.65, 2715.35, 2739.61, 2714.22, 1.761, 1.765, 797.55, 800.04, 937.85, 941.75, 937.55, 12474.16, 12412.55, 7586.61, 7729.91, 7729.91, 7586.61, 622.27, 609.83, 622.27, 608.14, 1.5255, 1.5598, 1.5679, 1.5162, 4.235, 4.235, 119.8, 119.12, 12.35, 12.35, 12.35, 12.35, 453.0, 447.5, 5.855, 4410.86, 4412.84
2007-01-12, 1388.37, 4.073, 4.073, 4.073, 1.2893, 1.3016, 1.2881, 500.16, 495.5, 500.32, 493.22, 6160.7, 10.295, 120.47, 120.35, 120.56, 120.13, 42670.32, 42335.67, 3.7710000000000004, 3.7710000000000004, 3.7710000000000004, 6695.74, 6571.59, 1770.67, 1769.31, 1599.67, 1569.64, 1608.19, 1556.53, 4.811, 4.811, 4.811, 3953.1, 3833.6, 1414.84, 1427.12, 1414.84, 2.648, 2.68, 2.68, 2770.11, 2819.37, 2841.18, 1210.73, 1212.79, 1222.35, 1208.92, 2484.85, 2464.89, 2489.46, 120.395, 120.21, 120.605, 120.21, 4.055, 4.055, 4.739, 4.739, 750.46, 1.1765, 1.1691, 4.018, 4.018, 43094.0, 42700.0, 21.0649, 21.0753, 21.0649, 51.88, 53.59, 54.73, 26247.9, 25882.74, 26290.7, 16958.57, 17057.45, 16758.46, 4.97, 4.97, 4.97, 4.97, 8987.91, 8906.52, 8884.98, 12442.96, 12586.12, 12413.72, 120.65, 121.75, 119.8, 733.32, 736.48, 0.6627, 0.6692, 0.6621, 51.7, 51.65, 1827.24, 1811.91, 1835.14, 1.2074, 1.1928, 788.45, 779.5, 437.13, 437.13, 612.4, 14183.2, 14328.8, 14105.2, 1.9461, 1.9327, 1.9318, 362.0, 41942.0, 41954.0, 41360.0, 4.074, 4.074, 4.074, 4.074, 0.6918, 0.6934, 2766.51, 2731.65, 2771.28, 2731.65, 1.7380000000000002, 1.74, 798.16, 803.23, 938.95, 940.45, 937.75, 12594.09, 12453.13, 7474.57, 7509.676666666666, 7570.103333333333, 7414.1433333333325, 637.63, 625.65, 639.47, 625.65, 1.4804, 1.518, 1.5523, 1.4780000000000002, 4.248, 4.248, 120.66, 119.48, 12.375, 12.375, 12.375, 12.375, 450.5, 450.5, 5.86, 4413.48, 4478.15
2007-01-15, 1390.96, 4.11, 4.11, 4.11, 1.2917, 1.2946, 1.2866, 502.84, 499.44, 503.31, 499.18, 6230.1, 10.305, 120.56, 120.8, 120.94, 120.35, 43094.97, 42669.48, 3.865, 3.865, 3.865, 6705.17, 6659.95, 1799.44, 1793.51, 1591.47, 1599.57, 1602.85, 1581.3, 4.855, 4.855, 4.855, 4059.15, 3944.55, 1423.82, 1431.23, 1422.58, 2.593, 2.6239999999999997, 2.63, 2668.11, 2745.32, 2782.03, 1214.4, 1209.73, 1217.2, 1208.88, 2502.82, 2481.72, 2502.82, 120.53, 120.34, 120.88, 120.31, 4.062, 4.062, 4.783, 4.783, 750.06, 1.1693, 1.1682, 4.0280000000000005, 4.0280000000000005, 43580.0, 43370.0, 21.173, 21.1881, 21.173, 52.99, 52.07, 53.11, 26324.38, 26247.9, 26335.29, 16979.73, 17160.77, 16941.39, 5.04, 5.04, 5.04, 5.04, 9032.81, 8979.07, 8967.57, 12514.66, 12616.08, 12432.3, 120.3, 120.5, 119.5, 736.43, 736.98, 0.6594, 0.6626, 0.6588, 52.95, 51.76, 1841.41, 1825.29, 1843.59, 1.2088, 1.2056, 794.26, 788.11, 439.28, 439.28, 625.5, 14302.3, 14373.7, 14292.8, 1.9588, 1.9451, 1.9426, 377.0, 42111.0, 42125.0, 41881.0, 4.11, 4.11, 4.11, 4.11, 0.6899, 0.6929, 2810.37, 2766.51, 2815.84, 2766.5, 1.742, 1.76, 796.62, 804.64, 940.05, 942.75, 939.05, 12702.93, 12519.9, 7362.53, 7289.443333333334, 7410.296666666666, 7241.676666666666, 645.71, 647.14, 648.48, 641.91, 1.5036, 1.4867, 1.5095, 1.48, 4.251, 4.251, 120.74, 120.14, 12.798, 12.798, 12.798, 12.798, 458.75, 457.25, 5.885, 4465.52, 4497.01
2007-01-16, 1389.71, 4.138999999999999, 4.138999999999999, 4.138999999999999, 1.2936, 1.2959, 1.2914, 505.38, 504.88, 506.11, 504.75, 6239.0, 10.2965, 120.42, 120.5, 120.53, 120.07, 42919.17, 43095.19, 3.8930000000000002, 3.8930000000000002, 3.8930000000000002, 6746.3, 6719.53, 1798.45, 1798.45, 1650.83, 1591.67, 1652.93, 1591.47, 4.901, 4.901, 4.901, 4099.65, 4052.4, 1427.275, 1432.58, 1425.6, 2.579, 2.6045, 2.6075, 2794.7, 2660.07, 2795.33, 1213.9, 1214.66, 1216.25, 1209.95, 2500.3, 2493.14, 2505.875, 120.345, 120.48, 120.525, 120.05, 4.1, 4.1, 4.646, 4.646, 750.44, 1.1667, 1.1658, 4.062, 4.062, 43328.0, 43700.0, 21.2506, 21.2633, 21.2506, 52.1, 52.505, 53.33, 26480.03, 26324.38, 26484.06, 17160.25, 17273.58, 17144.44, 5.04, 5.04, 5.04, 5.04, 9101.65, 9063.37, 9048.31, 12535.25, 12627.175, 12461.1, 120.975, 121.35, 119.8, 735.83, 737.96, 0.6585, 0.6594, 0.6573, 53.12, 52.65, 1843.73, 1841.44, 1846.17, 1.2084, 1.2101, 792.87, 791.1949999999997, 438.24, 438.24, 625.05, 14414.3, 14455.7, 14411.9, 1.9654, 1.9598, 1.957, 396.75, 42307.0, 42369.0, 42111.0, 4.102, 4.102, 4.102, 4.102, 0.6959, 0.6961, 2842.575, 2788.44, 2848.335, 2788.435, 1.742, 1.7469999999999999, 803.57, 804.85, 938.5, 939.3, 936.6, 12776.4, 12678.81, 7250.49, 7069.21, 7250.49, 7069.21, 656.31, 648.66, 656.97, 648.19, 1.49195, 1.49585, 1.5144000000000002, 1.472, 4.288, 4.288, 120.6, 120.04, 12.669, 12.669, 12.669, 12.669, 469.375, 460.125, 5.9, 4497.9, 4498.71
2007-01-17, 1379.48, 4.138999999999999, 4.138999999999999, 4.138999999999999, 1.2919, 1.2992, 1.2909, 504.81, 505.94, 506.72, 504.25, 6263.5, 10.306, 120.09, 120.27, 120.37, 120.07, 42624.22, 42915.61, 3.907, 3.907, 3.907, 6746.63, 6705.21, 1850.18, 1847.35, 1641.31, 1650.83, 1680.41, 1636.15, 4.904, 4.904, 4.904, 4107.45, 4067.9, 1430.73, 1433.93, 1428.62, 2.565, 2.585, 2.585, 2821.02, 2818.66, 2830.8, 1208.55, 1214.07, 1215.36, 1207.32, 2497.78, 2504.56, 2508.93, 119.915, 120.29, 120.335, 119.88, 4.093, 4.093, 4.753, 4.753, 748.5, 1.1765, 1.1647, 4.0569999999999995, 4.0569999999999995, 43089.0, 43150.0, 21.2237, 21.233, 21.2237, 51.21, 52.94, 53.55, 26480.33, 26479.83, 26487.17, 17190.9, 17287.96, 17175.85, 5.03, 5.03, 5.03, 5.03, 9073.0, 9103.95, 9067.3, 12555.84, 12638.27, 12489.9, 121.65, 122.2, 120.1, 732.58, 736.17, 0.6586, 0.6586, 0.6579999999999999, 52.26, 52.04, 1834.95, 1843.2, 1844.39, 1.2049, 1.2081, 791.48, 794.28, 437.53, 437.53, 624.6, 14415.9, 14482.6, 14314.6, 1.9613, 1.9646, 1.959, 416.5, 42115.0, 42377.0, 42090.0, 4.087, 4.087, 4.087, 4.087, 0.696, 0.6979, 2874.78, 2810.37, 2880.83, 2810.37, 1.742, 1.765, 803.61, 803.84, 935.55, 938.05, 935.35, 12760.22, 12679.59, 7123.88, 7250.49, 7250.49, 7123.88, 655.9, 657.85, 660.91, 652.75, 1.4803, 1.505, 1.5193, 1.464, 4.279, 4.279, 120.78, 120.2, 12.54, 12.54, 12.54, 12.54, 480.0, 463.0, 5.915, 4484.6, 4499.38
2007-01-18, 1383.21, 4.137, 4.137, 4.137, 1.2938, 1.2952, 1.2896, 505.26, 505.88, 506.05, 502.47, 6215.7, 10.287, 120.5, 120.13, 120.54, 120.13, 42735.48, 42625.81, 3.9360000000000004, 3.9360000000000004, 3.9360000000000004, 6732.31, 6672.76, 1849.88, 1808.06, 1610.76, 1641.3, 1655.15, 1597.21, 4.8919999999999995, 4.8919999999999995, 4.8919999999999995, 4096.75, 4071.55, 1431.77, 1435.27, 1428.57, 2.555, 2.55, 2.553, 2778.9, 2828.4, 2870.42, 1211.93, 1208.35, 1213.56, 1207.51, 2479.42, 2487.89, 2496.93, 120.045, 119.89, 120.215, 119.87, 4.077, 4.077, 4.785, 4.785, 748.36, 1.1728, 1.1721, 4.041, 4.041, 43139.0, 43100.0, 21.2061, 21.2143, 21.2061, 52.24, 51.2, 52.4, 26558.5, 26480.33, 26610.61, 17153.25, 17335.03, 17002.67, 5.05, 5.05, 5.05, 5.05, 9104.6, 9080.43, 9063.96, 12563.53, 12613.28, 12550.95, 121.6, 121.75, 119.3, 737.01, 737.76, 0.6567, 0.6585, 0.6558, 52.78, 50.75, 1845.78, 1834.51, 1848.24, 1.2102, 1.2041, 788.77, 789.81, 439.14, 439.14, 632.1, 14367.7, 14408.2, 14233.0, 1.9699, 1.9615, 1.9602, 402.75, 41749.0, 42225.0, 41605.0, 4.073, 4.073, 4.073, 4.073, 0.6920000000000001, 0.6935, 2877.15, 2875.15, 2897.48, 2875.15, 1.6909999999999998, 1.733, 795.07, 799.28, 936.9, 937.9, 936.1, 12751.16, 12651.37, 7153.87, 7123.88, 7153.87, 7123.88, 651.47, 654.89, 658.1, 650.63, 1.4998, 1.484, 1.5055, 1.4577, 4.253, 4.253, 120.9, 120.32, 12.812999999999999, 12.812999999999999, 12.812999999999999, 12.812999999999999, 463.75, 462.5, 5.89, 4467.57, 4481.24
2007-01-19, 1360.56, 4.162, 4.162, 4.162, 1.2954, 1.2978, 1.2896, 505.53, 506.71, 508.64, 504.24, 6204.5, 10.2915, 120.55, 120.43, 120.62, 120.31, 42477.92, 42740.98, 4.026, 4.026, 4.026, 6737.98, 6661.05, 1814.03, 1807.28, 1607.54, 1610.76, 1647.88, 1605.36, 4.9, 4.9, 4.9, 4140.25, 4075.2, 1430.59, 1432.96, 1424.21, 2.477, 2.5, 2.52, 2756.98, 2760.94, 2784.04, 1213.63, 1211.77, 1216.02, 1207.71, 2443.21, 2475.33, 2475.8, 119.915, 120.0, 120.155, 119.83, 4.092, 4.092, 4.749, 4.749, 746.22, 1.1729, 1.1712, 4.041, 4.041, 42881.0, 43285.0, 21.2044, 21.216, 21.2044, 50.48, 52.4, 52.69, 26112.87, 26556.66, 26594.6, 17248.14, 17408.62, 17220.42, 5.06, 5.06, 5.06, 5.06, 9099.35, 9116.83, 9074.72, 12575.06, 12674.16, 12487.9, 119.75, 121.6, 119.6, 738.68, 739.88, 0.6561, 0.6567, 0.6553, 51.75, 50.91, 1849.28, 1845.1, 1853.03, 1.2119, 1.2089, 778.21, 788.13, 438.32, 438.32, 627.1, 14354.1, 14383.5, 14221.0, 1.9743, 1.9701, 1.9636, 411.5, 41711.0, 42008.0, 41647.0, 4.092, 4.092, 4.092, 4.092, 0.6966, 0.6967, 2901.44, 2877.15, 2911.06, 2877.15, 1.71, 1.702, 798.4, 799.79, 936.7, 937.6, 935.8, 12795.94, 12629.66, 7192.003333333332, 7146.303333333332, 7192.003333333332, 7146.303333333332, 654.89, 653.74, 655.41, 650.23, 1.4707, 1.5045, 1.51, 1.453, 4.249, 4.249, 121.62, 120.46, 12.607999999999999, 12.607999999999999, 12.607999999999999, 12.607999999999999, 477.0, 466.75, 5.89, 4473.84, 4487.89
2007-01-22, 1363.41, 4.1339999999999995, 4.1339999999999995, 4.1339999999999995, 1.2966, 1.3002, 1.2913, 507.12, 504.5, 507.19, 502.75, 6210.3, 10.3085, 120.41, 120.82, 121.04, 120.29, 43427.64, 42476.95, 4.0889999999999995, 4.0889999999999995, 4.0889999999999995, 6754.55, 6651.68, 1807.12, 1803.06, 1617.09, 1607.54, 1617.43, 1595.6, 4.895, 4.895, 4.895, 4137.15, 4058.35, 1426.35, 1431.57, 1425.19, 2.502, 2.476, 2.52, 2832.21, 2761.89, 2833.45, 1213.95, 1213.67, 1218.89, 1208.56, 2451.31, 2437.63, 2453.79, 119.925, 119.86, 120.415, 119.76, 4.084, 4.084, 4.783, 4.783, 746.89, 1.1717, 1.1698, 4.044, 4.044, 43655.0, 42675.0, 21.1999, 21.2115, 21.1999, 51.99, 50.47, 52.05, 26213.38, 26112.87, 26304.51, 17340.38, 17378.21, 17242.77, 5.06, 5.06, 5.06, 5.06, 9155.12, 9077.19, 9054.28, 12567.93, 12649.89, 12462.5, 119.7, 120.5, 119.25, 739.85, 742.43, 0.6568, 0.6564, 0.655, 53.44, 51.5, 1848.97, 1848.55, 1856.59, 1.2149, 1.2123, 785.16, 778.13, 439.62, 439.62, 635.5, 14239.4, 14398.3, 14182.0, 1.9739, 1.9743, 1.9697, 412.5, 42123.0, 42181.0, 41615.0, 4.101, 4.101, 4.101, 4.101, 0.6957, 0.6967, 2910.92, 2901.44, 2937.92, 2901.44, 1.71, 1.71, 797.41, 801.47, 936.4, 940.5, 935.6, 12751.6, 12637.53, 7230.136666666667, 7168.7266666666665, 7230.136666666667, 7168.7266666666665, 658.17, 655.41, 660.09, 653.96, 1.5135, 1.4715, 1.5229, 1.466, 4.262, 4.262, 121.5, 121.08, 12.845, 12.7, 12.7, 12.7, 471.0, 464.5, 5.875, 4449.41, 4478.74
2007-01-23, 1363.09, 4.138, 4.138, 4.138, 1.2948, 1.2982, 1.2921, 503.51, 508.4, 509.0, 502.33, 6237.2, 10.357, 120.93, 120.38, 121.03, 120.33, 43553.3, 43431.12, 4.104, 4.104, 4.104, 6766.57, 6682.49, 1819.93, 1819.93, 1654.65, 1617.09, 1655.56, 1617.09, 4.913, 4.913, 4.913, 4114.5, 4069.95, 1430.47, 1431.39, 1420.4, 2.519, 2.526, 2.526, 2933.19, 2857.9, 2934.65, 1217.61, 1213.15, 1220.61, 1212.31, 2431.07, 2454.5, 2454.66, 120.52, 119.86, 120.6, 119.85, 4.098, 4.098, 4.761, 4.761, 749.4, 1.1821, 1.1714, 4.05, 4.05, 43802.0, 43915.0, 21.2123, 21.2239, 21.2123, 51.13, 52.09, 53.44, 26432.25, 26213.27, 26432.25, 17429.9, 17484.59, 17401.32, 5.06, 5.06, 5.06, 5.06, 9102.15, 9154.48, 9085.15, 12566.33, 12619.04, 12389.68, 117.35, 119.6, 116.8, 740.92, 743.38, 0.6552, 0.6565, 0.6543, 52.7, 52.18, 1858.26, 1847.66, 1860.52, 1.2127, 1.2138, 777.96, 784.96, 439.76, 439.76, 633.3, 14416.2, 14500.4, 14351.7, 1.9762, 1.9742, 1.9717, 405.0, 42002.0, 42328.0, 41983.0, 4.073, 4.073, 4.073, 4.073, 0.6986, 0.7011, 2921.39, 2910.92, 2930.51, 2910.92, 1.6580000000000001, 1.6580000000000001, 798.02, 802.83, 940.2, 941.2, 936.2, 12790.6, 12696.18, 7268.27, 7191.15, 7268.27, 7191.15, 655.12, 660.09, 661.03, 654.01, 1.5084, 1.5235, 1.5590000000000002, 1.495, 4.253, 4.253, 121.81, 121.19, 12.925, 12.865, 12.865, 12.855, 466.0, 463.5, 5.885, 4472.57, 4490.39
2007-01-24, 1383.06, 4.1339999999999995, 4.1339999999999995, 4.1339999999999995, 1.3025, 1.3046, 1.2928, 502.82, 503.84, 504.27, 498.97, 6218.4, 10.3495, 120.91, 120.84, 121.22, 120.79, 44177.2, 43549.37, 4.034, 4.034, 4.034, 6704.36, 6627.96, 1840.91, 1840.91, 1664.18, 1654.64, 1666.3, 1643.39, 4.89, 4.89, 4.89, 4105.1, 4056.45, 1422.95, 1431.33, 1421.66, 2.5669999999999997, 2.56, 2.595, 2949.14, 2964.69, 2970.68, 1224.72, 1216.98, 1226.86, 1215.83, 2431.41, 2428.26, 2447.03, 120.54, 120.47, 120.85, 120.42, 4.066, 4.066, 4.81, 4.81, 751.4, 1.1803, 1.1787, 4.011, 4.011, 44425.0, 43695.0, 21.284, 21.2956, 21.284, 55.04, 52.64, 55.15, 26810.0, 26432.63, 26811.12, 17350.31, 17442.0, 17321.29, 5.06, 5.06, 5.06, 5.06, 9105.5, 9104.45, 9070.93, 12467.96, 12553.44, 12467.96, 115.65, 117.25, 115.35, 745.25, 746.62, 0.6575, 0.6551, 0.6534, 55.1, 52.59, 1863.2, 1857.24, 1873.0, 1.2165, 1.2109, 785.38, 777.59, 441.04, 441.04, 645.2, 14354.6, 14394.2, 14304.7, 1.9819, 1.9762, 1.9752, 404.75, 42106.0, 42227.0, 41881.0, 4.088, 4.088, 4.088, 4.088, 0.7013, 0.7041, 2906.01, 2921.39, 2935.4, 2906.01, 1.6680000000000001, 1.663, 794.84, 797.83, 940.25, 942.35, 939.75, 12910.87, 12705.77, 7141.73, 7268.27, 7268.27, 7141.73, 650.76, 651.41, 651.99, 647.35, 1.5763, 1.51, 1.5830000000000002, 1.5025, 4.204, 4.204, 121.75, 121.08, 13.185, 13.185, 13.185, 13.185, 466.0, 465.5, 5.92, 4456.42, 4458.66
