@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Now numeric
@attribute CANADA_10_YEAR_High numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute EUR_USD_Now numeric
@attribute EUR_USD_Open numeric
@attribute EUR_USD_Low numeric
@attribute AEX_Now numeric
@attribute AEX_Open numeric
@attribute AEX_High numeric
@attribute AEX_Low numeric
@attribute IDR_KRW_Low numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_High numeric
@attribute CNY_KRW_Low numeric
@attribute GAS_Now numeric
@attribute GAS_Open numeric
@attribute GAS_High numeric
@attribute GAS_Low numeric
@attribute Brazil_Open numeric
@attribute Brazil_High numeric
@attribute Brazil_Low numeric
@attribute HONH_KONG_10_YEAR_Now numeric
@attribute HONH_KONG_10_YEAR_Open numeric
@attribute HONH_KONG_10_YEAR_High numeric
@attribute HONH_KONG_10_YEAR_Low numeric
@attribute DAX_Open numeric
@attribute DAX_High numeric
@attribute DAX_Low numeric
@attribute RTSI_Now numeric
@attribute RTSI_Low numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute MOEX_High numeric
@attribute MOEX_Low numeric
@attribute UK_10_YEAR_Open numeric
@attribute UK_10_YEAR_High numeric
@attribute UK_10_YEAR_Low numeric
@attribute Nifty_Now numeric
@attribute Nifty_Open numeric
@attribute Nifty_High numeric
@attribute Nifty_Low numeric
@attribute S&P_Now numeric
@attribute S&P_Open numeric
@attribute S&P_High numeric
@attribute Copper_Now numeric
@attribute Copper_Open numeric
@attribute SANGHAI_Now numeric
@attribute SANGHAI_Open numeric
@attribute SANGHAI_High numeric
@attribute EUR_KRW_Now numeric
@attribute EUR_KRW_Open numeric
@attribute EUR_KRW_High numeric
@attribute EUR_KRW_Low numeric
@attribute NASDAQ_Now numeric
@attribute NASDAQ_Open numeric
@attribute NASDAQ_High numeric
@attribute NASDAQ_Low numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_High numeric
@attribute FRANCE_10_YEAR_Now numeric
@attribute FRANCE_10_YEAR_High numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_Open numeric
@attribute US_10_YEAR_High numeric
@attribute US_10_YEAR_Low numeric
@attribute CHF_KRW_Now numeric
@attribute CHF_KRW_Open numeric
@attribute CHF_KRW_High numeric
@attribute CHF_KRW_Low numeric
@attribute USD_CAD_Open numeric
@attribute USD_CAD_High numeric
@attribute GERMANY_10_YEAR_High numeric
@attribute GERMANY_10_YEAR_Low numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_High numeric
@attribute iBovespa_Low numeric
@attribute INR_KRW_Now numeric
@attribute WTI_High numeric
@attribute WTI_Low numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_Open numeric
@attribute S&P_BMV_High numeric
@attribute NIKKEI_Open numeric
@attribute NIKKEI_Low numeric
@attribute SMI_Now numeric
@attribute SMI_Open numeric
@attribute SMI_High numeric
@attribute SMI_Low numeric
@attribute DOWJONES_Now numeric
@attribute DOWJONES_Open numeric
@attribute DOWJONES_High numeric
@attribute DOWJONES_Low numeric
@attribute US_COFFEE_Now numeric
@attribute US_COFFEE_Open numeric
@attribute US_COFFEE_High numeric
@attribute US_COFFEE_Low numeric
@attribute OMXS_Open numeric
@attribute OMXS_High numeric
@attribute OMXS_Low numeric
@attribute AUD_KRW_Now numeric
@attribute AUD_KRW_High numeric
@attribute AUD_KRW_Low numeric
@attribute EUR_GBP_Now numeric
@attribute EUR_GBP_Open numeric
@attribute EUR_GBP_High numeric
@attribute EUR_GBP_Low numeric
@attribute BRENT_OIL_Now numeric
@attribute BRENT_OIL_Open numeric
@attribute BRENT_OIL_Low numeric
@attribute GBP_KRW_Now numeric
@attribute GBP_KRW_Open numeric
@attribute GBP_KRW_Low numeric
@attribute AUD_SGD_Open numeric
@attribute AUD_SGD_Low numeric
@attribute Russell_Now numeric
@attribute Russell_High numeric
@attribute Russell_Low numeric
@attribute BRL_KRW_Now numeric
@attribute BRL_KRW_High numeric
@attribute BRL_KRW_Low numeric
@attribute Gold_High numeric
@attribute Gold_Low numeric
@attribute IBEX_Now numeric
@attribute GBP_USD_Open numeric
@attribute GBP_USD_High numeric
@attribute Corn_Open numeric
@attribute Corn_High numeric
@attribute Corn_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_Low_y numeric
@attribute IDX_Now numeric
@attribute IDX_Open numeric
@attribute IDX_High numeric
@attribute IDX_Low numeric
@attribute SPAIN_10_YEAR_Now numeric
@attribute SPAIN_10_YEAR_High numeric
@attribute SPAIN_10_YEAR_Low numeric
@attribute CSE_High numeric
@attribute CSE_Low numeric
@attribute JAPAN_10_YEAR_Now numeric
@attribute JAPAN_10_YEAR_Open numeric
@attribute JAPAN_10_YEAR_High numeric
@attribute JAPAN_10_YEAR_Low numeric
@attribute CAD_KRW_Now numeric
@attribute CAD_KRW_Low numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_Low numeric
@attribute TA_Now numeric
@attribute TA_Open numeric
@attribute TA_High numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Open numeric
@attribute JPY_KRW_Now numeric
@attribute JPY_KRW_High numeric
@attribute Tadawul_Now numeric
@attribute Tadawul_Open numeric
@attribute Tadawul_High numeric
@attribute Tadawul_Low numeric
@attribute SET_Now numeric
@attribute SET_Open numeric
@attribute SET_High numeric
@attribute SET_Low numeric
@attribute HEATING_OIL_Now numeric
@attribute HEATING_OIL_Open numeric
@attribute HEATING_OIL_Low numeric
@attribute USD_JPY_Low numeric
@attribute Silver_Now numeric
@attribute Silver_Low numeric
@attribute US_WHEAT_Open numeric
@attribute AUS_10_YEAR_Low numeric
@attribute BEL_Now numeric
@attribute BEL_High numeric

@data
2007-01-11, 1365.31, 4.055, 4.055, 4.055, 1.2934, 1.3002, 1.2931, 492.49, 493.9, 494.2, 490.93, 10.317, 120.13, 120.62, 120.03, 6.755, 6.731, 6.807, 6.58, 42000.91, 42335.67, 41266.21, 3.739, 3.739, 3.739, 3.739, 6578.76, 6592.97, 6531.25, 1770.67, 1749.22, 1569.83, 1571.93, 1580.65, 1528.85, 4.803, 4.803, 4.803, 3850.3, 3910.95, 3911.95, 3841.7, 1414.85, 1408.7, 1415.99, 2.6510000000000002, 2.542, 2825.58, 2838.11, 2841.74, 1213.07, 1219.92, 1222.91, 1212.19, 2459.33, 2434.04, 2461.34, 2427.9, 120.255, 120.775, 4.044, 4.044, 4.69, 4.69, 4.69, 4.69, 752.15, 755.98, 757.67, 751.3, 1.1764, 1.1796, 4.015, 4.015, 42695.0, 42720.0, 41550.0, 21.1159, 55.81, 53.44, 25885.8, 25780.84, 25954.13, 17192.42, 16847.57, 8861.6, 8846.58, 8874.4, 8814.6, 12442.16, 12417.0, 12487.18, 12313.01, 120.75, 118.1, 121.4, 118.1, 1143.09, 1143.09, 1128.9, 728.47, 735.11, 727.41, 0.6694, 0.6701, 0.6709, 0.6686, 53.69, 55.18, 53.09, 1811.79, 1819.93, 1810.97, 1.1988, 1.1917, 778.87, 779.45, 773.14, 436.31, 436.31, 436.09, 611.6, 611.6, 14116.1, 1.9396, 1.9424, 354.0, 363.5, 352.5, 41360.0, 41382.0, 41234.0, 1710.37, 1746.5, 1747.27, 1703.65, 4.064, 4.064, 4.064, 2739.61, 2714.22, 1.761, 1.765, 1.765, 1.761, 797.29, 794.66, 937.85, 937.55, 909.61, 913.83, 914.04, 906.44, 12461.21, 7.8373, 7.8923, 7586.61, 7729.91, 7729.91, 7586.61, 622.27, 609.83, 622.27, 608.14, 1.5255, 1.5598, 1.5162, 119.12, 12.35, 12.35, 453.0, 5.855, 4405.87, 4412.84
2007-01-12, 1388.37, 4.073, 4.073, 4.073, 1.2893, 1.2937, 1.2881, 500.16, 495.5, 500.32, 493.22, 10.27, 120.47, 120.56, 120.13, 6.2920000000000025, 6.693, 6.693, 6.24, 42335.67, 43127.95, 41940.03, 3.7710000000000004, 3.7710000000000004, 3.7710000000000004, 3.7710000000000004, 6590.74, 6695.74, 6571.59, 1800.61, 1769.31, 1599.67, 1569.64, 1608.19, 1556.53, 4.811, 4.811, 4.811, 3942.25, 3852.15, 3953.1, 3833.6, 1423.82, 1414.84, 1427.12, 2.648, 2.68, 2770.11, 2819.37, 2841.18, 1210.73, 1212.79, 1222.35, 1208.92, 2484.85, 2464.89, 2489.46, 2463.39, 120.395, 120.605, 4.055, 4.055, 4.739, 4.739, 4.739, 4.739, 751.82, 752.07, 756.83, 750.46, 1.1746, 1.1804, 4.018, 4.018, 43094.0, 43570.0, 42260.0, 21.0753, 54.73, 51.8, 26247.9, 25882.74, 26290.7, 16958.57, 16758.46, 8987.91, 8906.52, 8987.91, 8884.98, 12514.98, 12442.96, 12586.12, 12413.72, 120.65, 120.25, 121.75, 119.8, 1133.05, 1161.04, 1133.05, 733.32, 736.48, 728.14, 0.6627, 0.6692, 0.6706, 0.6621, 51.7, 53.03, 51.65, 1827.24, 1811.91, 1811.07, 1.1928, 1.1925, 788.45, 791.0, 779.5, 437.13, 437.13, 436.76, 612.4, 612.4, 14328.8, 1.9327, 1.954, 362.0, 380.25, 362.0, 41942.0, 41506.0, 41360.0, 1703.84, 1729.4, 1732.09, 1698.84, 4.074, 4.074, 4.074, 2771.28, 2731.65, 1.7380000000000002, 1.74, 1.745, 1.7380000000000002, 798.02, 795.12, 938.95, 937.75, 913.99, 914.67, 915.7, 903.44, 12454.97, 7.7944, 7.8676, 7474.57, 7509.676666666666, 7570.103333333333, 7414.1433333333325, 637.63, 625.65, 639.47, 625.65, 1.4804, 1.518, 1.4780000000000002, 119.48, 12.375, 12.375, 450.5, 5.86, 4473.58, 4478.15
2007-01-15, 1390.96, 4.11, 4.11, 4.11, 1.2917, 1.2891, 1.2866, 502.84, 499.44, 503.31, 499.18, 10.231, 120.56, 120.94, 120.35, 6.601, 6.273, 6.64, 6.2, 42669.48, 43188.46, 42525.5, 3.865, 3.865, 3.865, 3.865, 6690.43, 6705.17, 6659.95, 1797.59, 1793.51, 1591.47, 1599.57, 1602.85, 1581.3, 4.855, 4.855, 4.855, 4052.45, 3944.55, 4059.15, 3944.55, 1430.73, 1423.82, 1431.23, 2.593, 2.6239999999999997, 2668.11, 2745.32, 2782.03, 1214.4, 1209.73, 1217.2, 1208.88, 2502.82, 2481.72, 2502.82, 2481.54, 120.53, 120.88, 4.062, 4.062, 4.783, 4.783, 4.783, 4.783, 753.4, 750.86, 755.37, 750.06, 1.1778, 1.1783, 4.0280000000000005, 4.0280000000000005, 43580.0, 43600.0, 42950.0, 21.1881, 53.11, 51.56, 26324.38, 26247.9, 26335.29, 16979.73, 16941.39, 9032.81, 8979.07, 9032.81, 8967.57, 12556.08, 12514.66, 12616.08, 12432.3, 120.3, 119.5, 120.5, 119.5, 1160.04, 1164.92, 1155.08, 736.43, 736.98, 730.9, 0.6594, 0.6626, 0.6639, 0.6588, 52.95, 52.15, 51.76, 1841.41, 1825.29, 1823.04, 1.2056, 1.2014, 794.26, 794.27, 787.87, 439.28, 439.28, 438.91, 616.2, 616.2, 14368.2, 1.9451, 1.961, 377.0, 396.5, 374.25, 42111.0, 41930.0, 41881.0, 1678.04, 1711.21, 1711.21, 1627.76, 4.11, 4.11, 4.11, 2815.84, 2766.5, 1.742, 1.76, 1.765, 1.742, 804.29, 796.35, 940.05, 939.05, 924.115, 922.815, 925.93, 917.2, 12565.16, 7.8149, 7.8334, 7362.53, 7289.443333333334, 7410.296666666666, 7241.676666666666, 645.71, 647.14, 648.48, 641.91, 1.5036, 1.4867, 1.48, 120.14, 12.798, 12.798, 458.75, 5.885, 4485.89, 4497.01
2007-01-16, 1389.71, 4.138999999999999, 4.138999999999999, 4.138999999999999, 1.2936, 1.2927, 1.2914, 505.38, 504.88, 506.11, 504.75, 10.243, 120.42, 120.53, 120.07, 6.6195, 6.4265, 6.72, 6.327999999999999, 43095.19, 43472.73, 42874.83, 3.8930000000000002, 3.8930000000000002, 3.8930000000000002, 3.8930000000000002, 6719.53, 6746.3, 6719.53, 1850.21, 1798.45, 1650.83, 1591.67, 1652.93, 1591.47, 4.901, 4.901, 4.901, 4078.4, 4052.85, 4099.65, 4052.4, 1431.315, 1427.275, 1432.58, 2.579, 2.6045, 2794.7, 2660.07, 2795.33, 1213.9, 1214.66, 1216.25, 1209.95, 2500.3, 2493.14, 2505.875, 2487.73, 120.345, 120.525, 4.1, 4.1, 4.646, 4.646, 4.646, 4.646, 751.67, 753.51, 754.09, 750.44, 1.1694, 1.1707, 4.062, 4.062, 43328.0, 44000.0, 43400.0, 21.2633, 53.33, 51.045, 26480.03, 26324.38, 26484.06, 17160.25, 17144.44, 9101.65, 9063.37, 9112.86, 9048.31, 12569.335, 12535.25, 12627.175, 12461.1, 120.975, 120.05, 121.35, 119.8, 1159.46, 1176.64, 1159.46, 735.83, 737.96, 733.75, 0.6585, 0.6594, 0.6604, 0.6573, 53.12, 53.09, 52.65, 1843.73, 1841.44, 1833.62, 1.2101, 1.2052, 792.87, 796.785, 788.75, 438.24, 438.24, 438.05, 620.4000000000002, 620.4000000000002, 14416.7, 1.9598, 1.9672, 396.75, 406.5, 388.375, 42307.0, 42290.0, 42111.0, 1730.47, 1694.16, 1730.47, 1694.16, 4.102, 4.102, 4.102, 2848.335, 2788.435, 1.742, 1.7469999999999999, 1.775, 1.742, 804.44, 800.22, 938.5, 936.6, 934.24, 930.96, 936.16, 930.96, 12714.67, 7.7913, 7.8192, 7250.49, 7069.21, 7250.49, 7069.21, 656.31, 648.66, 656.97, 648.19, 1.49195, 1.49585, 1.472, 120.04, 12.669, 12.669, 469.375, 5.9, 4494.11, 4498.71
2007-01-17, 1379.48, 4.138999999999999, 4.138999999999999, 4.138999999999999, 1.2919, 1.2941, 1.2909, 504.81, 505.94, 506.72, 504.25, 10.243, 120.09, 120.37, 120.07, 6.638, 6.58, 6.8, 6.456, 42915.61, 42915.61, 42415.48, 3.907, 3.907, 3.907, 3.907, 6735.83, 6746.63, 6705.21, 1851.63, 1847.35, 1641.31, 1650.83, 1680.41, 1636.15, 4.904, 4.904, 4.904, 4080.5, 4090.7, 4107.45, 4067.9, 1431.9, 1430.73, 1433.93, 2.565, 2.585, 2821.02, 2818.66, 2830.8, 1208.55, 1214.07, 1215.36, 1207.32, 2497.78, 2504.56, 2508.93, 2493.92, 119.915, 120.335, 4.093, 4.093, 4.753, 4.753, 4.753, 4.753, 749.58, 751.42, 753.44, 748.5, 1.1675, 1.1779, 4.0569999999999995, 4.0569999999999995, 43089.0, 43300.0, 42750.0, 21.233, 53.55, 50.53, 26480.33, 26479.83, 26487.17, 17190.9, 17175.85, 9073.0, 9103.95, 9115.09, 9067.3, 12582.59, 12555.84, 12638.27, 12489.9, 121.65, 120.6, 122.2, 120.1, 1173.87, 1178.24, 1168.69, 732.58, 736.17, 731.3, 0.6586, 0.6586, 0.6609, 0.6579999999999999, 52.26, 53.0, 52.04, 1834.95, 1843.2, 1832.36, 1.2081, 1.2023, 791.48, 799.3, 789.63, 437.53, 437.53, 437.31, 624.6, 624.6, 14355.6, 1.9646, 1.9707, 416.5, 416.5, 402.5, 42115.0, 42305.0, 42090.0, 1754.29, 1741.8, 1755.74, 1737.18, 4.087, 4.087, 4.087, 2880.83, 2810.37, 1.742, 1.765, 1.768, 1.742, 795.1, 794.06, 935.55, 935.35, 933.32, 937.31, 938.59, 930.3, 12708.19, 7.7546, 7.7954, 7123.88, 7250.49, 7250.49, 7123.88, 655.9, 657.85, 660.91, 652.75, 1.4803, 1.505, 1.464, 120.2, 12.54, 12.54, 480.0, 5.915, 4468.28, 4499.38
2007-01-18, 1383.21, 4.137, 4.137, 4.137, 1.2938, 1.2919, 1.2896, 505.26, 505.88, 506.05, 502.47, 10.272, 120.5, 120.54, 120.13, 6.234, 6.6560000000000015, 6.735, 6.2, 42625.81, 42929.97, 42252.02, 3.9360000000000004, 3.9360000000000004, 3.9360000000000004, 3.9360000000000004, 6716.67, 6732.31, 6672.76, 1810.63, 1808.06, 1610.76, 1641.3, 1655.15, 1597.21, 4.8919999999999995, 4.8919999999999995, 4.8919999999999995, 4076.45, 4084.9, 4096.75, 4071.55, 1430.62, 1431.77, 1435.27, 2.555, 2.55, 2778.9, 2828.4, 2870.42, 1211.93, 1208.35, 1213.56, 1207.51, 2479.42, 2487.89, 2496.93, 2475.83, 120.045, 120.215, 4.077, 4.077, 4.785, 4.785, 4.785, 4.785, 751.08, 749.28, 752.49, 748.36, 1.1763, 1.1772, 4.041, 4.041, 43139.0, 43320.0, 42600.0, 21.2143, 52.4, 50.28, 26558.5, 26480.33, 26610.61, 17153.25, 17002.67, 9104.6, 9080.43, 9119.01, 9063.96, 12577.15, 12563.53, 12613.28, 12550.95, 121.6, 120.5, 121.75, 119.3, 1170.63, 1180.62, 1170.56, 737.01, 737.76, 730.55, 0.6567, 0.6585, 0.6594, 0.6558, 52.78, 51.78, 50.75, 1845.78, 1834.51, 1833.38, 1.2041, 1.2023, 788.77, 793.57, 788.54, 439.14, 439.14, 438.89, 632.6, 630.5, 14295.0, 1.9615, 1.9726, 402.75, 420.5, 402.5, 41749.0, 42151.0, 41605.0, 1758.48, 1755.16, 1761.42, 1753.27, 4.073, 4.073, 4.073, 2897.48, 2875.15, 1.6909999999999998, 1.733, 1.733, 1.6880000000000002, 798.65, 794.33, 936.9, 936.1, 934.05, 926.45, 940.2, 924.64, 12705.71, 7.7661, 7.7884, 7153.87, 7123.88, 7153.87, 7123.88, 651.47, 654.89, 658.1, 650.63, 1.4998, 1.484, 1.4577, 120.32, 12.812999999999999, 12.812999999999999, 463.75, 5.89, 4464.86, 4481.24
2007-01-19, 1360.56, 4.162, 4.162, 4.162, 1.2954, 1.2944, 1.2896, 505.53, 506.71, 508.64, 504.24, 10.272, 120.55, 120.62, 120.31, 6.324, 6.2520000000000024, 6.38, 6.15, 42740.98, 43402.25, 42406.65, 4.026, 4.026, 4.026, 4.026, 6721.09, 6737.98, 6661.05, 1807.28, 1807.28, 1607.54, 1610.76, 1647.88, 1605.36, 4.9, 4.9, 4.9, 4109.05, 4075.2, 4140.25, 4075.2, 1426.37, 1430.59, 1432.96, 2.477, 2.5, 2756.98, 2760.94, 2784.04, 1213.63, 1211.77, 1216.02, 1207.71, 2443.21, 2475.33, 2475.8, 2438.11, 119.915, 120.155, 4.092, 4.092, 4.749, 4.749, 4.749, 4.749, 750.92, 750.78, 753.74, 746.22, 1.1727, 1.1774, 4.041, 4.041, 42881.0, 43780.0, 43070.0, 21.216, 52.69, 49.9, 26112.87, 26556.66, 26594.6, 17248.14, 17220.42, 9099.35, 9116.83, 9151.17, 9074.72, 12567.93, 12575.06, 12674.16, 12487.9, 119.75, 121.1, 121.6, 119.6, 1175.9, 1181.47, 1167.91, 738.68, 739.88, 735.51, 0.6561, 0.6567, 0.6578, 0.6553, 51.75, 53.1, 50.91, 1849.28, 1845.1, 1838.72, 1.2089, 1.2076, 778.21, 788.19, 776.87, 438.32, 438.32, 438.08, 627.1, 627.1, 14265.3, 1.9701, 1.9781, 411.5, 418.0, 405.25, 41711.0, 41899.0, 41647.0, 1777.71, 1764.92, 1783.65, 1764.92, 4.092, 4.092, 4.092, 2911.06, 2877.15, 1.71, 1.702, 1.733, 1.69, 798.48, 795.13, 936.7, 935.8, 933.86, 937.57, 938.64, 932.68, 12762.44, 7.7238, 7.7757, 7192.003333333332, 7146.303333333332, 7192.003333333332, 7146.303333333332, 654.89, 653.74, 655.41, 650.23, 1.4707, 1.5045, 1.453, 120.46, 12.607999999999999, 12.607999999999999, 477.0, 5.89, 4467.39, 4487.89
2007-01-22, 1363.41, 4.1339999999999995, 4.1339999999999995, 4.1339999999999995, 1.2966, 1.2962, 1.2913, 507.12, 504.5, 507.19, 502.75, 10.274, 120.41, 121.04, 120.29, 6.886, 6.3660000000000005, 6.98, 6.325, 42476.95, 43427.64, 42476.95, 4.0889999999999995, 4.0889999999999995, 4.0889999999999995, 4.0889999999999995, 6678.81, 6754.55, 6651.68, 1812.93, 1803.06, 1617.09, 1607.54, 1617.43, 1595.6, 4.895, 4.895, 4.895, 4090.15, 4126.0, 4137.15, 4058.35, 1430.5, 1426.35, 1431.57, 2.502, 2.476, 2832.21, 2761.89, 2833.45, 1213.95, 1213.67, 1218.89, 1208.56, 2451.31, 2437.63, 2453.79, 2435.68, 119.925, 120.415, 4.084, 4.084, 4.783, 4.783, 4.783, 4.783, 750.56, 750.86, 753.91, 746.89, 1.1740000000000002, 1.1757, 4.044, 4.044, 43655.0, 43550.0, 42640.0, 21.2115, 52.05, 50.12, 26213.38, 26112.87, 26304.51, 17340.38, 17242.77, 9155.12, 9077.19, 9155.12, 9054.28, 12565.53, 12567.93, 12649.89, 12462.5, 119.7, 119.25, 120.5, 119.25, 1173.59, 1182.19, 1170.36, 739.85, 742.43, 735.29, 0.6568, 0.6564, 0.6581, 0.655, 53.44, 51.5, 51.5, 1848.97, 1848.55, 1843.36, 1.2123, 1.2074, 785.16, 785.45, 775.17, 439.62, 439.62, 439.28, 633.5, 633.5, 14397.9, 1.9743, 1.9773, 412.5, 414.5, 405.75, 42123.0, 41715.0, 41615.0, 1795.56, 1775.49, 1795.56, 1768.66, 4.101, 4.101, 4.101, 2937.92, 2901.44, 1.71, 1.71, 1.71, 1.665, 798.94, 796.2, 936.4, 935.6, 936.28, 938.065, 940.1, 935.55, 12638.68, 7.7219, 7.7551, 7230.136666666667, 7168.7266666666665, 7230.136666666667, 7168.7266666666665, 658.17, 655.41, 660.09, 653.96, 1.5135, 1.4715, 1.466, 121.08, 12.845, 12.7, 471.0, 5.875, 4472.73, 4478.74
2007-01-23, 1363.09, 4.138, 4.138, 4.138, 1.2948, 1.2963, 1.2921, 503.51, 508.4, 509.0, 502.33, 10.296, 120.93, 121.03, 120.33, 7.319, 7.18, 7.37, 6.92, 43431.12, 43879.48, 43182.57, 4.104, 4.104, 4.104, 4.104, 6753.73, 6766.57, 6682.49, 1841.97, 1819.93, 1654.65, 1617.09, 1655.56, 1617.09, 4.913, 4.913, 4.913, 4102.45, 4089.6, 4114.5, 4069.95, 1422.95, 1430.47, 1431.39, 2.519, 2.526, 2933.19, 2857.9, 2934.65, 1217.61, 1213.15, 1220.61, 1212.31, 2431.07, 2454.5, 2454.66, 2422.92, 120.52, 120.6, 4.098, 4.098, 4.761, 4.761, 4.761, 4.761, 752.7, 750.18, 753.98, 749.4, 1.1725, 1.1839, 4.05, 4.05, 43802.0, 44220.0, 43460.0, 21.2239, 53.44, 50.8, 26432.25, 26213.27, 26432.25, 17429.9, 17401.32, 9102.15, 9154.48, 9182.07, 9085.15, 12477.16, 12566.33, 12619.04, 12389.68, 117.35, 119.1, 119.6, 116.8, 1180.57, 1190.76, 1180.21, 740.92, 743.38, 737.47, 0.6552, 0.6565, 0.6573, 0.6543, 52.7, 53.75, 52.18, 1858.26, 1847.66, 1846.82, 1.2138, 1.2107, 777.96, 785.04, 775.83, 439.76, 439.76, 439.21, 633.3, 633.3, 14359.7, 1.9742, 1.9789, 405.0, 409.25, 399.0, 42002.0, 42328.0, 41983.0, 1817.41, 1804.58, 1817.41, 1801.35, 4.073, 4.073, 4.073, 2930.51, 2910.92, 1.6580000000000001, 1.6580000000000001, 1.6780000000000002, 1.652, 794.89, 793.68, 940.2, 936.2, 938.7, 938.56, 941.56, 938.42, 12779.33, 7.7335, 7.7545, 7268.27, 7191.15, 7268.27, 7191.15, 655.12, 660.09, 661.03, 654.01, 1.5084, 1.5235, 1.495, 121.19, 12.925, 12.855, 466.0, 5.885, 4457.01, 4490.39
2007-01-24, 1383.06, 4.1339999999999995, 4.1339999999999995, 4.1339999999999995, 1.3025, 1.2949, 1.2928, 502.82, 503.84, 504.27, 498.97, 10.315, 120.91, 121.22, 120.79, 7.597, 7.32, 7.657, 7.31, 43549.37, 44243.06, 43432.47, 4.034, 4.034, 4.034, 4.034, 6692.83, 6704.36, 6627.96, 1856.4, 1840.91, 1664.18, 1654.64, 1666.3, 1643.39, 4.89, 4.89, 4.89, 4066.1, 4102.65, 4105.1, 4056.45, 1427.99, 1422.95, 1431.33, 2.5669999999999997, 2.56, 2949.14, 2964.69, 2970.68, 1224.72, 1216.98, 1226.86, 1215.83, 2431.41, 2428.26, 2447.03, 2425.98, 120.54, 120.85, 4.066, 4.066, 4.81, 4.81, 4.81, 4.81, 756.77, 752.34, 759.91, 751.4, 1.1823, 1.1854, 4.011, 4.011, 44425.0, 44570.0, 43550.0, 21.2956, 55.15, 52.41, 26810.0, 26432.63, 26811.12, 17350.31, 17321.29, 9105.5, 9104.45, 9147.58, 9070.93, 12533.8, 12467.96, 12553.44, 12467.96, 115.65, 116.9, 117.25, 115.35, 1181.35, 1183.13, 1171.93, 745.25, 746.62, 739.61, 0.6575, 0.6551, 0.6577, 0.6534, 55.1, 52.81, 52.59, 1863.2, 1857.24, 1856.3, 1.2109, 1.2102, 785.38, 788.69, 776.82, 441.04, 441.04, 440.67, 642.2, 642.2, 14368.6, 1.9762, 1.9918, 404.75, 410.75, 404.75, 42106.0, 42069.0, 41881.0, 1808.58, 1811.7, 1811.7, 1789.3, 4.088, 4.088, 4.088, 2935.4, 2906.01, 1.6680000000000001, 1.663, 1.67, 1.6569999999999998, 796.72, 792.93, 940.25, 939.75, 940.54, 938.71, 942.36, 935.62, 12765.52, 7.7288, 7.7662, 7141.73, 7268.27, 7268.27, 7141.73, 650.76, 651.41, 651.99, 647.35, 1.5763, 1.51, 1.5025, 121.08, 13.185, 13.185, 466.0, 5.92, 4429.38, 4458.66
