@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_High numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute EUR_USD_Low numeric
@attribute AEX_Low numeric
@attribute FTSE_Open_x numeric
@attribute FTSE_Low_x numeric
@attribute IDR_KRW_Open numeric
@attribute IDR_KRW_High numeric
@attribute IDR_KRW_Low numeric
@attribute CNY_KRW_Low numeric
@attribute GAS_Now numeric
@attribute Brazil_Now numeric
@attribute HONH_KONG_10_YEAR_Now numeric
@attribute HONH_KONG_10_YEAR_High numeric
@attribute HONH_KONG_10_YEAR_Low numeric
@attribute DAX_High numeric
@attribute DAX_Low numeric
@attribute RTSI_Now numeric
@attribute RTSI_Open numeric
@attribute RTSI_High numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute MOEX_Low numeric
@attribute UK_10_YEAR_Now numeric
@attribute UK_10_YEAR_Open numeric
@attribute UK_10_YEAR_High numeric
@attribute UK_10_YEAR_Low numeric
@attribute Nifty_Now numeric
@attribute Nifty_High numeric
@attribute S&P_Now numeric
@attribute S&P_Open numeric
@attribute S&P_High numeric
@attribute Copper_Now numeric
@attribute Copper_High numeric
@attribute Copper_Low numeric
@attribute SANGHAI_Now numeric
@attribute SANGHAI_Open numeric
@attribute EUR_KRW_Now numeric
@attribute EUR_KRW_Low numeric
@attribute NASDAQ_High numeric
@attribute NASDAQ_Low numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_Open numeric
@attribute HKD_KRW_Low numeric
@attribute FRANCE_10_YEAR_Now numeric
@attribute FRANCE_10_YEAR_Open numeric
@attribute FRANCE_10_YEAR_High numeric
@attribute FRANCE_10_YEAR_Low numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_Open numeric
@attribute US_10_YEAR_High numeric
@attribute US_10_YEAR_Low numeric
@attribute CHF_KRW_Now numeric
@attribute CHF_KRW_Low numeric
@attribute USD_CAD_Now numeric
@attribute USD_CAD_Open numeric
@attribute USD_CAD_High numeric
@attribute USD_CAD_Low numeric
@attribute GERMANY_10_YEAR_Now numeric
@attribute GERMANY_10_YEAR_Low numeric
@attribute iBovespa_Open numeric
@attribute iBovespa_Low numeric
@attribute INR_KRW_Now numeric
@attribute INR_KRW_Open numeric
@attribute INR_KRW_Low numeric
@attribute WTI_Low numeric
@attribute S&P_BMV_Open numeric
@attribute S&P_BMV_High numeric
@attribute NIKKEI_Open numeric
@attribute NIKKEI_Low numeric
@attribute SOUTH_KOREA_10_YEAR_Now numeric
@attribute SOUTH_KOREA_10_YEAR_Open numeric
@attribute SOUTH_KOREA_10_YEAR_High numeric
@attribute SOUTH_KOREA_10_YEAR_Low numeric
@attribute SMI_Now numeric
@attribute SMI_High numeric
@attribute DOWJONES_Open numeric
@attribute DOWJONES_Low numeric
@attribute US_COFFEE_Open numeric
@attribute US_COFFEE_High numeric
@attribute OMXS_Open numeric
@attribute OMXS_High numeric
@attribute OMXS_Low numeric
@attribute AUD_KRW_Now numeric
@attribute EUR_GBP_Now numeric
@attribute EUR_GBP_Open numeric
@attribute BRENT_OIL_High numeric
@attribute BRENT_OIL_Low numeric
@attribute GBP_KRW_Open numeric
@attribute GBP_KRW_High numeric
@attribute AUD_SGD_High numeric
@attribute AUD_SGD_Low numeric
@attribute Russell_Low numeric
@attribute BRL_KRW_Open numeric
@attribute BRL_KRW_High numeric
@attribute Gold_Now numeric
@attribute IBEX_Now numeric
@attribute IBEX_High numeric
@attribute GBP_USD_Now numeric
@attribute GBP_USD_Low numeric
@attribute Corn_Now numeric
@attribute Corn_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_Low_y numeric
@attribute IDX_Low numeric
@attribute SPAIN_10_YEAR_Now numeric
@attribute SPAIN_10_YEAR_Open numeric
@attribute NZD_USD_Open numeric
@attribute NZD_USD_Low numeric
@attribute CSE_Open numeric
@attribute CSE_High numeric
@attribute CSE_Low numeric
@attribute JAPAN_10_YEAR_Now numeric
@attribute JAPAN_10_YEAR_Open numeric
@attribute JAPAN_10_YEAR_Low numeric
@attribute CAD_KRW_Now numeric
@attribute CAD_KRW_Open numeric
@attribute CAD_KRW_High numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_Open numeric
@attribute USD_KRW_Low numeric
@attribute TA_Open numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute JPY_KRW_Low numeric
@attribute Tadawul_Now numeric
@attribute Tadawul_High numeric
@attribute Tadawul_Low numeric
@attribute SET_Now numeric
@attribute SET_High numeric
@attribute SET_Low numeric
@attribute HEATING_OIL_High numeric
@attribute ITALY_10_YEAR_Now numeric
@attribute ITALY_10_YEAR_Open numeric
@attribute USD_JPY_Now numeric
@attribute USD_JPY_Open numeric
@attribute Silver_Open numeric
@attribute Silver_High numeric
@attribute Silver_Low numeric
@attribute US_WHEAT_Open numeric
@attribute US_WHEAT_High numeric
@attribute AUS_10_YEAR_Now numeric
@attribute AUS_10_YEAR_Low numeric
@attribute BEL_Low numeric

@data
2011-01-03, 2070.08, 3.202, 3.141, 1.3212, 355.58, 5993.8, 5962.8, 12.729, 12.74, 12.539, 170.86, 4.338, 69304.81, 3.04, 3.04, 3.04, 7008.12, 6897.22, 1770.28, 1767.82, 1770.28, 1687.99, 1677.68, 1673.66, 3.4760000000000004, 3.4760000000000004, 3.4760000000000004, 3.4760000000000004, 6101.85, 6106.4, 1257.88, 1259.44, 1261.09, 4.356, 4.372, 4.335, 2759.58, 2751.97, 1502.64, 1496.5, 2671.11, 2661.83, 145.335, 147.24, 145.02, 3.361, 3.361, 3.361, 3.361, 3.367, 3.367, 3.367, 3.367, 1209.05, 1199.78, 0.9999, 1.0008, 1.0025, 0.997, 2.949, 2.949, 69740.0, 69740.0, 25.2276, 25.4384, 25.1673, 89.02, 38230.82, 38383.77, 10303.0, 10178.5, 4.47, 4.5, 4.5, 4.45, 6436.04, 6570.72, 11585.83, 11535.5, 238.5, 241.75, 1164.57, 1165.59, 1155.57, 1150.35, 0.8613, 0.853, 94.42, 92.34, 1775.96, 1778.45, 1.3194, 1.3029, 788.8, 683.28, 683.62, 1405.6, 9859.1, 9997.7, 1.5421, 1.5366, 616.0, 612.5, 20173.29, 20463.0, 20163.0, 3689.03, 5.483, 5.433, 0.7668, 0.7665, 6646.92, 6655.2, 6530.1, 1.1159999999999999, 1.156, 1.1159999999999999, 1130.84, 1144.63, 1147.04, 1130.95, 1146.35, 1128.85, 1326.36, 13449.77, 13493.64, 13400.71, 13.7958, 6648.705, 6660.99, 6628.295, 1032.76, 1036.72, 1029.96, 2.5309, 4.84, 4.84, 81.5, 81.63, 30.855, 30.9, 30.425, 798.75, 798.75, 5.585, 5.585, 2589.89
2011-01-04, 2085.14, 3.199, 3.123, 1.3251, 357.03, 5991.9, 5971.3, 12.429, 12.597, 12.429, 170.0, 4.65, 69962.32, 3.005, 3.005, 3.005, 7026.62, 6969.83, 1774.8442857142857, 1768.1699999999994, 1774.8442857142857, 1691.7014285714286, 1679.1542857142858, 1675.6171428571427, 3.4685000000000006, 3.4685000000000006, 3.4685000000000006, 3.4685000000000006, 6157.6, 6178.55, 1271.87, 1257.62, 1276.17, 4.452, 4.462, 4.415, 2806.115, 2788.65, 1501.97, 1491.46, 2704.86, 2676.34, 144.755, 144.13, 144.1, 3.332, 3.332, 3.332, 3.332, 3.3339999999999996, 3.3339999999999996, 3.3339999999999996, 3.3339999999999996, 1204.12, 1196.86, 0.9934, 0.995, 0.9951, 0.9886, 2.905, 2.905, 70105.0, 70105.0, 25.2022, 25.0531, 25.0531, 91.21, 38552.87, 38876.76, 10314.5, 10244.0, 4.57, 4.5, 4.57, 4.5, 6493.88, 6508.42, 11577.43, 11577.43, 238.7, 238.7, 1161.58, 1177.0, 1161.12, 1142.82, 0.8626, 0.8569, 96.17, 94.5, 1744.39, 1759.92, 1.3130000000000002, 1.3036, 788.8, 675.08, 684.43, 1422.6, 9888.3, 9993.6, 1.5482, 1.5433, 620.5, 620.0, 20436.28, 20138.0, 20103.0, 3704.44, 5.435, 5.502999999999999, 0.7782, 0.7728, 6635.87, 6668.01, 6635.87, 1.1395, 1.1375, 1.1175000000000002, 1131.89, 1126.02, 1139.32, 1124.65, 1120.85, 1120.85, 1332.64, 13490.06, 13511.81, 13363.705, 13.7451, 6676.66, 6682.71, 6646.05, 1037.585, 1042.76, 1035.01, 2.5881, 4.763999999999999, 4.763999999999999, 81.67, 81.13, 31.096, 31.195, 31.096, 793.13, 824.5, 5.541, 5.541, 2597.29
2011-01-05, 2082.55, 3.196, 3.105, 1.3291, 358.41, 5990.0, 5979.8, 12.499, 12.544, 12.445, 169.31, 4.669, 70317.79, 2.9560000000000004, 2.9560000000000004, 2.9560000000000004, 7025.86, 6952.02, 1779.4085714285711, 1768.52, 1779.4085714285711, 1695.412857142857, 1680.6285714285714, 1677.5742857142857, 3.4610000000000003, 3.4610000000000003, 3.4610000000000003, 3.4610000000000003, 6146.35, 6181.05, 1270.2, 1272.95, 1274.12, 4.364, 4.455, 4.35, 2852.65, 2825.33, 1497.76, 1492.01, 2700.88, 2663.64, 144.87, 144.68, 143.97, 3.293, 3.293, 3.293, 3.293, 3.338, 3.338, 3.338, 3.338, 1186.86, 1180.33, 0.999, 0.9937, 1.0034, 0.9912, 2.891, 2.891, 70900.0, 70265.0, 25.0556, 25.1859, 24.806, 88.36, 38605.8, 38720.83, 10326.0, 10309.5, 4.58, 4.56, 4.61, 4.56, 6494.31, 6530.83, 11670.9, 11582.99, 239.0, 240.5, 1180.5, 1181.56, 1165.78, 1131.69, 0.8538, 0.8623, 95.74, 92.58, 1740.75, 1758.6, 1.3075, 1.2918, 777.1, 682.18, 683.35, 1378.5, 9888.4, 9974.2, 1.5586, 1.5454, 608.5, 603.25, 20547.03, 20473.0, 20338.0, 3724.47, 5.348, 5.443, 0.7736, 0.7642, 6657.96, 6712.23, 6653.85, 1.163, 1.119, 1.119, 1126.74, 1131.2, 1134.64, 1125.5, 1125.8, 1120.3, 1334.68, 13530.35, 13529.98, 13326.7, 13.5958, 6699.96, 6704.4, 6676.14, 1042.41, 1048.8, 1040.06, 2.5723, 4.582, 4.582, 82.06, 81.67, 30.45, 30.45, 29.465, 803.25, 808.75, 5.497000000000001, 5.497000000000001, 2633.13
2011-01-06, 2077.61, 3.319, 3.135, 1.3123, 352.56, 6011.5, 5962.0, 12.503, 12.5705, 12.478, 169.49, 4.473, 71091.03, 2.9410000000000003, 2.9410000000000003, 2.9410000000000003, 6967.24, 6842.9, 1783.972857142857, 1768.87, 1783.972857142857, 1699.1242857142856, 1682.1028571428574, 1679.5314285714285, 3.5469999999999997, 3.5469999999999997, 3.5469999999999997, 3.5469999999999997, 6079.8, 6141.35, 1276.56, 1268.78, 1277.63, 4.402, 4.404, 4.3, 2838.59, 2833.12, 1477.68, 1473.3, 2702.2, 2671.89, 144.58, 144.67, 144.37, 3.346, 3.346, 3.346, 3.346, 3.463, 3.463, 3.463, 3.463, 1162.98, 1157.78, 0.9963, 0.9985, 1.0023, 0.993, 2.9539999999999997, 2.9539999999999997, 70500.0, 70430.0, 24.7876, 24.9833, 24.7082, 88.1, 38542.16, 38699.1, 10369.0, 10349.5, 4.63, 4.59, 4.64, 4.58, 6519.25, 6519.25, 11688.76, 11610.29, 234.1, 237.9, 1166.39, 1167.09, 1149.21, 1123.05, 0.8479, 0.8535, 95.86, 92.37, 1751.87, 1761.53, 1.2973, 1.2868, 782.3, 676.5, 679.66, 1373.4, 9801.4, 9882.4, 1.5512, 1.5451, 619.25, 600.25, 20551.58, 20486.0, 20226.0, 3728.91, 5.334, 5.37, 0.7677, 0.7562, 6701.85, 6775.35, 6701.26, 1.162, 1.166, 1.146, 1127.5, 1125.24, 1135.44, 1123.5, 1125.5, 1123.3, 1330.84, 13365.33, 13400.03, 13301.15, 13.4516, 6696.55, 6712.4, 6678.32, 1050.78, 1052.36, 1044.18, 2.5536, 4.582, 4.582, 83.19, 82.06, 29.755, 29.785, 28.72, 793.38, 809.88, 5.505, 5.505, 2613.59
2011-01-07, 2086.2, 3.279, 3.215, 1.2995, 356.28, 6036.7, 6002.8, 12.485, 12.52, 12.413, 168.58, 4.434, 70578.83, 3.011, 3.011, 3.011, 7047.59, 6949.07, 1788.537142857143, 1769.22, 1788.537142857143, 1702.8357142857144, 1683.577142857143, 1681.4885714285715, 3.525, 3.525, 3.525, 3.525, 6048.25, 6116.15, 1273.85, 1276.29, 1278.17, 4.3210000000000015, 4.4110000000000005, 4.309, 2824.2, 2838.43, 1461.39, 1458.66, 2712.35, 2697.73, 144.525, 144.38, 143.69, 3.341, 3.341, 3.341, 3.341, 3.3989999999999996, 3.3989999999999996, 3.3989999999999996, 3.3989999999999996, 1163.64, 1153.23, 0.9969, 0.9966, 0.9995, 0.9918, 2.924, 2.924, 71900.0, 71120.0, 24.7646, 24.7507, 24.6766, 87.85, 38696.24, 38772.9, 10495.0, 10490.5, 4.68, 4.67, 4.69, 4.66, 6532.84, 6588.23, 11716.93, 11615.31, 233.6, 236.85, 1162.985, 1166.025, 1150.62, 1117.59, 0.8411, 0.8471, 96.12, 94.01, 1741.12, 1746.09, 1.2942, 1.2854, 787.8, 670.33, 672.34, 1371.4, 9702.7, 9832.6, 1.5466, 1.5449, 602.0, 600.25, 20637.39, 20608.0, 20576.0, 3720.57, 5.492000000000001, 5.351, 0.7583, 0.7552, 6754.31, 6820.79, 6754.31, 1.225, 1.198, 1.198, 1126.92, 1125.38, 1130.24, 1123.2, 1122.5, 1117.7, 1336.65, 13407.56, 13413.18, 13290.89, 13.4286, 6687.076666666668, 6716.3, 6672.546666666666, 1050.98, 1056.44, 1045.18, 2.5586, 4.582, 4.582, 83.31, 83.19, 29.325, 29.345, 28.82, 809.0, 809.5, 5.55, 5.55, 2620.28
2011-01-10, 2080.81, 3.3, 3.1689999999999996, 1.2906, 354.31, 6009.5, 5970.0, 12.466, 12.503, 12.389, 168.68, 4.422, 70057.2, 2.988, 2.988, 2.988, 7010.89, 6939.88, 1793.1014285714284, 1769.57, 1793.1014285714284, 1706.547142857143, 1685.0514285714291, 1683.4457142857145, 3.516, 3.516, 3.516, 3.516, 5904.6, 6051.2, 1271.5, 1274.41, 1276.83, 4.272, 4.317, 4.25, 2838.8, 2820.66, 1448.92, 1446.4, 2715.96, 2676.36, 144.395, 144.46, 143.8, 3.33, 3.33, 3.33, 3.33, 3.3280000000000003, 3.3280000000000003, 3.3280000000000003, 3.3280000000000003, 1160.5, 1156.56, 0.9913, 0.9967, 1.0005, 0.9897, 2.862, 2.862, 71290.0, 70335.0, 24.7426, 24.811, 24.6537, 87.25, 38597.9, 38711.74, 10500.0, 10500.0, 4.71, 4.7, 4.73, 4.68, 6497.64, 6559.6, 11696.86, 11578.64, 232.55, 235.5, 1159.58, 1164.96, 1152.03, 1118.78, 0.8299, 0.8404, 94.58, 92.59, 1736.59, 1746.37, 1.2942, 1.284, 775.6, 665.5, 669.55, 1368.5, 9560.7, 9699.4, 1.5558, 1.541, 595.0, 595.0, 20542.06, 20651.0, 20361.0, 3607.33, 5.535, 5.475, 0.7557, 0.7556, 6809.73, 6903.3, 6809.73, 1.204, 1.209, 1.203, 1130.62, 1126.19, 1137.17, 1122.2, 1122.4, 1118.6, 1333.545, 13263.08, 13329.64, 13233.32, 13.3975, 6677.6033333333335, 6720.2, 6666.7733333333335, 1036.45, 1051.49, 1036.27, 2.5233, 4.784, 4.784, 83.14, 83.31, 28.97, 29.28, 28.425, 788.63, 793.75, 5.593, 5.593, 2603.37
2011-01-11, 2088.32, 3.198, 3.153, 1.2874, 353.63, 5978.5, 5938.5, 12.422, 12.5295, 12.371, 168.56, 4.399, 70127.04, 2.9530000000000003, 2.9530000000000003, 2.9530000000000003, 6941.39, 6835.74, 1797.6657142857143, 1769.92, 1797.6657142857143, 1710.2585714285715, 1686.525714285714, 1685.402857142857, 3.512, 3.512, 3.512, 3.512, 5762.85, 5907.25, 1269.75, 1270.84, 1271.52, 4.255, 4.271, 4.253, 2791.81, 2832.62, 1459.83, 1442.51, 2712.32, 2682.25, 144.98, 144.28, 143.75, 3.341, 3.341, 3.341, 3.341, 3.287, 3.287, 3.287, 3.287, 1165.07, 1155.8, 0.993, 0.993, 0.9985, 0.991, 2.8739999999999997, 2.8739999999999997, 70100.0, 70100.0, 24.8622, 24.7234, 24.6399, 88.13, 38608.68, 38633.83, 10483.5, 10483.5, 4.7, 4.69, 4.72, 4.69, 6446.32, 6498.05, 11672.34, 11545.87, 231.2, 235.15, 1158.74, 1160.42, 1149.38, 1122.82, 0.8314, 0.8296, 95.88, 93.6, 1741.1, 1764.12, 1.2945, 1.2848, 777.5, 666.21, 671.88, 1373.7, 9437.8, 9491.8, 1.5572, 1.5476, 607.0, 597.25, 20058.18, 20396.0, 20058.18, 3449.58, 5.556, 5.528, 0.7592, 0.7573, 6892.53, 6958.23, 6891.93, 1.1965, 1.2035, 1.1875, 1135.22, 1128.93, 1139.83, 1127.5, 1124.2, 1120.1, 1330.44, 13291.61, 13295.37, 13139.5, 13.4545, 6668.13, 6724.1, 6661.0, 1018.03, 1035.65, 1007.78, 2.5635, 4.896, 4.896, 82.72, 83.06, 28.9, 29.02, 28.89, 777.13, 783.0, 5.52, 5.52, 2553.31
2011-01-12, 2094.95, 3.245, 3.1710000000000003, 1.2905, 355.29, 5986.1, 5978.8, 12.423, 12.495, 12.319, 169.14, 4.481, 70423.44, 2.937, 2.937, 2.937, 6951.19, 6860.52, 1802.23, 1770.27, 1802.23, 1713.97, 1688.0, 1687.36, 3.552, 3.552, 3.552, 3.552, 5754.1, 5842.6, 1274.48, 1272.58, 1277.25, 4.3389999999999995, 4.345, 4.324, 2804.05, 2783.48, 1460.76, 1450.98, 2722.75, 2706.58, 144.85, 144.66, 143.99, 3.363, 3.363, 3.363, 3.363, 3.34, 3.34, 3.34, 3.34, 1156.47, 1149.0, 0.9901, 0.9932, 0.9951, 0.989, 2.932, 2.932, 71250.0, 70920.0, 24.9364, 24.7498, 24.7196, 88.93, 38380.77, 38562.7, 10467.0, 10467.0, 4.71, 4.71, 4.73, 4.69, 6534.84, 6542.64, 11638.51, 11601.57, 231.25, 236.7, 1158.41, 1175.03, 1154.88, 1111.31, 0.8314, 0.8313, 97.82, 95.08, 1751.63, 1761.32, 1.2927, 1.2724, 790.8, 665.96, 670.62, 1384.0, 9582.1, 9593.0, 1.5615, 1.5513, 607.0, 603.5, 20339.05, 20147.0, 20005.0, 3434.27, 5.521, 5.577999999999999, 0.7632, 0.7562, 6916.85, 6997.88, 6916.78, 1.189, 1.198, 1.172, 1136.8, 1132.36, 1138.88, 1126.0, 1127.0, 1121.8, 1328.23, 13341.9, 13421.81, 13245.12, 13.4597, 6701.28, 6702.16, 6662.1, 1013.39, 1018.75, 1008.24, 2.613, 4.838, 4.838, 83.36, 82.72, 29.65, 29.65, 29.4, 770.38, 776.88, 5.42, 5.42, 2568.88
2011-01-13, 2089.48, 3.281, 3.221, 1.2961, 359.05, 6024.3, 6019.8, 12.421, 12.4555, 12.274, 168.3, 4.5310000000000015, 71632.9, 2.967, 2.967, 2.967, 7070.4, 6958.5, 1868.94, 1802.23, 1868.94, 1759.46, 1714.04, 1714.04, 3.647, 3.647, 3.647, 3.647, 5863.25, 5874.2, 1285.96, 1275.65, 1286.87, 4.402, 4.4060000000000015, 4.35, 2821.31, 2811.79, 1459.46, 1443.67, 2737.33, 2722.32, 142.965, 144.55, 142.62, 3.438, 3.438, 3.438, 3.438, 3.367, 3.367, 3.367, 3.367, 1149.91, 1141.62, 0.986, 0.9901, 0.9913, 0.9844, 3.0580000000000003, 3.0580000000000003, 71550.0, 71545.0, 24.6891, 24.9058, 24.6226, 90.79, 38028.81, 38347.4, 10558.0, 10498.5, 4.64, 4.69, 4.69, 4.62, 6613.75, 6617.92, 11673.62, 11673.62, 236.4, 244.5, 1175.76, 1178.06, 1172.77, 1106.78, 0.8333, 0.8308, 98.85, 97.28, 1754.23, 1762.96, 1.2839, 1.2688, 797.3, 667.5, 669.19, 1385.7, 10101.2, 10106.2, 1.577, 1.558, 631.0, 605.5, 21116.39, 20420.0, 20420.0, 3455.41, 5.477, 5.496, 0.7592, 0.7564, 6992.71, 7053.13, 6992.71, 1.183, 1.2, 1.17, 1127.34, 1134.78, 1139.09, 1111.5, 1126.5, 1114.1, 1336.1, 13467.43, 13497.68, 13402.27, 13.3221, 6717.18, 6733.42, 6701.07, 1019.51, 1027.92, 1014.9, 2.6343, 4.836, 4.836, 83.09, 83.36, 29.8, 29.81, 29.56, 761.63, 789.88, 5.497000000000001, 5.497000000000001, 2583.06
2011-01-14, 2108.17, 3.3, 3.2439999999999998, 1.3087, 359.09, 6047.8, 6004.0, 12.274, 12.34, 12.252, 167.6, 4.407, 70721.44, 2.972, 2.972, 2.972, 7084.07, 7036.09, 1878.14, 1868.94, 1887.59, 1749.75, 1759.46, 1743.72, 3.6, 3.6, 3.6, 3.6, 5751.9, 5857.75, 1283.76, 1285.78, 1286.7, 4.367, 4.388999999999999, 4.341, 2827.71, 2830.53, 1486.19, 1452.83, 2742.43, 2727.14, 143.115, 142.64, 142.39, 3.4189999999999996, 3.4189999999999996, 3.4189999999999996, 3.4189999999999996, 3.299, 3.299, 3.299, 3.299, 1154.05, 1138.62, 0.989, 0.9862, 0.9911, 0.9853, 3.0469999999999997, 3.0469999999999997, 72150.0, 71470.0, 24.6483, 24.568, 24.5237, 90.75, 37963.31, 38070.19, 10598.0, 10568.5, 4.7, 4.65, 4.73, 4.63, 6562.47, 6613.2, 11753.7, 11666.32, 240.35, 241.2, 1178.96, 1179.84, 1171.08, 1109.88, 0.8438, 0.8329, 98.67, 97.3, 1747.89, 1767.26, 1.2885, 1.2734, 797.1, 662.64, 667.95, 1386.9, 10370.8, 10410.2, 1.5837, 1.5719, 642.5, 633.25, 21308.13, 21301.0, 21078.0, 3549.01, 5.371, 5.483, 0.7622, 0.7609999999999999, 7014.89, 7040.86, 6940.99, 1.185, 1.19, 1.183, 1124.64, 1124.4, 1130.32, 1112.5, 1109.5, 1107.5, 1339.32, 13492.26, 13505.44, 13383.53, 13.3197, 6734.2, 6754.043333333332, 6721.763333333332, 1035.08, 1035.08, 1025.97, 2.6260000000000003, 4.708, 4.708, 82.77, 83.09, 29.435, 29.48, 28.58, 775.63, 787.13, 5.547999999999999, 5.547999999999999, 2624.04
