@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_High numeric
@attribute EUR_USD_Open numeric
@attribute AEX_High numeric
@attribute AEX_Low numeric
@attribute FTSE_High_x numeric
@attribute IDR_KRW_Open numeric
@attribute IDR_KRW_Low numeric
@attribute CNY_KRW_High numeric
@attribute CNY_KRW_Low numeric
@attribute GAS_Open numeric
@attribute Brazil_High numeric
@attribute Brazil_Low numeric
@attribute HONH_KONG_10_YEAR_Now numeric
@attribute HONH_KONG_10_YEAR_Open numeric
@attribute HONH_KONG_10_YEAR_High numeric
@attribute DAX_Now numeric
@attribute DAX_Low numeric
@attribute MOEX_Open numeric
@attribute MOEX_High numeric
@attribute UK_10_YEAR_Open numeric
@attribute UK_10_YEAR_High numeric
@attribute Nifty_Open numeric
@attribute Nifty_Low numeric
@attribute S&P_Open numeric
@attribute S&P_Low numeric
@attribute Copper_Low numeric
@attribute SANGHAI_Now numeric
@attribute EUR_KRW_Open numeric
@attribute NASDAQ_Now numeric
@attribute NASDAQ_Open numeric
@attribute HKD_KRW_Open numeric
@attribute FRANCE_10_YEAR_Open numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_Open numeric
@attribute USD_CAD_Now numeric
@attribute USD_CAD_Open numeric
@attribute USD_CAD_High numeric
@attribute GERMANY_10_YEAR_Now numeric
@attribute GERMANY_10_YEAR_Open numeric
@attribute GERMANY_10_YEAR_High numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_High numeric
@attribute INR_KRW_Now numeric
@attribute INR_KRW_Low numeric
@attribute WTI_Low numeric
@attribute S&P_BMV_Open numeric
@attribute S&P_BMV_Low numeric
@attribute SOUTH_KOREA_10_YEAR_Low numeric
@attribute DOWJONES_High numeric
@attribute US_COFFEE_Now numeric
@attribute US_COFFEE_Open numeric
@attribute US_COFFEE_High numeric
@attribute US_COFFEE_Low numeric
@attribute OMXS_Low numeric
@attribute AUD_KRW_High numeric
@attribute EUR_GBP_Now numeric
@attribute EUR_GBP_Open numeric
@attribute BRENT_OIL_Now numeric
@attribute BRENT_OIL_Open numeric
@attribute BRENT_OIL_Low numeric
@attribute AUD_SGD_Now numeric
@attribute AUD_SGD_Open numeric
@attribute AUD_SGD_Low numeric
@attribute Russell_Now numeric
@attribute Russell_Low numeric
@attribute BRL_KRW_Now numeric
@attribute Gold_Now numeric
@attribute Gold_Open numeric
@attribute Gold_Low numeric
@attribute IBEX_High numeric
@attribute GBP_USD_Open numeric
@attribute GBP_USD_High numeric
@attribute Corn_Open numeric
@attribute Corn_Low numeric
@attribute IDX_Now numeric
@attribute SPAIN_10_YEAR_Open numeric
@attribute SPAIN_10_YEAR_High numeric
@attribute SPAIN_10_YEAR_Low numeric
@attribute NZD_USD_Now numeric
@attribute NZD_USD_Open numeric
@attribute CSE_Now numeric
@attribute CSE_Open numeric
@attribute JAPAN_10_YEAR_Now numeric
@attribute JAPAN_10_YEAR_Open numeric
@attribute JAPAN_10_YEAR_High numeric
@attribute CAD_KRW_High numeric
@attribute CAD_KRW_Low numeric
@attribute USD_KRW_Open numeric
@attribute USD_KRW_High numeric
@attribute USD_KRW_Low numeric
@attribute TA_Open numeric
@attribute TA_High numeric
@attribute S&P_TSX_High numeric
@attribute JPY_KRW_Open numeric
@attribute Tadawul_Open numeric
@attribute SET_Now numeric
@attribute SET_Open numeric
@attribute SET_High numeric
@attribute SET_Low numeric
@attribute HEATING_OIL_Now numeric
@attribute HEATING_OIL_Open numeric
@attribute ITALY_10_YEAR_Open numeric
@attribute ITALY_10_YEAR_High numeric
@attribute USD_JPY_Low numeric
@attribute Silver_Open numeric
@attribute Silver_High numeric
@attribute Silver_Low numeric
@attribute US_WHEAT_Now numeric
@attribute US_WHEAT_Open numeric
@attribute US_WHEAT_Low numeric
@attribute AUS_10_YEAR_High numeric
@attribute AUS_10_YEAR_Low numeric
@attribute BEL_Now numeric

@data
2013-1-2, 34.05, -0.035, 0.0011, -0.55, -1.63, -21.07, -0.016, -0.018000000000000002, 0.26, -0.6, 0.06, -124.92, 183.44, -0.005, -0.005, -0.011, -43.49, -37.41, -0.39, -1.97, -0.071, -0.078, -43.05, 14.8, -1.73, -0.22, -0.006999999999999999, 27.35, 0.3, -25.6, -24.75, -0.15, -0.013, -0.033, -0.033, 0.0018, 0.0008, 0.0012, -0.021, -0.064, -0.069, 458.0, -135.0, -0.0231, -0.0343, 0.27, -24.2, 120.88, -0.07, -46.28, -1.05, -0.95, 0.5, -1.2, 0.62, -0.44, -0.0044, 0.0025, -0.18, 0.46, -0.27, 0.0002, -0.0017, 0.0016, -5.3, 4.36, -3.41, -7.7, 7.8, -2.5, -36.7, -0.004, -0.0032, -1.5, -0.5, 34.83, 0.031, 0.02, -0.002, -0.0011, 0.0009, 18.11, 22.495, -0.001, 0.005, 0.002, 2.33, -5.96, -0.99, -2.14, -4.48, 26.43, 17.58, -2.55, -0.0843, -1.5466666669999998, -5.26, 16.53, 4.06, 7.61, -0.0275, 0.0259, 0.055, 0.045, 0.47, 0.25, 0.215, -0.02, 1.5, 1.25, 2.5, -0.012, 0.0, -20.48
2013-1-3, -11.69, 0.114, -0.0031, 5.25, 5.34, 68.6, -0.035, -0.022, -1.26, -0.54, -0.064, 1820.62, 574.39, 0.07400000000000001, 0.006, 0.07400000000000001, 166.39, 86.57, -0.698, 7.502000000000002, 0.066, 0.163, 95.45, 102.5, 8.09, 24.61, 0.065, 14.58, -15.33, 151.95, 126.21, -1.12, 0.042, 0.134, 0.134, -0.0121, -0.0021, -0.0028, 0.136, 0.048, 0.125, 1774.0, 1865.0, 0.1106, 0.003, 1.24, 216.77, 252.17, 0.05, 317.25, 2.55, -2.05, 0.75, -0.65, 11.93, 5.74, -0.0064, -0.0093, 1.85, 0.26, 1.44, 0.0121, 0.0012, 0.0004, 41.32, 17.25, -1.45, 33.0, 8.8, 16.3, 138.9, 0.0149, 0.0209, 14.5, -1.0, 29.79, -0.093, -0.105, -0.238, 0.0143, 0.0068, 76.66, 72.67, 0.010333333, -0.000666667, 0.009666667, -3.25, -1.33, -6.41, -6.11, -3.94, 26.43, 17.58, 217.53, -0.1844, -1.5466666669999998, 15.52, -0.52, 8.72, 9.1, 0.0015, -0.047, -0.133, -0.134, 0.59, 0.43, 1.135, 0.655, -19.5, 9.88, -14.5, 0.058, 0.009000000000000001, 49.0
2013-1-4, -7.47, 0.026, -0.0018, 0.29, 2.33, 6.73, -0.038, 0.003, -0.25, -0.35, -0.117, 585.59, 1351.14, 0.006, 0.09, 0.032, -22.34, 48.52, -0.698, 7.502000000000002, 0.092, 0.083, 33.2, 4.55, 36.23, 29.34, 0.039, 14.58, -1.94, -11.69, 17.16, 0.01, 0.053, 0.076, 0.076, 0.003, -0.0081, -0.0059, 0.032, 0.07400000000000001, 0.033, 546.0, 545.0, -0.0901, 0.002, 0.93, 600.23, 486.39, -0.08, 17.89, -2.9, 3.6, 1.95, 0.5, 9.48, -0.38, -0.0008, -0.0014, -0.33, 0.7, 0.36, 0.0024, 0.012, 0.0126, -0.82, 21.43, -0.32, -14.2, 13.3, -8.0, -25.0, 0.0008, -0.0124, -15.5, -2.75, 52.78, -0.17600000000000002, -0.151, -0.01, -0.0061, 0.0064, 46.66, 42.2, 0.010333333, -0.000666667, 0.009666667, -0.62, 6.3, -2.55, -1.55, -2.15, -1.81, -6.08, -48.17, -0.0823, 48.23333333, 0.96, 10.17, 4.23, 4.04, -0.0212, 0.0091, -0.147, -0.122, 0.23, 0.145, -0.335, -0.13, -4.63, -28.13, -2.38, 0.029, 0.06, 1.58
2013-1-7, -0.69, 0.053, -0.0139, 0.74, 0.29, 38.54, -0.015, 0.016, 0.06, 0.17, -0.033, -158.33, 73.5, 0.101, 0.096, 0.086, 19.93, -10.43, -0.698, 7.502000000000002, 0.117, 0.065, -3.85, -5.0, -3.05, 3.46, -0.008, 14.58, -14.28, 1.09, -7.61, -0.04, 0.083, -0.008, -0.008, -0.0008, 0.003, 0.0039, 0.071, 0.059, 0.08, -815.0, -305.0, -0.1799, -0.1669, -0.97, 70.76, 87.31, 0.0, 16.51, 0.85, -3.2, -4.1, -2.85, 0.28, -4.81, 0.003, -0.0011, -0.83, -0.48, -1.25, 0.0031, 0.0018, -0.0014, 6.55, 1.93, 2.45, -25.6, -39.1, -36.3, 24.4, -0.0151, -0.0148, -2.75, -5.5, 10.76, -0.022, -0.001, -0.006999999999999999, 0.0037, -0.0058, 17.26, 46.65, 0.010333333, -0.000666667, 0.009666667, -1.15, -3.37, -0.35, 0.4, 1.1, -1.445, -1.495, 0.23, 0.0058, 48.23333333, 8.25, -6.08, 0.86, -5.02, -0.0074, -0.0195, -0.048, -0.036000000000000004, 0.47, -1.34, -0.79, -1.245, -5.37, -4.37, -10.37, 0.036000000000000004, 0.05, -0.53
2013-1-8, -13.31, -0.021, 0.0024, 0.5, 0.99, 1.66, -0.008, -0.126, -0.04, -0.29, 0.079, -615.35, -775.64, -0.04, -0.054000000000000006, -0.048, -43.71, -14.13, -0.698, 7.502000000000002, -0.001, -0.028, 30.2, -4.4, 7.1, -2.37, -0.028, 8.37, 1.7, -2.85, -11.71, -0.11, -0.032, -0.002, -0.002, -0.0014, -0.0012, -0.0036, -0.028, 0.028, -0.02, -594.0, -615.0, -0.086, -0.0621, 0.9, 197.7, 39.53, 0.0, -10.98, 3.05, 1.95, 3.15, 4.0, 3.75, 3.62, 0.0003, 0.0034, 0.09, -0.3, 0.16, 0.0043, 0.0027, 0.0066, -3.35, 1.05, 2.35, -2.6, 9.5, 18.1, 38.6, -0.0031, 0.001, -7.5, -1.5, -17.64, 0.052000000000000005, 0.037000000000000005, 0.054000000000000006, 0.0054, 0.0027, -1.62, 19.15, 0.001, 0.045, 0.01, -0.23, 2.06, -0.81, -0.2, -1.8, -1.445, -1.495, 0.0, -0.1364, 48.23333333, -1.34, 17.79, 8.59, 15.35, 0.0144, -0.004, 0.041, 0.059, 0.39, 0.96, 0.185, 0.7, 3.37, -6.25, 3.75, 0.0, 0.011, -13.2
2013-1-9, -6.13, -0.018000000000000002, 0.0044, -0.72, -1.56, -3.32, -0.003, 0.0, 0.07, 0.36, -0.001, -433.88, -558.42, 0.008, 0.017, 0.021, -36.83, -29.94, -0.698, 7.502000000000002, -0.019, -0.019, -58.7, -12.75, -4.58, -4.98, 0.009000000000000001, -9.29, 5.32, -7.0, 9.29, 0.1, -0.025, -0.037000000000000005, -0.037000000000000005, 0.001, -0.0006, -0.0003, -0.028, -0.03, -0.022, -835.0, -425.0, 0.1092, -0.0203, 0.25, 59.26, 92.73, -0.06, -58.71, -2.25, 1.95, -0.55, -0.95, -5.81, 0.89, 0.0011, 0.0003, 0.54, 0.0, 0.58, 0.0005, 0.0044, 0.0021, -1.1, -2.73, -3.22, 16.0, -8.8, 3.9, 7.9, 0.0042, 0.0011, 5.0, 5.75, 5.17, 0.045, 0.018000000000000002, -0.003, -0.0005, 0.0063, 5.84, -4.59, 0.001, -0.002, -0.003, 0.48, 0.56, 0.77, -0.7, 1.85, -11.28, -5.1, -36.0, 0.0546, 10.19, 2.01, -8.19, -3.64, -7.24, 0.0264, 0.0216, 0.078, 0.012, -0.72, -0.14, -0.005, 0.215, -1.37, 4.0, 6.0, -0.04, -0.021, -5.5
2013-1-10, 14.99, -0.015, -0.0035, -0.82, -0.22, 24.09, 0.004, 0.027000000000000003, -0.04, -0.3, -0.058, -453.22, 21.77, 0.043, -0.011, 0.049, 24.64, 5.07, 40.09, -0.7, -0.038, -0.039, 22.75, -5.95, -4.74, 5.51, 0.002, -0.73, -2.74, 14.0, 1.19, 0.13, 0.016, -0.004, -0.004, 0.001, 0.0006, -0.0004, -0.008, 0.002, -0.009000000000000001, 381.0, -420.0, -0.0181, 0.0738, 0.01, -55.07, 160.98, -0.01, 39.13, -0.25, -2.7, -1.3, 0.3, -5.34, 0.73, 0.0003, 0.0008, -0.18, 0.48, -0.01, -0.0002, 0.0007, 0.0008, 4.81, 3.69, -0.92, -6.7, 10.9, 3.5, 120.7, -0.0062, -0.0053, 2.5, 2.75, -34.62, -0.049, 0.036000000000000004, -0.004, 0.0031, -0.0007, -6.83, 6.97, -0.004, -0.018000000000000002, -0.011, -0.51, -1.44, 1.14, -0.05, -2.1, 3.63, 0.9, 24.05, 0.1185, 38.39, 6.13, 7.75, 7.36, 13.55, 0.0114, 0.019, -0.086, -0.035, -0.07, -0.16, -0.12, -0.03, -1.25, -1.13, -4.5, -0.011, -0.03, 8.77
2013-1-11, -10.13, 0.024, -0.0016, 1.57, 0.91, 6.03, -0.026, -0.012, -0.21, -0.23, -0.08800000000000001, 135.43, 53.36, 0.006, 0.043, -0.016, -12.0, -3.47, 1.19, 1.23, -0.023, 0.059, -7.4, -11.15, 7.49, 3.87, 0.003, 8.32, -6.47, 15.95, 25.99, -0.49, -0.003, 0.039, 0.039, -0.0045, 0.0008, 0.0001, 0.073, -0.023, 0.057, 163.0, 120.0, 0.1076, 0.0642, 0.4, 295.01, 87.8, -0.02, 61.65, 1.75, 1.6, 0.75, 1.75, 6.42, 2.5, 0.0056, 0.0004, 0.13, -0.22, 0.49, 0.0041, -0.0008, 0.0005, 1.73, 1.88, 1.4, 22.5, 13.9, 21.3, 35.1, -0.0031, 0.0093, 6.75, 8.0, -45.57, 0.078, 0.02, -0.155, 0.0059, 0.0032, -12.89, -6.18, -0.001, 0.001, 0.001, -2.91, -1.19, -3.65, -1.05, -1.78, 10.4, 14.04, 89.57, -0.1612, 20.63333333, -17.47, 3.9, 0.23, -17.51, -0.0156, 0.0171, 0.005, -0.029, 1.03, 0.665, 0.555, 0.57, -3.63, -1.25, -1.0, 0.023, -0.006999999999999999, -1.12
2013-1-14, 10.37, 0.017, 0.0207, -0.59, -0.48, 3.28, -0.022, -0.085, -0.67, -0.58, 0.063, -264.37, 41.95, 0.043, 0.038, 0.087, 7.06, -1.16, -8.85, -5.39, 0.096, 0.011, 13.6, -6.7, 7.48, 6.56, -0.014, -40.66, 18.22, 3.88, -3.52, -0.23, 0.047, -0.033, -0.033, 0.0016, -0.0046, -0.0028, 0.03, 0.08199999999999999, 0.042, -155.0, -270.0, -0.1973, -0.103, -0.43, -7.42, 120.46, -0.01, 18.48, 3.7, 1.0, 3.6, 1.15, 1.26, 0.1, 0.0065, 0.0054, -1.25, 0.27, -2.0, -0.004, 0.0042, 0.001, -0.47, 0.86, -2.12, -17.3, 0.6, -18.3, 28.1, 0.0147, 0.0009, 3.75, -8.25, -11.45, -0.243, -0.257, -0.06, -0.0092, 0.0059, 14.28, -15.97, -0.008, 0.002, 0.012, 1.06, -0.63, -1.98, -4.58, -3.67, 2.12, 0.73, -15.28, -0.1278, 20.63333333, 6.07, -19.61, -17.15, -11.51, -0.0458, -0.0219, -0.126, -0.098, 0.82, 0.02, -0.045, -0.515, 11.88, -3.87, -7.75, 0.055, 0.095, -8.47
2013-1-15, -23.3, -0.019, 0.0068, -0.03, -2.69, 12.59, 0.012, 0.121, 0.0, 0.32, 0.18600000000000005, 601.93, 313.35, -0.048, 0.006, -0.054000000000000006, 13.99, 18.44, 3.68, 16.55, -0.062, -0.064, -45.2, 21.55, -0.07, -1.89, -0.019, 68.74, 7.79, -8.14, -8.47, -0.32, -0.019, -0.018000000000000002, -0.018000000000000002, -0.001, 0.0012, 0.0015, -0.037000000000000005, 0.008, -0.038, 468.0, 535.0, 0.1199, 0.0131, 0.3, 35.67, -44.29, 0.02, 23.5, -0.05, 3.75, 2.4, 3.65, 4.12, -4.32, 0.0047, 0.0077, 1.24, -1.33, 0.71, 0.0038, -0.0018, 0.0001, -0.67, 0.12, 0.26, 8.9, -7.7, 9.9, 43.7, -0.0041, -0.0023, 15.25, 26.75, 76.59, 0.019, 0.14400000000000002, 0.079, 0.0068, -0.0084, 1.875, 2.575, -0.021, -0.0055, -0.015, -2.89, -1.33, -2.13, -1.73, 1.15, 2.12, 0.73, 33.53, -0.1117, 20.63333333, 13.01, 10.04, 14.16, 21.42, 0.054000000000000006, -0.0478, 0.0, 0.018000000000000002, 0.39, -0.16, 0.265, 0.47, 12.37, 21.75, 27.12, -0.035, -0.04, -5.42
