@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Open numeric
@attribute EUR_USD_Now numeric
@attribute EUR_USD_Open numeric
@attribute EUR_USD_Low numeric
@attribute AEX_Now numeric
@attribute AEX_Open numeric
@attribute AEX_High numeric
@attribute FTSE_Open_x numeric
@attribute FTSE_Low_x numeric
@attribute IDR_KRW_Now numeric
@attribute IDR_KRW_Open numeric
@attribute IDR_KRW_High numeric
@attribute CNY_KRW_Open numeric
@attribute CNY_KRW_High numeric
@attribute GAS_Now numeric
@attribute GAS_Open numeric
@attribute GAS_High numeric
@attribute Brazil_Open numeric
@attribute Brazil_Low numeric
@attribute HONH_KONG_10_YEAR_Now numeric
@attribute HONH_KONG_10_YEAR_Open numeric
@attribute HONH_KONG_10_YEAR_High numeric
@attribute DAX_High numeric
@attribute DAX_Low numeric
@attribute RTSI_Open numeric
@attribute MOEX_Low numeric
@attribute UK_10_YEAR_Now numeric
@attribute UK_10_YEAR_Low numeric
@attribute Nifty_Now numeric
@attribute Nifty_Low numeric
@attribute S&P_Now numeric
@attribute S&P_High numeric
@attribute S&P_Low numeric
@attribute Copper_Open numeric
@attribute Copper_Low numeric
@attribute SANGHAI_Open numeric
@attribute SANGHAI_High numeric
@attribute EUR_KRW_Now numeric
@attribute EUR_KRW_High numeric
@attribute NASDAQ_Now numeric
@attribute NASDAQ_Open numeric
@attribute NASDAQ_High numeric
@attribute NASDAQ_Low numeric
@attribute HKD_KRW_Open numeric
@attribute HKD_KRW_High numeric
@attribute HKD_KRW_Low numeric
@attribute FRANCE_10_YEAR_Now numeric
@attribute FRANCE_10_YEAR_Open numeric
@attribute FRANCE_10_YEAR_High numeric
@attribute CHF_KRW_Now numeric
@attribute CHF_KRW_High numeric
@attribute CHF_KRW_Low numeric
@attribute USD_CAD_Now numeric
@attribute USD_CAD_High numeric
@attribute USD_CAD_Low numeric
@attribute GERMANY_10_YEAR_Open numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_Low numeric
@attribute INR_KRW_Now numeric
@attribute INR_KRW_High numeric
@attribute WTI_Now numeric
@attribute WTI_Open numeric
@attribute WTI_High numeric
@attribute WTI_Low numeric
@attribute S&P_BMV_High numeric
@attribute NIKKEI_Now numeric
@attribute NIKKEI_Open numeric
@attribute NIKKEI_Low numeric
@attribute SOUTH_KOREA_10_YEAR_Open numeric
@attribute SMI_Now numeric
@attribute SMI_Open numeric
@attribute SMI_Low numeric
@attribute DOWJONES_Now numeric
@attribute US_COFFEE_Now numeric
@attribute US_COFFEE_Open numeric
@attribute US_COFFEE_Low numeric
@attribute OMXS_Now numeric
@attribute OMXS_Open numeric
@attribute OMXS_Low numeric
@attribute AUD_KRW_Now numeric
@attribute AUD_KRW_Open numeric
@attribute AUD_KRW_High numeric
@attribute AUD_KRW_Low numeric
@attribute EUR_GBP_Open numeric
@attribute EUR_GBP_High numeric
@attribute EUR_GBP_Low numeric
@attribute BRENT_OIL_Open numeric
@attribute BRENT_OIL_High numeric
@attribute BRENT_OIL_Low numeric
@attribute GBP_KRW_Open numeric
@attribute AUD_SGD_Open numeric
@attribute Russell_High numeric
@attribute Russell_Low numeric
@attribute BRL_KRW_Now numeric
@attribute BRL_KRW_Low numeric
@attribute Gold_Now numeric
@attribute Gold_Open numeric
@attribute GBP_USD_Now numeric
@attribute GBP_USD_Low numeric
@attribute Corn_Now numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_Low_y numeric
@attribute IDX_Now numeric
@attribute IDX_Open numeric
@attribute SPAIN_10_YEAR_Now numeric
@attribute SPAIN_10_YEAR_Open numeric
@attribute NZD_USD_Open numeric
@attribute NZD_USD_High numeric
@attribute CSE_Now numeric
@attribute CSE_Open numeric
@attribute CSE_High numeric
@attribute CSE_Low numeric
@attribute JAPAN_10_YEAR_Open numeric
@attribute JAPAN_10_YEAR_High numeric
@attribute CAD_KRW_Now numeric
@attribute CAD_KRW_Open numeric
@attribute CAD_KRW_Low numeric
@attribute USD_KRW_Open numeric
@attribute USD_KRW_High numeric
@attribute TA_Now numeric
@attribute TA_Open numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Now numeric
@attribute JPY_KRW_Open numeric
@attribute JPY_KRW_Low numeric
@attribute Tadawul_Now numeric
@attribute Tadawul_Open numeric
@attribute Tadawul_Low numeric
@attribute SET_Now numeric
@attribute SET_Open numeric
@attribute HEATING_OIL_Now numeric
@attribute HEATING_OIL_Open numeric
@attribute HEATING_OIL_High numeric
@attribute ITALY_10_YEAR_Now numeric
@attribute USD_JPY_Now numeric
@attribute USD_JPY_High numeric
@attribute Silver_Now numeric
@attribute Silver_Open numeric
@attribute Silver_High numeric
@attribute Silver_Low numeric
@attribute US_WHEAT_Now numeric
@attribute US_WHEAT_High numeric
@attribute US_WHEAT_Low numeric
@attribute AUS_10_YEAR_Now numeric
@attribute AUS_10_YEAR_High numeric
@attribute BEL_Open numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2007-1-11, 9.52, 0.001, -0.0063, -0.0021, -0.0054, -3.38, -1.14, -3.77, 1.9, -48.4, -0.0535, 0.03, 0.0145, 0.31, 0.31, 0.124, 0.301, 0.077, -830.15, -171.75, 0.023, 0.023, 0.023, -72.94, -75.62, -108.23, -38.84, 0.01, 0.01, -61.1, -49.05, 2.74, 0.38, -0.1, 0.032, 0.052000000000000005, 127.06, 32.35, -6.88, -2.41, 15.5, -9.22, 11.47, 4.34, 0.06, 0.315, 0.29, 0.028, 0.028, 0.028, -3.96, -2.17, -3.32, -0.0008, -0.0003, 0.0023, 0.042, 268.0, -280.0, -0.0698, -0.0698, -1.62, -0.37, -0.39, -0.44, -388.34, -295.37, 173.53, -136.4, 0.01, -12.4, -47.01, -59.4, 25.56, 2.35, -1.3, 0.1, -10.04, -1.39, -14.07, -4.44, 1.4, -0.69, -2.96, -0.0019, -0.0013, -0.0007, -0.42, -0.32, -0.55, 2.85, -0.0001, 0.71, 4.45, -0.25, -0.17, -1.5, 4.6, -0.0076, -0.0056, 5.75, -206.0, -298.0, -293.0, -70.51, -74.8, 0.01, 0.01, 0.0029, -0.0012, 16.3, -4.55, 14.76, 0.97, 0.025, 0.02, -0.74, -0.29, -0.58, 1.95, 2.55, -13.37, -20.41, -15.91, -10.44, -0.0305, -0.0213, -143.3, -3.06, -143.3, 5.52, -23.32, -0.031, 0.0007, -0.001, 0.028, 0.25, 0.24, -0.14800000000000002, 0.15, 0.15, 0.15, -3.5, -6.5, -4.5, 0.005, 0.005, -12.7, -33.11, -25.02
2007-1-12, 23.06, 0.018000000000000002, -0.0041, -0.0065, -0.005, 7.67, 1.6, 6.12, -35.4, -11.8, -0.04, -0.054000000000000006, -0.024, 0.02, -0.06, -0.463, -0.038, -0.114, 334.76, 673.82, 0.032, 0.032, 0.032, 102.77, 40.34, -27.42, 27.68, 0.008, 0.008, 91.95, -8.1, 8.97, 11.13, 9.52, 0.138, 0.093, -18.74, -0.56, -2.34, -0.56, 25.52, 30.85, 28.12, 35.49, -0.14, -0.17, 0.02, 0.011, 0.011, 0.011, -0.33, -0.84, -0.84, 0.0009, 0.0008, -0.006, 0.003, 399.0, 710.0, -0.0406, -0.0406, -2.14, -2.16, -1.08, -1.64, 336.57, -104.23, -233.85, -89.11, 0.0, 126.31, 59.94, 70.38, 72.82, -0.1, 2.15, 1.7, 26.99, -10.04, 4.15, 4.85, -4.1, 1.37, 0.73, -0.0009, -0.0003, -0.0065, -2.15, -0.89, -1.44, -8.02, -0.006, 11.55, 6.36, 0.82, 0.67, 0.8, 0.8, 0.0143, 0.0001, 16.25, 582.0, 124.0, 126.0, -6.53, -17.1, 0.01, 0.01, -0.0048, 0.0002, 34.86, 16.3, 31.67, 17.43, -0.025, -0.02, 0.73, 0.61, 0.46, 0.1, -1.3, 4.38, 0.84, -3.0, 62.35, -0.0271, -0.0471, -112.04, -220.2333333, -172.4666667, 15.36, 15.82, -0.0451, -0.0418, -0.0156, 0.013, 0.8, 0.86, 0.025, 0.025, 0.025, 0.025, 7.0, 7.0, 3.0, 0.005, 0.005, 2.62, 65.31, 22.0
2007-1-15, 2.59, 0.037000000000000005, 0.0024, -0.0046, -0.0015, 2.68, 3.94, 2.99, 69.4, 74.1, 0.01, -0.02, -0.065, 0.45, 0.38, 0.309, -0.42, -0.053, 333.81, 585.47, 0.094, 0.094, 0.094, 9.43, 88.36, 28.77, 24.77, 0.044, 0.044, 110.2, 110.95, 6.91, 4.11, 7.74, -0.056, -0.036000000000000004, -74.05, -59.15, 3.67, -5.15, 17.97, 16.83, 13.36, 18.15, 0.13, 0.275, 0.1, 0.006999999999999999, 0.006999999999999999, 0.006999999999999999, 1.58, -1.46, -0.4, -0.0072, -0.0021, -0.0009, 0.01, 486.0, 690.0, 0.1128, 0.1128, 1.11, -1.52, -1.62, -0.24, 44.59, 218.84, 21.16, 182.93, 0.07, 44.9, 72.55, 82.59, 41.1, -0.35, -0.75, -0.3, -0.58, 26.99, 22.03, 3.11, 4.17, 0.5, 2.76, -0.0066, -0.0067, -0.0033, -0.88, -1.31, 0.11, 13.38, 0.0128, 3.27, 8.37, 2.15, 2.15, 13.1, 3.8, 0.0127, 0.0108, 20.0, 169.0, 424.0, 521.0, -25.8, -18.19, 0.036000000000000004, 0.036000000000000004, 0.0033, -0.0005, 43.86, 34.86, 44.56, 34.85, 0.02, 0.02, 6.27, -1.54, 1.23, 2.1, 2.3, 10.125, 8.145, 13.76, 158.91, -0.0465, 0.002, -112.04, -220.2333333, -172.4666667, 8.08, 21.49, 0.0232, -0.0313, -0.0428, 0.003, -0.18, 0.08, 0.423, 0.423, 0.423, 0.423, 23.0, 22.0, 6.75, 0.025, 0.025, 52.04, 18.86, 52.95
2007-1-16, -1.25, 0.029, 0.0019, 0.0036, 0.0048, 2.54, 5.44, 2.8, 8.9, 34.7, -0.0085, -0.046, -0.0325, -0.3, -0.41, 0.0185, 0.1535, 0.08, 425.71, 349.33, 0.028, 0.028, 0.028, 41.13, 59.58, -0.99, 10.17, 0.046, 0.046, 25.95, 107.85, 0.585, 1.35, 3.02, -0.0195, -0.0345, -85.25, 13.3, -0.5, -0.95, -2.52, 11.42, 3.055, 6.19, 0.14, -0.355, -0.26, 0.038, 0.038, 0.038, -1.73, -1.28, 0.38, -0.0026, -0.0076, -0.0024, 0.034, -252.0, 450.0, 0.0752, 0.0752, -0.89, 0.435, 0.22, -0.515, 148.77, 152.91, 180.52, 203.05, 0.0, 68.84, 84.3, 80.74, 13.255, 0.675, 0.55, 0.3, 14.41, -0.58, 4.38, -0.6, 4.51, 0.98, 2.85, -0.0032, -0.0035, -0.0015, 0.94, 0.51, 0.89, 16.15, 0.0045, 2.515, 0.88, -1.04, -0.86, -0.45, 4.2, 0.0066, 0.0144, 3.25, 196.0, 360.0, 230.0, 52.43, -17.05, -0.008, -0.008, 0.002, 0.0032, 32.205, 21.93, 32.495, 21.935, -0.013, 0.01, 0.15, 6.95, 3.87, -3.65, -3.45, 10.125, 8.145, 13.76, 76.55, 0.0171, -0.0038, -112.04, -220.2333333, -172.4666667, 10.6, 1.52, -0.01165, 0.00915, 0.0049, 0.037000000000000005, 0.16, -0.14, -0.129, -0.129, -0.129, -0.129, -7.75, -1.0, 2.875, 0.015, 0.015, 32.38, 1.7, 13.53
2007-1-17, -10.23, 0.0, -0.0017, 0.0014, -0.0005, -0.57, 1.06, 0.61, 24.5, -32.6, 0.0095, 0.005, 0.0085, -0.23, -0.16, 0.0185, 0.1535, 0.08, -179.58, -459.35, 0.014, 0.014, 0.014, 0.33, -14.32, 51.73, 44.68, 0.003, 0.003, 2.1, 15.5, 0.585, 1.35, 3.02, -0.0195, -0.0345, 158.59, 35.47, -5.35, -0.89, -2.52, 11.42, 3.055, 6.19, -0.19, -0.19, -0.17, -0.006999999999999999, -0.006999999999999999, -0.006999999999999999, -2.09, -0.65, -1.94, 0.0098, 0.0072, -0.0011, -0.005, -239.0, -650.0, -0.0303, -0.0303, -0.89, 0.435, 0.22, -0.515, 3.11, -7.46, 30.65, 31.41, -0.01, -28.65, 40.58, 18.99, 13.255, 0.675, 0.55, 0.3, -3.24, 14.41, 9.23, -3.25, -1.66, -1.79, -2.45, -0.0008, 0.0005, 0.0007, -0.09, 0.01, -0.61, 1.76, -0.002, 2.515, 0.88, -0.71, -0.74, -0.45, 4.2, -0.0041, 0.002, 3.25, -192.0, 15.0, -21.0, 23.82, 47.64, -0.015, -0.015, 0.0041, 0.0018, 32.205, 21.93, 32.495, 21.935, 0.018000000000000002, -0.006999999999999999, -9.34, 0.04, -6.16, -1.05, -1.25, -0.92, 6.35, -0.66, -35.04, -0.0161, -0.0337, -126.61, 181.28, 54.67, -0.41, 9.19, -0.01165, 0.00915, 0.0049, -0.009000000000000001, 0.19, 0.18, -0.129, -0.129, -0.129, -0.129, -7.75, -1.0, 2.875, 0.015, 0.015, -13.3, 0.67, -17.92
2007-1-18, 3.73, -0.002, 0.0019, -0.0022, -0.0013, 0.45, -0.06, -0.67, -47.8, -42.9, -0.019, 0.02, 0.02, -0.14, 0.17, -0.404, 0.076, -0.065, -289.8, -163.46, 0.029, 0.029, 0.029, -14.32, -32.45, -0.3, -38.94, -0.012, -0.012, -4.05, 3.65, -1.28, 1.34, -0.05, -0.035, -0.01, 9.74, 39.62, 3.38, -1.8, -18.36, -16.67, -12.0, -18.09, -0.4, -0.12, -0.01, -0.016, -0.016, -0.016, 1.5, -0.95, -0.14, -0.0037, -0.0007, 0.0074, -0.016, 50.0, -150.0, -0.0187, -0.0187, 1.03, -1.74, -1.15, -0.25, 123.44, 58.89, -37.65, -173.18, 0.02, 31.6, -23.52, -3.34, -5.44, -0.05, -0.1, -0.8, 5.27, -3.24, 1.87, 4.43, -3.58, 1.59, -0.75, -0.0001, -0.0015, -0.0022, -1.22, -0.6, -1.29, -8.69, -0.004, -5.73, -1.09, 1.61, 1.58, 7.5, 5.9, 0.0086, 0.0012, 5.0, -366.0, -154.0, -485.0, 4.19, 13.36, -0.014, -0.014, -0.0056, -0.0044, 2.37, 64.78, 16.65, 64.78, -0.032, -0.035, 3.55, -8.54, 0.27, -1.35, -0.15, 0.73, -10.86, -5.66, 10.09, -0.037000000000000005, -0.0064, 29.99, -126.61, 0.0, -4.43, -2.96, 0.0195, -0.021, -0.0138, -0.026, 0.0, 0.12, 0.273, 0.273, 0.273, 0.273, 13.0, -4.5, -0.5, -0.025, -0.025, -17.03, -18.14, -11.21
2007-1-19, -22.65, 0.025, 0.0016, 0.0025, 0.0, 0.27, 0.83, 2.59, -11.2, 41.0, 0.0045, -0.026, -0.0185, 0.3, 0.08, 0.09, -0.404, -0.355, 115.17, 154.63, 0.09, 0.09, 0.09, 5.67, -11.71, -35.85, 8.15, 0.008, 0.008, 32.6, 3.65, -4.25, -2.31, -4.36, -0.05, -0.035, -67.46, -86.38, 1.7, 2.46, -36.21, -12.56, -21.13, -37.72, 0.11, -0.06, -0.04, 0.015, 0.015, 0.015, -0.16, 1.25, -2.14, 0.0001, 0.0002, -0.0009, 0.0, -258.0, 470.0, 0.0017, 0.0017, -1.76, 1.2, 0.29, -0.38, -16.01, 109.58, 94.89, 217.75, 0.01, -5.25, 36.4, 10.76, -9.22, -1.85, 0.6, 0.3, -2.31, 5.27, -2.65, 1.67, 4.78, 2.12, 4.96, -0.0018, -0.0016, -0.0005, 1.32, 0.32, 0.16, 10.59, 0.0048, -5.38, -11.67, -0.82, -0.81, -5.0, -3.4, 0.0044, 0.0034, 4.25, -38.0, -252.0, 42.0, 19.23, 9.76, 0.019, 0.019, 0.0018, 0.0032, 24.29, 2.0, 13.58, 2.0, -0.031, 0.0, -0.17, 3.33, 0.8, 0.7, -0.3, -0.19, 11.12, 8.04, -89.73, 0.0106, -0.0368, 38.13333333, 22.42333333, 22.42333333, 3.42, -1.15, -0.0291, 0.0205, 0.0045, -0.004, 0.64, 0.72, -0.205, -0.205, -0.205, -0.205, -6.0, 5.0, 4.25, 0.0, 0.0, 6.27, 6.65, 0.61
2007-1-22, 2.85, -0.028, 0.0012, 0.0018, 0.0017, 1.59, -2.21, -1.45, 5.8, -26.5, 0.017, 0.031, 0.021, 0.39, 0.42, 0.562, 0.114, 0.6, -264.03, 70.3, 0.063, 0.063, 0.063, 16.57, -9.37, -6.91, -9.76, -0.005, -0.005, -18.9, -16.85, 4.13, -1.39, 0.98, -0.024, -0.009000000000000001, 0.95, 49.41, 0.32, 2.87, 8.1, -37.7, -22.01, -2.43, -0.14, 0.26, -0.07, -0.008, -0.008, -0.008, -0.36, 0.17, 0.67, -0.0012, -0.0017, -0.0014, 0.003, 774.0, -430.0, -0.0045, -0.0045, 1.51, -1.93, -0.64, 0.22, -290.09, -60.49, 92.24, 22.35, 0.0, 55.77, -39.64, -20.44, -2.4, -0.05, -1.85, -0.35, 6.98, -2.31, 2.45, 1.17, 2.27, 2.55, -0.22, -0.0003, 0.0003, -0.0003, -1.6, 0.2, 0.59, 3.45, 0.0034, -2.74, -1.7, 1.3, 1.2, 8.4, 6.4, -0.0004, 0.0061, -5.5, 412.0, -184.0, -32.0, 17.85, 10.57, 0.009000000000000001, 0.009000000000000001, 0.0026, 0.0, 9.48, 24.29, 26.86, 24.29, 0.008, -0.023, 0.46, -0.99, 1.07, 2.5, 2.9, 2.42, 0.495, 2.87, 78.31, -0.0401, 0.0023, 38.13333333, 22.42333333, 22.42333333, 3.28, 1.67, 0.0428, -0.033, 0.0129, 0.013, -0.01, -0.12, 0.237, 0.092, 0.092, 0.092, -4.0, -12.0, -2.25, -0.015, -0.015, -24.43, -9.15, -17.15
2007-1-23, -0.32, 0.004, -0.0018, 0.0001, 0.0008, -3.61, 3.9, 1.81, 26.9, 37.8, 0.0485, -0.009000000000000001, 0.0245, -0.44, -0.01, 0.433, 0.8140000000000001, 0.39, 954.17, 705.62, 0.015, 0.015, 0.015, 12.02, 30.81, 12.81, 21.49, 0.018000000000000002, 0.018000000000000002, 12.3, 11.6, -7.55, -0.18, -4.79, 0.05, 0.019, 96.01, 101.2, 3.66, 1.72, -20.24, 16.87, 0.87, -12.76, 0.0, 0.185, 0.09, 0.014, 0.014, 0.014, 2.14, 0.07, 2.51, 0.0104, 0.0082, 0.0016, 0.006, 147.0, 820.0, 0.0124, 0.0124, -0.86, 1.62, 1.39, 0.68, 127.74, 113.74, 89.52, 158.55, 0.0, -52.97, 77.29, 30.87, -88.37, -2.35, -0.15, -2.45, 0.78, 6.98, 9.85, 1.07, -0.03, 0.95, 2.18, 0.0001, -0.0008, -0.0007, 2.25, 1.05, 0.68, -0.89, 0.0015, -0.41, 0.66, 0.14, -0.07, -2.2, -0.2, 0.0023, 0.002, -2.5, -121.0, 613.0, 368.0, 21.85, 29.09, -0.028, -0.028, 0.0001, 0.0044, 10.47, 9.48, -7.41, 9.48, -0.052000000000000005, -0.032, -4.05, 0.61, -2.52, -2.7, 0.7, 2.42, 0.495, 2.87, -13.22, -0.0052, 0.008, 38.13333333, 22.42333333, 22.42333333, -3.05, 4.68, -0.0051, 0.052000000000000005, 0.0361, -0.009000000000000001, 0.31, 0.31, 0.08, 0.165, 0.165, 0.155, -2.0, -2.5, -1.0, 0.01, 0.01, 23.16, 11.65, 22.49
2007-1-24, 19.97, -0.004, 0.0077, -0.0014, 0.0007, -0.69, -4.56, -4.73, -18.8, -26.6, -0.0075, 0.041, 0.0055, 0.46, 0.19, 0.278, 0.14, 0.287, 118.25, 249.9, -0.07, -0.07, -0.07, -62.21, -54.53, 20.98, 26.3, -0.023, -0.023, -36.35, -13.5, 5.04, -0.06, 1.26, 0.034, 0.065, 106.79, 36.03, 7.11, 6.25, 0.34, -26.24, -7.63, 3.06, 0.61, 0.25, 0.57, -0.032, -0.032, -0.032, 4.07, 5.93, 2.0, -0.0018, 0.0015, 0.0073, -0.039, 623.0, 90.0, 0.0717, 0.0717, 3.91, 0.55, 1.71, 1.61, 378.87, -15.61, -79.59, -80.03, 0.0, 3.35, -50.03, -14.22, 56.64, -1.7, -2.2, -1.45, -6.22, 0.78, -8.28, 4.33, 1.29, 3.24, 2.14, -0.0014, 0.0004, -0.0009, -0.94, 0.58, 0.41, 9.58, -0.0029, 3.65, 0.99, 1.28, 1.46, 11.9, 8.9, 0.0057, 0.0035, 4.75, 104.0, -259.0, -102.0, -8.83, 7.12, 0.015, 0.015, 0.0041, 0.003, -15.38, 10.47, 4.89, -4.91, 0.005, -0.008, 1.83, -3.18, -0.75, 3.15, 1.15, 1.84, 0.15, -2.8, 205.1, 0.0099, 0.0084, -126.54, 77.12, -49.42, -4.36, -8.68, 0.0679, -0.0135, 0.024, -0.049, 0.08, -0.06, 0.26, 0.32, 0.32, 0.33, 15.25, 10.5, 2.0, 0.035, 0.035, -16.15, -31.73, -40.54
