@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Open numeric
@attribute CANADA_10_YEAR_High numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute EUR_USD_Now numeric
@attribute EUR_USD_High numeric
@attribute EUR_USD_Low numeric
@attribute AEX_Open numeric
@attribute AEX_Low numeric
@attribute FTSE_Now_x numeric
@attribute FTSE_High_x numeric
@attribute IDR_KRW_Now numeric
@attribute IDR_KRW_Open numeric
@attribute IDR_KRW_High numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Open numeric
@attribute CNY_KRW_High numeric
@attribute CNY_KRW_Low numeric
@attribute GAS_High numeric
@attribute Brazil_Now numeric
@attribute Brazil_High numeric
@attribute HONH_KONG_10_YEAR_Now numeric
@attribute HONH_KONG_10_YEAR_High numeric
@attribute HONH_KONG_10_YEAR_Low numeric
@attribute DAX_Now numeric
@attribute DAX_Low numeric
@attribute RTSI_Now numeric
@attribute RTSI_High numeric
@attribute RTSI_Low numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute MOEX_High numeric
@attribute MOEX_Low numeric
@attribute UK_10_YEAR_Now numeric
@attribute UK_10_YEAR_High numeric
@attribute UK_10_YEAR_Low numeric
@attribute Nifty_Now numeric
@attribute Nifty_High numeric
@attribute S&P_High numeric
@attribute S&P_Low numeric
@attribute Copper_Now numeric
@attribute Copper_Open numeric
@attribute SANGHAI_Now numeric
@attribute SANGHAI_Low numeric
@attribute EUR_KRW_Open numeric
@attribute EUR_KRW_Low numeric
@attribute NASDAQ_Now numeric
@attribute NASDAQ_Open numeric
@attribute HKD_KRW_Open numeric
@attribute HKD_KRW_Low numeric
@attribute FRANCE_10_YEAR_Low numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_High numeric
@attribute CHF_KRW_Now numeric
@attribute CHF_KRW_Low numeric
@attribute USD_CAD_Now numeric
@attribute USD_CAD_High numeric
@attribute GERMANY_10_YEAR_Now numeric
@attribute GERMANY_10_YEAR_Open numeric
@attribute GERMANY_10_YEAR_Low numeric
@attribute iBovespa_Now numeric
@attribute INR_KRW_Now numeric
@attribute INR_KRW_High numeric
@attribute INR_KRW_Low numeric
@attribute WTI_Now numeric
@attribute WTI_Low numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_Open numeric
@attribute S&P_BMV_High numeric
@attribute NIKKEI_Low numeric
@attribute SOUTH_KOREA_10_YEAR_Now numeric
@attribute SOUTH_KOREA_10_YEAR_High numeric
@attribute SMI_Open numeric
@attribute SMI_High numeric
@attribute DOWJONES_Now numeric
@attribute DOWJONES_High numeric
@attribute US_COFFEE_Now numeric
@attribute OMXS_Open numeric
@attribute OMXS_High numeric
@attribute AUD_KRW_Now numeric
@attribute AUD_KRW_High numeric
@attribute AUD_KRW_Low numeric
@attribute EUR_GBP_Now numeric
@attribute EUR_GBP_High numeric
@attribute BRENT_OIL_Open numeric
@attribute BRENT_OIL_High numeric
@attribute BRENT_OIL_Low numeric
@attribute GBP_KRW_Now numeric
@attribute GBP_KRW_Open numeric
@attribute GBP_KRW_High numeric
@attribute GBP_KRW_Low numeric
@attribute AUD_SGD_Now numeric
@attribute AUD_SGD_High numeric
@attribute AUD_SGD_Low numeric
@attribute Russell_Now numeric
@attribute Russell_High numeric
@attribute Russell_Low numeric
@attribute BRL_KRW_Open numeric
@attribute BRL_KRW_Low numeric
@attribute Gold_Open numeric
@attribute Gold_High numeric
@attribute Gold_Low numeric
@attribute IBEX_Now numeric
@attribute IBEX_Open numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute GBP_USD_Now numeric
@attribute GBP_USD_High numeric
@attribute Corn_Now numeric
@attribute Corn_Open numeric
@attribute Corn_Low numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute IDX_High numeric
@attribute SPAIN_10_YEAR_Open numeric
@attribute SPAIN_10_YEAR_High numeric
@attribute NZD_USD_High numeric
@attribute NZD_USD_Low numeric
@attribute CSE_Now numeric
@attribute CSE_Open numeric
@attribute CSE_High numeric
@attribute CSE_Low numeric
@attribute JAPAN_10_YEAR_Open numeric
@attribute JAPAN_10_YEAR_Low numeric
@attribute CAD_KRW_Now numeric
@attribute CAD_KRW_Open numeric
@attribute CAD_KRW_High numeric
@attribute CAD_KRW_Low numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_Open numeric
@attribute USD_KRW_Low numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute JPY_KRW_Now numeric
@attribute JPY_KRW_High numeric
@attribute Tadawul_Low numeric
@attribute SET_Now numeric
@attribute SET_Open numeric
@attribute SET_High numeric
@attribute SET_Low numeric
@attribute HEATING_OIL_Now numeric
@attribute HEATING_OIL_High numeric
@attribute HEATING_OIL_Low numeric
@attribute ITALY_10_YEAR_Open numeric
@attribute ITALY_10_YEAR_High numeric
@attribute USD_JPY_Now numeric
@attribute USD_JPY_Open numeric
@attribute USD_JPY_High numeric
@attribute Silver_Open numeric
@attribute Silver_High numeric
@attribute Silver_Low numeric
@attribute US_WHEAT_Open numeric
@attribute US_WHEAT_High numeric
@attribute AUS_10_YEAR_Open numeric
@attribute AUS_10_YEAR_Low numeric
@attribute BEL_Now numeric

@data
2007-01-11, 1365.31, 4.055, 4.055, 4.055, 1.2934, 1.3008, 1.2931, 493.9, 490.93, 6160.7, 6196.1, 10.335, 10.395, 10.432, 120.13, 120.33, 120.62, 120.03, 6.807, 42335.67, 42335.67, 3.739, 3.739, 3.739, 6566.56, 6531.25, 1770.67, 1798.09, 1749.22, 1569.83, 1571.93, 1580.65, 1528.85, 4.803, 4.803, 4.803, 3850.3, 3911.95, 1415.99, 1405.32, 2.6510000000000002, 2.542, 2825.58, 2770.99, 1219.92, 1212.19, 2459.33, 2434.04, 120.35, 120.19, 4.044, 4.69, 4.69, 752.15, 751.3, 1.1756, 1.1796, 4.015, 4.015, 4.015, 42695.0, 21.1159, 21.1159, 21.1066, 54.02, 53.44, 25885.8, 25780.84, 25954.13, 16847.57, 4.97, 4.97, 8846.58, 8874.4, 12442.16, 12487.18, 120.75, 1143.09, 1143.09, 728.47, 735.11, 727.41, 0.6694, 0.6709, 55.18, 55.31, 53.09, 1811.79, 1819.93, 1824.57, 1810.97, 1.1932, 1.2015, 1.1917, 778.87, 779.45, 773.14, 436.09, 436.09, 611.6, 611.6, 611.6, 14116.1, 14236.7, 14239.4, 14065.7, 1.9318, 1.9424, 360.25, 354.0, 352.5, 41382.0, 41566.0, 41234.0, 1747.27, 4.064, 4.064, 0.6932, 0.6855, 2731.65, 2715.35, 2739.61, 2714.22, 1.765, 1.761, 797.29, 797.55, 800.04, 794.66, 937.85, 939.95, 937.55, 906.44, 12457.55, 12461.21, 12474.16, 12412.55, 7.8373, 7.8923, 7586.61, 622.27, 609.83, 622.27, 608.14, 1.5255, 1.5679, 1.5162, 4.235, 4.235, 119.67, 119.34, 119.8, 12.35, 12.35, 12.35, 453.0, 457.5, 5.855, 5.855, 4405.87
2007-01-12, 1388.37, 4.073, 4.073, 4.073, 1.2893, 1.3016, 1.2881, 495.5, 493.22, 6230.1, 6233.1, 10.295, 10.341, 10.408, 120.47, 120.35, 120.56, 120.13, 6.693, 42670.32, 43127.95, 3.7710000000000004, 3.7710000000000004, 3.7710000000000004, 6687.3, 6571.59, 1800.61, 1808.23, 1769.31, 1599.67, 1569.64, 1608.19, 1556.53, 4.811, 4.811, 4.811, 3942.25, 3953.1, 1427.12, 1414.84, 2.648, 2.68, 2770.11, 2763.89, 1212.79, 1208.92, 2484.85, 2464.89, 120.21, 120.21, 4.055, 4.739, 4.739, 751.82, 750.46, 1.1765, 1.1804, 4.018, 4.018, 4.018, 43094.0, 21.0753, 21.0753, 21.0649, 51.88, 51.8, 26247.9, 25882.74, 26290.7, 16758.46, 4.97, 4.97, 8906.52, 8987.91, 12514.98, 12586.12, 120.65, 1133.05, 1161.04, 733.32, 736.48, 728.14, 0.6627, 0.6706, 53.03, 54.42, 51.65, 1827.24, 1811.91, 1835.14, 1811.07, 1.2074, 1.2105, 1.1925, 788.45, 791.0, 779.5, 436.76, 436.76, 612.4, 612.4, 612.4, 14328.8, 14183.2, 14328.8, 14105.2, 1.9461, 1.954, 376.5, 362.0, 362.0, 41506.0, 41954.0, 41360.0, 1732.09, 4.074, 4.074, 0.6934, 0.6859999999999999, 2766.51, 2731.65, 2771.28, 2731.65, 1.74, 1.7380000000000002, 798.02, 798.16, 803.23, 795.12, 938.95, 940.05, 937.75, 903.44, 12519.9, 12454.97, 12594.09, 12453.13, 7.7944, 7.8676, 7414.1433333333325, 637.63, 625.65, 639.47, 625.65, 1.4804, 1.5523, 1.4780000000000002, 4.248, 4.248, 120.47, 119.64, 120.66, 12.375, 12.375, 12.375, 450.5, 464.5, 5.86, 5.86, 4473.58
2007-01-15, 1390.96, 4.11, 4.11, 4.11, 1.2917, 1.2946, 1.2866, 499.44, 499.18, 6239.0, 6247.6, 10.305, 10.321, 10.343, 120.56, 120.8, 120.94, 120.35, 6.64, 43094.97, 43188.46, 3.865, 3.865, 3.865, 6705.17, 6659.95, 1797.59, 1805.55, 1793.51, 1591.47, 1599.57, 1602.85, 1581.3, 4.855, 4.855, 4.855, 4052.45, 4059.15, 1431.23, 1422.58, 2.593, 2.6239999999999997, 2668.11, 2652.58, 1209.73, 1208.88, 2502.82, 2481.72, 120.34, 120.31, 4.062, 4.783, 4.783, 753.4, 750.06, 1.1693, 1.1783, 4.0280000000000005, 4.0280000000000005, 4.0280000000000005, 43580.0, 21.1881, 21.1881, 21.173, 52.99, 51.56, 26324.38, 26247.9, 26335.29, 16941.39, 5.04, 5.04, 8979.07, 9032.81, 12556.08, 12616.08, 120.3, 1160.04, 1164.92, 736.43, 736.98, 730.9, 0.6594, 0.6639, 52.15, 53.11, 51.76, 1841.41, 1825.29, 1843.59, 1823.04, 1.2088, 1.2103, 1.2014, 794.26, 794.27, 787.87, 438.91, 438.91, 616.2, 616.2, 616.2, 14368.2, 14302.3, 14373.7, 14292.8, 1.9588, 1.961, 396.5, 377.0, 374.25, 41930.0, 42125.0, 41881.0, 1711.21, 4.11, 4.11, 0.6929, 0.6877, 2810.37, 2766.51, 2815.84, 2766.5, 1.76, 1.742, 804.29, 796.62, 804.64, 796.35, 940.05, 942.15, 939.05, 917.2, 12678.81, 12565.16, 12702.93, 12519.9, 7.8149, 7.8334, 7241.676666666666, 645.71, 647.14, 648.48, 641.91, 1.5036, 1.5095, 1.48, 4.251, 4.251, 120.29, 120.45, 120.74, 12.798, 12.798, 12.798, 458.75, 486.5, 5.885, 5.885, 4485.89
2007-01-16, 1389.71, 4.138999999999999, 4.138999999999999, 4.138999999999999, 1.2936, 1.2959, 1.2914, 504.88, 504.75, 6263.5, 6279.7, 10.2965, 10.275, 10.3105, 120.42, 120.5, 120.53, 120.07, 6.72, 42919.17, 43472.73, 3.8930000000000002, 3.8930000000000002, 3.8930000000000002, 6731.74, 6719.53, 1850.21, 1850.21, 1798.45, 1650.83, 1591.67, 1652.93, 1591.47, 4.901, 4.901, 4.901, 4078.4, 4099.65, 1432.58, 1425.6, 2.579, 2.6045, 2794.7, 2658.88, 1214.66, 1209.95, 2500.3, 2493.14, 120.48, 120.05, 4.1, 4.646, 4.646, 751.67, 750.44, 1.1667, 1.1707, 4.062, 4.062, 4.062, 43328.0, 21.2633, 21.2633, 21.2506, 52.1, 51.045, 26480.03, 26324.38, 26484.06, 17144.44, 5.04, 5.04, 9063.37, 9112.86, 12569.335, 12627.175, 120.975, 1159.46, 1176.64, 735.83, 737.96, 733.75, 0.6585, 0.6604, 53.09, 53.62, 52.65, 1843.73, 1841.44, 1846.17, 1833.62, 1.2084, 1.2129, 1.2052, 792.87, 796.785, 788.75, 438.05, 438.05, 620.4000000000002, 620.4000000000002, 620.4000000000002, 14416.7, 14414.3, 14455.7, 14411.9, 1.9654, 1.9672, 399.75, 396.75, 388.375, 42290.0, 42369.0, 42111.0, 1730.47, 4.102, 4.102, 0.6961, 0.6907, 2842.575, 2788.44, 2848.335, 2788.435, 1.7469999999999999, 1.742, 804.44, 803.57, 804.85, 800.22, 938.5, 938.5, 936.6, 930.96, 12755.36, 12714.67, 12776.4, 12678.81, 7.7913, 7.8192, 7069.21, 656.31, 648.66, 656.97, 648.19, 1.49195, 1.5144000000000002, 1.472, 4.288, 4.288, 120.45, 120.39, 120.6, 12.669, 12.669, 12.669, 469.375, 485.5, 5.9, 5.9, 4494.11
2007-01-17, 1379.48, 4.138999999999999, 4.138999999999999, 4.138999999999999, 1.2919, 1.2992, 1.2909, 505.94, 504.25, 6215.7, 6266.4, 10.306, 10.28, 10.319, 120.09, 120.27, 120.37, 120.07, 6.8, 42624.22, 42915.61, 3.907, 3.907, 3.907, 6716.82, 6705.21, 1851.63, 1879.86, 1847.35, 1641.31, 1650.83, 1680.41, 1636.15, 4.904, 4.904, 4.904, 4080.5, 4107.45, 1433.93, 1428.62, 2.565, 2.585, 2821.02, 2757.2, 1214.07, 1207.32, 2497.78, 2504.56, 120.29, 119.88, 4.093, 4.753, 4.753, 749.58, 748.5, 1.1765, 1.1779, 4.0569999999999995, 4.0569999999999995, 4.0569999999999995, 43089.0, 21.233, 21.233, 21.2237, 51.21, 50.53, 26480.33, 26479.83, 26487.17, 17175.85, 5.03, 5.03, 9103.95, 9115.09, 12582.59, 12638.27, 121.65, 1173.87, 1178.24, 732.58, 736.17, 731.3, 0.6586, 0.6609, 53.0, 53.63, 52.04, 1834.95, 1843.2, 1844.39, 1832.36, 1.2049, 1.2095, 1.2023, 791.48, 799.3, 789.63, 437.31, 437.31, 624.6, 624.6, 624.6, 14355.6, 14415.9, 14482.6, 14314.6, 1.9613, 1.9707, 403.0, 416.5, 402.5, 42305.0, 42377.0, 42090.0, 1755.74, 4.087, 4.087, 0.6979, 0.6936, 2874.78, 2810.37, 2880.83, 2810.37, 1.765, 1.742, 795.1, 803.61, 803.84, 794.06, 935.55, 937.45, 935.35, 930.3, 12720.32, 12708.19, 12760.22, 12679.59, 7.7546, 7.7954, 7123.88, 655.9, 657.85, 660.91, 652.75, 1.4803, 1.5193, 1.464, 4.279, 4.279, 120.64, 120.41, 120.78, 12.54, 12.54, 12.54, 480.0, 484.5, 5.915, 5.915, 4468.28
2007-01-18, 1383.21, 4.137, 4.137, 4.137, 1.2938, 1.2952, 1.2896, 505.88, 502.47, 6204.5, 6227.0, 10.287, 10.3, 10.339, 120.5, 120.13, 120.54, 120.13, 6.735, 42735.48, 42929.97, 3.9360000000000004, 3.9360000000000004, 3.9360000000000004, 6701.7, 6672.76, 1810.63, 1857.94, 1808.06, 1610.76, 1641.3, 1655.15, 1597.21, 4.8919999999999995, 4.8919999999999995, 4.8919999999999995, 4076.45, 4096.75, 1435.27, 1428.57, 2.555, 2.55, 2778.9, 2742.59, 1208.35, 1207.51, 2479.42, 2487.89, 119.89, 119.87, 4.077, 4.785, 4.785, 751.08, 748.36, 1.1728, 1.1772, 4.041, 4.041, 4.041, 43139.0, 21.2143, 21.2143, 21.2061, 52.24, 50.28, 26558.5, 26480.33, 26610.61, 17002.67, 5.05, 5.05, 9080.43, 9119.01, 12577.15, 12613.28, 121.6, 1170.63, 1180.62, 737.01, 737.76, 730.55, 0.6567, 0.6594, 51.78, 53.03, 50.75, 1845.78, 1834.51, 1848.24, 1833.38, 1.2102, 1.2117, 1.2023, 788.77, 793.57, 788.54, 438.89, 438.89, 630.5, 632.6, 630.5, 14295.0, 14367.7, 14408.2, 14233.0, 1.9699, 1.9726, 408.0, 402.75, 402.5, 42151.0, 42225.0, 41605.0, 1761.42, 4.073, 4.073, 0.6935, 0.6882, 2877.15, 2875.15, 2897.48, 2875.15, 1.733, 1.6880000000000002, 798.65, 795.07, 799.28, 794.33, 936.9, 936.1, 936.1, 924.64, 12730.41, 12705.71, 12751.16, 12651.37, 7.7661, 7.7884, 7123.88, 651.47, 654.89, 658.1, 650.63, 1.4998, 1.5055, 1.4577, 4.253, 4.253, 120.64, 120.63, 120.9, 12.812999999999999, 12.812999999999999, 12.812999999999999, 463.75, 480.0, 5.89, 5.89, 4464.86
2007-01-19, 1360.56, 4.162, 4.162, 4.162, 1.2954, 1.2978, 1.2896, 506.71, 504.24, 6210.3, 6257.2, 10.2915, 10.274, 10.3205, 120.55, 120.43, 120.62, 120.31, 6.38, 42477.92, 43402.25, 4.026, 4.026, 4.026, 6689.62, 6661.05, 1807.28, 1837.81, 1807.28, 1607.54, 1610.76, 1647.88, 1605.36, 4.9, 4.9, 4.9, 4109.05, 4140.25, 1432.96, 1424.21, 2.477, 2.5, 2756.98, 2679.7, 1211.77, 1207.71, 2443.21, 2475.33, 120.0, 119.83, 4.092, 4.749, 4.749, 750.92, 746.22, 1.1729, 1.1774, 4.041, 4.041, 4.041, 42881.0, 21.216, 21.216, 21.2044, 50.48, 49.9, 26112.87, 26556.66, 26594.6, 17220.42, 5.06, 5.06, 9116.83, 9151.17, 12567.93, 12674.16, 119.75, 1175.9, 1181.47, 738.68, 739.88, 735.51, 0.6561, 0.6578, 53.1, 53.35, 50.91, 1849.28, 1845.1, 1853.03, 1838.72, 1.2119, 1.2148, 1.2076, 778.21, 788.19, 776.87, 438.08, 438.08, 627.1, 627.1, 627.1, 14265.3, 14354.1, 14383.5, 14221.0, 1.9743, 1.9781, 412.25, 411.5, 405.25, 41899.0, 42008.0, 41647.0, 1783.65, 4.092, 4.092, 0.6967, 0.6917, 2901.44, 2877.15, 2911.06, 2877.15, 1.702, 1.69, 798.48, 798.4, 799.79, 795.13, 936.7, 936.8, 935.8, 932.68, 12640.68, 12762.44, 12795.94, 12629.66, 7.7238, 7.7757, 7146.303333333332, 654.89, 653.74, 655.41, 650.23, 1.4707, 1.51, 1.453, 4.249, 4.249, 121.28, 120.64, 121.62, 12.607999999999999, 12.607999999999999, 12.607999999999999, 477.0, 485.0, 5.89, 5.89, 4467.39
2007-01-22, 1363.41, 4.1339999999999995, 4.1339999999999995, 4.1339999999999995, 1.2966, 1.3002, 1.2913, 504.5, 502.75, 6237.2, 6243.3, 10.3085, 10.305, 10.3415, 120.41, 120.82, 121.04, 120.29, 6.98, 43427.64, 43427.64, 4.0889999999999995, 4.0889999999999995, 4.0889999999999995, 6747.17, 6651.68, 1812.93, 1815.49, 1803.06, 1617.09, 1607.54, 1617.43, 1595.6, 4.895, 4.895, 4.895, 4090.15, 4137.15, 1431.57, 1425.19, 2.502, 2.476, 2832.21, 2761.89, 1213.67, 1208.56, 2451.31, 2437.63, 119.86, 119.76, 4.084, 4.783, 4.783, 750.56, 746.89, 1.1717, 1.1757, 4.044, 4.044, 4.044, 43655.0, 21.2115, 21.2115, 21.1999, 51.99, 50.12, 26213.38, 26112.87, 26304.51, 17242.77, 5.06, 5.06, 9077.19, 9155.12, 12565.53, 12649.89, 119.7, 1173.59, 1182.19, 739.85, 742.43, 735.29, 0.6568, 0.6581, 51.5, 53.55, 51.5, 1848.97, 1848.55, 1856.59, 1843.36, 1.2149, 1.2154, 1.2074, 785.16, 785.45, 775.17, 439.28, 439.28, 633.5, 633.5, 633.5, 14397.9, 14239.4, 14398.3, 14182.0, 1.9739, 1.9773, 406.75, 412.5, 405.75, 41715.0, 42181.0, 41615.0, 1795.56, 4.101, 4.101, 0.6967, 0.6931, 2910.92, 2901.44, 2937.92, 2901.44, 1.71, 1.665, 798.94, 797.41, 801.47, 796.2, 936.4, 939.3, 935.6, 935.55, 12718.99, 12638.68, 12751.6, 12637.53, 7.7219, 7.7551, 7168.7266666666665, 658.17, 655.41, 660.09, 653.96, 1.5135, 1.5229, 1.466, 4.262, 4.262, 121.27, 121.21, 121.5, 12.7, 12.7, 12.7, 471.0, 473.0, 5.875, 5.875, 4472.73
2007-01-23, 1363.09, 4.138, 4.138, 4.138, 1.2948, 1.2982, 1.2921, 508.4, 502.33, 6218.4, 6270.9, 10.357, 10.296, 10.366, 120.93, 120.38, 121.03, 120.33, 7.37, 43553.3, 43879.48, 4.104, 4.104, 4.104, 6687.31, 6682.49, 1841.97, 1845.45, 1819.93, 1654.65, 1617.09, 1655.56, 1617.09, 4.913, 4.913, 4.913, 4102.45, 4114.5, 1431.39, 1420.4, 2.519, 2.526, 2933.19, 2857.9, 1213.15, 1212.31, 2431.07, 2454.5, 119.86, 119.85, 4.098, 4.761, 4.761, 752.7, 749.4, 1.1821, 1.1839, 4.05, 4.05, 4.05, 43802.0, 21.2239, 21.2239, 21.2123, 51.13, 50.8, 26432.25, 26213.27, 26432.25, 17401.32, 5.06, 5.06, 9154.48, 9182.07, 12477.16, 12619.04, 117.35, 1180.57, 1190.76, 740.92, 743.38, 737.47, 0.6552, 0.6573, 53.75, 54.6, 52.18, 1858.26, 1847.66, 1860.52, 1846.82, 1.2127, 1.2166, 1.2107, 777.96, 785.04, 775.83, 439.21, 439.21, 633.3, 633.3, 633.3, 14359.7, 14416.2, 14500.4, 14351.7, 1.9762, 1.9789, 404.25, 405.0, 399.0, 42328.0, 42328.0, 41983.0, 1817.41, 4.073, 4.073, 0.7011, 0.6939, 2921.39, 2910.92, 2930.51, 2910.92, 1.6580000000000001, 1.652, 794.89, 798.02, 802.83, 793.68, 940.2, 936.6, 936.2, 938.42, 12705.77, 12779.33, 12790.6, 12696.18, 7.7335, 7.7545, 7191.15, 655.12, 660.09, 661.03, 654.01, 1.5084, 1.5590000000000002, 1.495, 4.253, 4.253, 121.58, 121.24, 121.81, 12.865, 12.865, 12.855, 466.0, 470.5, 5.885, 5.885, 4457.01
2007-01-24, 1383.06, 4.1339999999999995, 4.1339999999999995, 4.1339999999999995, 1.3025, 1.3046, 1.2928, 503.84, 498.97, 6227.6, 6240.7, 10.3495, 10.337, 10.3715, 120.91, 120.84, 121.22, 120.79, 7.657, 44177.2, 44243.06, 4.034, 4.034, 4.034, 6678.93, 6627.96, 1856.4, 1859.23, 1840.91, 1664.18, 1654.64, 1666.3, 1643.39, 4.89, 4.89, 4.89, 4066.1, 4105.1, 1431.33, 1421.66, 2.5669999999999997, 2.56, 2949.14, 2851.92, 1216.98, 1215.83, 2431.41, 2428.26, 120.47, 120.42, 4.066, 4.81, 4.81, 756.77, 751.4, 1.1803, 1.1854, 4.011, 4.011, 4.011, 44425.0, 21.2956, 21.2956, 21.284, 55.04, 52.41, 26810.0, 26432.63, 26811.12, 17321.29, 5.06, 5.06, 9104.45, 9147.58, 12533.8, 12553.44, 115.65, 1181.35, 1183.13, 745.25, 746.62, 739.61, 0.6575, 0.6577, 52.81, 55.18, 52.59, 1863.2, 1857.24, 1873.0, 1856.3, 1.2165, 1.2184, 1.2102, 785.38, 788.69, 776.82, 440.67, 440.67, 642.2, 642.2, 642.2, 14368.6, 14354.6, 14394.2, 14304.7, 1.9819, 1.9918, 409.0, 404.75, 404.75, 42069.0, 42227.0, 41881.0, 1811.7, 4.088, 4.088, 0.7041, 0.6978, 2906.01, 2921.39, 2935.4, 2906.01, 1.663, 1.6569999999999998, 796.72, 794.84, 797.83, 792.93, 940.25, 939.75, 939.75, 935.62, 12910.87, 12765.52, 12910.87, 12705.77, 7.7288, 7.7662, 7141.73, 650.76, 651.41, 651.99, 647.35, 1.5763, 1.5830000000000002, 1.5025, 4.204, 4.204, 121.66, 121.62, 121.75, 13.185, 13.185, 13.185, 466.0, 481.0, 5.92, 5.92, 4429.38
