@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Now numeric
@attribute CANADA_10_YEAR_Open numeric
@attribute CANADA_10_YEAR_High numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute EUR_USD_Open numeric
@attribute AEX_Now numeric
@attribute AEX_Open numeric
@attribute AEX_High numeric
@attribute AEX_Low numeric
@attribute FTSE_High_x numeric
@attribute FTSE_Low_x numeric
@attribute IDR_KRW_High numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Low numeric
@attribute GAS_Open numeric
@attribute Brazil_Open numeric
@attribute Brazil_High numeric
@attribute Brazil_Low numeric
@attribute HONH_KONG_10_YEAR_Now numeric
@attribute HONH_KONG_10_YEAR_Open numeric
@attribute DAX_Now numeric
@attribute DAX_High numeric
@attribute DAX_Low numeric
@attribute RTSI_Now numeric
@attribute RTSI_Open numeric
@attribute RTSI_Low numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute MOEX_High numeric
@attribute UK_10_YEAR_Now numeric
@attribute UK_10_YEAR_High numeric
@attribute UK_10_YEAR_Low numeric
@attribute Nifty_Now numeric
@attribute Nifty_High numeric
@attribute S&P_Now numeric
@attribute S&P_Open numeric
@attribute S&P_Low numeric
@attribute Copper_Now numeric
@attribute Copper_Open numeric
@attribute SANGHAI_Now numeric
@attribute SANGHAI_Open numeric
@attribute EUR_KRW_High numeric
@attribute EUR_KRW_Low numeric
@attribute NASDAQ_Now numeric
@attribute NASDAQ_Open numeric
@attribute NASDAQ_High numeric
@attribute NASDAQ_Low numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_Open numeric
@attribute HKD_KRW_Low numeric
@attribute FRANCE_10_YEAR_Low numeric
@attribute US_10_YEAR_High numeric
@attribute US_10_YEAR_Low numeric
@attribute CHF_KRW_Now numeric
@attribute USD_CAD_Open numeric
@attribute USD_CAD_Low numeric
@attribute GERMANY_10_YEAR_High numeric
@attribute GERMANY_10_YEAR_Low numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_High numeric
@attribute iBovespa_Low numeric
@attribute INR_KRW_Open numeric
@attribute INR_KRW_High numeric
@attribute INR_KRW_Low numeric
@attribute WTI_High numeric
@attribute WTI_Low numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_Open numeric
@attribute NIKKEI_Now numeric
@attribute NIKKEI_Low numeric
@attribute SOUTH_KOREA_10_YEAR_Now numeric
@attribute SOUTH_KOREA_10_YEAR_High numeric
@attribute SMI_Now numeric
@attribute SMI_Open numeric
@attribute SMI_High numeric
@attribute US_COFFEE_High numeric
@attribute US_COFFEE_Low numeric
@attribute OMXS_High numeric
@attribute AUD_KRW_Now numeric
@attribute AUD_KRW_Open numeric
@attribute AUD_KRW_High numeric
@attribute EUR_GBP_Open numeric
@attribute EUR_GBP_Low numeric
@attribute BRENT_OIL_Now numeric
@attribute BRENT_OIL_High numeric
@attribute BRENT_OIL_Low numeric
@attribute GBP_KRW_Open numeric
@attribute AUD_SGD_High numeric
@attribute AUD_SGD_Low numeric
@attribute Russell_Now numeric
@attribute Russell_Open numeric
@attribute Russell_High numeric
@attribute BRL_KRW_Now numeric
@attribute BRL_KRW_Open numeric
@attribute Gold_Now numeric
@attribute Gold_High numeric
@attribute Gold_Low numeric
@attribute IBEX_Now numeric
@attribute IBEX_Low numeric
@attribute GBP_USD_Open numeric
@attribute Corn_Open numeric
@attribute Corn_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute IDX_Now numeric
@attribute IDX_Open numeric
@attribute SPAIN_10_YEAR_Now numeric
@attribute SPAIN_10_YEAR_High numeric
@attribute SPAIN_10_YEAR_Low numeric
@attribute NZD_USD_Now numeric
@attribute NZD_USD_Open numeric
@attribute NZD_USD_High numeric
@attribute CSE_Open numeric
@attribute CSE_Low numeric
@attribute JAPAN_10_YEAR_High numeric
@attribute JAPAN_10_YEAR_Low numeric
@attribute CAD_KRW_Now numeric
@attribute CAD_KRW_Open numeric
@attribute CAD_KRW_High numeric
@attribute CAD_KRW_Low numeric
@attribute USD_KRW_Open numeric
@attribute USD_KRW_High numeric
@attribute TA_Open numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute JPY_KRW_Low numeric
@attribute Tadawul_High numeric
@attribute Tadawul_Low numeric
@attribute SET_High numeric
@attribute SET_Low numeric
@attribute HEATING_OIL_Now numeric
@attribute HEATING_OIL_Open numeric
@attribute HEATING_OIL_High numeric
@attribute HEATING_OIL_Low numeric
@attribute ITALY_10_YEAR_Now numeric
@attribute ITALY_10_YEAR_Open numeric
@attribute ITALY_10_YEAR_Low numeric
@attribute USD_JPY_Now numeric
@attribute USD_JPY_High numeric
@attribute US_WHEAT_Now numeric
@attribute BEL_Now numeric
@attribute BEL_Open numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2015-01-02, 1926.44, 1.8119999999999998, 1.844, 1.848, 1.798, 1.2151, 421.59, 425.13, 425.13, 421.56, 6633.51, 6528.89, 8.849, 176.87, 176.21, 3.168, 50601.0, 50841.24, 49992.91, 1.943, 1.9340000000000002, 9805.55, 9886.78, 9805.55, 790.71, 774.43, 756.96, 1396.61, 1429.68, 1429.68, 1.794, 1.8459999999999999, 1.774, 8248.25, 8268.25, 2080.35, 2088.49, 2079.53, 2.8689999999999998, 2.861, 3165.81, 3160.8, 1338.93, 1330.52, 4777.44, 4793.61, 4803.89, 4772.88, 141.405, 141.69, 141.02, 0.826, 2.209, 2.167, 1109.12, 1.1633, 1.1595, 0.5660000000000001, 0.536, 50464.0, 51520.0, 50280.0, 17.2642, 17.3408, 17.1991, 54.32, 52.7, 43018.75, 43179.57, 17450.77, 17450.77, 2.5980000000000003, 2.616, 8983.37, 9015.8, 9037.53, 166.45, 164.5, 1476.33, 897.56, 893.73, 901.06, 0.7829999999999999, 0.7807, 57.9, 58.39, 56.74, 1705.23, 1.0842, 1.0748, 1213.05, 1216.15, 1220.05, 412.76, 406.64, 1281.9, 1281.9, 1281.9, 10279.2, 10269.4, 1.5515, 411.75, 406.0, 19011.96, 19001.6, 5226.95, 5177.94, 1.6, 1.676, 1.588, 0.7829, 0.7787, 0.7851, 7297.05, 7282.41, 0.344, 0.314, 944.68, 944.74, 946.9, 940.15, 1100.3, 1101.11, 1454.4, 14663.24, 14681.05, 9.0985, 8855.35, 8462.82, 1499.89, 1486.3, 1.8688, 1.858, 1.8802, 1.8341, 1.879, 1.9709999999999999, 1.8780000000000001, 119.48, 120.71, 603.25, 3276.41, 3305.2, 3307.23, 3276.41
2015-01-05, 1915.75, 1.744, 1.811, 1.818, 1.744, 1.2106, 422.28, 425.89, 428.09, 420.35, 6607.89, 6510.6, 8.8885, 178.36, 175.76, 2.845, 50004.5, 50004.5, 48345.26, 1.976, 1.963, 9764.73, 9879.53, 9687.26, 776.005, 780.115, 750.595, 1416.135, 1412.17, 1434.27, 1.719, 1.808, 1.7169999999999999, 8395.45, 8410.6, 2058.2, 2058.9, 2046.04, 2.838, 2.842, 3258.165, 3209.715, 1334.14, 1319.22, 4726.81, 4760.24, 4777.01, 4698.11, 142.71, 140.79, 140.65, 0.779, 2.213, 2.102, 1105.48, 1.1613, 1.1598, 0.555, 0.493, 48910.0, 50500.0, 48800.0, 17.2306, 17.4965, 17.2195, 55.11, 52.03, 42115.47, 43146.52, 17429.739999999998, 17334.995000000006, 2.662, 2.6639999999999997, 8961.11, 9009.31, 9054.19, 167.25, 160.2, 1472.61, 895.44, 892.92, 901.17, 0.7785, 0.7742, 56.42, 58.54, 55.48, 1696.99, 1.0842, 1.0748, 1198.8, 1209.85, 1214.15, 410.87, 410.73, 1267.7, 1265.0, 1265.0, 10350.8, 10232.3, 1.5585, 396.25, 391.5, 19130.26, 19156.72, 5242.77, 5233.8, 1.5130000000000001, 1.561, 1.508, 0.7706, 0.7798, 0.7804, 7300.29, 7298.95, 0.337, 0.318, 939.3, 939.61, 951.11, 938.17, 1092.73, 1107.27, 1457.21, 14637.34, 14756.3, 9.1014, 8606.14, 8282.735, 1500.995, 1484.585, 1.7957, 1.8533, 1.8777, 1.7871, 1.7590000000000001, 1.83, 1.756, 120.5, 120.75, 581.13, 3281.61, 3297.05, 3302.9, 3266.76
2015-01-06, 1882.45, 1.6909999999999998, 1.755, 1.764, 1.689, 1.2003, 410.94, 420.06, 424.58, 410.49, 6576.74, 6404.49, 8.8345, 178.43, 177.87, 3.076, 48512.22, 48512.22, 47263.91, 1.889, 1.895, 9473.16, 9790.27, 9468.58, 761.3, 785.8, 744.23, 1435.66, 1394.66, 1438.86, 1.6640000000000001, 1.766, 1.6580000000000001, 8378.4, 8445.6, 2020.58, 2054.44, 2017.34, 2.793, 2.8289999999999997, 3350.52, 3258.63, 1330.66, 1313.83, 4652.57, 4700.34, 4702.77, 4641.46, 143.105, 142.59, 142.35, 0.777, 2.133, 2.0269999999999997, 1102.16, 1.1779, 1.1741, 0.522, 0.4920000000000001, 48033.0, 49005.0, 47750.0, 17.4708, 17.578, 17.4339, 52.73, 49.68, 41099.37, 42134.66, 17408.71, 17219.22, 2.6289999999999996, 2.653, 8938.85, 9002.82, 9070.85, 168.65, 160.1, 1467.69, 897.16, 893.14, 899.39, 0.7828, 0.7747, 53.11, 56.3, 52.66, 1695.49, 1.0827, 1.0726, 1181.37, 1191.65, 1195.05, 410.11, 410.35, 1283.5, 1283.5, 1283.5, 9993.3, 9977.8, 1.5332, 395.75, 394.5, 18188.44, 18961.03, 5219.99, 5229.68, 1.558, 1.5730000000000002, 1.504, 0.7687, 0.7689, 0.7722, 7323.96, 7323.195, 0.33, 0.322, 943.54, 938.65, 945.42, 935.4, 1106.9, 1112.6, 1460.02, 14709.02, 14709.02, 9.1679, 8356.93, 8102.65, 1502.1, 1482.87, 1.7492, 1.7955, 1.7996, 1.7386, 1.807, 1.767, 1.764, 119.64, 120.64, 588.63, 3208.15, 3270.35, 3306.17, 3205.26
2015-01-07, 1883.83, 1.6369999999999998, 1.683, 1.6869999999999998, 1.6019999999999999, 1.1933, 408.43, 411.67, 414.62, 406.3, 6452.66, 6328.59, 8.7915, 176.88, 176.35, 2.9210000000000003, 47517.14, 48061.28, 47337.71, 1.776, 1.806, 9469.66, 9624.65, 9382.82, 746.48, 755.03, 723.21, 1480.73, 1435.39, 1481.3, 1.5819999999999999, 1.66, 1.546, 8127.35, 8327.85, 2002.61, 2022.15, 1992.44, 2.804, 2.795, 3351.45, 3330.8, 1325.35, 1304.77, 4592.74, 4666.85, 4667.33, 4567.6, 141.73, 142.97, 141.32, 0.7190000000000001, 2.039, 1.8869999999999998, 1088.01, 1.1763, 1.1729, 0.514, 0.442, 48499.0, 48800.0, 47565.0, 17.5048, 17.5262, 17.2342, 50.37, 47.55, 41329.41, 41101.01, 16883.19, 16881.73, 2.552, 2.595, 8874.47, 8948.89, 8991.26, 175.4, 168.05, 1454.5, 888.54, 896.24, 899.74, 0.7822, 0.7816, 51.1, 53.6, 50.52, 1690.9, 1.0877, 1.0764, 1161.32, 1183.15, 1184.65, 407.02, 409.67, 1292.2, 1292.2, 1292.2, 9871.1, 9871.1, 1.5249, 405.5, 402.25, 18143.26, 18298.26, 5169.06, 5186.2, 1.614, 1.621, 1.55, 0.7759999999999999, 0.7684, 0.7811, 7347.63, 7347.44, 0.319, 0.287, 928.53, 942.57, 944.35, 926.99, 1109.93, 1110.2, 1450.98, 14368.11, 14370.4, 9.2148, 8106.8, 7770.17, 1478.35, 1459.22, 1.7262, 1.75, 1.7629, 1.7025, 1.829, 1.851, 1.77, 118.41, 119.64, 592.13, 3190.24, 3213.48, 3226.41, 3189.48
2015-01-08, 1904.65, 1.655, 1.646, 1.681, 1.629, 1.1892, 411.21, 411.01, 413.96, 408.6, 6459.74, 6366.51, 8.705, 176.84, 176.08, 2.949, 48006.05, 49882.26, 48006.05, 1.706, 1.689, 9518.18, 9592.37, 9459.18, 779.25, 750.56, 733.99, 1514.06, 1458.755, 1523.03, 1.605, 1.6340000000000001, 1.567, 8102.1, 8151.2, 2025.9, 2005.55, 2005.55, 2.7960000000000003, 2.792, 3373.95, 3326.65, 1310.4, 1298.81, 4650.47, 4626.84, 4652.72, 4613.9, 141.68, 141.6, 141.1, 0.723, 2.009, 1.926, 1083.2, 1.1835, 1.1812, 0.486, 0.4320000000000001, 50003.0, 50480.0, 49100.0, 17.2696, 17.4509, 17.2082, 49.31, 46.83, 41813.93, 41331.12, 16885.33, 16808.26, 2.562, 2.562, 8900.83, 8881.03, 8945.58, 182.85, 173.0, 1441.31, 887.72, 887.62, 891.13, 0.7846, 0.7811, 51.15, 51.84, 49.66, 1663.47, 1.0825, 1.075, 1175.97, 1169.85, 1176.65, 409.44, 406.58, 1283.6, 1283.6, 1283.6, 9891.4, 9836.4, 1.5151, 404.75, 395.75, 18123.45, 18226.43, 5207.12, 5175.55, 1.7169999999999999, 1.72, 1.598, 0.7782, 0.7759999999999999, 0.7794, 7423.77, 7420.14, 0.304, 0.26899999999999996, 929.91, 927.6, 933.39, 924.07, 1099.0, 1103.95, 1456.93, 14324.37, 14427.44, 9.2022, 8208.7, 7986.06, 1500.83, 1478.26, 1.6999, 1.702, 1.7256, 1.6715, 1.929, 1.858, 1.8119999999999998, 119.25, 119.64, 579.13, 3193.83, 3212.63, 3213.59, 3186.74
2015-01-09, 1924.7, 1.706, 1.666, 1.719, 1.652, 1.1839, 423.07, 416.6, 424.14, 415.44, 6580.82, 6419.83, 8.6625, 176.28, 176.01, 2.877, 49463.15, 50260.72, 49017.31, 1.734, 1.739, 9837.61, 9855.43, 9607.9, 812.02, 746.09, 744.77, 1547.39, 1482.12, 1564.76, 1.6440000000000001, 1.656, 1.605, 8234.6, 8243.5, 2062.14, 2030.61, 2030.61, 2.807, 2.7960000000000003, 3293.46, 3371.96, 1304.48, 1287.18, 4736.19, 4689.54, 4741.38, 4688.02, 141.27, 141.55, 141.05, 0.777, 2.03, 1.9680000000000002, 1075.61, 1.1812, 1.1793, 0.516, 0.474, 50419.0, 50835.0, 49470.0, 17.3446, 17.5221, 17.3065, 49.65, 47.73, 42402.31, 41819.04, 17167.1, 17016.09, 2.559, 2.59, 9139.69, 8981.59, 9152.06, 182.35, 174.3, 1458.17, 889.88, 886.64, 893.16, 0.7834, 0.7802, 50.96, 51.91, 49.81, 1658.58, 1.0879, 1.0787, 1196.13, 1185.05, 1197.05, 411.38, 408.99, 1281.6, 1281.6, 1281.6, 10115.0, 9970.3, 1.5109, 396.5, 392.75, 18791.83, 18393.0, 5211.83, 5218.4, 1.675, 1.719, 1.6640000000000001, 0.7825, 0.778, 0.7832, 7441.58, 7438.52, 0.309, 0.284, 925.97, 928.95, 932.72, 924.24, 1098.74, 1102.0, 1463.98, 14368.58, 14506.14, 9.1262, 8335.34, 8133.39, 1523.32, 1514.18, 1.711, 1.6969999999999998, 1.7195, 1.6766, 1.851, 1.903, 1.8430000000000002, 119.66, 119.97, 567.38, 3283.22, 3235.79, 3283.22, 3231.27
2015-01-12, 1920.95, 1.6540000000000001, 1.7180000000000002, 1.722, 1.651, 1.1793, 415.59, 422.41, 424.23, 412.76, 6570.24, 6471.38, 8.6645, 174.88, 174.64, 2.9589999999999996, 49954.7, 49954.7, 48500.66, 1.7209999999999999, 1.755, 9648.5, 9860.18, 9601.75, 782.62, 810.07, 765.94, 1515.37, 1547.61, 1557.83, 1.588, 1.646, 1.588, 8284.5, 8303.3, 2044.81, 2063.45, 2038.33, 2.7910000000000004, 2.804, 3285.41, 3276.97, 1293.87, 1282.39, 4704.07, 4744.47, 4744.71, 4681.24, 140.055, 141.14, 139.85, 0.779, 2.028, 1.943, 1070.62, 1.1827, 1.1803, 0.527, 0.479, 49344.0, 50250.0, 48955.0, 17.4619, 17.5484, 17.3867, 49.61, 47.16, 42382.41, 42393.17, 17197.73, 17129.53, 2.539, 2.573, 9105.7, 9116.49, 9182.23, 183.85, 177.75, 1460.99, 890.86, 888.96, 894.27, 0.7814, 0.7781, 50.11, 51.44, 48.9, 1651.29, 1.0949, 1.0826, 1185.67, 1194.05, 1194.85, 412.84, 410.85, 1287.4, 1287.4, 1287.4, 9719.0, 9610.1, 1.509, 394.75, 393.0, 18177.09, 18684.58, 5216.66, 5226.89, 1.7209999999999999, 1.745, 1.666, 0.7839, 0.7823, 0.7853, 7521.67, 7497.6, 0.303, 0.276, 914.95, 925.04, 927.74, 913.07, 1095.51, 1097.1, 1465.1, 14484.62, 14496.91, 9.1014, 8416.869999999999, 8261.185, 1531.21, 1522.75, 1.703, 1.7088, 1.7347, 1.6753, 1.885, 1.848, 1.834, 118.53, 119.91, 562.38, 3248.19, 3274.53, 3297.29, 3228.92
2015-01-13, 1917.14, 1.607, 1.663, 1.6769999999999998, 1.601, 1.1838, 418.41, 417.05, 421.5, 413.63, 6542.43, 6447.91, 8.6615, 174.55, 173.92, 2.917, 48839.73, 48839.73, 47955.85, 1.645, 1.6669999999999998, 9781.9, 9815.96, 9622.32, 756.63, 776.45, 748.92, 1513.22, 1515.23, 1534.49, 1.577, 1.619, 1.56, 8323.0, 8332.6, 2028.26, 2046.13, 2022.58, 2.763, 2.793, 3229.32, 3258.21, 1289.83, 1277.58, 4664.71, 4714.07, 4715.81, 4650.65, 139.65, 139.91, 139.27, 0.746, 1.98, 1.902, 1066.88, 1.1864, 1.1835, 0.513, 0.466, 48596.0, 49555.0, 48360.0, 17.3833, 17.4815, 17.3158, 48.19, 45.62, 41780.78, 42373.81, 17142.72, 16978.9, 2.447, 2.52, 9152.97, 9148.99, 9200.63, 184.9, 175.3, 1460.11, 883.17, 889.66, 895.29, 0.7808, 0.7783, 47.43, 49.98, 47.16, 1647.08, 1.0993, 1.0863, 1180.07, 1187.35, 1187.35, 404.99, 412.43, 1303.2, 1303.2, 1303.2, 9797.5, 9682.1, 1.5184, 399.0, 390.0, 18349.15, 18310.17, 5187.93, 5202.75, 1.6280000000000001, 1.726, 1.6219999999999999, 0.7782, 0.7833, 0.7865, 7618.62, 7566.7, 0.2885, 0.2675, 904.23, 914.3, 917.21, 903.08, 1085.11, 1088.1, 1466.22, 14378.32, 14378.32, 9.0812, 8498.4, 8388.98, 1538.93, 1522.17, 1.6541, 1.7033, 1.7095, 1.6471, 1.801, 1.876, 1.796, 118.35, 119.34, 555.25, 3257.98, 3259.46, 3285.7, 3231.7
2015-01-14, 1913.66, 1.6019999999999999, 1.5859999999999999, 1.641, 1.584, 1.1833, 423.79, 415.76, 424.92, 414.82, 6558.83, 6465.19, 8.6255, 174.06, 173.56, 2.815, 48144.29, 48939.41, 48041.67, 1.56, 1.5959999999999999, 9941.0, 9978.94, 9755.02, 737.88, 755.23, 724.64, 1533.09, 1513.21, 1543.58, 1.5930000000000002, 1.6, 1.506, 8299.4, 8356.65, 2023.03, 2031.58, 2008.25, 2.679, 2.76, 3235.3, 3223.54, 1285.06, 1267.03, 4661.5, 4708.74, 4751.34, 4624.28, 139.145, 139.51, 138.82, 0.7170000000000001, 1.945, 1.864, 1057.47, 1.1975, 1.1924, 0.488, 0.456, 48391.0, 49350.0, 48335.0, 17.4232, 17.5046, 17.3378, 46.79, 44.2, 41478.26, 41781.04, 17087.71, 16828.27, 2.428, 2.451, 9285.63, 9130.58, 9292.44, 178.9, 173.85, 1468.85, 880.93, 882.25, 886.82, 0.7798, 0.7753, 46.59, 47.29, 45.19, 1640.97, 1.0943, 1.0852, 1180.63, 1190.35, 1202.55, 408.16, 404.59, 1304.5, 1304.5, 1304.5, 9966.0, 9757.3, 1.517, 402.0, 384.5, 18708.93, 18251.29, 5214.36, 5199.94, 1.6230000000000002, 1.633, 1.5930000000000002, 0.7738, 0.778, 0.7802, 7569.13, 7549.85, 0.27399999999999997, 0.259, 902.22, 903.16, 907.61, 899.43, 1082.72, 1086.6, 1463.5, 14285.13, 14369.84, 9.1037, 8503.49, 8268.5, 1537.08, 1515.08, 1.633, 1.6513, 1.656, 1.6031, 1.7890000000000001, 1.791, 1.755, 117.93, 118.85, 547.75, 3309.64, 3252.71, 3323.71, 3252.07
2015-01-15, 1914.14, 1.578, 1.581, 1.5959999999999999, 1.514, 1.1772, 418.33, 418.44, 425.3, 416.87, 6542.2, 6353.65, 8.6125, 174.77, 173.57, 2.9539999999999997, 48037.63, 48280.82, 47372.27, 1.5419999999999998, 1.574, 9817.08, 9962.98, 9768.1, 743.06, 738.15, 723.98, 1554.46, 1531.65, 1559.99, 1.5190000000000001, 1.5719999999999998, 1.4880000000000002, 8277.55, 8326.45, 2011.27, 2018.4, 1988.44, 2.553, 2.648, 3222.44, 3242.34, 1283.51, 1266.32, 4639.32, 4610.76, 4655.37, 4595.98, 139.645, 139.01, 138.74, 0.6559999999999999, 1.902, 1.784, 1063.03, 1.1957, 1.1925, 0.466, 0.424, 48088.0, 48755.0, 47695.0, 17.3864, 17.4764, 17.3538, 48.91, 45.01, 40984.22, 41478.38, 16795.96, 16770.56, 2.367, 2.447, 9198.2, 9200.88, 9281.82, 184.8, 177.6, 1459.68, 882.58, 880.01, 886.61, 0.7764, 0.773, 48.69, 49.21, 45.59, 1633.7, 1.0923, 1.0773, 1177.06, 1167.45, 1178.55, 413.94, 407.71, 1294.5, 1294.5, 1294.5, 9846.0, 9778.9, 1.516, 386.0, 376.0, 18410.68, 18451.36, 5159.67, 5217.2, 1.555, 1.653, 1.538, 0.7715, 0.7735, 0.7781, 7551.68, 7534.113333333334, 0.27, 0.255, 906.03, 901.23, 908.33, 899.57, 1078.78, 1086.32, 1467.63, 14119.75, 14119.75, 9.133, 8569.54, 8490.93, 1548.24, 1521.81, 1.6552, 1.6230000000000002, 1.6646, 1.589, 1.74, 1.815, 1.709, 117.33, 117.97, 538.13, 3274.03, 3281.95, 3309.71, 3258.45
