@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute EUR_USD_Now numeric
@attribute EUR_USD_Open numeric
@attribute AEX_Now numeric
@attribute AEX_Open numeric
@attribute AEX_High numeric
@attribute AEX_Low numeric
@attribute FTSE_Now_x numeric
@attribute FTSE_Open_x numeric
@attribute FTSE_High_x numeric
@attribute FTSE_Low_x numeric
@attribute IDR_KRW_Now numeric
@attribute IDR_KRW_Open numeric
@attribute IDR_KRW_High numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Open numeric
@attribute CNY_KRW_High numeric
@attribute GAS_Now numeric
@attribute GAS_Open numeric
@attribute GAS_Low numeric
@attribute Brazil_High numeric
@attribute HONH_KONG_10_YEAR_Now numeric
@attribute HONH_KONG_10_YEAR_High numeric
@attribute HONH_KONG_10_YEAR_Low numeric
@attribute DAX_Open numeric
@attribute DAX_High numeric
@attribute DAX_Low numeric
@attribute RTSI_Low numeric
@attribute MOEX_Open numeric
@attribute UK_10_YEAR_Now numeric
@attribute UK_10_YEAR_Open numeric
@attribute UK_10_YEAR_Low numeric
@attribute Nifty_Now numeric
@attribute Nifty_Open numeric
@attribute S&P_Open numeric
@attribute Copper_Now numeric
@attribute Copper_Open numeric
@attribute Copper_High numeric
@attribute Copper_Low numeric
@attribute SANGHAI_High numeric
@attribute EUR_KRW_Open numeric
@attribute EUR_KRW_High numeric
@attribute EUR_KRW_Low numeric
@attribute NASDAQ_Open numeric
@attribute NASDAQ_High numeric
@attribute NASDAQ_Low numeric
@attribute FRANCE_10_YEAR_Now numeric
@attribute FRANCE_10_YEAR_High numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_Open numeric
@attribute US_10_YEAR_High numeric
@attribute CHF_KRW_Now numeric
@attribute CHF_KRW_Open numeric
@attribute CHF_KRW_Low numeric
@attribute GERMANY_10_YEAR_High numeric
@attribute GERMANY_10_YEAR_Low numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_High numeric
@attribute iBovespa_Low numeric
@attribute INR_KRW_Open numeric
@attribute INR_KRW_Low numeric
@attribute WTI_Now numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_Open numeric
@attribute NIKKEI_Open numeric
@attribute NIKKEI_High numeric
@attribute NIKKEI_Low numeric
@attribute SOUTH_KOREA_10_YEAR_Open numeric
@attribute SMI_Now numeric
@attribute SMI_High numeric
@attribute DOWJONES_Low numeric
@attribute US_COFFEE_Now numeric
@attribute US_COFFEE_Open numeric
@attribute US_COFFEE_High numeric
@attribute US_COFFEE_Low numeric
@attribute OMXS_High numeric
@attribute OMXS_Low numeric
@attribute EUR_GBP_Now numeric
@attribute EUR_GBP_Open numeric
@attribute EUR_GBP_Low numeric
@attribute BRENT_OIL_Open numeric
@attribute BRENT_OIL_High numeric
@attribute BRENT_OIL_Low numeric
@attribute GBP_KRW_Now numeric
@attribute GBP_KRW_Low numeric
@attribute AUD_SGD_High numeric
@attribute AUD_SGD_Low numeric
@attribute Russell_High numeric
@attribute Russell_Low numeric
@attribute BRL_KRW_Open numeric
@attribute BRL_KRW_Low numeric
@attribute Gold_Now numeric
@attribute Gold_Low numeric
@attribute IBEX_Now numeric
@attribute IBEX_Open numeric
@attribute IBEX_High numeric
@attribute GBP_USD_Low numeric
@attribute Corn_Now numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_High_y numeric
@attribute SPAIN_10_YEAR_Now numeric
@attribute SPAIN_10_YEAR_Open numeric
@attribute SPAIN_10_YEAR_High numeric
@attribute SPAIN_10_YEAR_Low numeric
@attribute NZD_USD_Now numeric
@attribute NZD_USD_Open numeric
@attribute NZD_USD_High numeric
@attribute CSE_High numeric
@attribute CSE_Low numeric
@attribute JAPAN_10_YEAR_Now numeric
@attribute JAPAN_10_YEAR_High numeric
@attribute CAD_KRW_Open numeric
@attribute CAD_KRW_High numeric
@attribute CAD_KRW_Low numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_Low numeric
@attribute TA_High numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_High numeric
@attribute JPY_KRW_Now numeric
@attribute JPY_KRW_High numeric
@attribute Tadawul_Now numeric
@attribute Tadawul_High numeric
@attribute HEATING_OIL_Open numeric
@attribute ITALY_10_YEAR_Low numeric
@attribute USD_JPY_Now numeric
@attribute USD_JPY_Open numeric
@attribute USD_JPY_High numeric
@attribute Silver_Now numeric
@attribute US_WHEAT_Now numeric
@attribute AUS_10_YEAR_Now numeric
@attribute AUS_10_YEAR_Open numeric
@attribute AUS_10_YEAR_High numeric
@attribute AUS_10_YEAR_Low numeric
@attribute BEL_High numeric

@data
2011-01-03, 2070.08, 3.141, 1.3283, 1.3225, 356.36, 358.07, 358.12, 355.58, 5971.01, 5993.8, 6007.8, 5962.8, 12.573, 12.729, 12.74, 171.29, 172.98, 173.22, 4.338, 4.31, 4.235, 69527.17, 3.04, 3.04, 3.04, 6996.56, 7008.12, 6897.22, 1761.16, 1677.68, 3.4760000000000004, 3.4760000000000004, 3.4760000000000004, 6101.85, 6062.35, 1259.44, 4.356, 4.372, 4.372, 4.335, 2768.13, 1515.24, 1516.9, 1496.5, 2665.68, 2671.11, 2661.83, 3.361, 3.361, 3.367, 3.367, 3.367, 1209.05, 1210.78, 1199.78, 2.949, 2.949, 70050.0, 70395.0, 69740.0, 25.4384, 25.1673, 89.84, 38243.14, 38230.82, 10303.0, 10308.0, 10178.5, 4.5, 6436.04, 6570.72, 11535.5, 236.3, 238.5, 241.75, 235.2, 1165.59, 1155.57, 0.8613, 0.853, 0.8515, 94.18, 94.42, 92.34, 1744.61, 1734.96, 1.3194, 1.3029, 794.0, 788.8, 683.28, 674.13, 1405.6, 1403.1, 9859.1, 9985.1, 9997.7, 1.5366, 616.0, 20173.29, 20463.0, 20466.0, 5.483, 5.433, 5.5089999999999995, 5.42, 0.7715, 0.7668, 0.7726, 6655.2, 6530.1, 1.1159999999999999, 1.157, 1144.63, 1147.04, 1126.81, 1130.95, 1128.85, 1330.79, 1321.26, 13434.41, 13493.64, 13.8622, 14.050999999999998, 6648.705, 6660.99, 2.5195, 4.84, 81.5, 81.63, 81.86, 30.488000000000003, 784.75, 5.585, 5.585, 5.585, 5.585, 2616.42
2011-01-04, 2085.14, 3.123, 1.3354, 1.3348, 359.86, 357.91, 360.56, 357.03, 5992.440000000001, 5991.9, 6028.65, 5971.3, 12.51, 12.429, 12.597, 170.67, 170.0, 171.72, 4.65, 4.492, 4.4910000000000005, 70470.97, 3.005, 3.005, 3.005, 6973.39, 7026.62, 6969.83, 1762.1085714285714, 1679.1542857142858, 3.4685000000000006, 3.4685000000000006, 3.4685000000000006, 6157.6, 6177.45, 1257.62, 4.452, 4.437, 4.462, 4.415, 2811.7650000000012, 1495.31, 1507.3, 1491.46, 2676.65, 2704.86, 2676.34, 3.332, 3.332, 3.3339999999999996, 3.3339999999999996, 3.3339999999999996, 1204.12, 1197.5, 1196.86, 2.905, 2.905, 70682.0, 71300.0, 70105.0, 25.0531, 25.0531, 91.55, 38605.8, 38552.87, 10314.5, 10358.5, 10244.0, 4.5, 6493.88, 6508.42, 11577.43, 238.7, 238.7, 238.7, 238.7, 1177.0, 1161.12, 0.8626, 0.8569, 0.8538, 94.75, 96.17, 94.5, 1741.36, 1734.25, 1.3130000000000002, 1.3036, 801.7, 788.8, 675.08, 675.08, 1422.6, 1413.7, 9888.3, 9899.4, 9993.6, 1.5433, 620.5, 20436.28, 20138.0, 20559.0, 5.435, 5.502999999999999, 5.537000000000001, 5.4179999999999975, 0.7736, 0.7782, 0.7784, 6668.01, 6635.87, 1.1395, 1.163, 1126.02, 1139.32, 1125.79, 1124.65, 1120.85, 1339.93, 1331.46, 13418.36, 13511.81, 13.7614, 13.9163, 6676.66, 6682.71, 2.5424, 4.763999999999999, 81.67, 81.13, 81.75, 31.096, 805.25, 5.541, 5.541, 5.541, 5.541, 2634.18
2011-01-05, 2082.55, 3.105, 1.3304, 1.3358, 358.86, 359.82, 360.87, 358.41, 6013.87, 5990.0, 6049.5, 5979.8, 12.525, 12.499, 12.544, 170.35, 170.61, 170.85, 4.669, 4.627, 4.5569999999999995, 70317.79, 2.9560000000000004, 2.9560000000000004, 2.9560000000000004, 6979.68, 7025.86, 6952.02, 1763.057142857143, 1680.6285714285714, 3.4610000000000003, 3.4610000000000003, 3.4610000000000003, 6146.35, 6172.75, 1272.95, 4.364, 4.428999999999999, 4.455, 4.35, 2855.4, 1501.62, 1504.93, 1492.01, 2699.86, 2700.88, 2663.64, 3.293, 3.293, 3.338, 3.338, 3.338, 1186.86, 1203.62, 1180.33, 2.891, 2.891, 71090.0, 71000.0, 70265.0, 25.1859, 24.806, 89.38, 38542.16, 38605.8, 10326.0, 10409.0, 10309.5, 4.56, 6494.31, 6530.83, 11582.99, 234.95, 239.0, 240.5, 232.0, 1181.56, 1165.78, 0.8538, 0.8623, 0.8522, 94.92, 95.74, 92.58, 1754.26, 1730.45, 1.3075, 1.2918, 800.5, 777.1, 682.18, 671.01, 1378.5, 1375.8, 9888.4, 9895.5, 9974.2, 1.5454, 608.5, 20547.03, 20473.0, 20681.0, 5.348, 5.443, 5.482, 5.343, 0.7677, 0.7736, 0.7742, 6712.23, 6653.85, 1.163, 1.169, 1131.2, 1134.64, 1118.75, 1125.5, 1120.3, 1336.65, 1331.02, 13402.31, 13529.98, 13.7206, 13.7897, 6699.96, 6704.4, 2.555, 4.582, 82.06, 81.67, 82.28, 29.491999999999997, 788.0, 5.497000000000001, 5.497000000000001, 5.497000000000001, 5.497000000000001, 2660.1
2011-01-06, 2077.61, 3.135, 1.3152, 1.3304, 357.28, 358.2, 358.2, 352.56, 6043.86, 6011.5, 6043.86, 5962.0, 12.5055, 12.503, 12.5705, 169.74, 170.11, 171.39, 4.473, 4.6110000000000015, 4.447, 71172.96, 2.9410000000000003, 2.9410000000000003, 2.9410000000000003, 6966.08, 6967.24, 6842.9, 1764.005714285714, 1682.1028571428574, 3.5469999999999997, 3.5469999999999997, 3.5469999999999997, 6079.8, 6141.35, 1268.78, 4.402, 4.35, 4.404, 4.3, 2850.49, 1495.26, 1501.01, 1473.3, 2673.91, 2702.2, 2671.89, 3.346, 3.346, 3.463, 3.463, 3.463, 1162.98, 1184.15, 1157.78, 2.9539999999999997, 2.9539999999999997, 71774.0, 71780.0, 70430.0, 24.9833, 24.7082, 90.3, 38696.24, 38542.16, 10369.0, 10399.5, 10349.5, 4.59, 6519.25, 6519.25, 11610.29, 233.0, 234.1, 237.9, 230.0, 1167.09, 1149.21, 0.8479, 0.8535, 0.8468, 93.35, 95.86, 92.37, 1742.55, 1736.07, 1.2973, 1.2868, 795.09, 782.3, 676.5, 669.01, 1373.4, 1364.2, 9801.4, 9877.5, 9882.4, 1.5451, 619.25, 20551.58, 20486.0, 20561.0, 5.334, 5.37, 5.399, 5.292000000000002, 0.7583, 0.7677, 0.7682, 6775.35, 6701.26, 1.162, 1.178, 1125.24, 1135.44, 1122.14, 1123.5, 1123.3, 1333.09, 1322.33, 13395.99, 13400.03, 13.4955, 13.7605, 6696.55, 6712.4, 2.5035, 4.582, 83.19, 82.06, 83.38, 29.173000000000002, 809.88, 5.505, 5.505, 5.505, 5.505, 2644.4
2011-01-07, 2086.2, 3.215, 1.3001, 1.3146, 356.89, 358.54, 359.59, 356.28, 6019.51, 6036.7, 6089.3, 6002.8, 12.483, 12.485, 12.52, 169.4, 169.49, 170.76, 4.434, 4.4860000000000015, 4.38, 71167.1, 3.011, 3.011, 3.011, 6949.48, 7047.59, 6949.07, 1764.9542857142858, 1683.577142857143, 3.525, 3.525, 3.525, 6048.25, 6107.0, 1276.29, 4.3210000000000015, 4.4110000000000005, 4.4110000000000005, 4.309, 2853.88, 1474.98, 1480.59, 1458.66, 2704.38, 2712.35, 2697.73, 3.341, 3.341, 3.3989999999999996, 3.3989999999999996, 3.3989999999999996, 1163.64, 1161.25, 1153.23, 2.924, 2.924, 71238.0, 72010.0, 71120.0, 24.7507, 24.6766, 88.38, 38589.67, 38696.24, 10495.0, 10529.76, 10490.5, 4.67, 6532.84, 6588.23, 11615.31, 233.0, 233.6, 236.85, 232.1, 1166.025, 1150.62, 0.8411, 0.8471, 0.8398, 95.7, 96.12, 94.01, 1737.53, 1731.39, 1.2942, 1.2854, 796.6, 787.8, 670.33, 661.49, 1371.4, 1368.9, 9702.7, 9803.2, 9832.6, 1.5449, 602.0, 20637.39, 20608.0, 20898.0, 5.492000000000001, 5.351, 5.494, 5.322, 0.7557, 0.7583, 0.7604, 6820.79, 6754.31, 1.225, 1.229, 1125.38, 1130.24, 1121.44, 1123.2, 1117.7, 1339.75, 1334.84, 13311.67, 13413.18, 13.4765, 13.5212, 6687.076666666668, 6716.3, 2.5455, 4.582, 83.31, 83.19, 83.39, 29.11, 788.13, 5.55, 5.55, 5.55, 5.55, 2638.06
2011-01-10, 2080.81, 3.1689999999999996, 1.2919, 1.3005, 356.44, 356.59, 358.15, 354.31, 5984.33, 6009.5, 6021.3, 5970.0, 12.431, 12.466, 12.503, 169.31, 169.45, 169.98, 4.422, 4.4, 4.327, 70782.83, 2.988, 2.988, 2.988, 6991.55, 7010.89, 6939.88, 1765.902857142857, 1685.0514285714291, 3.516, 3.516, 3.516, 5904.6, 6030.9, 1274.41, 4.272, 4.269, 4.317, 4.25, 2868.01, 1459.73, 1464.41, 1446.4, 2712.75, 2715.96, 2676.36, 3.33, 3.33, 3.3280000000000003, 3.3280000000000003, 3.3280000000000003, 1160.5, 1162.46, 1156.56, 2.862, 2.862, 70638.0, 71460.0, 70335.0, 24.811, 24.6537, 88.03, 38600.86, 38597.9, 10500.0, 10542.5, 10500.0, 4.7, 6497.64, 6559.6, 11578.64, 230.7, 232.55, 235.5, 230.3, 1164.96, 1152.03, 0.8299, 0.8404, 0.8295, 94.38, 94.58, 92.59, 1745.92, 1727.78, 1.2942, 1.284, 795.7, 775.6, 665.5, 662.77, 1368.5, 1355.5, 9560.7, 9682.4, 9699.4, 1.541, 595.0, 20542.06, 20651.0, 20741.0, 5.535, 5.475, 5.581, 5.4670000000000005, 0.7598, 0.7557, 0.7638, 6903.3, 6809.73, 1.204, 1.2209999999999999, 1126.19, 1137.17, 1120.9, 1122.2, 1118.6, 1335.655, 1328.025, 13272.3, 13329.64, 13.5107, 13.5474, 6677.6033333333335, 6720.2, 2.5139, 4.784, 83.14, 83.31, 83.69, 28.660999999999998, 772.13, 5.593, 5.593, 5.593, 5.593, 2625.77
2011-01-11, 2088.32, 3.153, 1.2944, 1.2883, 354.21, 355.5, 355.74, 353.63, 5956.3, 5978.5, 5980.8, 5938.5, 12.4575, 12.422, 12.5295, 169.88, 169.21, 170.84, 4.399, 4.373, 4.322, 70133.39, 2.9530000000000003, 2.9530000000000003, 2.9530000000000003, 6920.36, 6941.39, 6835.74, 1766.8514285714284, 1686.525714285714, 3.512, 3.512, 3.512, 5762.85, 5901.3, 1270.84, 4.255, 4.2589999999999995, 4.271, 4.253, 2847.36, 1444.75, 1465.65, 1442.51, 2691.47, 2712.32, 2682.25, 3.341, 3.341, 3.287, 3.287, 3.287, 1165.07, 1157.59, 1155.8, 2.8739999999999997, 2.8739999999999997, 70618.0, 70640.0, 70100.0, 24.7234, 24.6399, 89.25, 38378.16, 38608.68, 10483.5, 10538.0, 10483.5, 4.69, 6446.32, 6498.05, 11545.87, 231.25, 231.2, 235.15, 230.55, 1160.42, 1149.38, 0.8314, 0.8296, 0.8282, 93.8, 95.88, 93.6, 1755.91, 1738.33, 1.2945, 1.2848, 794.8, 777.5, 666.21, 664.29, 1373.7, 1365.7, 9437.8, 9488.3, 9491.8, 1.5476, 607.0, 20058.18, 20396.0, 20428.0, 5.556, 5.528, 5.608, 5.513999999999999, 0.7632, 0.7592, 0.7647, 6958.23, 6891.93, 1.1965, 1.2095, 1128.93, 1139.83, 1125.47, 1127.5, 1120.1, 1331.56, 1321.21, 13245.12, 13295.37, 13.6287, 13.6761, 6668.13, 6724.1, 2.509, 4.896, 82.72, 83.06, 83.28, 28.851, 766.63, 5.52, 5.52, 5.52, 5.52, 2600.65
2011-01-12, 2094.95, 3.1710000000000003, 1.2978, 1.295, 358.3, 355.58, 359.3, 355.29, 6014.03, 5986.1, 6036.8, 5978.8, 12.45, 12.423, 12.495, 170.11, 169.49, 170.71, 4.481, 4.386, 4.338, 70647.44, 2.937, 2.937, 2.937, 6879.39, 6951.19, 6860.52, 1767.8, 1688.0, 3.552, 3.552, 3.552, 5754.1, 5767.95, 1272.58, 4.3389999999999995, 4.33, 4.345, 4.324, 2810.76, 1456.54, 1463.68, 1450.98, 2719.6, 2722.75, 2706.58, 3.363, 3.363, 3.34, 3.34, 3.34, 1156.47, 1162.31, 1149.0, 2.932, 2.932, 71084.0, 71290.0, 70920.0, 24.7498, 24.7196, 91.11, 38028.81, 38380.77, 10467.0, 10533.5, 10467.0, 4.71, 6534.84, 6542.64, 11601.57, 234.7, 231.25, 236.7, 230.85, 1175.03, 1154.88, 0.8314, 0.8313, 0.8290000000000001, 95.63, 97.82, 95.08, 1757.24, 1743.15, 1.2927, 1.2724, 798.8, 790.8, 665.96, 663.55, 1384.0, 1373.9, 9582.1, 9467.4, 9593.0, 1.5513, 607.0, 20339.05, 20147.0, 20373.0, 5.521, 5.577999999999999, 5.649, 5.506, 0.7592, 0.7632, 0.7634, 6997.88, 6916.78, 1.189, 1.198, 1132.36, 1138.88, 1127.24, 1126.0, 1121.8, 1335.65, 1327.6, 13401.05, 13421.81, 13.5288, 13.6526, 6701.28, 6702.16, 2.5580000000000003, 4.838, 83.36, 82.72, 83.49, 29.49, 758.63, 5.42, 5.42, 5.42, 5.42, 2587.09
2011-01-13, 2089.48, 3.221, 1.3137, 1.2972, 362.41, 359.06, 362.41, 359.05, 6050.72, 6024.3, 6050.72, 6019.8, 12.3085, 12.421, 12.4555, 168.91, 169.79, 169.91, 4.5310000000000015, 4.504, 4.4460000000000015, 71632.9, 2.967, 2.967, 2.967, 6958.84, 7070.4, 6958.5, 1800.24, 1714.04, 3.647, 3.647, 3.647, 5863.25, 5800.05, 1275.65, 4.402, 4.35, 4.4060000000000015, 4.35, 2828.47, 1457.83, 1468.0, 1443.67, 2731.45, 2737.33, 2722.32, 3.438, 3.438, 3.367, 3.367, 3.367, 1149.91, 1154.24, 1141.62, 3.0580000000000003, 3.0580000000000003, 72218.0, 72195.0, 71545.0, 24.9058, 24.6226, 91.86, 37963.31, 38028.81, 10558.0, 10568.5, 10498.5, 4.69, 6613.75, 6617.92, 11673.62, 240.6, 236.4, 244.5, 235.7, 1178.06, 1172.77, 0.8333, 0.8308, 0.8295, 97.64, 98.85, 97.28, 1751.5, 1736.44, 1.2839, 1.2688, 803.3, 797.3, 667.5, 661.33, 1385.7, 1378.0, 10101.2, 9606.4, 10106.2, 1.558, 631.0, 21116.39, 20420.0, 21124.0, 5.477, 5.496, 5.53, 5.432, 0.7622, 0.7592, 0.7642, 7053.13, 6992.71, 1.183, 1.205, 1134.78, 1139.09, 1120.65, 1111.5, 1114.1, 1342.2, 1335.23, 13460.21, 13497.68, 13.3932, 13.5397, 6717.18, 6733.42, 2.604, 4.836, 83.09, 83.36, 83.46, 29.531999999999996, 773.63, 5.497000000000001, 5.497000000000001, 5.497000000000001, 5.497000000000001, 2626.4
2011-01-14, 2108.17, 3.2439999999999998, 1.3354, 1.3129, 360.79, 362.05, 362.05, 359.09, 6023.88, 6047.8, 6056.5, 6004.0, 12.293, 12.274, 12.34, 168.39, 167.9, 169.02, 4.407, 4.481, 4.362, 71923.84, 2.972, 2.972, 2.972, 7075.54, 7084.07, 7036.09, 1865.91, 1759.46, 3.6, 3.6, 3.6, 5751.9, 5850.75, 1285.78, 4.367, 4.383, 4.388999999999999, 4.341, 2837.53, 1456.23, 1489.19, 1452.83, 2734.93, 2742.43, 2727.14, 3.4189999999999996, 3.4189999999999996, 3.299, 3.299, 3.299, 1154.05, 1147.32, 1138.62, 3.0469999999999997, 3.0469999999999997, 71271.0, 72465.0, 71470.0, 24.568, 24.5237, 91.4, 38070.19, 37963.31, 10598.0, 10613.5, 10568.5, 4.65, 6562.47, 6613.2, 11666.32, 237.5, 240.35, 241.2, 236.6, 1179.84, 1171.08, 0.8438, 0.8329, 0.8309, 98.22, 98.67, 97.3, 1761.03, 1742.64, 1.2885, 1.2734, 804.3, 797.1, 662.64, 661.45, 1386.9, 1371.4, 10370.8, 10105.8, 10410.2, 1.5719, 642.5, 21308.13, 21301.0, 21343.0, 5.371, 5.483, 5.513, 5.319, 0.7718, 0.7622, 0.7728, 7040.86, 6940.99, 1.185, 1.204, 1124.4, 1130.32, 1119.91, 1112.5, 1107.5, 1339.83, 1332.87, 13401.48, 13505.44, 13.4328, 13.4652, 6734.2, 6754.043333333332, 2.617, 4.708, 82.77, 83.09, 83.15, 29.252, 781.38, 5.547999999999999, 5.547999999999999, 5.547999999999999, 5.547999999999999, 2638.98
