@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute EUR_USD_Now numeric
@attribute EUR_USD_Open numeric
@attribute EUR_USD_High numeric
@attribute EUR_USD_Low numeric
@attribute AEX_Open numeric
@attribute AEX_High numeric
@attribute AEX_Low numeric
@attribute FTSE_High_x numeric
@attribute FTSE_Low_x numeric
@attribute IDR_KRW_Open numeric
@attribute CNY_KRW_Open numeric
@attribute CNY_KRW_High numeric
@attribute GAS_Now numeric
@attribute GAS_High numeric
@attribute Brazil_Open numeric
@attribute Brazil_High numeric
@attribute Brazil_Low numeric
@attribute HONH_KONG_10_YEAR_Open numeric
@attribute HONH_KONG_10_YEAR_Low numeric
@attribute DAX_Now numeric
@attribute DAX_High numeric
@attribute RTSI_Open numeric
@attribute RTSI_High numeric
@attribute RTSI_Low numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute MOEX_High numeric
@attribute MOEX_Low numeric
@attribute UK_10_YEAR_Now numeric
@attribute UK_10_YEAR_High numeric
@attribute UK_10_YEAR_Low numeric
@attribute Nifty_Now numeric
@attribute Nifty_Open numeric
@attribute Nifty_High numeric
@attribute S&P_Now numeric
@attribute S&P_Open numeric
@attribute S&P_High numeric
@attribute Copper_High numeric
@attribute SANGHAI_Now numeric
@attribute SANGHAI_Open numeric
@attribute SANGHAI_High numeric
@attribute SANGHAI_Low numeric
@attribute EUR_KRW_Now numeric
@attribute EUR_KRW_Open numeric
@attribute EUR_KRW_High numeric
@attribute EUR_KRW_Low numeric
@attribute NASDAQ_Open numeric
@attribute NASDAQ_High numeric
@attribute NASDAQ_Low numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_Open numeric
@attribute HKD_KRW_High numeric
@attribute HKD_KRW_Low numeric
@attribute FRANCE_10_YEAR_High numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_High numeric
@attribute US_10_YEAR_Low numeric
@attribute CHF_KRW_Open numeric
@attribute CHF_KRW_High numeric
@attribute CHF_KRW_Low numeric
@attribute USD_CAD_Now numeric
@attribute USD_CAD_Low numeric
@attribute GERMANY_10_YEAR_Now numeric
@attribute GERMANY_10_YEAR_Open numeric
@attribute GERMANY_10_YEAR_Low numeric
@attribute iBovespa_Open numeric
@attribute INR_KRW_High numeric
@attribute INR_KRW_Low numeric
@attribute WTI_Open numeric
@attribute WTI_Low numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_High numeric
@attribute S&P_BMV_Low numeric
@attribute NIKKEI_Now numeric
@attribute NIKKEI_Open numeric
@attribute SOUTH_KOREA_10_YEAR_Now numeric
@attribute SOUTH_KOREA_10_YEAR_Open numeric
@attribute SOUTH_KOREA_10_YEAR_High numeric
@attribute SOUTH_KOREA_10_YEAR_Low numeric
@attribute SMI_Now numeric
@attribute SMI_Open numeric
@attribute DOWJONES_Now numeric
@attribute DOWJONES_Open numeric
@attribute DOWJONES_High numeric
@attribute DOWJONES_Low numeric
@attribute US_COFFEE_Now numeric
@attribute US_COFFEE_Open numeric
@attribute OMXS_Now numeric
@attribute OMXS_Open numeric
@attribute OMXS_Low numeric
@attribute AUD_KRW_Now numeric
@attribute AUD_KRW_High numeric
@attribute AUD_KRW_Low numeric
@attribute EUR_GBP_High numeric
@attribute EUR_GBP_Low numeric
@attribute BRENT_OIL_Now numeric
@attribute GBP_KRW_Now numeric
@attribute GBP_KRW_Open numeric
@attribute GBP_KRW_High numeric
@attribute AUD_SGD_Now numeric
@attribute AUD_SGD_Low numeric
@attribute Russell_Now numeric
@attribute Russell_Open numeric
@attribute Russell_Low numeric
@attribute Gold_Now numeric
@attribute Gold_High numeric
@attribute IBEX_Low numeric
@attribute GBP_USD_Open numeric
@attribute GBP_USD_Low numeric
@attribute Corn_Now numeric
@attribute Corn_Open numeric
@attribute Corn_High numeric
@attribute Corn_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_High_y numeric
@attribute IDX_Open numeric
@attribute SPAIN_10_YEAR_Open numeric
@attribute SPAIN_10_YEAR_Low numeric
@attribute NZD_USD_Open numeric
@attribute NZD_USD_High numeric
@attribute NZD_USD_Low numeric
@attribute CSE_High numeric
@attribute JAPAN_10_YEAR_High numeric
@attribute USD_KRW_Open numeric
@attribute USD_KRW_High numeric
@attribute USD_KRW_Low numeric
@attribute TA_Open numeric
@attribute TA_High numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_Low numeric
@attribute JPY_KRW_Now numeric
@attribute JPY_KRW_Open numeric
@attribute JPY_KRW_High numeric
@attribute Tadawul_Now numeric
@attribute Tadawul_High numeric
@attribute SET_Now numeric
@attribute SET_Open numeric
@attribute SET_High numeric
@attribute HEATING_OIL_High numeric
@attribute HEATING_OIL_Low numeric
@attribute ITALY_10_YEAR_Now numeric
@attribute ITALY_10_YEAR_High numeric
@attribute USD_JPY_Now numeric
@attribute USD_JPY_Open numeric
@attribute USD_JPY_High numeric
@attribute Silver_Now numeric
@attribute Silver_Low numeric
@attribute US_WHEAT_Low numeric
@attribute AUS_10_YEAR_Now numeric
@attribute AUS_10_YEAR_High numeric
@attribute BEL_Now numeric
@attribute BEL_Low numeric

@data
2007-01-11, 1365.31, 4.055, 1.2934, 1.3002, 1.3008, 1.2931, 493.9, 494.2, 490.93, 6196.1, 6142.0, 10.395, 120.33, 120.62, 6.755, 6.807, 42000.91, 42335.67, 41266.21, 3.739, 3.739, 6566.56, 6592.97, 1798.09, 1798.09, 1749.22, 1569.83, 1571.93, 1580.65, 1528.85, 4.803, 4.803, 4.803, 3850.3, 3910.95, 3911.95, 1414.85, 1408.7, 1415.99, 2.6630000000000003, 2825.58, 2838.11, 2841.74, 2770.99, 1213.07, 1219.92, 1222.91, 1212.19, 2434.04, 2461.34, 2427.9, 120.255, 120.35, 120.775, 120.19, 4.044, 4.69, 4.69, 4.69, 755.98, 757.67, 751.3, 1.1756, 1.1751, 4.015, 4.015, 4.015, 41945.0, 21.1159, 21.1066, 55.75, 53.44, 25885.8, 25954.13, 25400.33, 16942.4, 17192.42, 4.97, 4.97, 4.97, 4.97, 8861.6, 8846.58, 12442.16, 12417.0, 12487.18, 12313.01, 120.75, 118.1, 1133.05, 1143.09, 1128.9, 728.47, 735.11, 727.41, 0.6709, 0.6686, 53.69, 1811.79, 1819.93, 1824.57, 1.1932, 1.1917, 778.87, 775.78, 773.14, 611.6, 611.6, 14065.7, 1.9396, 1.9317, 360.25, 354.0, 363.5, 352.5, 41360.0, 41382.0, 41566.0, 1746.5, 4.064, 4.064, 0.6917, 0.6932, 0.6855, 2739.61, 1.765, 939.95, 941.75, 937.55, 913.83, 914.04, 906.44, 12457.55, 12461.21, 12412.55, 7.8373, 7.8613, 7.8923, 7586.61, 7729.91, 622.27, 609.83, 622.27, 1.5679, 1.5162, 4.235, 4.235, 119.67, 119.34, 119.8, 12.35, 12.35, 447.5, 5.855, 5.855, 4405.87, 4389.93
2007-01-12, 1388.37, 4.073, 1.2893, 1.2937, 1.3016, 1.2881, 495.5, 500.32, 493.22, 6233.1, 6130.2, 10.341, 120.35, 120.56, 6.2920000000000025, 6.693, 42335.67, 43127.95, 41940.03, 3.7710000000000004, 3.7710000000000004, 6687.3, 6695.74, 1770.67, 1808.23, 1769.31, 1599.67, 1569.64, 1608.19, 1556.53, 4.811, 4.811, 4.811, 3942.25, 3852.15, 3953.1, 1423.82, 1414.84, 1427.12, 2.68, 2770.11, 2819.37, 2841.18, 2763.89, 1210.73, 1212.79, 1222.35, 1208.92, 2464.89, 2489.46, 2463.39, 120.395, 120.21, 120.605, 120.21, 4.055, 4.739, 4.739, 4.739, 752.07, 756.83, 750.46, 1.1765, 1.1691, 4.018, 4.018, 4.018, 42700.0, 21.0753, 21.0649, 53.59, 51.8, 26247.9, 26290.7, 25851.15, 16838.17, 16958.57, 4.97, 4.97, 4.97, 4.97, 8987.91, 8906.52, 12514.98, 12442.96, 12586.12, 12413.72, 120.65, 120.25, 1160.04, 1133.05, 1133.05, 733.32, 736.48, 728.14, 0.6706, 0.6621, 51.7, 1827.24, 1811.91, 1835.14, 1.2074, 1.1925, 788.45, 779.5, 779.5, 612.4, 612.4, 14105.2, 1.9327, 1.9318, 376.5, 362.0, 380.25, 362.0, 41942.0, 41506.0, 41954.0, 1729.4, 4.074, 4.074, 0.6869, 0.6934, 0.6859999999999999, 2771.28, 1.745, 940.05, 940.45, 937.75, 914.67, 915.7, 903.44, 12519.9, 12454.97, 12453.13, 7.7944, 7.8342, 7.8676, 7474.57, 7570.103333333333, 637.63, 625.65, 639.47, 1.5523, 1.4780000000000002, 4.248, 4.248, 120.47, 119.64, 120.66, 12.375, 12.375, 450.5, 5.86, 5.86, 4473.58, 4411.93
2007-01-15, 1390.96, 4.11, 1.2917, 1.2891, 1.2946, 1.2866, 499.44, 503.31, 499.18, 6247.6, 6204.3, 10.321, 120.8, 120.94, 6.601, 6.64, 42669.48, 43188.46, 42525.5, 3.865, 3.865, 6705.17, 6705.17, 1799.44, 1805.55, 1793.51, 1591.47, 1599.57, 1602.85, 1581.3, 4.855, 4.855, 4.855, 4052.45, 3944.55, 4059.15, 1430.73, 1423.82, 1431.23, 2.63, 2668.11, 2745.32, 2782.03, 2652.58, 1214.4, 1209.73, 1217.2, 1208.88, 2481.72, 2502.82, 2481.54, 120.53, 120.34, 120.88, 120.31, 4.062, 4.783, 4.783, 4.783, 750.86, 755.37, 750.06, 1.1693, 1.1682, 4.0280000000000005, 4.0280000000000005, 4.0280000000000005, 43370.0, 21.1881, 21.173, 52.07, 51.56, 26324.38, 26335.29, 26091.36, 17057.01, 16979.73, 5.04, 5.04, 5.04, 5.04, 9032.81, 8979.07, 12556.08, 12514.66, 12616.08, 12432.3, 120.3, 119.5, 1159.46, 1160.04, 1155.08, 736.43, 736.98, 730.9, 0.6639, 0.6588, 52.95, 1841.41, 1825.29, 1843.59, 1.2088, 1.2014, 794.26, 788.11, 787.87, 625.5, 616.2, 14292.8, 1.9451, 1.9426, 396.5, 377.0, 396.5, 374.25, 42111.0, 41930.0, 42125.0, 1711.21, 4.11, 4.11, 0.6902, 0.6929, 0.6877, 2815.84, 1.765, 942.15, 942.75, 939.05, 922.815, 925.93, 917.2, 12678.81, 12565.16, 12519.9, 7.8149, 7.7877, 7.8334, 7362.53, 7410.296666666666, 645.71, 647.14, 648.48, 1.5095, 1.48, 4.251, 4.251, 120.29, 120.45, 120.74, 12.798, 12.798, 457.25, 5.885, 5.885, 4485.89, 4464.88
2007-01-16, 1389.71, 4.138999999999999, 1.2936, 1.2927, 1.2959, 1.2914, 504.88, 506.11, 504.75, 6279.7, 6239.0, 10.275, 120.5, 120.53, 6.6195, 6.72, 43095.19, 43472.73, 42874.83, 3.8930000000000002, 3.8930000000000002, 6731.74, 6746.3, 1798.45, 1850.21, 1798.45, 1650.83, 1591.67, 1652.93, 1591.47, 4.901, 4.901, 4.901, 4078.4, 4052.85, 4099.65, 1431.315, 1427.275, 1432.58, 2.6075, 2794.7, 2660.07, 2795.33, 2658.88, 1213.9, 1214.66, 1216.25, 1209.95, 2493.14, 2505.875, 2487.73, 120.345, 120.48, 120.525, 120.05, 4.1, 4.646, 4.646, 4.646, 753.51, 754.09, 750.44, 1.1667, 1.1658, 4.062, 4.062, 4.062, 43700.0, 21.2633, 21.2506, 52.505, 51.045, 26480.03, 26484.06, 26313.02, 17209.92, 17160.25, 5.04, 5.04, 5.04, 5.04, 9101.65, 9063.37, 12569.335, 12535.25, 12627.175, 12461.1, 120.975, 120.05, 1173.87, 1159.46, 1159.46, 735.83, 737.96, 733.75, 0.6604, 0.6573, 53.12, 1843.73, 1841.44, 1846.17, 1.2084, 1.2052, 792.87, 791.1949999999997, 788.75, 625.05, 620.4000000000002, 14411.9, 1.9598, 1.957, 399.75, 396.75, 406.5, 388.375, 42307.0, 42290.0, 42369.0, 1694.16, 4.102, 4.102, 0.6922, 0.6961, 0.6907, 2848.335, 1.775, 938.5, 939.3, 936.6, 930.96, 936.16, 930.96, 12755.36, 12714.67, 12678.81, 7.7913, 7.8048, 7.8192, 7250.49, 7250.49, 656.31, 648.66, 656.97, 1.5144000000000002, 1.472, 4.288, 4.288, 120.45, 120.39, 120.6, 12.669, 12.669, 460.125, 5.9, 5.9, 4494.11, 4478.41
2007-01-17, 1379.48, 4.138999999999999, 1.2919, 1.2941, 1.2992, 1.2909, 505.94, 506.72, 504.25, 6266.4, 6206.4, 10.28, 120.27, 120.37, 6.638, 6.8, 42915.61, 42915.61, 42415.48, 3.907, 3.907, 6716.82, 6746.63, 1850.18, 1879.86, 1847.35, 1641.31, 1650.83, 1680.41, 1636.15, 4.904, 4.904, 4.904, 4080.5, 4090.7, 4107.45, 1431.9, 1430.73, 1433.93, 2.585, 2821.02, 2818.66, 2830.8, 2757.2, 1208.55, 1214.07, 1215.36, 1207.32, 2504.56, 2508.93, 2493.92, 119.915, 120.29, 120.335, 119.88, 4.093, 4.753, 4.753, 4.753, 751.42, 753.44, 748.5, 1.1765, 1.1647, 4.0569999999999995, 4.0569999999999995, 4.0569999999999995, 43150.0, 21.233, 21.2237, 52.94, 50.53, 26480.33, 26487.17, 26333.56, 17202.46, 17190.9, 5.03, 5.03, 5.03, 5.03, 9073.0, 9103.95, 12582.59, 12555.84, 12638.27, 12489.9, 121.65, 120.6, 1170.63, 1173.87, 1168.69, 732.58, 736.17, 731.3, 0.6609, 0.6579999999999999, 52.26, 1834.95, 1843.2, 1844.39, 1.2049, 1.2023, 791.48, 794.28, 789.63, 624.6, 624.6, 14314.6, 1.9646, 1.959, 403.0, 416.5, 416.5, 402.5, 42115.0, 42305.0, 42377.0, 1741.8, 4.087, 4.087, 0.6963, 0.6979, 0.6936, 2880.83, 1.768, 937.45, 938.05, 935.35, 937.31, 938.59, 930.3, 12720.32, 12708.19, 12679.59, 7.7546, 7.7887, 7.7954, 7123.88, 7250.49, 655.9, 657.85, 660.91, 1.5193, 1.464, 4.279, 4.279, 120.64, 120.41, 120.78, 12.54, 12.54, 463.0, 5.915, 5.915, 4468.28, 4460.49
2007-01-18, 1383.21, 4.137, 1.2938, 1.2919, 1.2952, 1.2896, 505.88, 506.05, 502.47, 6227.0, 6163.5, 10.3, 120.13, 120.54, 6.234, 6.735, 42625.81, 42929.97, 42252.02, 3.9360000000000004, 3.9360000000000004, 6701.7, 6732.31, 1849.88, 1857.94, 1808.06, 1610.76, 1641.3, 1655.15, 1597.21, 4.8919999999999995, 4.8919999999999995, 4.8919999999999995, 4076.45, 4084.9, 4096.75, 1430.62, 1431.77, 1435.27, 2.553, 2778.9, 2828.4, 2870.42, 2742.59, 1211.93, 1208.35, 1213.56, 1207.51, 2487.89, 2496.93, 2475.83, 120.045, 119.89, 120.215, 119.87, 4.077, 4.785, 4.785, 4.785, 749.28, 752.49, 748.36, 1.1728, 1.1721, 4.041, 4.041, 4.041, 43100.0, 21.2143, 21.2061, 51.2, 50.28, 26558.5, 26610.61, 26381.94, 17261.35, 17153.25, 5.05, 5.05, 5.05, 5.05, 9104.6, 9080.43, 12577.15, 12563.53, 12613.28, 12550.95, 121.6, 120.5, 1175.9, 1170.63, 1170.56, 737.01, 737.76, 730.55, 0.6594, 0.6558, 52.78, 1845.78, 1834.51, 1848.24, 1.2102, 1.2023, 788.77, 789.81, 788.54, 632.1, 632.6, 14233.0, 1.9615, 1.9602, 408.0, 402.75, 420.5, 402.5, 41749.0, 42151.0, 42225.0, 1755.16, 4.073, 4.073, 0.6907, 0.6935, 0.6882, 2897.48, 1.733, 936.1, 937.9, 936.1, 926.45, 940.2, 924.64, 12730.41, 12705.71, 12651.37, 7.7661, 7.7517, 7.7884, 7153.87, 7153.87, 651.47, 654.89, 658.1, 1.5055, 1.4577, 4.253, 4.253, 120.64, 120.63, 120.9, 12.812999999999999, 12.812999999999999, 462.5, 5.89, 5.89, 4464.86, 4449.28
2007-01-19, 1360.56, 4.162, 1.2954, 1.2944, 1.2978, 1.2896, 506.71, 508.64, 504.24, 6257.2, 6204.5, 10.274, 120.43, 120.62, 6.324, 6.38, 42740.98, 43402.25, 42406.65, 4.026, 4.026, 6689.62, 6737.98, 1814.03, 1837.81, 1807.28, 1607.54, 1610.76, 1647.88, 1605.36, 4.9, 4.9, 4.9, 4109.05, 4075.2, 4140.25, 1426.37, 1430.59, 1432.96, 2.52, 2756.98, 2760.94, 2784.04, 2679.7, 1213.63, 1211.77, 1216.02, 1207.71, 2475.33, 2475.8, 2438.11, 119.915, 120.0, 120.155, 119.83, 4.092, 4.749, 4.749, 4.749, 750.78, 753.74, 746.22, 1.1729, 1.1712, 4.041, 4.041, 4.041, 43285.0, 21.216, 21.2044, 52.4, 49.9, 26112.87, 26594.6, 26112.8, 17370.93, 17248.14, 5.06, 5.06, 5.06, 5.06, 9099.35, 9116.83, 12567.93, 12575.06, 12674.16, 12487.9, 119.75, 121.1, 1173.59, 1175.9, 1167.91, 738.68, 739.88, 735.51, 0.6578, 0.6553, 51.75, 1849.28, 1845.1, 1853.03, 1.2119, 1.2076, 778.21, 788.13, 776.87, 627.1, 627.1, 14221.0, 1.9701, 1.9636, 412.25, 411.5, 418.0, 405.25, 41711.0, 41899.0, 42008.0, 1764.92, 4.092, 4.092, 0.6925, 0.6967, 0.6917, 2911.06, 1.733, 936.8, 937.6, 935.8, 937.57, 938.64, 932.68, 12640.68, 12762.44, 12629.66, 7.7238, 7.7623, 7.7757, 7192.003333333332, 7192.003333333332, 654.89, 653.74, 655.41, 1.51, 1.453, 4.249, 4.249, 121.28, 120.64, 121.62, 12.607999999999999, 12.607999999999999, 466.75, 5.89, 5.89, 4467.39, 4449.89
2007-01-22, 1363.41, 4.1339999999999995, 1.2966, 1.2962, 1.3002, 1.2913, 504.5, 507.19, 502.75, 6243.3, 6178.0, 10.305, 120.82, 121.04, 6.886, 6.98, 42476.95, 43427.64, 42476.95, 4.0889999999999995, 4.0889999999999995, 6747.17, 6754.55, 1807.12, 1815.49, 1803.06, 1617.09, 1607.54, 1617.43, 1595.6, 4.895, 4.895, 4.895, 4090.15, 4126.0, 4137.15, 1430.5, 1426.35, 1431.57, 2.52, 2832.21, 2761.89, 2833.45, 2761.89, 1213.95, 1213.67, 1218.89, 1208.56, 2437.63, 2453.79, 2435.68, 119.925, 119.86, 120.415, 119.76, 4.084, 4.783, 4.783, 4.783, 750.86, 753.91, 746.89, 1.1717, 1.1698, 4.044, 4.044, 4.044, 42675.0, 21.2115, 21.1999, 50.47, 50.12, 26213.38, 26304.51, 25939.44, 17310.44, 17340.38, 5.06, 5.06, 5.06, 5.06, 9155.12, 9077.19, 12565.53, 12567.93, 12649.89, 12462.5, 119.7, 119.25, 1180.57, 1173.59, 1170.36, 739.85, 742.43, 735.29, 0.6581, 0.655, 53.44, 1848.97, 1848.55, 1856.59, 1.2149, 1.2074, 785.16, 778.13, 775.17, 635.5, 633.5, 14182.0, 1.9743, 1.9697, 406.75, 412.5, 414.5, 405.75, 42123.0, 41715.0, 42181.0, 1775.49, 4.101, 4.101, 0.6951, 0.6967, 0.6931, 2937.92, 1.71, 939.3, 940.5, 935.6, 938.065, 940.1, 935.55, 12718.99, 12638.68, 12637.53, 7.7219, 7.7222, 7.7551, 7230.136666666667, 7230.136666666667, 658.17, 655.41, 660.09, 1.5229, 1.466, 4.262, 4.262, 121.27, 121.21, 121.5, 12.845, 12.7, 464.5, 5.875, 5.875, 4472.73, 4432.74
2007-01-23, 1363.09, 4.138, 1.2948, 1.2963, 1.2982, 1.2921, 508.4, 509.0, 502.33, 6270.9, 6215.8, 10.296, 120.38, 121.03, 7.319, 7.37, 43431.12, 43879.48, 43182.57, 4.104, 4.104, 6687.31, 6766.57, 1819.93, 1845.45, 1819.93, 1654.65, 1617.09, 1655.56, 1617.09, 4.913, 4.913, 4.913, 4102.45, 4089.6, 4114.5, 1422.95, 1430.47, 1431.39, 2.526, 2933.19, 2857.9, 2934.65, 2857.9, 1217.61, 1213.15, 1220.61, 1212.31, 2454.5, 2454.66, 2422.92, 120.52, 119.86, 120.6, 119.85, 4.098, 4.761, 4.761, 4.761, 750.18, 753.98, 749.4, 1.1821, 1.1714, 4.05, 4.05, 4.05, 43915.0, 21.2239, 21.2123, 52.09, 50.8, 26432.25, 26432.25, 26042.06, 17424.18, 17429.9, 5.06, 5.06, 5.06, 5.06, 9102.15, 9154.48, 12477.16, 12566.33, 12619.04, 12389.68, 117.35, 119.1, 1181.35, 1180.57, 1180.21, 740.92, 743.38, 737.47, 0.6573, 0.6543, 52.7, 1858.26, 1847.66, 1860.52, 1.2127, 1.2107, 777.96, 784.96, 775.83, 633.3, 633.3, 14351.7, 1.9742, 1.9717, 404.25, 405.0, 409.25, 399.0, 42002.0, 42328.0, 42328.0, 1804.58, 4.073, 4.073, 0.6952, 0.7011, 0.6939, 2930.51, 1.6780000000000002, 936.6, 941.2, 936.2, 938.56, 941.56, 938.42, 12705.77, 12779.33, 12696.18, 7.7335, 7.717, 7.7545, 7268.27, 7268.27, 655.12, 660.09, 661.03, 1.5590000000000002, 1.495, 4.253, 4.253, 121.58, 121.24, 121.81, 12.925, 12.855, 463.5, 5.885, 5.885, 4457.01, 4455.23
2007-01-24, 1383.06, 4.1339999999999995, 1.3025, 1.2949, 1.3046, 1.2928, 503.84, 504.27, 498.97, 6240.7, 6189.2, 10.337, 120.84, 121.22, 7.597, 7.657, 43549.37, 44243.06, 43432.47, 4.034, 4.034, 6678.93, 6704.36, 1840.91, 1859.23, 1840.91, 1664.18, 1654.64, 1666.3, 1643.39, 4.89, 4.89, 4.89, 4066.1, 4102.65, 4105.1, 1427.99, 1422.95, 1431.33, 2.595, 2949.14, 2964.69, 2970.68, 2851.92, 1224.72, 1216.98, 1226.86, 1215.83, 2428.26, 2447.03, 2425.98, 120.54, 120.47, 120.85, 120.42, 4.066, 4.81, 4.81, 4.81, 752.34, 759.91, 751.4, 1.1803, 1.1787, 4.011, 4.011, 4.011, 43695.0, 21.2956, 21.284, 52.64, 52.41, 26810.0, 26811.12, 26419.22, 17408.57, 17350.31, 5.06, 5.06, 5.06, 5.06, 9105.5, 9104.45, 12533.8, 12467.96, 12553.44, 12467.96, 115.65, 116.9, 1175.13, 1181.35, 1171.93, 745.25, 746.62, 739.61, 0.6577, 0.6534, 55.1, 1863.2, 1857.24, 1873.0, 1.2165, 1.2102, 785.38, 777.59, 776.82, 645.2, 642.2, 14304.7, 1.9762, 1.9752, 409.0, 404.75, 410.75, 404.75, 42106.0, 42069.0, 42227.0, 1811.7, 4.088, 4.088, 0.6993, 0.7041, 0.6978, 2935.4, 1.67, 939.75, 942.35, 939.75, 938.71, 942.36, 935.62, 12910.87, 12765.52, 12705.77, 7.7288, 7.7269, 7.7662, 7141.73, 7268.27, 650.76, 651.41, 651.99, 1.5830000000000002, 1.5025, 4.204, 4.204, 121.66, 121.62, 121.75, 13.185, 13.185, 465.5, 5.92, 5.92, 4429.38, 4414.69
