@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Now numeric
@attribute CANADA_10_YEAR_Open numeric
@attribute EUR_USD_Open numeric
@attribute AEX_Open numeric
@attribute IDR_KRW_Open numeric
@attribute IDR_KRW_High numeric
@attribute IDR_KRW_Low numeric
@attribute CNY_KRW_Low numeric
@attribute GAS_Now numeric
@attribute Brazil_Open numeric
@attribute Brazil_Low numeric
@attribute HONH_KONG_10_YEAR_Open numeric
@attribute HONH_KONG_10_YEAR_Low numeric
@attribute DAX_Now numeric
@attribute DAX_Open numeric
@attribute DAX_High numeric
@attribute RTSI_Now numeric
@attribute RTSI_High numeric
@attribute RTSI_Low numeric
@attribute MOEX_High numeric
@attribute MOEX_Low numeric
@attribute UK_10_YEAR_Open numeric
@attribute UK_10_YEAR_Low numeric
@attribute Nifty_Now numeric
@attribute Nifty_Open numeric
@attribute Nifty_High numeric
@attribute Nifty_Low numeric
@attribute S&P_Now numeric
@attribute S&P_High numeric
@attribute S&P_Low numeric
@attribute Copper_High numeric
@attribute Copper_Low numeric
@attribute SANGHAI_Now numeric
@attribute SANGHAI_Open numeric
@attribute SANGHAI_High numeric
@attribute EUR_KRW_Open numeric
@attribute EUR_KRW_High numeric
@attribute NASDAQ_Now numeric
@attribute NASDAQ_Open numeric
@attribute NASDAQ_Low numeric
@attribute HKD_KRW_Open numeric
@attribute FRANCE_10_YEAR_Now numeric
@attribute FRANCE_10_YEAR_High numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_High numeric
@attribute US_10_YEAR_Low numeric
@attribute CHF_KRW_Now numeric
@attribute CHF_KRW_Open numeric
@attribute USD_CAD_High numeric
@attribute GERMANY_10_YEAR_Now numeric
@attribute GERMANY_10_YEAR_Open numeric
@attribute GERMANY_10_YEAR_High numeric
@attribute GERMANY_10_YEAR_Low numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_Open numeric
@attribute iBovespa_Low numeric
@attribute INR_KRW_High numeric
@attribute INR_KRW_Low numeric
@attribute WTI_Now numeric
@attribute WTI_Open numeric
@attribute WTI_Low numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_Open numeric
@attribute S&P_BMV_Low numeric
@attribute NIKKEI_Now numeric
@attribute NIKKEI_Open numeric
@attribute NIKKEI_High numeric
@attribute SOUTH_KOREA_10_YEAR_Now numeric
@attribute SOUTH_KOREA_10_YEAR_Open numeric
@attribute DOWJONES_Now numeric
@attribute DOWJONES_Open numeric
@attribute US_COFFEE_Now numeric
@attribute US_COFFEE_Open numeric
@attribute OMXS_Open numeric
@attribute OMXS_High numeric
@attribute AUD_KRW_Now numeric
@attribute AUD_KRW_Low numeric
@attribute EUR_GBP_Now numeric
@attribute EUR_GBP_High numeric
@attribute BRENT_OIL_Now numeric
@attribute BRENT_OIL_Open numeric
@attribute BRENT_OIL_High numeric
@attribute AUD_SGD_Open numeric
@attribute AUD_SGD_Low numeric
@attribute Russell_Now numeric
@attribute Russell_Low numeric
@attribute BRL_KRW_Now numeric
@attribute BRL_KRW_High numeric
@attribute BRL_KRW_Low numeric
@attribute Gold_Now numeric
@attribute Gold_Open numeric
@attribute Gold_High numeric
@attribute IBEX_Open numeric
@attribute IBEX_Low numeric
@attribute GBP_USD_Now numeric
@attribute Corn_Now numeric
@attribute Corn_Low numeric
@attribute IDX_Now numeric
@attribute IDX_Open numeric
@attribute IDX_Low numeric
@attribute SPAIN_10_YEAR_Now numeric
@attribute SPAIN_10_YEAR_Open numeric
@attribute SPAIN_10_YEAR_High numeric
@attribute SPAIN_10_YEAR_Low numeric
@attribute NZD_USD_Open numeric
@attribute NZD_USD_Low numeric
@attribute CSE_Open numeric
@attribute CSE_High numeric
@attribute CSE_Low numeric
@attribute JAPAN_10_YEAR_Now numeric
@attribute JAPAN_10_YEAR_Open numeric
@attribute JAPAN_10_YEAR_Low numeric
@attribute CAD_KRW_Open numeric
@attribute CAD_KRW_High numeric
@attribute USD_KRW_High numeric
@attribute USD_KRW_Low numeric
@attribute TA_Open numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Low numeric
@attribute JPY_KRW_Now numeric
@attribute JPY_KRW_Open numeric
@attribute JPY_KRW_High numeric
@attribute Tadawul_Now numeric
@attribute Tadawul_High numeric
@attribute Tadawul_Low numeric
@attribute SET_Now numeric
@attribute SET_Low numeric
@attribute HEATING_OIL_High numeric
@attribute HEATING_OIL_Low numeric
@attribute USD_JPY_Open numeric
@attribute USD_JPY_High numeric
@attribute USD_JPY_Low numeric
@attribute Silver_Open numeric
@attribute Silver_High numeric
@attribute Silver_Low numeric
@attribute US_WHEAT_Now numeric
@attribute US_WHEAT_High numeric
@attribute US_WHEAT_Low numeric
@attribute AUS_10_YEAR_Now numeric
@attribute AUS_10_YEAR_High numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2013-01-02, 2031.1, 1.77, 1.788, 1.3236, 345.37, 11.086, 11.128, 10.982, 171.17, 3.469, 60415.95, 60415.95, 0.6659999999999999, 0.6659999999999999, 7612.39, 7649.89, 7665.68, 1526.98, 1537.44, 1520.79, 1480.37, 1472.58, 1.828, 1.765, 5908.35, 5887.15, 5915.75, 5879.5, 1402.43, 1418.1, 1401.58, 3.609, 3.575, 2233.25, 2207.91, 2234.87, 1418.81, 1424.04, 2960.31, 2965.12, 2959.37, 138.29, 1.992, 2.012, 1.7009999999999998, 1.7009999999999998, 1.7009999999999998, 1169.25, 1173.52, 0.9972, 1.306, 1.324, 1.3259999999999998, 1.2919999999999998, 61287.0, 61000.0, 60790.0, 19.5602, 19.4354, 90.8, 91.15, 90.32, 43721.93, 43487.21, 43451.81, 10395.18, 10406.36, 10433.63, 3.15, 3.19, 12938.11, 13095.08, 146.85, 147.05, 1111.17, 1114.0, 1106.83, 1105.66, 0.8177, 0.8226, 110.62, 111.24, 111.38, 1.2681, 1.2662, 832.1, 832.08, 521.44, 526.25, 515.87, 1654.9, 1664.0, 1664.0, 8276.6, 8103.9, 1.617, 694.0, 688.75, 4316.69, 4298.93, 4289.4, 5.269, 5.313, 5.325, 5.267, 0.8206, 0.8179, 5570.2, 5607.13, 5565.85, 0.802, 0.799, 0.799, 1077.07, 1084.49, 1072.51, 1067.24, 1192.17, 1191.435, 12316.12, 12304.98, 12.4073, 12.4493, 12.6681, 6915.776666666668, 6916.74, 6848.863333333334, 1391.93, 1391.85, 3.083, 3.0334, 86.09, 86.63, 85.92, 30.2, 30.2, 29.93, 778.38, 784.38, 767.13, 3.338, 3.36, 2489.68, 2463.22
2013-01-03, 2019.41, 1.87, 1.8230000000000002, 1.3205, 348.53, 11.050999999999998, 11.062, 10.96, 170.63, 3.233, 60990.34, 60990.34, 0.672, 0.672, 7778.78, 7689.46, 7789.94, 1536.8039999999999, 1546.422, 1522.0279999999998, 1487.8719999999994, 1473.01, 1.8940000000000001, 1.8940000000000001, 5993.25, 5982.6, 6006.05, 5982.0, 1462.42, 1462.43, 1426.19, 3.745, 3.64, 2247.83, 2235.11, 2255.2833333333333, 1403.48, 1416.2, 3112.26, 3091.33, 3083.49, 137.17, 2.082, 2.084, 1.835, 1.835, 1.835, 1158.62, 1160.87, 0.9944, 1.442, 1.3719999999999999, 1.4509999999999998, 1.371, 63061.0, 63000.0, 62460.0, 19.6095, 19.4384, 93.12, 91.78, 91.56, 44304.17, 43703.98, 43703.98, 10492.823333333334, 10472.406666666668, 10533.83, 3.18, 3.19, 13412.55, 13104.3, 149.4, 145.0, 1122.46, 1129.96, 1116.36, 1102.79, 0.8113, 0.8155, 112.47, 111.5, 112.9, 1.2693, 1.2666, 873.42, 849.33, 519.99, 523.39, 518.71, 1687.9, 1672.8, 1693.8, 8337.9, 8286.7, 1.6256, 690.75, 687.75, 4346.48, 4322.58, 4316.42, 5.04, 5.22, 5.22, 5.029, 0.8274, 0.826, 5642.87, 5684.26, 5632.97, 0.8123333333333334, 0.7983333333333333, 0.7983333333333333, 1070.2, 1081.24, 1066.4, 1063.3, 1218.6, 1217.13, 12540.77, 12439.25, 12.1898, 12.2649, 12.2907, 6940.31, 6941.21, 6860.01, 1407.45, 1400.95, 3.0702, 3.0325, 86.67, 87.34, 86.51, 30.63, 31.335, 30.585, 758.88, 787.38, 752.63, 3.408, 3.418, 2518.57, 2502.72
2013-01-04, 2011.94, 1.926, 1.867, 1.3187, 350.43, 11.013, 11.04, 10.963, 170.28, 3.198, 62555.04, 62341.48, 0.762, 0.735, 7756.44, 7762.13, 7777.02, 1546.628, 1555.404, 1523.266, 1495.374, 1473.44, 1.986, 1.979, 6009.5, 6015.8, 6017.0, 5986.55, 1459.37, 1465.47, 1455.53, 3.7319999999999998, 3.679, 2262.41, 2262.31, 2275.6966666666667, 1401.54, 1404.3, 3100.57, 3108.49, 3092.28, 137.18, 2.123, 2.127, 1.911, 1.911, 1.911, 1147.3, 1158.28, 0.9885, 1.474, 1.446, 1.484, 1.429, 63607.0, 62995.0, 62730.0, 19.6566, 19.4404, 92.92, 92.91, 92.49, 44370.64, 44304.21, 44190.37, 10590.466666666667, 10538.453333333333, 10634.03, 3.13, 3.2, 13391.36, 13413.01, 146.5, 148.6, 1127.61, 1130.89, 1112.26, 1111.42, 0.8105, 0.8123, 112.14, 112.2, 112.42, 1.2813, 1.2792, 872.6, 870.76, 519.67, 522.84, 517.86, 1673.7, 1686.1, 1686.8, 8375.0, 8334.3, 1.6107, 689.25, 685.0, 4399.26, 4356.41, 4356.41, 5.0310000000000015, 5.044, 5.069, 5.019, 0.8338, 0.8269, 5685.07, 5739.21, 5683.79, 0.8226666666666667, 0.7976666666666667, 0.7976666666666667, 1078.4, 1080.62, 1064.85, 1061.15, 1216.79, 1207.13, 12470.44, 12430.41, 12.1864, 12.1826, 12.2507, 6965.173333333332, 6966.71, 6898.993333333334, 1408.41, 1404.99, 3.0429, 3.006, 87.32, 87.36, 86.74, 30.775, 31.0, 30.455, 754.25, 761.13, 750.25, 3.388, 3.447, 2519.45, 2507.39
2013-01-07, 2011.25, 1.9369999999999998, 1.9340000000000002, 1.3048, 349.98, 10.998, 11.027, 10.979, 170.45, 3.287, 63314.22, 62414.98, 0.858, 0.804, 7776.37, 7740.99, 7779.67, 1556.4520000000002, 1564.386, 1524.504, 1502.876, 1473.87, 2.103, 2.084, 6016.15, 6011.95, 6020.75, 5981.55, 1466.47, 1467.94, 1458.99, 3.69, 3.6710000000000003, 2276.99, 2289.51, 2296.11, 1387.26, 1390.62, 3101.66, 3100.88, 3090.81, 137.14, 2.146, 2.1719999999999997, 1.903, 1.903, 1.903, 1149.28, 1146.9, 0.9924, 1.545, 1.505, 1.564, 1.4880000000000002, 62792.0, 63510.0, 62770.0, 19.5823, 19.2735, 93.09, 92.86, 91.52, 44562.33, 44374.97, 44277.68, 10688.11, 10604.5, 10734.23, 3.12, 3.13, 13435.21, 13391.05, 147.35, 145.4, 1128.87, 1136.77, 1113.6, 1105.5, 0.8135, 0.8145, 111.31, 111.72, 111.78, 1.2831, 1.2778, 879.15, 872.69, 522.12, 522.95, 518.62, 1648.1, 1647.0, 1658.3, 8411.7, 8386.7, 1.6071, 680.25, 679.5, 4410.02, 4406.93, 4389.72, 5.058, 5.022, 5.0680000000000005, 5.012, 0.828, 0.8211, 5731.72, 5747.71, 5726.31, 0.833, 0.797, 0.797, 1075.86, 1079.47, 1065.25, 1062.25, 1215.345, 1206.27, 12540.81, 12442.84, 12.0486, 12.1884, 12.1933, 6990.036666666668, 6992.21, 6937.9766666666665, 1416.66, 1399.97, 3.0241, 2.9809, 87.21, 88.4, 87.21, 29.435, 30.21, 29.21, 748.88, 757.63, 739.88, 3.45, 3.483, 2516.32, 2495.16
2013-01-08, 1997.94, 1.942, 1.926, 1.3072, 351.75, 10.99, 11.028, 10.853, 170.16, 3.266, 62523.06, 61639.34, 0.804, 0.804, 7732.66, 7760.01, 7767.55, 1566.2759999999994, 1573.368, 1525.7420000000006, 1510.3780000000006, 1474.3, 2.102, 2.079, 5988.4, 6042.15, 6042.15, 5977.15, 1461.89, 1466.47, 1456.62, 3.685, 3.6430000000000002, 2285.36, 2271.66, 2293.32, 1388.96, 1394.88, 3098.81, 3089.17, 3083.88, 137.03, 2.113, 2.151, 1.901, 1.901, 1.901, 1153.39, 1149.13, 0.9888, 1.517, 1.5330000000000001, 1.544, 1.508, 62198.0, 62610.0, 61915.0, 19.4207, 19.2114, 93.19, 93.21, 92.42, 44625.93, 44572.67, 44317.21, 10599.01, 10743.69, 10743.69, 3.11, 3.13, 13384.29, 13436.13, 150.4, 147.35, 1136.91, 1137.37, 1116.32, 1111.51, 0.8138, 0.8155, 111.4, 111.42, 111.69, 1.2858, 1.2844, 875.8, 873.74, 524.47, 525.3, 520.86, 1645.5, 1656.5, 1659.9, 8434.3, 8406.3, 1.6114, 685.5, 678.0, 4392.38, 4407.73, 4387.49, 5.099, 5.074, 5.105, 5.066, 0.8307, 0.8284, 5750.87, 5767.24, 5731.27, 0.8340000000000001, 0.8420000000000001, 0.8320000000000001, 1076.35, 1079.24, 1065.05, 1060.45, 1213.9, 1205.41, 12499.55, 12448.21, 12.1059, 12.052, 12.142, 7014.9, 7017.71, 6976.96, 1415.32, 1415.32, 3.0455, 3.0086, 88.17, 88.37, 87.6, 30.395, 30.395, 29.91, 752.25, 760.25, 743.63, 3.4530000000000003, 3.483, 2518.2, 2500.71
2013-01-09, 1991.81, 1.909, 1.935, 1.3116, 350.08, 10.987, 11.0075, 10.853, 170.52, 3.218, 61932.87, 61080.92, 0.821, 0.81, 7695.83, 7710.7, 7754.38, 1576.1, 1582.35, 1526.98, 1517.88, 1474.73, 2.083, 2.015, 6001.7, 5983.45, 6007.05, 5964.4, 1457.15, 1461.89, 1451.64, 3.6630000000000003, 3.6519999999999997, 2276.07, 2284.65, 2289.14, 1394.28, 1397.01, 3091.81, 3098.46, 3076.6, 137.13, 2.1069999999999998, 2.1390000000000002, 1.864, 1.864, 1.864, 1151.93, 1153.64, 0.9885, 1.489, 1.5030000000000001, 1.5219999999999998, 1.482, 61363.0, 62210.0, 61305.0, 19.3641, 19.1911, 93.15, 93.32, 92.67, 44571.2, 44631.93, 44409.94, 10508.06, 10544.21, 10602.12, 3.04, 3.09, 13328.85, 13377.42, 148.15, 149.3, 1128.63, 1133.28, 1117.73, 1112.44, 0.8149, 0.8162, 111.94, 111.42, 112.47, 1.2902, 1.2865, 874.7, 871.01, 521.25, 525.84, 520.82, 1661.5, 1647.7, 1659.5, 8388.2, 8374.7, 1.6056, 688.75, 683.75, 4397.55, 4394.76, 4381.65, 5.075, 5.119, 5.122999999999998, 5.063, 0.8370000000000001, 0.8333, 5746.28, 5752.66, 5719.68, 0.835, 0.84, 0.83, 1078.05, 1079.72, 1064.35, 1062.3, 1202.62, 1201.29, 12504.81, 12456.0, 12.2155, 12.1066, 12.2239, 7053.29, 7055.94, 7007.37, 1417.33, 1408.08, 3.0752, 3.0323, 87.75, 87.82, 86.88, 30.255, 30.39, 30.125, 750.88, 759.13, 749.63, 3.432, 3.443, 2508.89, 2492.75
2013-01-10, 2006.8, 1.9069999999999998, 1.9180000000000001, 1.3081, 350.53, 10.991, 11.0045, 10.88, 170.22, 3.113, 61128.79, 61102.69, 0.81, 0.794, 7720.47, 7713.57, 7734.78, 1568.59, 1578.31, 1564.09, 1517.18, 1510.61, 2.045, 2.005, 5971.5, 6006.2, 6020.1, 5958.45, 1461.02, 1464.73, 1457.15, 3.6919999999999997, 3.654, 2275.34, 2271.3, 2283.9, 1391.54, 1392.7, 3105.81, 3099.65, 3096.34, 137.26, 2.1069999999999998, 2.136, 1.86, 1.86, 1.86, 1146.31, 1150.96, 0.9881, 1.4809999999999999, 1.505, 1.5130000000000001, 1.462, 61744.0, 61435.0, 61315.0, 19.4068, 19.2649, 93.1, 93.15, 92.68, 44862.54, 44576.86, 44570.92, 10578.57, 10405.67, 10620.7, 3.04, 3.05, 13390.51, 13329.92, 147.9, 146.6, 1126.43, 1128.66, 1115.38, 1112.52, 0.8152, 0.8165, 111.76, 111.9, 112.23, 1.2909, 1.2873, 879.51, 874.7, 520.33, 521.25, 518.49, 1654.8, 1658.6, 1662.1, 8491.8, 8485.4, 1.6023, 694.25, 686.5, 4362.93, 4404.34, 4349.79, 5.127999999999999, 5.07, 5.159, 5.059, 0.8363, 0.8347, 5753.25, 5757.11, 5742.11, 0.831, 0.8220000000000001, 0.8140000000000001, 1078.29, 1079.21, 1064.3, 1060.2, 1206.25, 1204.96, 12522.24, 12484.8, 12.0842, 12.2251, 12.2575, 7126.71, 7136.64, 7052.78, 1423.46, 1421.63, 3.0753, 3.0472, 87.03, 88.01, 86.81, 30.095, 30.27, 30.095, 749.63, 756.88, 745.13, 3.412, 3.432, 2510.0, 2490.51
2013-01-11, 1996.67, 1.955, 1.921, 1.3065, 350.91, 10.965, 11.0055, 10.868, 169.99, 3.193, 61578.02, 61156.05, 0.853, 0.853, 7708.47, 7732.14, 7773.69, 1572.0, 1576.32, 1568.59, 1518.41, 1506.98, 2.022, 2.0, 5968.65, 5998.8, 6005.15, 5947.3, 1472.12, 1472.3, 1461.02, 3.7, 3.657, 2283.66, 2274.38, 2295.48, 1385.07, 1404.53, 3121.76, 3125.64, 3098.47, 136.77, 2.136, 2.165, 1.899, 1.899, 1.899, 1157.03, 1145.78, 0.9882, 1.554, 1.482, 1.57, 1.4709999999999999, 61907.0, 61995.0, 61365.0, 19.45, 19.3291, 93.82, 93.19, 93.08, 44859.8, 44871.87, 44658.72, 10652.64, 10635.11, 10686.12, 3.01, 3.04, 13471.22, 13391.82, 149.65, 148.2, 1129.55, 1131.27, 1121.35, 1112.89, 0.8208, 0.8214, 111.89, 111.68, 113.29, 1.2901, 1.2878, 881.24, 876.58, 521.73, 521.95, 518.41, 1677.3, 1672.5, 1673.8, 8607.3, 8548.4, 1.6168, 698.75, 694.5, 4317.36, 4368.76, 4298.61, 4.915, 5.148, 5.178999999999999, 4.904, 0.8395, 0.8375, 5747.07, 5749.14, 5732.21, 0.83, 0.823, 0.82, 1073.29, 1076.3, 1063.25, 1058.42, 1216.65, 1206.68, 12599.74, 12523.56, 11.949000000000002, 12.0639, 12.0757, 7113.75, 7130.236666666668, 7061.453333333333, 1405.99, 1404.12, 3.1137, 3.049, 87.86, 88.78, 87.84, 30.76, 30.825, 30.665, 746.0, 756.13, 744.13, 3.45, 3.455, 2521.27, 2501.5
2013-01-14, 2007.04, 1.944, 1.963, 1.3272, 351.33, 10.943, 10.967, 10.783, 169.41, 3.327, 61661.87, 61198.0, 0.8909999999999999, 0.8420000000000001, 7715.53, 7725.93, 7731.45, 1571.73, 1575.42, 1565.57, 1513.02, 1503.38, 2.1180000000000003, 2.0540000000000003, 5951.3, 6012.4, 6018.85, 5940.6, 1472.05, 1472.75, 1467.58, 3.675, 3.6430000000000002, 2243.0, 2285.19, 2290.2, 1403.29, 1411.81, 3125.64, 3122.12, 3114.1, 136.54, 2.1630000000000003, 2.181, 1.8659999999999999, 1.8659999999999999, 1.8659999999999999, 1156.66, 1156.44, 0.9854, 1.584, 1.564, 1.6119999999999999, 1.551, 61752.0, 61950.0, 61385.0, 19.4599, 19.2261, 93.56, 93.87, 92.65, 44888.13, 44864.45, 44779.18, 10801.57, 10786.14, 10830.43, 3.04, 3.07, 13488.43, 13471.45, 153.35, 149.2, 1130.0, 1132.28, 1113.22, 1111.39, 0.8273, 0.8291, 110.64, 111.95, 111.95, 1.2943, 1.2888, 880.77, 877.44, 519.61, 521.86, 517.26, 1660.0, 1673.1, 1673.1, 8638.0, 8580.0, 1.6132, 708.75, 686.25, 4305.91, 4325.24, 4301.49, 4.883, 4.905, 4.922, 4.843999999999999, 0.8454, 0.8359, 5731.1, 5750.53, 5730.54, 0.8220000000000001, 0.825, 0.812, 1075.36, 1077.36, 1058.67, 1054.75, 1218.77, 1211.575, 12602.18, 12545.03, 11.8421, 11.9361, 11.9444, 7100.79, 7123.833333333334, 7070.126666666668, 1412.06, 1392.61, 3.0566, 2.9957, 88.78, 89.44, 88.66, 30.78, 30.78, 30.15, 757.88, 771.75, 736.38, 3.485, 3.51, 2511.15, 2486.87
2013-01-15, 1983.74, 1.942, 1.9380000000000002, 1.334, 351.71, 10.955, 10.968, 10.904000000000002, 169.73, 3.373, 61511.35, 61511.35, 0.897, 0.8590000000000001, 7729.52, 7737.61, 7785.82, 1590.21, 1594.17, 1569.66, 1529.57, 1510.21, 2.056, 2.017, 6024.05, 5967.2, 6036.9, 5962.15, 1470.68, 1472.05, 1465.69, 3.674, 3.6239999999999997, 2311.74, 2236.29, 2317.62, 1411.08, 1416.24, 3117.5, 3113.65, 3104.08, 136.22, 2.14, 2.169, 1.848, 1.848, 1.848, 1145.9, 1156.92, 0.9869, 1.547, 1.5719999999999998, 1.574, 1.5330000000000001, 62220.0, 62150.0, 61875.0, 19.4161, 19.2392, 94.14, 93.74, 92.95, 44862.92, 44900.12, 44734.89, 10840.325, 10850.395, 10891.37, 3.04, 3.04, 13507.32, 13488.43, 153.3, 152.95, 1133.17, 1138.07, 1115.87, 1110.49, 0.8320000000000001, 0.8327, 111.88, 110.62, 112.15, 1.2925, 1.2889, 880.1, 877.56, 519.87, 520.5, 518.41, 1668.9, 1665.4, 1673.8, 8699.2, 8601.3, 1.6078, 724.0, 713.0, 4382.5, 4322.14, 4313.96, 5.045, 4.9239999999999995, 5.066, 4.923, 0.8370000000000001, 0.8359, 5733.675, 5753.585, 5733.395, 0.8009999999999999, 0.8195, 0.7955000000000001, 1072.56, 1074.47, 1056.94, 1055.9, 1220.89, 1216.47, 12603.09, 12582.15, 11.814, 11.8244, 11.8636, 7087.83, 7117.43, 7078.8, 1425.07, 1414.03, 3.0684, 3.0065, 89.24, 89.67, 89.05, 30.62, 31.045, 30.62, 770.25, 776.63, 763.5, 3.47, 3.475, 2507.66, 2489.36
