@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_High numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute EUR_USD_Now numeric
@attribute EUR_USD_Open numeric
@attribute EUR_USD_High numeric
@attribute EUR_USD_Low numeric
@attribute AEX_Now numeric
@attribute AEX_Low numeric
@attribute FTSE_Now_x numeric
@attribute FTSE_Open_x numeric
@attribute FTSE_High_x numeric
@attribute FTSE_Low_x numeric
@attribute IDR_KRW_Now numeric
@attribute IDR_KRW_High numeric
@attribute IDR_KRW_Low numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Open numeric
@attribute GAS_Now numeric
@attribute GAS_Open numeric
@attribute GAS_High numeric
@attribute Brazil_Low numeric
@attribute HONH_KONG_10_YEAR_Now numeric
@attribute HONH_KONG_10_YEAR_Open numeric
@attribute HONH_KONG_10_YEAR_High numeric
@attribute HONH_KONG_10_YEAR_Low numeric
@attribute DAX_Now numeric
@attribute DAX_Open numeric
@attribute DAX_High numeric
@attribute DAX_Low numeric
@attribute RTSI_Open numeric
@attribute RTSI_High numeric
@attribute RTSI_Low numeric
@attribute MOEX_High numeric
@attribute UK_10_YEAR_Now numeric
@attribute UK_10_YEAR_High numeric
@attribute UK_10_YEAR_Low numeric
@attribute Nifty_Now numeric
@attribute S&P_Now numeric
@attribute S&P_Low numeric
@attribute Copper_Now numeric
@attribute Copper_Low numeric
@attribute SANGHAI_Now numeric
@attribute SANGHAI_Open numeric
@attribute SANGHAI_High numeric
@attribute SANGHAI_Low numeric
@attribute EUR_KRW_Open numeric
@attribute EUR_KRW_Low numeric
@attribute NASDAQ_Now numeric
@attribute NASDAQ_Open numeric
@attribute HKD_KRW_Open numeric
@attribute HKD_KRW_Low numeric
@attribute FRANCE_10_YEAR_Now numeric
@attribute FRANCE_10_YEAR_Low numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_High numeric
@attribute US_10_YEAR_Low numeric
@attribute CHF_KRW_Now numeric
@attribute CHF_KRW_Open numeric
@attribute USD_CAD_High numeric
@attribute USD_CAD_Low numeric
@attribute GERMANY_10_YEAR_Now numeric
@attribute GERMANY_10_YEAR_Open numeric
@attribute GERMANY_10_YEAR_High numeric
@attribute iBovespa_Open numeric
@attribute INR_KRW_Now numeric
@attribute INR_KRW_Open numeric
@attribute INR_KRW_High numeric
@attribute INR_KRW_Low numeric
@attribute WTI_Now numeric
@attribute WTI_Open numeric
@attribute S&P_BMV_High numeric
@attribute NIKKEI_Open numeric
@attribute NIKKEI_High numeric
@attribute SOUTH_KOREA_10_YEAR_Open numeric
@attribute SOUTH_KOREA_10_YEAR_High numeric
@attribute SOUTH_KOREA_10_YEAR_Low numeric
@attribute SMI_High numeric
@attribute DOWJONES_High numeric
@attribute DOWJONES_Low numeric
@attribute US_COFFEE_Now numeric
@attribute OMXS_Now numeric
@attribute OMXS_Open numeric
@attribute OMXS_Low numeric
@attribute AUD_KRW_Now numeric
@attribute AUD_KRW_Open numeric
@attribute AUD_KRW_Low numeric
@attribute EUR_GBP_Low numeric
@attribute BRENT_OIL_Low numeric
@attribute GBP_KRW_High numeric
@attribute GBP_KRW_Low numeric
@attribute AUD_SGD_Now numeric
@attribute Russell_High numeric
@attribute BRL_KRW_Now numeric
@attribute BRL_KRW_Open numeric
@attribute BRL_KRW_Low numeric
@attribute Gold_Now numeric
@attribute Gold_High numeric
@attribute Gold_Low numeric
@attribute IBEX_Now numeric
@attribute IBEX_Open numeric
@attribute IBEX_Low numeric
@attribute Corn_High numeric
@attribute Corn_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_High_y numeric
@attribute IDX_Now numeric
@attribute IDX_High numeric
@attribute IDX_Low numeric
@attribute SPAIN_10_YEAR_Open numeric
@attribute SPAIN_10_YEAR_High numeric
@attribute NZD_USD_High numeric
@attribute CSE_Now numeric
@attribute CSE_Open numeric
@attribute JAPAN_10_YEAR_Now numeric
@attribute JAPAN_10_YEAR_Open numeric
@attribute JAPAN_10_YEAR_Low numeric
@attribute USD_KRW_Now numeric
@attribute TA_Now numeric
@attribute TA_Open numeric
@attribute TA_High numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute JPY_KRW_Open numeric
@attribute JPY_KRW_High numeric
@attribute JPY_KRW_Low numeric
@attribute SET_Now numeric
@attribute SET_Open numeric
@attribute HEATING_OIL_Open numeric
@attribute ITALY_10_YEAR_Now numeric
@attribute ITALY_10_YEAR_Open numeric
@attribute ITALY_10_YEAR_Low numeric
@attribute USD_JPY_Open numeric
@attribute USD_JPY_High numeric
@attribute USD_JPY_Low numeric
@attribute US_WHEAT_Now numeric
@attribute US_WHEAT_High numeric
@attribute US_WHEAT_Low numeric
@attribute AUS_10_YEAR_Now numeric
@attribute AUS_10_YEAR_Open numeric
@attribute AUS_10_YEAR_Low numeric
@attribute BEL_Now numeric
@attribute BEL_Open numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2011-01-03, 2070.08, 3.202, 3.141, 1.3283, 1.3225, 1.3316, 1.3212, 356.36, 355.58, 5971.01, 5993.8, 6007.8, 5962.8, 12.573, 12.74, 12.539, 171.29, 172.98, 4.338, 4.31, 4.364, 68940.08, 3.04, 3.04, 3.04, 3.04, 6914.19, 6996.56, 7008.12, 6897.22, 1767.82, 1770.28, 1761.16, 1687.99, 3.4760000000000004, 3.4760000000000004, 3.4760000000000004, 6101.85, 1257.88, 1256.32, 4.356, 4.335, 2759.58, 2751.97, 2768.13, 2724.54, 1515.24, 1496.5, 2662.98, 2665.68, 147.24, 145.02, 3.361, 3.361, 3.367, 3.367, 3.367, 1209.05, 1210.78, 1.0025, 0.997, 2.949, 2.949, 2.949, 69740.0, 25.2276, 25.4384, 25.4718, 25.1673, 89.84, 90.98, 38383.77, 10303.0, 10308.0, 4.5, 4.5, 4.45, 6570.72, 11614.44, 11535.5, 236.3, 1155.57, 1164.57, 1155.57, 1150.35, 1166.17, 1141.36, 0.8515, 92.34, 1778.45, 1734.96, 1.3105, 794.0, 681.3, 683.28, 674.13, 1405.6, 1413.8, 1403.1, 9859.1, 9985.1, 9858.8, 625.0, 612.5, 20173.29, 20466.0, 3703.51, 3718.98, 3689.03, 5.433, 5.5089999999999995, 0.7726, 6614.13, 6646.92, 1.1159999999999999, 1.156, 1.1159999999999999, 1130.95, 1326.44, 1326.36, 1330.79, 1321.26, 13434.41, 13449.77, 13493.64, 14.0338, 14.050999999999998, 13.7958, 1032.76, 1035.16, 2.5195, 4.84, 4.84, 4.84, 81.63, 81.86, 81.29, 784.75, 798.75, 776.88, 5.585, 5.585, 5.585, 2590.67, 2613.09, 2616.42, 2589.89
2011-01-04, 2085.14, 3.199, 3.123, 1.3354, 1.3348, 1.3397, 1.3251, 359.86, 357.03, 5992.440000000001, 5991.9, 6028.65, 5971.3, 12.51, 12.597, 12.429, 170.67, 170.0, 4.65, 4.492, 4.689, 69304.67, 3.005, 3.005, 3.005, 3.005, 6989.74, 6973.39, 7026.62, 6969.83, 1768.1699999999994, 1774.8442857142857, 1762.1085714285714, 1691.7328571428573, 3.4685000000000006, 3.4685000000000006, 3.4685000000000006, 6157.6, 1271.87, 1257.62, 4.452, 4.415, 2806.115, 2788.65, 2811.7650000000012, 2767.325, 1495.31, 1491.46, 2691.52, 2676.65, 144.13, 144.1, 3.332, 3.332, 3.3339999999999996, 3.3339999999999996, 3.3339999999999996, 1204.12, 1197.5, 0.9951, 0.9886, 2.905, 2.905, 2.905, 70105.0, 25.2022, 25.0531, 25.4067, 25.0531, 91.55, 91.31, 38876.76, 10314.5, 10358.5, 4.5, 4.57, 4.5, 6508.42, 11750.9, 11577.43, 238.7, 1176.85, 1161.58, 1161.12, 1142.82, 1143.58, 1141.5, 0.8538, 94.5, 1759.92, 1734.25, 1.3056, 801.7, 682.85, 675.08, 675.08, 1422.6, 1423.9, 1413.7, 9888.3, 9899.4, 9850.5, 634.0, 620.0, 20436.28, 20559.0, 3727.52, 3738.59, 3704.44, 5.502999999999999, 5.537000000000001, 0.7784, 6657.96, 6635.87, 1.1395, 1.1375, 1.1175000000000002, 1124.65, 1335.03, 1332.64, 1339.93, 1331.46, 13418.36, 13490.06, 13511.81, 13.7942, 13.9163, 13.7451, 1037.585, 1038.9450000000004, 2.5424, 4.763999999999999, 4.763999999999999, 4.763999999999999, 81.13, 81.75, 81.13, 805.25, 824.5, 793.13, 5.541, 5.541, 5.541, 2631.84, 2599.42, 2634.18, 2597.29
2011-01-05, 2082.55, 3.196, 3.105, 1.3304, 1.3358, 1.3436, 1.3291, 358.86, 358.41, 6013.87, 5990.0, 6049.5, 5979.8, 12.525, 12.544, 12.445, 170.35, 170.61, 4.669, 4.627, 4.707, 69559.92, 2.9560000000000004, 2.9560000000000004, 2.9560000000000004, 2.9560000000000004, 6975.35, 6979.68, 7025.86, 6952.02, 1768.52, 1779.4085714285711, 1763.057142857143, 1695.4757142857145, 3.4610000000000003, 3.4610000000000003, 3.4610000000000003, 6146.35, 1270.2, 1262.66, 4.364, 4.35, 2852.65, 2825.33, 2855.4, 2810.11, 1501.62, 1492.01, 2681.25, 2699.86, 144.68, 143.97, 3.293, 3.293, 3.338, 3.338, 3.338, 1186.86, 1203.62, 1.0034, 0.9912, 2.891, 2.891, 2.891, 70900.0, 25.0556, 25.1859, 25.2838, 24.806, 89.38, 91.5, 38720.83, 10326.0, 10409.0, 4.56, 4.61, 4.56, 6530.83, 11766.94, 11582.99, 234.95, 1165.88, 1180.5, 1165.78, 1131.69, 1142.74, 1124.93, 0.8522, 92.58, 1758.6, 1730.45, 1.2941, 800.5, 677.6, 682.18, 671.01, 1378.5, 1410.9, 1375.8, 9888.4, 9895.5, 9799.4, 623.5, 603.25, 20547.03, 20681.0, 3760.06, 3763.38, 3724.47, 5.443, 5.482, 0.7742, 6701.85, 6657.96, 1.163, 1.119, 1.119, 1125.5, 1333.25, 1334.68, 1336.65, 1331.02, 13402.31, 13530.35, 13529.98, 13.7529, 13.7897, 13.5958, 1042.41, 1042.73, 2.555, 4.582, 4.582, 4.582, 81.67, 82.28, 81.61, 788.0, 808.75, 783.38, 5.497000000000001, 5.497000000000001, 5.497000000000001, 2647.86, 2641.93, 2660.1, 2633.13
2011-01-06, 2077.61, 3.319, 3.135, 1.3152, 1.3304, 1.3325, 1.3123, 357.28, 352.56, 6043.86, 6011.5, 6043.86, 5962.0, 12.5055, 12.5705, 12.478, 169.74, 170.11, 4.473, 4.6110000000000015, 4.64, 69801.71, 2.9410000000000003, 2.9410000000000003, 2.9410000000000003, 2.9410000000000003, 6939.82, 6966.08, 6967.24, 6842.9, 1768.87, 1783.972857142857, 1764.005714285714, 1699.2185714285715, 3.5469999999999997, 3.5469999999999997, 3.5469999999999997, 6079.8, 1276.56, 1265.36, 4.402, 4.3, 2838.59, 2833.12, 2850.49, 2824.3, 1495.26, 1473.3, 2702.2, 2673.91, 144.67, 144.37, 3.346, 3.346, 3.463, 3.463, 3.463, 1162.98, 1184.15, 1.0023, 0.993, 2.9539999999999997, 2.9539999999999997, 2.9539999999999997, 70500.0, 24.7876, 24.9833, 25.1692, 24.7082, 90.3, 89.29, 38699.1, 10369.0, 10399.5, 4.59, 4.64, 4.58, 6519.25, 11775.72, 11610.29, 233.0, 1151.8, 1166.39, 1149.21, 1123.05, 1129.51, 1120.43, 0.8468, 92.37, 1761.53, 1736.07, 1.2917, 795.09, 671.27, 676.5, 669.01, 1373.4, 1384.0, 1364.2, 9801.4, 9877.5, 9599.3, 619.75, 600.25, 20551.58, 20561.0, 3783.71, 3786.05, 3728.91, 5.37, 5.399, 0.7682, 6754.31, 6701.85, 1.162, 1.166, 1.146, 1123.5, 1332.34, 1330.84, 1333.09, 1322.33, 13395.99, 13365.33, 13400.03, 13.704, 13.7605, 13.4516, 1050.78, 1044.62, 2.5035, 4.582, 4.582, 4.582, 82.06, 83.38, 81.89, 809.88, 809.88, 776.63, 5.505, 5.505, 5.505, 2631.57, 2641.03, 2644.4, 2613.59
2011-01-07, 2086.2, 3.279, 3.215, 1.3001, 1.3146, 1.3171, 1.2995, 356.89, 356.28, 6019.51, 6036.7, 6089.3, 6002.8, 12.483, 12.52, 12.413, 169.4, 169.49, 4.434, 4.4860000000000015, 4.623, 70469.17, 3.011, 3.011, 3.011, 3.011, 6981.39, 6949.48, 7047.59, 6949.07, 1769.22, 1788.537142857143, 1764.9542857142858, 1702.9614285714285, 3.525, 3.525, 3.525, 6048.25, 1273.85, 1270.43, 4.3210000000000015, 4.309, 2824.2, 2838.43, 2853.88, 2816.95, 1474.98, 1458.66, 2709.89, 2704.38, 144.38, 143.69, 3.341, 3.341, 3.3989999999999996, 3.3989999999999996, 3.3989999999999996, 1163.64, 1161.25, 0.9995, 0.9918, 2.924, 2.924, 2.924, 71900.0, 24.7646, 24.7507, 24.9482, 24.6766, 88.38, 90.47, 38772.9, 10495.0, 10529.76, 4.67, 4.69, 4.66, 6588.23, 11795.78, 11615.31, 233.0, 1155.625, 1162.985, 1150.62, 1117.59, 1121.33, 1113.17, 0.8398, 94.01, 1746.09, 1731.39, 1.2889, 796.6, 666.35, 670.33, 661.49, 1371.4, 1376.5, 1368.9, 9702.7, 9803.2, 9678.4, 621.5, 600.25, 20637.39, 20898.0, 3736.26, 3789.47, 3720.57, 5.351, 5.494, 0.7604, 6809.73, 6754.31, 1.225, 1.198, 1.198, 1123.2, 1335.99, 1336.65, 1339.75, 1334.84, 13311.67, 13407.56, 13413.18, 13.4726, 13.5212, 13.4286, 1050.98, 1055.36, 2.5455, 4.582, 4.582, 4.582, 83.19, 83.39, 82.88, 788.13, 809.5, 788.0, 5.55, 5.55, 5.55, 2625.44, 2634.52, 2638.06, 2620.28
2011-01-10, 2080.81, 3.3, 3.1689999999999996, 1.2919, 1.3005, 1.3023, 1.2906, 356.44, 354.31, 5984.33, 6009.5, 6021.3, 5970.0, 12.431, 12.503, 12.389, 169.31, 169.45, 4.422, 4.4, 4.45, 69718.11, 2.988, 2.988, 2.988, 2.988, 6947.84, 6991.55, 7010.89, 6939.88, 1769.57, 1793.1014285714284, 1765.902857142857, 1706.7042857142858, 3.516, 3.516, 3.516, 5904.6, 1271.5, 1261.7, 4.272, 4.25, 2838.8, 2820.66, 2868.01, 2807.87, 1459.73, 1446.4, 2703.17, 2712.75, 144.46, 143.8, 3.33, 3.33, 3.3280000000000003, 3.3280000000000003, 3.3280000000000003, 1160.5, 1162.46, 1.0005, 0.9897, 2.862, 2.862, 2.862, 71290.0, 24.7426, 24.811, 24.9239, 24.6537, 88.03, 88.18, 38711.74, 10500.0, 10542.5, 4.7, 4.73, 4.68, 6559.6, 11761.49, 11578.64, 230.7, 1159.45, 1159.58, 1152.03, 1118.78, 1116.19, 1110.62, 0.8295, 92.59, 1746.37, 1727.78, 1.2908, 795.7, 666.71, 665.5, 662.77, 1368.5, 1377.2, 1355.5, 9560.7, 9682.4, 9497.8, 604.5, 595.0, 20542.06, 20741.0, 3631.45, 3734.37, 3607.33, 5.475, 5.581, 0.7638, 6891.96, 6809.73, 1.204, 1.209, 1.203, 1122.2, 1329.345, 1333.545, 1335.655, 1328.025, 13272.3, 13263.08, 13329.64, 13.4697, 13.5474, 13.3975, 1036.45, 1050.54, 2.5139, 4.784, 4.784, 4.784, 83.31, 83.69, 82.86, 772.13, 793.75, 772.13, 5.593, 5.593, 5.593, 2605.15, 2619.07, 2625.77, 2603.37
2011-01-11, 2088.32, 3.198, 3.153, 1.2944, 1.2883, 1.2967, 1.2874, 354.21, 353.63, 5956.3, 5978.5, 5980.8, 5938.5, 12.4575, 12.5295, 12.371, 169.88, 169.21, 4.399, 4.373, 4.45, 69666.37, 2.9530000000000003, 2.9530000000000003, 2.9530000000000003, 2.9530000000000003, 6857.06, 6920.36, 6941.39, 6835.74, 1769.92, 1797.6657142857143, 1766.8514285714284, 1710.4471428571426, 3.512, 3.512, 3.512, 5762.85, 1269.75, 1262.18, 4.255, 4.253, 2791.81, 2832.62, 2847.36, 2786.86, 1444.75, 1442.51, 2707.8, 2691.47, 144.28, 143.75, 3.341, 3.341, 3.287, 3.287, 3.287, 1165.07, 1157.59, 0.9985, 0.991, 2.8739999999999997, 2.8739999999999997, 2.8739999999999997, 70100.0, 24.8622, 24.7234, 24.9569, 24.6399, 89.25, 89.0, 38633.83, 10483.5, 10538.0, 4.69, 4.72, 4.69, 6498.05, 11698.33, 11545.87, 231.25, 1152.61, 1158.74, 1149.38, 1122.82, 1113.96, 1112.7, 0.8282, 93.6, 1764.12, 1738.33, 1.2923, 794.8, 667.63, 666.21, 664.29, 1373.7, 1374.0, 1365.7, 9437.8, 9488.3, 9387.9, 614.0, 597.25, 20058.18, 20428.0, 3478.55, 3631.27, 3449.58, 5.528, 5.608, 0.7647, 6916.85, 6892.53, 1.1965, 1.2035, 1.1875, 1127.5, 1322.7, 1330.44, 1331.56, 1321.21, 13245.12, 13291.61, 13295.37, 13.4771, 13.6761, 13.4545, 1018.03, 1033.95, 2.509, 4.896, 4.896, 4.896, 83.06, 83.28, 82.67, 766.63, 783.0, 766.63, 5.52, 5.52, 5.52, 2555.19, 2600.65, 2600.65, 2553.31
2011-01-12, 2094.95, 3.245, 3.1710000000000003, 1.2978, 1.295, 1.2995, 1.2905, 358.3, 355.29, 6014.03, 5986.1, 6036.8, 5978.8, 12.45, 12.495, 12.319, 170.11, 169.49, 4.481, 4.386, 4.504, 70145.28, 2.937, 2.937, 2.937, 2.937, 6941.57, 6879.39, 6951.19, 6860.52, 1770.27, 1802.23, 1767.8, 1714.19, 3.552, 3.552, 3.552, 5754.1, 1274.48, 1269.62, 4.3389999999999995, 4.324, 2804.05, 2783.48, 2810.76, 2770.34, 1456.54, 1450.98, 2716.83, 2719.6, 144.66, 143.99, 3.363, 3.363, 3.34, 3.34, 3.34, 1156.47, 1162.31, 0.9951, 0.989, 2.932, 2.932, 2.932, 71250.0, 24.9364, 24.7498, 25.0381, 24.7196, 91.11, 89.31, 38562.7, 10467.0, 10533.5, 4.71, 4.73, 4.69, 6542.64, 11756.57, 11601.57, 234.7, 1174.37, 1158.41, 1154.88, 1111.31, 1119.71, 1103.38, 0.8290000000000001, 95.08, 1761.32, 1743.15, 1.2767, 798.8, 668.88, 665.96, 663.55, 1384.0, 1384.5, 1373.9, 9582.1, 9467.4, 9404.7, 615.5, 603.5, 20339.05, 20373.0, 3455.13, 3550.36, 3434.27, 5.577999999999999, 5.649, 0.7634, 6992.71, 6916.85, 1.189, 1.198, 1.172, 1126.0, 1335.14, 1328.23, 1335.65, 1327.6, 13401.05, 13341.9, 13421.81, 13.5985, 13.6526, 13.4597, 1013.39, 1015.85, 2.5580000000000003, 4.838, 4.838, 4.838, 82.72, 83.49, 82.72, 758.63, 776.88, 758.63, 5.42, 5.42, 5.42, 2579.7, 2573.25, 2587.09, 2568.88
2011-01-13, 2089.48, 3.281, 3.221, 1.3137, 1.2972, 1.3146, 1.2961, 362.41, 359.05, 6050.72, 6024.3, 6050.72, 6019.8, 12.3085, 12.4555, 12.274, 168.91, 169.79, 4.5310000000000015, 4.504, 4.553999999999999, 70429.44, 2.967, 2.967, 2.967, 2.967, 7068.78, 6958.84, 7070.4, 6958.5, 1802.23, 1868.94, 1800.24, 1760.09, 3.647, 3.647, 3.647, 5863.25, 1285.96, 1275.65, 4.402, 4.35, 2821.31, 2811.79, 2828.47, 2788.13, 1457.83, 1443.67, 2737.33, 2731.45, 144.55, 142.62, 3.438, 3.438, 3.367, 3.367, 3.367, 1149.91, 1154.24, 0.9913, 0.9844, 3.0580000000000003, 3.0580000000000003, 3.0580000000000003, 71550.0, 24.6891, 24.9058, 24.9932, 24.6226, 91.86, 91.18, 38347.4, 10558.0, 10568.5, 4.69, 4.69, 4.62, 6617.92, 11814.55, 11673.62, 240.6, 1174.1, 1175.76, 1172.77, 1106.78, 1109.61, 1100.71, 0.8295, 97.28, 1762.96, 1736.44, 1.2819, 803.3, 664.34, 667.5, 661.33, 1385.7, 1385.5, 1378.0, 10101.2, 9606.4, 9596.0, 637.0, 605.5, 21116.39, 21124.0, 3554.77, 3555.39, 3455.41, 5.496, 5.53, 0.7642, 7014.85, 6992.71, 1.183, 1.2, 1.17, 1111.5, 1337.09, 1336.1, 1342.2, 1335.23, 13460.21, 13467.43, 13497.68, 13.5031, 13.5397, 13.3221, 1019.51, 1022.33, 2.604, 4.836, 4.836, 4.836, 83.36, 83.46, 82.81, 773.63, 789.88, 760.38, 5.497000000000001, 5.497000000000001, 5.497000000000001, 2626.4, 2583.17, 2626.4, 2583.06
2011-01-14, 2108.17, 3.3, 3.2439999999999998, 1.3354, 1.3129, 1.3384, 1.3087, 360.79, 359.09, 6023.88, 6047.8, 6056.5, 6004.0, 12.293, 12.34, 12.252, 168.39, 167.9, 4.407, 4.481, 4.503, 70719.1, 2.972, 2.972, 2.972, 2.972, 7075.11, 7075.54, 7084.07, 7036.09, 1868.94, 1887.59, 1865.91, 1768.21, 3.6, 3.6, 3.6, 5751.9, 1283.76, 1280.47, 4.367, 4.341, 2827.71, 2830.53, 2837.53, 2810.87, 1456.23, 1452.83, 2735.29, 2734.93, 142.64, 142.39, 3.4189999999999996, 3.4189999999999996, 3.299, 3.299, 3.299, 1154.05, 1147.32, 0.9911, 0.9853, 3.0469999999999997, 3.0469999999999997, 3.0469999999999997, 72150.0, 24.6483, 24.568, 24.8, 24.5237, 91.4, 92.0, 38070.19, 10598.0, 10613.5, 4.65, 4.73, 4.63, 6613.2, 11803.19, 11666.32, 237.5, 1174.42, 1178.96, 1171.08, 1109.88, 1104.45, 1099.7, 0.8309, 97.3, 1767.26, 1742.64, 1.2824, 804.3, 665.13, 662.64, 661.45, 1386.9, 1392.5, 1371.4, 10370.8, 10105.8, 10096.8, 649.5, 633.25, 21308.13, 21343.0, 3564.94, 3630.68, 3549.01, 5.483, 5.513, 0.7728, 7021.88, 7014.89, 1.185, 1.19, 1.183, 1112.5, 1335.82, 1339.32, 1339.83, 1332.87, 13401.48, 13492.26, 13505.44, 13.3631, 13.4652, 13.3197, 1035.08, 1028.63, 2.617, 4.708, 4.708, 4.708, 83.09, 83.15, 82.55, 781.38, 787.13, 769.63, 5.547999999999999, 5.547999999999999, 5.547999999999999, 2632.68, 2630.15, 2638.98, 2624.04
